日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2020-12-31,深深房Ａ,1000029,7.08,7.17,7.07,7.14,0.06,0.85,"44,095","3,144",1.41,0.49
2020-12-30,深深房Ａ,1000029,7.13,7.17,7.05,7.08,-0.07,-0.98,"50,400","3,578",1.68,0.57
2020-12-29,深深房Ａ,1000029,7.04,7.25,7.01,7.15,0.11,1.56,"84,540","6,057",3.41,0.95
2020-12-28,深深房Ａ,1000029,7.00,7.17,6.95,7.04,0.04,0.57,"72,964","5,152",3.14,0.82
2020-12-25,深深房Ａ,1000029,7.00,7.09,6.92,7.00,0.03,0.43,"67,752","4,757",2.44,0.76
2020-12-24,深深房Ａ,1000029,7.24,7.29,6.96,6.97,-0.32,-4.39,"97,274","6,885",4.53,1.09
2020-12-23,深深房Ａ,1000029,7.24,7.33,7.15,7.29,0.09,1.25,"71,537","5,190",2.50,0.80
2020-12-22,深深房Ａ,1000029,7.49,7.50,7.15,7.20,-0.31,-4.13,"125,250","9,170",4.66,1.40
2020-12-21,深深房Ａ,1000029,7.52,7.60,7.49,7.51,-0.04,-0.53,"61,893","4,661",1.46,0.69
2020-12-18,深深房Ａ,1000029,7.67,7.72,7.55,7.55,-0.12,-1.56,"65,107","4,972",2.22,0.73
2020-12-17,深深房Ａ,1000029,7.71,7.73,7.44,7.67,-0.04,-0.52,"95,230","7,219",3.76,1.07
2020-12-16,深深房Ａ,1000029,7.89,7.96,7.71,7.71,-0.22,-2.77,"73,059","5,676",3.15,0.82
2020-12-15,深深房Ａ,1000029,7.75,8.07,7.70,7.93,0.14,1.80,"104,546","8,259",4.75,1.17
2020-12-14,深深房Ａ,1000029,7.75,7.84,7.69,7.79,0.05,0.65,"63,691","4,962",1.94,0.71
2020-12-11,深深房Ａ,1000029,7.97,8.02,7.63,7.74,-0.24,-3.01,"122,222","9,510",4.89,1.37
2020-12-10,深深房Ａ,1000029,8.06,8.13,7.98,7.98,-0.16,-1.97,"86,687","6,970",1.84,0.97
2020-12-09,深深房Ａ,1000029,8.39,8.41,8.13,8.14,-0.25,-2.98,"111,296","9,196",3.34,1.25
2020-12-08,深深房Ａ,1000029,8.39,8.47,8.35,8.39,-0.01,-0.12,"60,403","5,073",1.43,0.68
2020-12-07,深深房Ａ,1000029,8.54,8.54,8.39,8.40,-0.18,-2.10,"98,020","8,268",1.75,1.10
2020-12-04,深深房Ａ,1000029,8.67,8.78,8.57,8.58,-0.18,-2.05,"119,494","10,319",2.40,1.34
2020-12-03,深深房Ａ,1000029,8.49,8.87,8.43,8.76,0.24,2.82,"224,177","19,425",5.16,2.51
2020-12-02,深深房Ａ,1000029,8.41,8.62,8.39,8.52,0.06,0.71,"143,021","12,205",2.72,1.60
2020-12-01,深深房Ａ,1000029,8.38,8.52,8.29,8.46,0.03,0.36,"129,483","10,881",2.73,1.45
2020-11-30,深深房Ａ,1000029,8.38,8.59,8.36,8.43,0.02,0.24,"119,395","10,139",2.73,1.34
2020-11-27,深深房Ａ,1000029,8.33,8.48,8.33,8.41,0.06,0.72,"90,881","7,633",1.80,1.02
2020-11-26,深深房Ａ,1000029,8.56,8.63,8.33,8.35,-0.24,-2.79,"157,984","13,353",3.49,1.77
2020-11-25,深深房Ａ,1000029,8.75,8.79,8.59,8.59,-0.20,-2.28,"167,766","14,527",2.28,1.88
2020-11-24,深深房Ａ,1000029,8.65,8.99,8.57,8.79,0.16,1.85,"249,055","21,866",4.87,2.79
2020-11-23,深深房Ａ,1000029,8.58,8.68,8.55,8.63,0.00,0.00,"150,401","12,962",1.51,1.69
2020-11-20,深深房Ａ,1000029,8.73,8.74,8.58,8.63,-0.11,-1.26,"161,465","13,934",1.83,1.81
2020-11-19,深深房Ａ,1000029,8.81,8.92,8.71,8.74,-0.12,-1.35,"178,250","15,644",2.37,2.00
2020-11-18,深深房Ａ,1000029,9.00,9.07,8.80,8.86,-0.28,-3.06,"265,457","23,592",2.95,2.98
2020-11-17,深深房Ａ,1000029,8.69,9.50,8.61,9.14,0.41,4.70,"464,078","41,980",10.19,5.20
2020-11-16,深深房Ａ,1000029,8.90,8.90,8.57,8.73,-0.18,-2.02,"291,602","25,412",3.70,3.27
2020-11-13,深深房Ａ,1000029,8.87,9.15,8.72,8.91,-0.07,-0.78,"304,474","27,179",4.79,3.41
2020-11-12,深深房Ａ,1000029,9.30,9.40,8.88,8.98,-0.65,-6.75,"438,814","39,786",5.40,4.92
2020-11-11,深深房Ａ,1000029,10.00,10.15,9.63,9.63,-1.07,-10.00,"529,357","51,706",4.86,5.94
2020-11-10,深深房Ａ,1000029,11.11,11.59,10.70,10.70,-1.19,-10.01,"750,370","83,313",7.49,8.42
2020-11-09,深深房Ａ,1000029,10.35,11.89,10.35,11.89,1.08,9.99,"974,770","109,399",14.25,10.93
2021-06-30,深深房Ａ,1000029,7.61,7.61,7.52,7.57,0.03,0.40,"34,358","2,598",1.19,0.39
2021-06-29,深深房Ａ,1000029,7.58,7.70,7.45,7.54,0.04,0.53,"52,112","3,949",3.33,0.58
2021-06-28,深深房Ａ,1000029,7.30,7.59,7.27,7.50,0.22,3.02,"76,024","5,685",4.40,0.85
2021-06-25,深深房Ａ,1000029,7.23,7.29,7.15,7.28,0.05,0.69,"37,829","2,733",1.94,0.42
2021-06-24,深深房Ａ,1000029,7.25,7.27,7.19,7.23,-0.01,-0.14,"24,332","1,758",1.11,0.27
2021-06-23,深深房Ａ,1000029,7.25,7.28,7.22,7.24,-0.02,-0.28,"28,725","2,081",0.83,0.32
2021-06-22,深深房Ａ,1000029,7.31,7.33,7.23,7.26,-0.04,-0.55,"31,368","2,284",1.37,0.35
2021-06-21,深深房Ａ,1000029,7.27,7.33,7.23,7.30,0.02,0.27,"22,962","1,672",1.37,0.26
2021-06-18,深深房Ａ,1000029,7.24,7.31,7.22,7.28,0.03,0.41,"21,813","1,587",1.24,0.24
2021-06-17,深深房Ａ,1000029,7.23,7.27,7.17,7.25,0.00,0.00,"30,895","2,230",1.38,0.35
2021-06-16,深深房Ａ,1000029,7.25,7.37,7.20,7.25,0.00,0.00,"22,045","1,606",2.34,0.25
2021-06-15,深深房Ａ,1000029,7.35,7.40,7.24,7.25,-0.13,-1.76,"26,813","1,959",2.17,0.30
2021-06-11,深深房Ａ,1000029,7.53,7.55,7.36,7.38,-0.15,-1.99,"36,317","2,703",2.52,0.41
2021-06-10,深深房Ａ,1000029,7.51,7.55,7.44,7.53,0.02,0.27,"31,638","2,371",1.46,0.35
2021-06-09,深深房Ａ,1000029,7.56,7.58,7.48,7.51,-0.02,-0.27,"26,350","1,979",1.33,0.30
2021-06-08,深深房Ａ,1000029,7.53,7.60,7.50,7.53,-0.02,-0.26,"33,656","2,537",1.32,0.38
2021-06-07,深深房Ａ,1000029,7.70,7.70,7.55,7.55,-0.16,-2.08,"39,284","2,986",1.95,0.44
2021-06-04,深深房Ａ,1000029,7.85,7.95,7.66,7.71,-0.14,-1.78,"71,943","5,588",3.69,0.81
2021-06-03,深深房Ａ,1000029,7.56,7.92,7.54,7.85,0.28,3.70,"108,329","8,400",5.02,1.21
2021-06-02,深深房Ａ,1000029,7.68,7.69,7.53,7.57,-0.04,-0.53,"33,924","2,577",2.10,0.38
2021-06-01,深深房Ａ,1000029,7.49,7.87,7.43,7.61,0.15,2.01,"79,943","6,129",5.90,0.90
2021-05-31,深深房Ａ,1000029,7.57,7.58,7.41,7.46,-0.05,-0.67,"35,701","2,667",2.26,0.40
2021-05-28,深深房Ａ,1000029,7.68,7.71,7.53,7.60,-0.03,-0.39,"37,367","2,846",2.36,0.42
2021-05-27,深深房Ａ,1000029,7.51,7.67,7.45,7.63,0.12,1.60,"54,686","4,159",2.93,0.61
2021-05-26,深深房Ａ,1000029,7.38,7.61,7.38,7.51,0.10,1.35,"55,647","4,189",3.10,0.62
2021-05-25,深深房Ａ,1000029,7.43,7.43,7.33,7.41,-0.02,-0.27,"28,994","2,139",1.35,0.33
2021-05-24,深深房Ａ,1000029,7.42,7.45,7.36,7.43,0.07,0.95,"35,072","2,598",1.22,0.39
2021-05-21,深深房Ａ,1000029,7.33,7.41,7.30,7.36,0.05,0.68,"27,999","2,059",1.50,0.31
2021-05-20,深深房Ａ,1000029,7.39,7.41,7.28,7.31,-0.08,-1.08,"19,055","1,397",1.76,0.21
2021-05-19,深深房Ａ,1000029,7.30,7.39,7.25,7.39,0.10,1.37,"26,240","1,919",1.92,0.29
2021-05-18,深深房Ａ,1000029,7.34,7.34,7.23,7.29,-0.06,-0.82,"33,289","2,422",1.50,0.37
2021-05-17,深深房Ａ,1000029,7.49,7.49,7.30,7.35,-0.14,-1.87,"40,156","2,954",2.54,0.45
2021-05-14,深深房Ａ,1000029,7.50,7.59,7.42,7.49,-0.10,-1.32,"49,018","3,669",2.24,0.55
2021-05-13,深深房Ａ,1000029,7.35,7.76,7.35,7.59,0.14,1.88,"73,866","5,582",5.50,0.83
2021-05-12,深深房Ａ,1000029,7.38,7.45,7.32,7.45,0.05,0.68,"24,090","1,780",1.76,0.27
2021-05-11,深深房Ａ,1000029,7.36,7.41,7.23,7.40,0.04,0.54,"26,462","1,943",2.45,0.30
2021-05-10,深深房Ａ,1000029,7.41,7.45,7.25,7.36,-0.01,-0.14,"38,302","2,812",2.71,0.43
2021-05-07,深深房Ａ,1000029,7.50,7.55,7.33,7.37,-0.18,-2.38,"45,822","3,397",2.91,0.51
2021-05-06,深深房Ａ,1000029,7.76,7.90,7.53,7.55,0.00,0.00,"69,714","5,336",4.90,0.78
2021-04-30,深深房Ａ,1000029,7.60,7.70,7.43,7.55,-0.06,-0.79,"34,952","2,638",3.55,0.39
