日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,滨江集团,1002244,6.79,6.87,6.78,6.81,0.04,0.59,"112,696","7,693",1.33,0.36
2017-09-28,滨江集团,1002244,6.87,6.88,6.77,6.77,-0.11,-1.60,"113,848","7,758",1.60,0.37
2017-09-27,滨江集团,1002244,6.83,6.90,6.81,6.88,0.04,0.58,"131,181","8,988",1.32,0.42
2017-09-26,滨江集团,1002244,6.84,6.88,6.80,6.84,0.00,0.00,"110,551","7,560",1.17,0.36
2017-09-25,滨江集团,1002244,7.00,7.00,6.82,6.84,-0.25,-3.53,"313,264","21,511",2.54,1.01
2017-09-22,滨江集团,1002244,7.10,7.16,7.06,7.09,-0.01,-0.14,"150,901","10,706",1.41,0.49
2017-09-21,滨江集团,1002244,7.30,7.31,7.10,7.10,-0.23,-3.14,"273,646","19,671",2.86,0.88
2017-09-20,滨江集团,1002244,7.32,7.40,7.26,7.33,0.01,0.14,"306,749","22,485",1.91,0.99
2017-09-19,滨江集团,1002244,7.31,7.55,7.23,7.32,0.04,0.55,"534,813","39,539",4.40,1.72
2017-09-18,滨江集团,1002244,7.34,7.40,7.24,7.28,-0.05,-0.68,"283,707","20,718",2.18,0.91
2017-09-15,滨江集团,1002244,7.10,7.51,7.08,7.33,0.21,2.95,"741,882","54,415",6.04,2.38
2017-09-14,滨江集团,1002244,7.00,7.22,6.96,7.12,0.13,1.86,"342,986","24,316",3.72,1.10
2017-09-13,滨江集团,1002244,6.96,7.01,6.92,6.99,0.02,0.29,"103,918","7,235",1.29,0.33
2017-09-12,滨江集团,1002244,6.99,7.02,6.95,6.97,-0.02,-0.29,"138,462","9,667",1.00,0.45
2017-09-11,滨江集团,1002244,7.00,7.03,6.96,6.99,0.00,0.00,"126,126","8,815",1.00,0.41
2017-09-08,滨江集团,1002244,7.13,7.14,6.97,6.99,-0.17,-2.37,"261,110","18,376",2.37,0.84
2017-09-07,滨江集团,1002244,7.00,7.22,6.99,7.16,0.16,2.29,"487,210","34,771",3.29,1.57
2017-09-06,滨江集团,1002244,6.95,7.04,6.90,7.00,0.05,0.72,"185,721","12,945",2.01,0.60
