日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,珠江股份,0600684,7.96,8.04,7.88,7.98,0.04,0.50,"68,520","5,452",2.02,0.96
2017-03-30,珠江股份,0600684,8.02,8.07,7.81,7.94,-0.10,-1.24,"94,272","7,469",3.23,1.33
2017-03-29,珠江股份,0600684,8.18,8.20,8.03,8.04,-0.14,-1.71,"93,379","7,568",2.08,1.31
2017-03-28,珠江股份,0600684,8.26,8.26,8.13,8.18,-0.04,-0.49,"75,673","6,185",1.58,1.06
2017-03-27,珠江股份,0600684,8.26,8.32,8.21,8.22,-0.04,-0.48,"68,747","5,680",1.33,0.97
2017-03-24,珠江股份,0600684,8.35,8.35,8.20,8.26,-0.06,-0.72,"88,538","7,321",1.80,1.24
2017-03-23,珠江股份,0600684,8.33,8.41,8.26,8.32,0.00,0.00,"75,524","6,295",1.80,1.06
2017-03-22,珠江股份,0600684,8.36,8.39,8.26,8.32,-0.12,-1.42,"85,650","7,127",1.54,1.20
2017-03-21,珠江股份,0600684,8.43,8.45,8.35,8.44,0.01,0.12,"90,304","7,578",1.19,1.27
2017-03-20,珠江股份,0600684,8.28,8.45,8.23,8.43,0.17,2.06,"188,174","15,771",2.66,2.65
2017-03-17,珠江股份,0600684,8.37,8.40,8.20,8.26,-0.11,-1.31,"95,103","7,902",2.39,1.34
2017-03-16,珠江股份,0600684,8.28,8.38,8.25,8.37,0.11,1.33,"126,527","10,531",1.57,1.78
2017-03-15,珠江股份,0600684,8.35,8.36,8.24,8.26,-0.08,-0.96,"52,847","4,372",1.44,0.74
2017-03-14,珠江股份,0600684,8.30,8.44,8.27,8.34,0.04,0.48,"94,227","7,874",2.05,1.32
2017-03-13,珠江股份,0600684,8.24,8.32,8.13,8.30,0.04,0.48,"59,788","4,934",2.30,0.84
2017-03-10,珠江股份,0600684,8.26,8.37,8.24,8.26,-0.06,-0.72,"50,812","4,224",1.56,0.71
2017-03-09,珠江股份,0600684,8.26,8.32,8.19,8.32,0.01,0.12,"68,988","5,685",1.56,0.97
2017-03-08,珠江股份,0600684,8.36,8.37,8.25,8.31,-0.06,-0.72,"60,878","5,056",1.43,0.86
2017-03-07,珠江股份,0600684,8.24,8.37,8.21,8.37,0.12,1.45,"94,974","7,895",1.94,1.34
2017-03-06,珠江股份,0600684,8.22,8.27,8.18,8.25,0.07,0.86,"66,151","5,440",1.10,0.93
2017-03-03,珠江股份,0600684,8.19,8.25,8.15,8.18,-0.01,-0.12,"56,213","4,605",1.22,0.79
2017-03-02,珠江股份,0600684,8.40,8.40,8.18,8.19,-0.18,-2.15,"104,324","8,645",2.63,1.47
2017-03-01,珠江股份,0600684,8.36,8.41,8.33,8.37,0.00,0.00,"58,336","4,882",0.96,0.82
2017-02-28,珠江股份,0600684,8.36,8.39,8.30,8.37,-0.01,-0.12,"58,321","4,865",1.07,0.82
2017-02-27,珠江股份,0600684,8.41,8.43,8.34,8.38,-0.03,-0.36,"85,616","7,184",1.07,1.20
2017-02-24,珠江股份,0600684,8.40,8.47,8.33,8.41,0.00,0.00,"71,020","5,967",1.66,1.00
2017-02-23,珠江股份,0600684,8.49,8.51,8.34,8.41,-0.09,-1.06,"107,482","9,029",2.00,1.51
2017-02-22,珠江股份,0600684,8.39,8.51,8.36,8.50,0.11,1.31,"163,353","13,825",1.79,2.30
2017-02-21,珠江股份,0600684,8.40,8.42,8.30,8.39,0.03,0.36,"122,425","10,240",1.44,1.72
2017-02-20,珠江股份,0600684,8.26,8.45,8.25,8.36,0.14,1.70,"163,489","13,696",2.43,2.30
2017-02-17,珠江股份,0600684,8.31,8.38,8.19,8.22,-0.11,-1.32,"117,082","9,687",2.28,1.65
2017-02-16,珠江股份,0600684,8.20,8.44,8.16,8.33,0.13,1.59,"195,645","16,349",3.41,2.75
2017-02-15,珠江股份,0600684,8.26,8.32,8.15,8.20,-0.09,-1.09,"123,247","10,127",2.05,1.73
2017-02-14,珠江股份,0600684,8.14,8.32,8.11,8.29,0.14,1.72,"194,352","16,036",2.58,2.73
2017-02-13,珠江股份,0600684,8.21,8.27,8.08,8.15,-0.07,-0.85,"158,487","12,913",2.31,2.23
2017-02-10,珠江股份,0600684,8.18,8.33,8.12,8.22,0.02,0.24,"148,512","12,253",2.56,2.09
2017-02-09,珠江股份,0600684,8.05,8.23,8.03,8.20,0.14,1.74,"152,123","12,409",2.48,2.14
2017-02-08,珠江股份,0600684,8.01,8.06,7.96,8.06,0.05,0.62,"54,658","4,381",1.25,0.77
2017-02-07,珠江股份,0600684,8.00,8.09,7.94,8.01,-0.01,-0.12,"47,795","3,825",1.87,0.67
2017-02-06,珠江股份,0600684,7.97,8.02,7.88,8.02,0.04,0.50,"68,140","5,433",1.75,0.96
2017-02-03,珠江股份,0600684,8.05,8.10,7.92,7.98,-0.07,-0.87,"42,177","3,371",2.24,0.59
2017-01-26,珠江股份,0600684,8.09,8.11,8.01,8.05,-0.03,-0.37,"35,523","2,867",1.24,0.50
2017-01-25,珠江股份,0600684,8.02,8.12,8.00,8.08,-0.01,-0.12,"62,193","5,007",1.48,0.87
2017-01-24,珠江股份,0600684,7.82,8.27,7.82,8.09,0.21,2.67,"156,638","12,696",5.71,2.20
2017-01-23,珠江股份,0600684,7.85,7.90,7.80,7.88,0.07,0.90,"60,642","4,748",1.28,0.85
