日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,黑牡丹,0600510,7.66,7.68,7.60,7.66,-0.02,-0.26,"23,507","1,800",1.04,0.30
2017-06-29,黑牡丹,0600510,7.61,7.68,7.60,7.68,0.05,0.66,"25,417","1,945",1.05,0.32
2017-06-28,黑牡丹,0600510,7.73,7.75,7.57,7.63,-0.14,-1.80,"51,604","3,952",2.32,0.65
2017-06-27,黑牡丹,0600510,7.72,7.79,7.72,7.77,0.03,0.39,"19,537","1,515",0.90,0.25
2017-06-26,黑牡丹,0600510,7.63,7.78,7.63,7.74,0.09,1.18,"24,206","1,867",1.96,0.30
2017-06-23,黑牡丹,0600510,7.68,7.74,7.50,7.65,-0.06,-0.78,"26,800","2,046",3.11,0.34
2017-06-22,黑牡丹,0600510,7.82,7.89,7.71,7.71,-0.09,-1.15,"27,983","2,185",2.31,0.35
2017-06-21,黑牡丹,0600510,7.82,7.83,7.71,7.80,0.03,0.39,"26,362","2,050",1.54,0.33
2017-06-20,黑牡丹,0600510,7.86,7.86,7.76,7.77,-0.04,-0.51,"26,970","2,105",1.28,0.34
2017-06-19,黑牡丹,0600510,7.73,7.89,7.68,7.81,0.09,1.17,"37,310","2,910",2.72,0.47
2017-06-16,黑牡丹,0600510,7.74,7.76,7.64,7.72,-0.02,-0.26,"24,127","1,857",1.55,0.30
2017-06-15,黑牡丹,0600510,7.65,7.74,7.60,7.74,0.11,1.44,"33,647","2,587",1.83,0.42
2017-06-14,黑牡丹,0600510,7.63,7.66,7.57,7.63,0.01,0.13,"20,484","1,559",1.18,0.26
2017-06-13,黑牡丹,0600510,7.52,7.65,7.51,7.62,0.09,1.20,"23,639","1,798",1.86,0.30
2017-06-12,黑牡丹,0600510,7.63,7.63,7.52,7.53,-0.12,-1.57,"22,841","1,730",1.44,0.29
2017-06-09,黑牡丹,0600510,7.60,7.66,7.55,7.65,0.01,0.13,"26,758","2,037",1.44,0.34
2017-06-08,黑牡丹,0600510,7.68,7.73,7.62,7.64,-0.03,-0.39,"29,396","2,253",1.43,0.37
2017-06-07,黑牡丹,0600510,7.50,7.68,7.45,7.67,0.16,2.13,"43,512","3,308",3.06,0.55
2017-06-06,黑牡丹,0600510,7.37,7.52,7.35,7.51,0.12,1.62,"45,139","3,356",2.30,0.57
2017-06-05,黑牡丹,0600510,7.40,7.47,7.35,7.39,-0.03,-0.40,"46,907","3,467",1.62,0.59
2017-06-02,黑牡丹,0600510,7.36,7.46,7.13,7.42,0.04,0.54,"87,600","6,347",4.47,1.10
