日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,ST大集,1000564,6.42,6.49,6.39,6.40,-0.05,-0.78,"46,837","3,007",1.55,0.74
2017-09-28,ST大集,1000564,6.57,6.59,6.43,6.45,-0.12,-1.83,"49,282","3,199",2.44,0.77
2017-09-27,ST大集,1000564,6.52,6.64,6.51,6.57,0.01,0.15,"36,755","2,412",1.98,0.58
2017-09-26,ST大集,1000564,6.72,6.74,6.51,6.56,-0.19,-2.81,"77,887","5,137",3.41,1.22
2017-09-25,ST大集,1000564,6.74,6.97,6.67,6.75,0.04,0.60,"139,259","9,534",4.47,2.19
2017-09-22,ST大集,1000564,6.64,6.73,6.58,6.71,0.08,1.21,"78,615","5,253",2.26,1.23
2017-09-21,ST大集,1000564,6.59,6.71,6.56,6.63,0.04,0.61,"71,943","4,791",2.28,1.13
2017-09-20,ST大集,1000564,6.56,6.61,6.51,6.59,0.05,0.76,"36,181","2,378",1.53,0.57
2017-09-19,ST大集,1000564,6.58,6.58,6.52,6.54,-0.05,-0.76,"29,514","1,933",0.91,0.46
2017-09-18,ST大集,1000564,6.51,6.60,6.50,6.59,0.06,0.92,"36,842","2,412",1.53,0.58
2017-09-15,ST大集,1000564,6.61,6.62,6.51,6.53,-0.08,-1.21,"47,686","3,116",1.66,0.75
2017-09-14,ST大集,1000564,6.64,6.66,6.58,6.61,-0.02,-0.30,"46,548","3,074",1.21,0.73
2017-09-13,ST大集,1000564,6.68,6.69,6.58,6.63,-0.04,-0.60,"64,542","4,268",1.65,1.01
2017-09-12,ST大集,1000564,6.49,6.75,6.49,6.67,0.20,3.09,"181,432","12,051",4.02,2.85
2017-09-11,ST大集,1000564,6.46,6.47,6.41,6.47,0.04,0.62,"38,883","2,507",0.93,0.61
2017-09-08,ST大集,1000564,6.47,6.49,6.41,6.43,-0.04,-0.62,"47,467","3,059",1.24,0.75
2017-09-07,ST大集,1000564,6.45,6.49,6.45,6.47,0.01,0.15,"38,079","2,464",0.62,0.60
2017-09-06,ST大集,1000564,6.46,6.48,6.42,6.46,-0.03,-0.46,"35,695","2,302",0.92,0.56
2017-09-05,ST大集,1000564,6.46,6.50,6.44,6.49,0.02,0.31,"39,467","2,553",0.93,0.62
2017-09-04,ST大集,1000564,6.47,6.50,6.44,6.47,-0.03,-0.46,"43,573","2,816",0.92,0.68
2017-09-01,ST大集,1000564,6.48,6.52,6.45,6.50,0.03,0.46,"37,596","2,438",1.08,0.59
2017-08-31,ST大集,1000564,6.53,6.54,6.46,6.47,-0.04,-0.61,"41,331","2,683",1.23,0.65
2017-08-30,ST大集,1000564,6.49,6.51,6.46,6.51,0.02,0.31,"29,094","1,889",0.77,0.46
2017-08-29,ST大集,1000564,6.50,6.52,6.47,6.49,0.00,0.00,"42,066","2,730",0.77,0.66
2017-08-28,ST大集,1000564,6.44,6.50,6.43,6.49,0.06,0.93,"37,496","2,428",1.09,0.59
2017-08-25,ST大集,1000564,6.39,6.45,6.37,6.43,0.06,0.94,"25,024","1,608",1.26,0.39
2017-08-24,ST大集,1000564,6.44,6.44,6.36,6.37,-0.08,-1.24,"26,358","1,686",1.24,0.41
2017-08-23,ST大集,1000564,6.43,6.46,6.38,6.45,0.03,0.47,"26,805","1,718",1.25,0.42
2017-08-22,ST大集,1000564,6.48,6.48,6.41,6.42,-0.06,-0.93,"33,698","2,172",1.08,0.53
2017-08-21,ST大集,1000564,6.46,6.53,6.45,6.48,0.02,0.31,"40,566","2,633",1.24,0.67
2017-08-18,ST大集,1000564,6.46,6.50,6.40,6.46,-0.03,-0.46,"31,004","2,003",1.54,0.51
2017-08-17,ST大集,1000564,6.45,6.50,6.44,6.49,0.02,0.31,"38,147","2,469",0.93,0.63
2017-08-16,ST大集,1000564,6.44,6.49,6.37,6.47,0.03,0.47,"37,972","2,441",1.86,0.63
2017-08-15,ST大集,1000564,6.41,6.46,6.39,6.44,0.03,0.47,"29,173","1,874",1.09,0.48
2017-08-14,ST大集,1000564,6.32,6.45,6.32,6.41,0.08,1.26,"30,663","1,963",2.05,0.51
2017-08-11,ST大集,1000564,6.39,6.40,6.31,6.33,-0.09,-1.40,"43,991","2,794",1.40,0.73
2017-08-10,ST大集,1000564,6.55,6.55,6.41,6.42,-0.13,-1.98,"49,624","3,202",2.14,0.82
2017-08-09,ST大集,1000564,6.50,6.56,6.46,6.55,0.07,1.08,"43,109","2,813",1.54,0.72
2017-08-08,ST大集,1000564,6.47,6.50,6.43,6.48,0.01,0.15,"36,471","2,359",1.08,0.61
2017-08-07,ST大集,1000564,6.55,6.55,6.44,6.47,-0.07,-1.07,"61,603","3,987",1.68,1.02
2017-08-04,ST大集,1000564,6.50,6.62,6.50,6.54,-0.05,-0.76,"45,341","2,972",1.82,0.75
2017-08-03,ST大集,1000564,6.53,6.64,6.43,6.59,0.04,0.61,"77,555","5,048",3.21,1.29
2017-08-02,ST大集,1000564,6.82,6.87,6.53,6.55,-0.28,-4.10,"99,904","6,682",4.98,1.66
2017-08-01,ST大集,1000564,6.83,6.90,6.79,6.83,0.02,0.29,"71,665","4,912",1.62,1.19
2017-07-31,ST大集,1000564,6.81,6.84,6.75,6.81,-0.01,-0.15,"57,577","3,917",1.32,0.96
2017-07-28,ST大集,1000564,6.88,6.91,6.81,6.82,-0.09,-1.30,"41,371","2,830",1.45,0.69
2017-07-27,ST大集,1000564,6.88,6.92,6.79,6.91,0.01,0.14,"62,418","4,279",1.88,1.04
2017-07-26,ST大集,1000564,6.81,6.91,6.74,6.90,0.08,1.17,"67,688","4,629",2.49,1.12
2017-07-25,ST大集,1000564,6.94,6.97,6.78,6.82,-0.16,-2.29,"75,257","5,166",2.72,1.25
2017-07-24,ST大集,1000564,6.92,7.03,6.84,6.98,0.07,1.01,"81,560","5,650",2.75,1.35
2017-07-21,ST大集,1000564,7.06,7.10,6.87,6.91,-0.19,-2.68,"90,630","6,372",3.24,1.50
2017-07-20,ST大集,1000564,7.05,7.13,7.00,7.10,-0.04,-0.56,"120,841","8,528",1.82,2.00
2017-07-19,ST大集,1000564,7.02,7.19,6.92,7.14,0.03,0.42,"174,490","12,332",3.80,2.90
2017-07-18,ST大集,1000564,6.71,7.26,6.61,7.11,0.38,5.65,"234,283","16,429",9.66,3.89
2017-07-17,ST大集,1000564,6.63,6.84,6.35,6.73,0.08,1.20,"171,542","11,494",7.37,2.85
2017-07-14,ST大集,1000564,6.51,6.74,6.47,6.67,0.14,2.14,"83,818","5,550",4.13,1.39
2017-07-13,ST大集,1000564,6.44,6.53,6.41,6.53,0.07,1.08,"35,479","2,292",1.86,0.59
2017-07-12,ST大集,1000564,6.53,6.56,6.36,6.46,-0.10,-1.52,"48,736","3,144",3.05,0.81
2017-07-11,ST大集,1000564,6.50,6.79,6.50,6.56,0.04,0.61,"75,608","5,026",4.45,1.25
2017-07-10,ST大集,1000564,6.57,6.57,6.51,6.52,0.00,0.00,"32,210","2,106",0.92,0.53
2017-07-07,ST大集,1000564,6.47,6.52,6.45,6.52,0.02,0.31,"27,114","1,759",1.08,0.45
2017-07-06,ST大集,1000564,6.53,6.54,6.43,6.50,-0.03,-0.46,"33,005","2,144",1.68,0.55
2017-07-05,ST大集,1000564,6.48,6.54,6.44,6.53,0.06,0.93,"34,374","2,236",1.55,0.57
2017-07-04,ST大集,1000564,6.51,6.51,6.45,6.47,-0.05,-0.77,"29,454","1,906",0.92,0.49
2017-07-03,ST大集,1000564,6.46,6.55,6.45,6.52,0.01,0.15,"39,365","2,560",1.54,0.65
2017-06-30,ST大集,1000564,6.41,6.60,6.41,6.51,0.12,1.88,"63,216","4,119",2.97,1.05
2017-06-29,ST大集,1000564,6.37,6.42,6.36,6.39,0.00,0.00,"23,823","1,523",0.94,0.40
2017-06-28,ST大集,1000564,6.48,6.48,6.36,6.39,-0.09,-1.39,"29,269","1,871",1.85,0.49
2017-06-27,ST大集,1000564,6.48,6.52,6.44,6.48,0.00,0.00,"24,713","1,600",1.23,0.41
2017-06-26,ST大集,1000564,6.41,6.48,6.39,6.48,0.08,1.25,"26,533","1,711",1.41,0.44
2017-06-23,ST大集,1000564,6.42,6.50,6.35,6.40,-0.05,-0.78,"38,655","2,477",2.33,0.64
2017-06-22,ST大集,1000564,6.67,6.69,6.45,6.45,-0.23,-3.44,"49,834","3,281",3.59,0.83
2017-06-21,ST大集,1000564,6.71,6.74,6.65,6.68,-0.02,-0.30,"31,075","2,079",1.34,0.52
2017-06-20,ST大集,1000564,6.66,6.73,6.64,6.70,0.03,0.45,"39,605","2,655",1.35,0.66
2017-06-19,ST大集,1000564,6.67,6.74,6.63,6.67,-0.01,-0.15,"35,290","2,356",1.65,0.68
2017-06-16,ST大集,1000564,6.64,6.71,6.63,6.68,0.01,0.15,"38,204","2,548",1.20,0.73
2017-06-15,ST大集,1000564,6.62,6.73,6.54,6.67,0.04,0.60,"60,842","4,042",2.87,1.17
2017-06-14,ST大集,1000564,6.64,6.87,6.57,6.63,0.01,0.15,"63,376","4,232",4.53,1.22
