日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,*ST成城,0600247,14.80,15.46,14.75,15.46,0.74,5.03,"54,241","8,308",4.82,1.61
2017-03-30,*ST成城,0600247,14.91,15.04,14.64,14.72,-0.27,-1.80,"38,414","5,690",2.67,1.14
2017-03-29,*ST成城,0600247,15.26,15.30,14.60,14.99,-0.26,-1.70,"52,094","7,801",4.59,1.55
2017-03-28,*ST成城,0600247,15.63,15.63,15.20,15.25,-0.25,-1.61,"25,149","3,875",2.77,0.75
2017-03-27,*ST成城,0600247,15.53,15.77,15.25,15.50,0.01,0.06,"65,356","10,147",3.36,1.94
2017-03-24,*ST成城,0600247,14.95,15.60,14.81,15.49,0.58,3.89,"82,007","12,450",5.30,2.44
2017-03-23,*ST成城,0600247,15.52,15.52,14.33,14.91,0.13,0.88,"183,251","27,591",8.05,5.45
2017-03-22,*ST成城,0600247,14.78,14.78,14.78,14.78,0.70,4.97,"6,627",979,0.00,0.20
2017-03-21,*ST成城,0600247,14.08,14.08,14.08,14.08,0.67,5.00,"1,993",281,0.00,0.06
2017-03-20,*ST成城,0600247,13.41,13.41,13.41,13.41,0.64,5.01,"4,124",553,0.00,0.12
2017-03-17,*ST成城,0600247,12.91,12.99,12.72,12.77,-0.14,-1.08,"20,050","2,582",2.09,0.60
2017-03-16,*ST成城,0600247,13.00,13.04,12.89,12.91,0.00,0.00,"21,906","2,837",1.16,0.65
2017-03-15,*ST成城,0600247,12.42,13.17,12.42,12.91,0.33,2.62,"37,287","4,787",5.96,1.11
2017-03-14,*ST成城,0600247,12.36,12.63,12.33,12.58,0.24,1.94,"21,887","2,725",2.43,0.65
2017-03-13,*ST成城,0600247,12.37,12.45,12.27,12.34,-0.12,-0.96,"14,444","1,784",1.44,0.43
2017-03-10,*ST成城,0600247,12.37,12.55,12.26,12.46,0.08,0.65,"12,430","1,542",2.34,0.37
2017-03-09,*ST成城,0600247,12.62,12.70,12.33,12.38,-0.22,-1.75,"19,704","2,453",2.94,0.59
2017-03-08,*ST成城,0600247,12.81,12.87,12.59,12.60,-0.29,-2.25,"17,806","2,264",2.17,0.53
2017-03-07,*ST成城,0600247,12.73,12.95,12.63,12.89,0.12,0.94,"17,638","2,258",2.51,0.52
2017-03-06,*ST成城,0600247,12.73,12.84,12.60,12.77,0.18,1.43,"21,924","2,792",1.91,0.65
2017-03-03,*ST成城,0600247,12.51,12.79,12.36,12.59,0.08,0.64,"21,256","2,670",3.44,0.63
2017-03-02,*ST成城,0600247,12.65,12.69,12.38,12.51,-0.05,-0.40,"17,497","2,184",2.47,0.52
2017-03-01,*ST成城,0600247,12.36,12.65,12.34,12.56,0.20,1.62,"27,834","3,495",2.51,0.83
2017-02-28,*ST成城,0600247,12.34,12.44,12.27,12.36,0.02,0.16,"13,275","1,639",1.38,0.39
2017-02-27,*ST成城,0600247,12.29,12.43,12.25,12.34,0.05,0.41,"19,748","2,432",1.46,0.59
2017-02-24,*ST成城,0600247,12.26,12.32,12.13,12.29,0.05,0.41,"13,181","1,616",1.55,0.39
2017-02-23,*ST成城,0600247,12.48,12.48,12.18,12.24,-0.10,-0.81,"17,574","2,154",2.43,0.52
2017-02-22,*ST成城,0600247,12.30,12.45,12.25,12.34,0.06,0.49,"15,903","1,965",1.63,0.47
2017-02-21,*ST成城,0600247,12.39,12.40,12.04,12.28,-0.11,-0.89,"21,359","2,612",2.91,0.63
2017-02-20,*ST成城,0600247,12.30,12.60,12.23,12.39,-0.13,-1.04,"26,951","3,340",2.96,0.80
2017-02-17,*ST成城,0600247,12.67,12.74,12.44,12.52,-0.06,-0.48,"35,546","4,472",2.38,1.06
2017-02-16,*ST成城,0600247,11.95,12.58,11.93,12.58,0.60,5.01,"50,942","6,308",5.43,1.51
2017-02-15,*ST成城,0600247,12.56,12.69,11.93,11.98,-0.58,-4.62,"78,258","9,457",6.05,2.33
2017-02-14,*ST成城,0600247,12.59,12.68,12.49,12.56,-0.02,-0.16,"16,687","2,098",1.51,0.50
