日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-12-31,亚康股份,1301085,33.60,34.29,33.21,33.34,-0.35,-1.04,"13,621","4,588",3.21,6.81
2021-12-30,亚康股份,1301085,33.45,34.42,33.41,33.69,0.18,0.54,"13,977","4,723",3.01,6.99
2021-12-29,亚康股份,1301085,33.19,33.72,32.71,33.51,0.16,0.48,"11,779","3,917",3.03,5.89
2021-12-28,亚康股份,1301085,32.96,33.69,32.96,33.35,0.15,0.45,"13,132","4,383",2.20,6.57
2021-12-27,亚康股份,1301085,33.17,33.58,32.68,33.20,-0.41,-1.22,"13,856","4,589",2.68,6.93
2021-12-24,亚康股份,1301085,36.20,36.50,33.50,33.61,-2.04,-5.72,"25,234","8,753",8.42,12.62
2021-12-23,亚康股份,1301085,36.55,37.10,35.62,35.65,-1.51,-4.06,"33,131","12,028",3.98,16.57
2021-12-22,亚康股份,1301085,35.97,37.97,35.88,37.16,0.80,2.20,"40,661","14,990",5.75,20.33
2021-12-21,亚康股份,1301085,35.00,37.00,34.68,36.36,1.59,4.57,"37,647","13,594",6.67,18.82
2021-12-20,亚康股份,1301085,35.56,36.21,34.51,34.77,-2.38,-6.41,"43,059","15,175",4.58,21.53
2021-12-17,亚康股份,1301085,36.93,41.02,36.23,37.15,0.99,2.74,"70,436","26,689",13.25,35.22
2021-12-16,亚康股份,1301085,34.10,36.18,34.01,36.16,1.98,5.79,"36,368","12,830",6.35,18.18
2021-12-15,亚康股份,1301085,34.18,34.88,33.88,34.18,-0.24,-0.70,"21,635","7,446",2.91,10.82
2021-12-14,亚康股份,1301085,33.10,34.42,32.86,34.42,1.24,3.74,"24,234","8,202",4.70,12.12
2021-12-13,亚康股份,1301085,32.66,33.37,32.50,33.18,0.54,1.65,"16,881","5,566",2.67,8.44
2021-12-10,亚康股份,1301085,32.20,32.93,32.12,32.64,0.09,0.28,"12,006","3,911",2.49,6.00
2021-12-09,亚康股份,1301085,32.60,33.25,32.49,32.55,0.15,0.46,"14,549","4,768",2.35,7.27
2021-12-08,亚康股份,1301085,32.20,32.68,31.83,32.40,0.32,1.00,"14,317","4,631",2.65,7.16
2021-12-07,亚康股份,1301085,32.50,32.78,31.74,32.08,-0.28,-0.87,"13,972","4,488",3.21,6.99
2021-12-06,亚康股份,1301085,33.80,33.90,32.11,32.36,-1.36,-4.03,"19,737","6,442",5.31,9.87
2021-12-03,亚康股份,1301085,35.04,35.38,33.68,33.72,-1.41,-4.01,"24,965","8,563",4.84,12.48
2021-12-02,亚康股份,1301085,36.57,37.49,35.13,35.13,-2.19,-5.87,"34,765","12,511",6.32,17.38
2021-12-01,亚康股份,1301085,36.88,38.70,36.60,37.32,-0.10,-0.27,"56,414","21,172",5.61,28.21
2021-11-30,亚康股份,1301085,35.53,38.75,35.08,37.42,2.82,8.15,"71,081","26,210",10.61,35.54
2021-11-29,亚康股份,1301085,34.31,34.78,34.02,34.60,0.30,0.87,"16,540","5,693",2.22,8.27
2021-11-26,亚康股份,1301085,34.61,35.33,34.20,34.30,-0.60,-1.72,"21,737","7,523",3.24,10.87
2021-11-25,亚康股份,1301085,36.62,36.69,34.85,34.90,-1.54,-4.23,"33,200","11,756",5.05,16.60
2021-11-24,亚康股份,1301085,35.60,36.51,35.18,36.44,1.04,2.94,"30,335","10,915",3.76,15.17
2021-11-23,亚康股份,1301085,36.02,36.35,35.10,35.40,-0.45,-1.26,"25,558","9,055",3.49,12.78
2021-11-22,亚康股份,1301085,35.70,36.28,35.11,35.85,0.45,1.27,"25,518","9,120",3.31,12.76
2021-11-19,亚康股份,1301085,35.87,36.58,35.08,35.40,-0.46,-1.28,"31,468","11,230",4.18,15.73
2021-11-18,亚康股份,1301085,36.16,38.09,35.84,35.86,-0.82,-2.24,"41,044","15,031",6.13,20.52
2021-11-17,亚康股份,1301085,35.02,37.49,35.02,36.68,0.98,2.75,"43,820","16,024",6.92,21.91
2021-11-16,亚康股份,1301085,38.33,38.89,35.66,35.70,-2.60,-6.79,"63,117","23,251",8.43,31.56
2021-11-15,亚康股份,1301085,37.82,43.01,36.90,38.30,2.30,6.39,"91,824","36,137",16.97,45.91
2021-11-12,亚康股份,1301085,32.38,36.83,32.38,36.00,3.45,10.60,"81,463","28,480",13.67,40.73
2021-11-11,亚康股份,1301085,32.00,33.54,31.68,32.55,-0.11,-0.34,"45,943","15,094",5.70,22.97
2021-11-10,亚康股份,1301085,32.00,32.76,31.31,32.66,0.51,1.59,"42,918","13,727",4.51,21.46
2021-11-09,亚康股份,1301085,30.92,32.76,30.66,32.15,1.11,3.58,"45,745","14,602",6.77,22.87
2021-11-08,亚康股份,1301085,31.61,31.76,30.17,31.04,0.20,0.65,"34,633","10,694",5.16,17.32
2021-11-05,亚康股份,1301085,29.96,31.30,29.95,30.84,0.92,3.07,"41,735","12,839",4.51,20.87
2021-11-04,亚康股份,1301085,29.69,30.25,29.55,29.92,0.22,0.74,"23,979","7,150",2.36,11.99
2021-11-03,亚康股份,1301085,28.89,29.98,28.89,29.70,0.90,3.13,"23,416","6,919",3.78,11.71
2021-11-02,亚康股份,1301085,29.72,30.20,28.74,28.80,-1.06,-3.55,"28,852","8,513",4.89,14.43
2021-11-01,亚康股份,1301085,29.28,29.90,28.64,29.86,0.66,2.26,"30,043","8,814",4.32,15.02
2021-10-29,亚康股份,1301085,29.07,29.95,29.07,29.20,0.00,0.00,"23,794","7,002",3.01,11.90
2021-10-28,亚康股份,1301085,30.51,31.02,29.12,29.20,-1.83,-5.90,"34,694","10,421",6.12,17.35
2021-10-27,亚康股份,1301085,30.63,31.45,29.45,31.03,-0.08,-0.26,"49,486","15,084",6.43,24.74
2021-10-26,亚康股份,1301085,30.32,31.71,30.31,31.11,0.45,1.47,"40,342","12,496",4.57,20.17
2021-10-25,亚康股份,1301085,31.77,31.78,30.44,30.66,-2.16,-6.58,"53,849","16,609",4.08,26.92
2021-10-22,亚康股份,1301085,31.99,34.13,31.80,32.82,0.96,3.01,"66,378","22,003",7.31,33.19
2021-10-21,亚康股份,1301085,31.89,33.00,31.52,31.86,-1.55,-4.64,"52,047","16,661",4.43,26.02
2021-10-20,亚康股份,1301085,36.00,36.80,33.33,33.41,-2.24,-6.28,"69,188","24,061",9.73,34.59
2021-10-19,亚康股份,1301085,33.11,36.10,32.71,35.65,0.20,0.56,"77,342","26,427",9.56,38.67
2021-10-18,亚康股份,1301085,42.77,42.77,35.44,35.45,14.01,65.35,"99,875","37,589",34.19,49.94
