日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,北京城乡,0600861,14.38,14.48,14.19,14.34,-0.01,-0.07,"38,669","5,534",2.02,1.22
2017-03-30,北京城乡,0600861,14.90,14.90,14.29,14.35,-0.56,-3.76,"46,048","6,700",4.09,1.45
2017-03-29,北京城乡,0600861,15.17,15.20,14.90,14.91,-0.22,-1.45,"24,467","3,675",1.98,0.77
2017-03-28,北京城乡,0600861,15.08,15.22,15.02,15.13,0.04,0.27,"20,595","3,112",1.33,0.65
2017-03-27,北京城乡,0600861,15.02,15.17,15.02,15.09,-0.03,-0.20,"22,496","3,394",0.99,0.71
2017-03-24,北京城乡,0600861,15.13,15.18,15.00,15.12,-0.01,-0.07,"26,780","4,040",1.19,0.85
2017-03-23,北京城乡,0600861,15.16,15.24,15.00,15.13,-0.03,-0.20,"26,746","4,045",1.58,0.84
2017-03-22,北京城乡,0600861,15.39,15.39,15.09,15.16,-0.26,-1.69,"29,220","4,437",1.95,0.92
2017-03-21,北京城乡,0600861,15.33,15.49,15.27,15.42,0.10,0.65,"24,233","3,721",1.44,0.76
2017-03-20,北京城乡,0600861,15.26,15.35,15.16,15.32,0.02,0.13,"25,986","3,965",1.24,0.82
2017-03-17,北京城乡,0600861,15.47,15.49,15.25,15.30,-0.17,-1.10,"47,238","7,264",1.55,1.49
2017-03-16,北京城乡,0600861,15.40,15.55,15.40,15.47,0.02,0.13,"27,661","4,278",0.97,0.87
2017-03-15,北京城乡,0600861,15.42,15.47,15.23,15.45,0.02,0.13,"26,468","4,066",1.56,0.84
2017-03-14,北京城乡,0600861,15.62,15.65,15.37,15.43,-0.23,-1.47,"39,486","6,111",1.79,1.25
2017-03-13,北京城乡,0600861,15.67,15.73,15.50,15.66,0.03,0.19,"40,896","6,371",1.47,1.29
2017-03-10,北京城乡,0600861,15.62,15.74,15.58,15.63,0.01,0.06,"24,424","3,828",1.02,0.77
2017-03-09,北京城乡,0600861,15.56,15.67,15.43,15.62,0.07,0.45,"31,536","4,907",1.54,1.00
2017-03-08,北京城乡,0600861,15.63,15.67,15.52,15.55,-0.17,-1.08,"30,166","4,699",0.95,0.95
2017-03-07,北京城乡,0600861,15.80,15.90,15.57,15.72,-0.09,-0.57,"44,776","7,029",2.09,1.41
2017-03-06,北京城乡,0600861,15.56,15.85,15.51,15.81,0.27,1.74,"35,252","5,552",2.19,1.11
2017-03-03,北京城乡,0600861,15.59,15.65,15.47,15.54,-0.13,-0.83,"19,670","3,059",1.15,0.62
2017-03-02,北京城乡,0600861,15.80,15.87,15.56,15.67,-0.13,-0.82,"29,686","4,655",1.96,0.94
2017-03-01,北京城乡,0600861,15.71,15.94,15.61,15.80,0.05,0.32,"38,733","6,129",2.10,1.22
2017-02-28,北京城乡,0600861,15.73,15.81,15.58,15.75,0.00,0.00,"38,037","5,957",1.46,1.20
2017-02-27,北京城乡,0600861,15.81,15.94,15.68,15.75,-0.14,-0.88,"30,188","4,773",1.64,0.95
2017-02-24,北京城乡,0600861,15.92,16.05,15.73,15.89,-0.03,-0.19,"31,339","4,976",2.01,0.99
2017-02-23,北京城乡,0600861,15.97,16.20,15.83,15.92,-0.08,-0.50,"29,137","4,655",2.31,0.92
2017-02-22,北京城乡,0600861,15.88,16.10,15.82,16.00,0.10,0.63,"52,832","8,449",1.76,1.67
2017-02-21,北京城乡,0600861,15.79,16.08,15.73,15.90,0.04,0.25,"49,112","7,812",2.21,1.55
2017-02-20,北京城乡,0600861,15.37,15.95,15.30,15.86,0.50,3.26,"59,773","9,340",4.23,1.89
2017-02-17,北京城乡,0600861,15.57,15.60,15.32,15.36,-0.20,-1.29,"25,753","3,974",1.80,0.81
2017-02-16,北京城乡,0600861,15.43,15.59,15.33,15.56,0.09,0.58,"30,485","4,713",1.68,0.96
2017-02-15,北京城乡,0600861,15.62,15.65,15.31,15.47,-0.14,-0.90,"29,698","4,599",2.18,0.94
2017-02-14,北京城乡,0600861,15.58,15.67,15.48,15.61,0.02,0.13,"22,615","3,521",1.22,0.71
2017-02-13,北京城乡,0600861,15.49,15.70,15.41,15.59,0.13,0.84,"24,398","3,800",1.88,0.77
2017-02-10,北京城乡,0600861,15.44,15.65,15.38,15.46,-0.03,-0.19,"24,427","3,789",1.74,0.77
2017-02-09,北京城乡,0600861,15.30,15.65,15.30,15.49,0.13,0.85,"38,011","5,894",2.28,1.20
2017-02-08,北京城乡,0600861,15.17,15.38,15.10,15.36,0.18,1.19,"27,961","4,264",1.84,0.88
2017-02-07,北京城乡,0600861,15.25,15.28,15.08,15.18,-0.11,-0.72,"20,929","3,172",1.31,0.66
2017-02-06,北京城乡,0600861,15.15,15.31,14.93,15.29,0.14,0.92,"30,931","4,678",2.51,0.98
2017-02-03,北京城乡,0600861,15.33,15.36,15.09,15.15,-0.20,-1.30,"15,998","2,425",1.76,0.51
2017-01-26,北京城乡,0600861,15.34,15.36,15.25,15.35,0.05,0.33,"16,338","2,499",0.72,0.52
2017-01-25,北京城乡,0600861,15.25,15.31,15.14,15.30,0.09,0.59,"16,622","2,531",1.12,0.52
