日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,博信股份,0600083,20.22,20.45,19.78,20.02,-0.21,-1.04,"24,732","4,966",3.31,1.09
2017-09-28,博信股份,0600083,19.77,20.40,19.61,20.23,0.35,1.76,"46,190","9,273",3.97,2.03
2017-09-27,博信股份,0600083,18.92,19.98,18.31,19.88,1.04,5.52,"59,593","11,525",8.86,2.62
2017-09-26,博信股份,0600083,17.96,18.98,17.95,18.84,0.89,4.96,"37,785","7,012",5.74,1.66
2017-09-25,博信股份,0600083,17.93,18.07,17.75,17.95,0.16,0.90,"7,750","1,388",1.80,0.34
2017-09-22,博信股份,0600083,17.77,17.87,17.50,17.79,0.01,0.06,"9,066","1,598",2.08,0.40
2017-09-21,博信股份,0600083,18.02,18.23,17.65,17.78,-0.30,-1.66,"13,026","2,322",3.21,0.57
2017-09-20,博信股份,0600083,17.90,18.33,17.90,18.08,0.06,0.33,"11,819","2,142",2.39,0.52
2017-09-19,博信股份,0600083,17.75,18.50,17.60,18.02,-0.21,-1.15,"20,785","3,749",4.94,0.91
2017-09-18,博信股份,0600083,17.58,18.39,17.58,18.23,0.57,3.23,"22,564","4,084",4.59,0.99
2017-09-15,博信股份,0600083,17.98,17.98,17.52,17.66,0.17,0.97,"25,779","4,584",2.63,1.13
2017-09-14,博信股份,0600083,17.29,17.55,17.27,17.49,0.06,0.34,"12,513","2,186",1.61,0.55
2017-09-13,博信股份,0600083,17.41,17.48,17.03,17.43,0.12,0.69,"10,381","1,800",2.60,0.46
2017-09-12,博信股份,0600083,17.70,17.77,17.30,17.31,-0.43,-2.42,"14,924","2,611",2.65,0.66
2017-09-11,博信股份,0600083,17.79,18.05,17.62,17.74,-0.05,-0.28,"14,916","2,655",2.42,0.66
2017-09-08,博信股份,0600083,17.55,17.96,17.40,17.79,0.16,0.91,"24,521","4,351",3.18,1.08
2017-09-07,博信股份,0600083,17.28,17.79,17.18,17.63,0.24,1.38,"40,994","7,212",3.51,1.80
2017-09-06,博信股份,0600083,17.40,17.56,17.30,17.39,-0.20,-1.14,"16,099","2,801",1.48,0.71
2017-09-05,博信股份,0600083,17.16,17.98,17.16,17.59,0.45,2.63,"34,055","6,000",4.78,1.50
2017-09-04,博信股份,0600083,16.41,17.52,16.32,17.14,0.65,3.94,"24,386","4,161",7.28,1.07
2017-09-01,博信股份,0600083,16.23,16.61,16.05,16.49,0.38,2.36,"21,341","3,496",3.48,0.94
2017-08-31,博信股份,0600083,16.26,16.26,16.00,16.11,-0.10,-0.62,"8,011","1,289",1.60,0.35
2017-08-30,博信股份,0600083,16.20,16.44,16.10,16.21,0.01,0.06,"12,113","1,974",2.10,0.53
2017-08-29,博信股份,0600083,16.11,16.38,16.00,16.20,0.01,0.06,"12,796","2,074",2.35,0.56
2017-08-28,博信股份,0600083,15.94,16.29,15.94,16.19,0.14,0.87,"12,789","2,065",2.18,0.56
2017-08-25,博信股份,0600083,15.85,16.20,15.81,16.05,0.12,0.75,"18,726","3,008",2.45,0.82
2017-08-24,博信股份,0600083,16.30,16.33,15.90,15.93,-0.28,-1.73,"10,745","1,718",2.65,0.47
2017-08-23,博信股份,0600083,15.79,16.38,15.77,16.21,0.45,2.86,"30,326","4,909",3.87,1.33
2017-08-22,博信股份,0600083,15.95,15.95,15.61,15.76,-0.16,-1.01,"7,795","1,227",2.14,0.34
2017-08-21,博信股份,0600083,15.91,16.07,15.80,15.92,0.01,0.06,"5,003",796,1.70,0.22
2017-08-18,博信股份,0600083,15.95,16.01,15.85,15.91,-0.17,-1.06,"4,310",685,1.00,0.19
2017-08-17,博信股份,0600083,15.83,16.28,15.81,16.08,0.11,0.69,"10,332","1,666",2.94,0.45
2017-08-16,博信股份,0600083,15.99,16.09,15.80,15.97,-0.04,-0.25,"7,542","1,203",1.81,0.33
2017-08-15,博信股份,0600083,16.10,16.10,15.80,16.01,-0.04,-0.25,"7,140","1,136",1.87,0.31
2017-08-14,博信股份,0600083,15.99,16.07,15.34,16.05,0.71,4.63,"11,393","1,806",4.76,0.50
2017-08-11,博信股份,0600083,15.89,15.90,15.20,15.34,-0.62,-3.88,"11,379","1,775",4.39,0.50
2017-08-10,博信股份,0600083,16.00,16.18,15.90,15.96,-0.01,-0.06,"11,284","1,806",1.75,0.50
2017-08-09,博信股份,0600083,16.38,16.40,15.86,15.97,-0.36,-2.20,"16,044","2,584",3.31,0.71
2017-08-08,博信股份,0600083,15.70,16.62,15.70,16.33,0.35,2.19,"25,481","4,162",5.76,1.12
2017-08-07,博信股份,0600083,16.27,16.27,15.80,15.98,-0.21,-1.30,"15,962","2,549",2.90,0.70
2017-08-04,博信股份,0600083,16.55,16.55,16.03,16.19,-0.25,-1.52,"18,716","3,033",3.16,0.82
2017-08-03,博信股份,0600083,16.17,16.69,16.15,16.44,0.09,0.55,"19,351","3,172",3.30,0.85
2017-08-02,博信股份,0600083,16.80,17.50,16.30,16.35,-0.29,-1.74,"35,589","5,983",7.21,1.56
2017-08-01,博信股份,0600083,16.45,16.84,16.45,16.64,-0.25,-1.48,"24,527","4,054",2.31,1.08
2017-07-31,博信股份,0600083,16.84,17.13,16.58,16.89,-0.26,-1.52,"47,768","8,069",3.21,2.10
2017-07-28,博信股份,0600083,16.08,17.50,15.80,17.15,0.83,5.09,"64,493","10,658",10.42,2.84
2017-07-27,博信股份,0600083,15.91,16.49,15.91,16.32,0.50,3.16,"39,823","6,467",3.67,1.75
2017-07-26,博信股份,0600083,15.98,16.15,15.71,15.82,-0.40,-2.47,"48,497","7,676",2.71,2.13
2017-07-25,博信股份,0600083,16.25,16.89,16.07,16.22,-0.52,-3.11,"74,960","12,307",4.90,3.30
2017-07-24,博信股份,0600083,16.26,17.33,16.02,16.74,-0.42,-2.45,"122,423","20,126",7.63,5.38
2017-07-21,博信股份,0600083,18.98,18.98,17.11,17.16,-0.41,-2.33,"188,399","33,690",10.64,8.28
