日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2022-08-16,合富中国,0603122,12.25,12.30,12.07,12.18,-0.06,-0.49,"44,495","5,417",1.88,4.47
2022-08-15,合富中国,0603122,12.21,12.34,12.04,12.24,0.00,0.00,"51,634","6,282",2.45,5.19
2022-08-12,合富中国,0603122,12.25,12.27,12.09,12.24,0.04,0.33,"42,870","5,229",1.48,4.31
2022-08-11,合富中国,0603122,12.12,12.27,12.08,12.20,0.08,0.66,"51,359","6,260",1.57,5.16
2022-08-10,合富中国,0603122,12.41,12.41,12.03,12.12,-0.11,-0.90,"51,623","6,262",3.11,5.19
2022-08-09,合富中国,0603122,12.16,12.28,12.01,12.23,-0.10,-0.81,"52,838","6,414",2.19,5.31
2022-08-08,合富中国,0603122,12.44,12.56,12.22,12.33,0.19,1.57,"71,666","8,874",2.80,7.20
2022-08-05,合富中国,0603122,12.10,12.27,11.96,12.14,0.08,0.66,"51,661","6,242",2.57,5.19
2022-08-04,合富中国,0603122,11.88,12.14,11.80,12.06,0.20,1.69,"59,363","7,119",2.87,5.97
2022-08-03,合富中国,0603122,11.88,12.22,11.68,11.86,-0.07,-0.59,"70,155","8,438",4.53,7.05
2022-08-02,合富中国,0603122,12.83,12.83,11.83,11.93,-1.06,-8.16,"116,972","14,168",7.70,11.75
2022-08-01,合富中国,0603122,13.11,13.12,12.75,12.99,-0.15,-1.14,"58,226","7,567",2.82,5.85
2022-07-29,合富中国,0603122,13.72,13.83,13.11,13.14,-0.73,-5.26,"138,647","18,588",5.19,13.93
2022-07-28,合富中国,0603122,14.00,14.08,13.81,13.87,-0.18,-1.28,"89,928","12,491",1.92,9.04
2022-07-27,合富中国,0603122,14.27,14.27,13.90,14.05,-0.23,-1.61,"91,992","12,921",2.59,9.24
2022-07-26,合富中国,0603122,14.11,14.34,13.77,14.28,0.02,0.14,"116,218","16,278",4.00,11.68
2022-07-25,合富中国,0603122,13.75,14.45,13.63,14.26,0.50,3.63,"165,411","23,449",5.96,16.62
2022-07-22,合富中国,0603122,13.85,14.16,13.60,13.76,-0.32,-2.27,"118,398","16,384",3.98,11.90
2022-07-21,合富中国,0603122,13.72,14.88,13.59,14.08,0.33,2.40,"214,663","30,611",9.38,21.57
2022-07-20,合富中国,0603122,13.66,13.83,13.55,13.75,0.09,0.66,"85,259","11,675",2.05,8.57
2022-07-19,合富中国,0603122,13.85,13.85,13.46,13.66,-0.22,-1.59,"101,450","13,789",2.81,10.19
2022-07-18,合富中国,0603122,13.69,13.89,13.45,13.88,0.17,1.24,"102,510","14,019",3.21,10.30
2022-07-15,合富中国,0603122,14.20,14.20,13.60,13.71,-0.64,-4.46,"155,876","21,645",4.18,15.66
2022-07-14,合富中国,0603122,13.80,14.59,13.68,14.35,0.34,2.43,"205,418","29,278",6.50,20.64
2022-07-13,合富中国,0603122,13.60,14.28,13.49,14.01,-0.18,-1.27,"193,217","26,757",5.57,19.42
2022-07-12,合富中国,0603122,14.48,15.49,14.17,14.19,-0.20,-1.39,"385,584","56,523",9.17,38.75
