日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,同达创业,0600647,18.60,18.61,18.21,18.47,-0.18,-0.97,"5,835","1,075",2.14,0.42
2017-12-28,同达创业,0600647,17.60,18.88,17.60,18.65,0.87,4.89,"15,199","2,790",7.20,1.09
2017-12-27,同达创业,0600647,17.83,18.00,17.69,17.78,-0.13,-0.73,"3,549",632,1.73,0.26
2017-12-26,同达创业,0600647,17.90,18.20,17.56,17.91,-0.06,-0.33,"6,405","1,146",3.56,0.46
2017-12-25,同达创业,0600647,18.36,18.48,17.54,17.97,-0.44,-2.39,"10,146","1,818",5.11,0.73
2017-12-22,同达创业,0600647,18.35,18.54,18.35,18.41,-0.05,-0.27,"3,356",618,1.03,0.24
2017-12-21,同达创业,0600647,18.33,18.88,18.04,18.46,-0.08,-0.43,"5,654","1,039",4.53,0.41
2017-12-20,同达创业,0600647,18.70,18.77,18.42,18.54,-0.16,-0.86,"3,510",650,1.87,0.25
2017-12-19,同达创业,0600647,18.59,18.95,18.32,18.70,0.19,1.03,"6,218","1,166",3.40,0.45
2017-12-18,同达创业,0600647,18.73,18.73,18.36,18.51,-0.22,-1.17,"5,603","1,038",1.98,0.40
2017-12-15,同达创业,0600647,18.76,18.85,18.50,18.73,-0.12,-0.64,"5,011",934,1.86,0.36
2017-12-14,同达创业,0600647,19.00,19.09,18.78,18.85,-0.24,-1.26,"8,424","1,588",1.62,0.61
2017-12-13,同达创业,0600647,19.16,19.17,18.88,19.09,-0.07,-0.37,"5,949","1,131",1.51,0.43
2017-12-12,同达创业,0600647,19.09,19.44,19.09,19.16,0.01,0.05,"3,241",622,1.83,0.23
2017-12-11,同达创业,0600647,19.07,19.48,18.96,19.15,0.09,0.47,"3,775",725,2.73,0.27
2017-12-08,同达创业,0600647,18.97,19.26,18.72,19.06,0.13,0.69,"3,992",762,2.85,0.29
2017-12-07,同达创业,0600647,18.80,18.97,18.68,18.93,0.01,0.05,"4,377",825,1.53,0.31
2017-12-06,同达创业,0600647,18.80,19.07,18.59,18.92,-0.07,-0.37,"4,532",851,2.53,0.33
2017-12-05,同达创业,0600647,19.46,19.48,18.80,18.99,-0.33,-1.71,"6,374","1,218",3.52,0.46
2017-12-04,同达创业,0600647,19.20,20.00,18.94,19.32,0.06,0.31,"6,497","1,255",5.50,0.47
2017-12-01,同达创业,0600647,19.50,19.65,19.25,19.26,-0.34,-1.73,"4,884",948,2.04,0.35
2017-11-30,同达创业,0600647,19.00,19.80,18.90,19.60,0.64,3.38,"9,391","1,815",4.75,0.67
2017-11-29,同达创业,0600647,19.30,19.30,18.88,18.96,-0.34,-1.76,"6,198","1,175",2.18,0.45
2017-11-28,同达创业,0600647,19.25,19.49,18.98,19.30,-0.02,-0.10,"5,644","1,085",2.64,0.41
2017-11-27,同达创业,0600647,19.93,20.23,19.30,19.32,-0.65,-3.25,"5,738","1,131",4.66,0.41
2017-11-24,同达创业,0600647,19.95,20.28,19.81,19.97,0.03,0.15,"4,901",981,2.36,0.35
2017-11-23,同达创业,0600647,20.35,20.48,19.88,19.94,-0.20,-0.99,"7,044","1,421",2.98,0.51
2017-11-22,同达创业,0600647,20.19,20.37,20.04,20.14,-0.01,-0.05,"9,703","1,950",1.64,0.70
2017-11-21,同达创业,0600647,20.35,20.37,19.78,20.15,-0.22,-1.08,"9,722","1,954",2.90,0.70
2017-11-20,同达创业,0600647,20.45,20.50,19.95,20.37,-0.01,-0.05,"6,675","1,345",2.70,0.48
2017-11-17,同达创业,0600647,21.25,21.25,19.77,20.38,-0.80,-3.78,"10,288","2,111",6.99,0.74
2017-11-16,同达创业,0600647,21.40,21.46,20.91,21.18,-0.15,-0.70,"7,010","1,482",2.58,0.50
2017-11-15,同达创业,0600647,21.39,21.60,21.31,21.33,-0.20,-0.93,"5,005","1,071",1.35,0.36
2017-11-14,同达创业,0600647,21.47,22.40,21.19,21.53,0.06,0.28,"12,580","2,729",5.64,0.90
2017-11-13,同达创业,0600647,21.66,21.68,21.33,21.47,-0.19,-0.88,"8,473","1,819",1.62,0.61
2017-11-10,同达创业,0600647,21.58,21.73,21.58,21.66,-0.04,-0.18,"6,679","1,447",0.69,0.48
2017-11-09,同达创业,0600647,21.69,21.80,21.57,21.70,0.01,0.05,"8,636","1,872",1.06,0.62
2017-11-08,同达创业,0600647,21.70,21.85,21.54,21.69,0.00,0.00,"6,932","1,505",1.43,0.50
2017-11-07,同达创业,0600647,21.79,21.83,21.55,21.69,-0.10,-0.46,"4,775","1,034",1.29,0.34
2017-11-06,同达创业,0600647,21.81,22.00,21.51,21.79,0.00,0.00,"9,171","1,989",2.25,0.66
2017-11-03,同达创业,0600647,22.41,22.47,21.54,21.79,-1.02,-4.47,"15,960","3,529",4.08,1.15
2017-11-02,同达创业,0600647,21.85,23.33,21.40,22.81,1.11,5.12,"23,588","5,334",8.89,1.70
2017-11-01,同达创业,0600647,22.04,22.04,21.66,21.70,-0.13,-0.60,"6,193","1,350",1.74,0.45
