日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-09-30,咸亨国际,0605056,17.15,17.40,16.88,17.27,0.32,1.89,"14,291","2,462",3.07,3.57
2021-09-29,咸亨国际,0605056,17.03,17.41,16.90,16.95,-0.26,-1.51,"15,736","2,692",2.96,3.93
2021-09-28,咸亨国际,0605056,17.61,17.63,17.01,17.21,-0.38,-2.16,"17,797","3,068",3.52,4.45
2021-09-27,咸亨国际,0605056,18.97,19.30,17.51,17.99,-0.91,-4.81,"31,613","5,777",9.47,7.90
2021-09-24,咸亨国际,0605056,19.38,19.39,18.83,18.90,-0.48,-2.48,"24,833","4,712",2.89,6.21
2021-09-23,咸亨国际,0605056,19.33,19.69,19.12,19.38,0.02,0.10,"22,868","4,427",2.94,5.72
2021-09-22,咸亨国际,0605056,18.80,19.50,18.80,19.36,0.32,1.68,"20,767","3,993",3.68,5.19
2021-09-17,咸亨国际,0605056,19.47,19.55,18.89,19.04,-0.59,-3.01,"33,516","6,419",3.36,8.38
2021-09-16,咸亨国际,0605056,19.90,20.18,19.63,19.63,-0.27,-1.36,"29,701","5,906",2.76,7.42
2021-09-15,咸亨国际,0605056,20.50,20.50,19.60,19.90,-0.20,-1.00,"38,404","7,662",4.48,9.60
2021-09-14,咸亨国际,0605056,20.46,20.77,20.10,20.10,-1.08,-5.10,"67,641","13,802",3.16,16.91
2021-09-13,咸亨国际,0605056,20.20,21.75,19.86,21.18,0.07,0.33,"132,635","27,076",8.95,33.15
2021-09-10,咸亨国际,0605056,19.19,21.11,19.19,21.11,1.92,10.01,"118,009","24,380",10.01,29.49
2021-09-09,咸亨国际,0605056,19.34,19.44,19.10,19.19,-0.15,-0.78,"21,039","4,052",1.76,5.26
2021-09-08,咸亨国际,0605056,19.66,19.86,19.22,19.34,-0.42,-2.13,"31,214","6,069",3.24,7.80
2021-09-07,咸亨国际,0605056,20.16,20.16,19.65,19.76,-0.28,-1.40,"26,955","5,340",2.54,6.74
2021-09-06,咸亨国际,0605056,19.92,20.18,19.68,20.04,0.19,0.96,"25,725","5,148",2.52,6.43
2021-09-03,咸亨国际,0605056,20.24,20.58,19.84,19.85,-0.53,-2.60,"37,789","7,623",3.63,9.44
2021-09-02,咸亨国际,0605056,20.03,20.52,19.80,20.38,0.35,1.75,"48,182","9,791",3.59,12.04
2021-09-01,咸亨国际,0605056,19.62,20.50,18.68,20.03,0.41,2.09,"54,570","10,574",9.28,13.64
2021-08-31,咸亨国际,0605056,20.01,20.20,19.39,19.62,-0.40,-2.00,"33,122","6,514",4.05,8.28
2021-08-30,咸亨国际,0605056,19.45,20.48,19.30,20.02,0.57,2.93,"54,142","10,927",6.07,13.53
2021-08-27,咸亨国际,0605056,19.57,20.10,19.06,19.45,-0.54,-2.70,"49,610","9,635",5.20,12.40
2021-08-26,咸亨国际,0605056,19.60,20.63,19.60,19.99,0.44,2.25,"74,064","14,931",5.27,18.51
2021-08-25,咸亨国际,0605056,19.10,19.70,18.78,19.55,0.32,1.66,"46,682","8,947",4.78,11.67
2021-08-24,咸亨国际,0605056,18.63,19.30,18.52,19.23,0.49,2.61,"42,686","8,094",4.16,10.67
