日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,国药股份,0600511,29.78,30.02,29.70,29.83,0.14,0.47,"30,300","9,055",1.08,1.09
2017-09-28,国药股份,0600511,29.61,29.83,29.55,29.69,0.14,0.47,"24,306","7,226",0.95,0.88
2017-09-27,国药股份,0600511,29.56,29.87,29.46,29.55,-0.01,-0.03,"26,044","7,719",1.39,0.94
2017-09-26,国药股份,0600511,30.28,30.43,29.35,29.56,-0.78,-2.57,"62,033","18,471",3.56,2.23
2017-09-25,国药股份,0600511,30.51,30.69,30.16,30.34,-0.17,-0.56,"36,850","11,234",1.74,1.33
2017-09-22,国药股份,0600511,30.71,30.76,30.31,30.51,-0.21,-0.68,"29,601","9,017",1.46,1.07
2017-09-21,国药股份,0600511,30.88,30.88,30.65,30.72,-0.17,-0.55,"20,750","6,378",0.74,0.75
2017-09-20,国药股份,0600511,30.58,30.98,30.58,30.89,0.17,0.55,"22,343","6,891",1.30,0.80
2017-09-19,国药股份,0600511,30.77,30.91,30.67,30.72,-0.07,-0.23,"24,988","7,681",0.78,0.90
2017-09-18,国药股份,0600511,30.66,30.88,30.62,30.79,0.13,0.42,"26,794","8,241",0.85,0.97
2017-09-15,国药股份,0600511,31.00,31.05,30.61,30.66,-0.26,-0.84,"24,217","7,446",1.42,0.87
2017-09-14,国药股份,0600511,30.99,31.05,30.82,30.92,0.02,0.06,"27,958","8,645",0.74,1.01
2017-09-13,国药股份,0600511,30.81,31.03,30.73,30.90,0.11,0.36,"29,608","9,140",0.97,1.07
2017-09-12,国药股份,0600511,31.08,31.17,30.71,30.79,-0.22,-0.71,"36,027","11,100",1.48,1.30
2017-09-11,国药股份,0600511,31.24,31.29,30.97,31.01,-0.20,-0.64,"36,725","11,417",1.03,1.32
2017-09-08,国药股份,0600511,31.42,31.52,31.08,31.21,-0.20,-0.64,"27,514","8,603",1.40,0.99
2017-09-07,国药股份,0600511,31.60,31.66,31.36,31.41,-0.18,-0.57,"24,129","7,591",0.95,0.87
2017-09-06,国药股份,0600511,31.37,31.60,31.25,31.59,0.19,0.61,"39,160","12,333",1.11,1.41
2017-09-05,国药股份,0600511,31.15,31.63,31.10,31.40,0.30,0.96,"48,494","15,246",1.70,1.75
2017-09-04,国药股份,0600511,31.03,31.24,30.78,31.10,0.11,0.36,"43,610","13,545",1.48,1.57
2017-09-01,国药股份,0600511,31.20,31.35,30.80,30.99,-0.20,-0.64,"55,412","17,176",1.76,2.00
2017-08-31,国药股份,0600511,31.15,31.32,31.06,31.19,0.07,0.22,"34,543","10,779",0.84,1.24
2017-08-30,国药股份,0600511,31.55,31.67,31.01,31.12,-0.43,-1.36,"45,398","14,180",2.09,1.64
2017-08-29,国药股份,0600511,31.72,31.78,31.40,31.55,-0.18,-0.57,"40,569","12,801",1.20,1.46
2017-08-28,国药股份,0600511,31.72,31.83,31.53,31.73,0.01,0.03,"47,938","15,187",0.95,1.73
2017-08-25,国药股份,0600511,31.40,31.77,31.40,31.72,0.10,0.32,"23,812","7,536",1.17,0.86
2017-08-24,国药股份,0600511,32.20,32.20,31.44,31.62,-0.54,-1.68,"43,789","13,859",2.36,1.58
2017-08-23,国药股份,0600511,32.13,32.40,32.00,32.16,-0.95,-2.87,"62,252","20,035",1.21,2.24
2017-08-22,国药股份,0600511,32.20,33.18,31.92,33.11,1.09,3.40,"84,149","27,454",3.94,3.03
2017-08-21,国药股份,0600511,31.85,32.43,31.75,32.02,0.14,0.44,"24,631","7,898",2.13,0.89
2017-08-18,国药股份,0600511,31.80,31.99,31.54,31.88,0.07,0.22,"32,373","10,295",1.41,1.17
2017-08-17,国药股份,0600511,31.37,32.14,31.37,31.81,0.45,1.43,"37,260","11,877",2.46,1.34
2017-08-16,国药股份,0600511,31.49,31.49,31.22,31.36,-0.07,-0.22,"20,210","6,331",0.86,0.73
