日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,大商股份,0600694,41.10,41.75,41.02,41.73,0.79,1.93,"36,791","15,258",1.78,1.25
2017-03-30,大商股份,0600694,41.22,41.50,40.78,40.94,-0.42,-1.02,"44,279","18,210",1.74,1.51
2017-03-29,大商股份,0600694,41.29,41.49,41.00,41.36,0.21,0.51,"33,116","13,681",1.19,1.13
2017-03-28,大商股份,0600694,41.48,41.48,41.02,41.15,-0.26,-0.63,"22,008","9,067",1.11,0.75
2017-03-27,大商股份,0600694,41.49,41.77,41.15,41.41,-0.09,-0.22,"33,912","14,023",1.49,1.15
2017-03-24,大商股份,0600694,41.39,41.60,41.01,41.50,-0.12,-0.29,"49,478","20,464",1.42,1.68
2017-03-23,大商股份,0600694,42.94,43.11,40.98,41.62,-1.16,-2.71,"117,543","49,234",4.98,4.00
2017-03-22,大商股份,0600694,42.69,43.34,42.51,42.78,-0.21,-0.49,"46,815","20,092",1.93,1.59
2017-03-21,大商股份,0600694,42.35,43.36,42.03,42.99,0.72,1.70,"65,874","28,177",3.15,2.24
2017-03-20,大商股份,0600694,41.90,42.28,41.80,42.27,0.61,1.46,"34,700","14,589",1.15,1.18
2017-03-17,大商股份,0600694,42.11,42.60,41.57,41.66,-0.36,-0.86,"48,501","20,424",2.45,1.65
2017-03-16,大商股份,0600694,42.05,42.15,41.85,42.02,0.06,0.14,"39,498","16,594",0.72,1.34
2017-03-15,大商股份,0600694,41.46,42.20,41.46,41.96,0.34,0.82,"22,029","9,230",1.78,0.75
2017-03-14,大商股份,0600694,41.81,41.92,41.58,41.62,-0.29,-0.69,"20,021","8,365",0.81,0.68
2017-03-13,大商股份,0600694,41.33,41.95,41.04,41.91,0.71,1.72,"31,856","13,236",2.21,1.08
2017-03-10,大商股份,0600694,41.15,41.46,41.13,41.20,0.01,0.02,"12,874","5,316",0.80,0.44
2017-03-09,大商股份,0600694,41.86,41.89,41.14,41.19,-0.66,-1.58,"23,702","9,791",1.79,0.81
