日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,天音控股,1000829,9.43,9.55,9.43,9.50,0.01,0.11,"13,708","1,303",1.26,0.14
2017-12-28,天音控股,1000829,9.55,9.63,9.47,9.49,-0.05,-0.52,"25,016","2,386",1.68,0.26
2017-12-27,天音控股,1000829,9.55,9.71,9.46,9.54,-0.02,-0.21,"37,774","3,630",2.62,0.40
2017-12-26,天音控股,1000829,9.35,9.60,9.21,9.56,0.13,1.38,"44,182","4,177",4.14,0.47
2017-12-25,天音控股,1000829,9.27,9.43,9.10,9.43,0.12,1.29,"40,261","3,726",3.54,0.42
2017-12-22,天音控股,1000829,9.53,9.53,9.00,9.31,-0.18,-1.90,"27,525","2,562",5.58,0.29
2017-12-21,天音控股,1000829,9.47,9.55,9.35,9.49,-0.07,-0.73,"26,915","2,544",2.09,0.28
2017-12-20,天音控股,1000829,9.60,9.71,9.54,9.56,-0.07,-0.73,"25,317","2,435",1.77,0.27
2017-12-19,天音控股,1000829,9.65,9.77,9.51,9.63,-0.03,-0.31,"30,559","2,944",2.69,0.32
2017-12-18,天音控股,1000829,9.90,9.90,9.66,9.66,-0.31,-3.11,"39,764","3,866",2.41,0.42
2017-12-15,天音控股,1000829,9.92,10.02,9.76,9.97,0.02,0.20,"59,502","5,898",2.61,0.63
2017-12-14,天音控股,1000829,9.27,10.09,9.22,9.95,0.70,7.57,"127,964","12,404",9.41,1.35
2017-12-13,天音控股,1000829,9.21,9.25,9.12,9.25,0.05,0.54,"14,453","1,326",1.41,0.15
2017-12-12,天音控股,1000829,9.28,9.36,9.17,9.20,-0.07,-0.76,"20,332","1,880",2.05,0.21
2017-12-11,天音控股,1000829,9.18,9.29,9.17,9.27,0.07,0.76,"20,951","1,939",1.30,0.22
2017-12-08,天音控股,1000829,9.05,9.27,9.01,9.20,0.14,1.55,"24,400","2,237",2.87,0.26
2017-12-07,天音控股,1000829,9.13,9.15,9.00,9.06,-0.07,-0.77,"16,908","1,533",1.64,0.18
2017-12-06,天音控股,1000829,9.08,9.23,8.94,9.13,0.05,0.55,"26,308","2,382",3.19,0.28
2017-12-05,天音控股,1000829,9.35,9.40,9.00,9.08,-0.32,-3.40,"36,265","3,324",4.26,0.38
2017-12-04,天音控股,1000829,9.28,9.49,9.20,9.40,0.10,1.08,"38,086","3,567",3.12,0.40
2017-12-01,天音控股,1000829,9.17,9.30,9.17,9.30,0.06,0.65,"19,794","1,831",1.41,0.21
2017-11-30,天音控股,1000829,9.19,9.35,9.16,9.24,0.00,0.00,"24,825","2,296",2.06,0.26
2017-11-29,天音控股,1000829,9.17,9.28,9.17,9.24,0.00,0.00,"22,338","2,062",1.19,0.24
2017-11-28,天音控股,1000829,9.11,9.27,9.11,9.24,0.11,1.20,"21,990","2,029",1.75,0.23
2017-11-27,天音控股,1000829,9.11,9.30,9.00,9.13,-0.03,-0.33,"25,842","2,379",3.28,0.27
2017-11-24,天音控股,1000829,9.66,9.66,9.16,9.16,-0.40,-4.18,"49,076","4,599",5.23,0.52
2017-11-23,天音控股,1000829,9.44,9.70,9.31,9.56,0.13,1.38,"47,702","4,555",4.14,0.50
2017-11-22,天音控股,1000829,9.49,9.61,9.40,9.43,0.02,0.21,"28,603","2,721",2.23,0.30
2017-11-21,天音控股,1000829,9.50,9.55,9.39,9.41,-0.11,-1.16,"32,648","3,089",1.68,0.34
2017-11-20,天音控股,1000829,9.62,9.63,9.23,9.52,-0.08,-0.83,"43,734","4,113",4.17,0.46
2017-11-17,天音控股,1000829,10.17,10.18,9.59,9.60,-0.57,-5.60,"77,147","7,599",5.80,0.81
2017-11-16,天音控股,1000829,10.22,10.28,10.12,10.17,-0.09,-0.88,"35,371","3,608",1.56,0.37
2017-11-15,天音控股,1000829,10.19,10.31,10.12,10.26,0.09,0.89,"33,764","3,455",1.87,0.36
2017-11-14,天音控股,1000829,10.33,10.38,10.12,10.17,-0.14,-1.36,"41,922","4,284",2.52,0.44
2017-11-13,天音控股,1000829,10.35,10.48,10.30,10.31,-0.12,-1.15,"36,408","3,780",1.73,0.38
2017-11-10,天音控股,1000829,10.41,10.51,10.30,10.43,-0.03,-0.29,"50,491","5,261",2.01,0.53
2017-11-09,天音控股,1000829,10.40,10.52,10.30,10.46,0.10,0.97,"54,801","5,710",2.12,0.58
2017-11-08,天音控股,1000829,10.50,10.59,10.34,10.36,-0.10,-0.96,"51,432","5,380",2.39,0.54
2017-11-07,天音控股,1000829,10.25,10.46,10.17,10.46,0.21,2.05,"55,219","5,715",2.83,0.58
2017-11-06,天音控股,1000829,10.21,10.30,10.07,10.25,0.07,0.69,"38,203","3,878",2.26,0.40
