日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-12-31,戎美股份,1301088,25.82,25.93,25.81,25.90,0.06,0.23,"13,667","3,536",0.46,2.61
2021-12-30,戎美股份,1301088,25.80,25.98,25.79,25.84,0.02,0.08,"16,191","4,192",0.74,3.09
2021-12-29,戎美股份,1301088,25.93,25.94,25.71,25.82,-0.10,-0.39,"13,799","3,562",0.89,2.63
2021-12-28,戎美股份,1301088,25.87,25.93,25.72,25.92,0.07,0.27,"12,370","3,197",0.81,2.36
2021-12-27,戎美股份,1301088,25.75,25.95,25.58,25.85,-0.06,-0.23,"19,411","5,005",1.43,3.70
2021-12-24,戎美股份,1301088,26.08,26.38,25.88,25.91,0.01,0.04,"23,609","6,149",1.93,4.51
2021-12-23,戎美股份,1301088,26.17,26.18,25.89,25.90,-0.27,-1.03,"22,575","5,863",1.11,4.31
2021-12-22,戎美股份,1301088,26.47,26.59,26.16,26.17,-0.32,-1.21,"23,981","6,318",1.62,4.58
2021-12-21,戎美股份,1301088,26.01,26.55,26.01,26.49,0.45,1.73,"26,484","6,984",2.07,5.05
2021-12-20,戎美股份,1301088,26.00,26.29,25.96,26.04,-0.09,-0.34,"19,682","5,134",1.26,3.76
2021-12-17,戎美股份,1301088,26.58,26.80,26.10,26.13,-0.64,-2.39,"29,206","7,705",2.61,5.57
2021-12-16,戎美股份,1301088,26.60,26.87,26.40,26.77,0.10,0.38,"33,892","9,019",1.76,6.47
2021-12-15,戎美股份,1301088,26.34,26.96,26.26,26.67,0.33,1.25,"38,351","10,200",2.66,7.32
2021-12-14,戎美股份,1301088,26.02,26.34,25.96,26.34,0.25,0.96,"22,920","6,002",1.46,4.37
2021-12-13,戎美股份,1301088,26.22,26.23,25.93,26.09,-0.19,-0.72,"22,112","5,760",1.14,4.22
2021-12-10,戎美股份,1301088,26.36,26.60,26.20,26.28,-0.10,-0.38,"21,328","5,627",1.52,4.07
2021-12-09,戎美股份,1301088,26.26,26.47,26.14,26.38,0.22,0.84,"25,177","6,623",1.26,4.81
2021-12-08,戎美股份,1301088,26.10,26.22,26.00,26.16,0.06,0.23,"17,414","4,550",0.84,3.32
2021-12-07,戎美股份,1301088,26.01,26.11,25.81,26.10,0.20,0.77,"17,103","4,441",1.16,3.26
2021-12-06,戎美股份,1301088,26.15,26.26,25.76,25.90,-0.30,-1.15,"27,513","7,146",1.91,5.25
2021-12-03,戎美股份,1301088,26.19,26.31,26.04,26.20,0.11,0.42,"18,840","4,934",1.03,3.60
2021-12-02,戎美股份,1301088,26.66,26.71,26.08,26.09,-0.63,-2.36,"41,131","10,840",2.36,7.85
2021-12-01,戎美股份,1301088,26.42,26.87,26.42,26.72,-0.01,-0.04,"30,967","8,261",1.68,5.91
2021-11-30,戎美股份,1301088,26.63,27.09,26.50,26.73,0.06,0.23,"32,370","8,663",2.21,6.18
2021-11-29,戎美股份,1301088,26.56,26.93,26.30,26.67,-0.39,-1.44,"34,846","9,271",2.33,6.65
2021-11-26,戎美股份,1301088,27.30,27.53,27.03,27.06,-0.48,-1.74,"44,330","12,073",1.82,8.46
2021-11-25,戎美股份,1301088,27.80,27.90,27.21,27.54,-0.60,-2.13,"80,845","22,186",2.45,15.43
2021-11-24,戎美股份,1301088,27.04,28.47,26.78,28.14,1.32,4.92,"116,161","32,322",6.30,22.17
2021-11-23,戎美股份,1301088,27.00,27.15,26.66,26.82,-0.19,-0.70,"41,054","11,023",1.81,7.84
2021-11-22,戎美股份,1301088,26.70,27.06,26.50,27.01,0.24,0.90,"36,777","9,892",2.09,7.02
2021-11-19,戎美股份,1301088,26.65,26.88,26.28,26.77,0.32,1.21,"38,211","10,178",2.27,7.29
2021-11-18,戎美股份,1301088,27.00,27.41,26.45,26.45,-0.44,-1.64,"54,655","14,703",3.57,10.43
2021-11-17,戎美股份,1301088,26.87,27.06,26.64,26.89,0.00,0.00,"43,879","11,790",1.56,8.37
2021-11-16,戎美股份,1301088,28.29,28.40,26.88,26.89,-1.83,-6.37,"96,852","26,526",5.29,18.48
2021-11-15,戎美股份,1301088,28.34,29.12,27.68,28.72,0.38,1.34,"101,306","28,751",5.08,19.33
2021-11-12,戎美股份,1301088,27.60,28.68,27.20,28.34,0.30,1.07,"122,845","34,377",5.28,23.45
2021-11-11,戎美股份,1301088,26.50,28.32,26.35,28.04,1.16,4.32,"131,754","36,318",7.33,25.15
2021-11-10,戎美股份,1301088,26.00,27.27,25.92,26.88,0.75,2.87,"79,826","21,085",5.17,15.24
2021-11-09,戎美股份,1301088,25.85,26.38,25.70,26.13,0.29,1.12,"56,444","14,746",2.63,10.77
2021-11-08,戎美股份,1301088,26.10,26.10,25.48,25.84,-0.68,-2.56,"64,202","16,510",2.34,12.25
2021-11-05,戎美股份,1301088,25.80,26.71,25.65,26.52,0.64,2.47,"80,693","21,218",4.10,15.40
2021-11-04,戎美股份,1301088,26.00,26.35,25.68,25.88,-0.04,-0.15,"65,577","17,023",2.58,12.52
2021-11-03,戎美股份,1301088,26.74,26.75,25.52,25.92,-0.78,-2.92,"80,336","20,785",4.61,15.33
2021-11-02,戎美股份,1301088,26.58,27.19,26.31,26.70,0.26,0.98,"97,330","26,037",3.33,18.58
2021-11-01,戎美股份,1301088,27.10,27.47,26.17,26.44,-1.27,-4.58,"118,822","31,571",4.69,22.68
2021-10-29,戎美股份,1301088,27.50,29.51,27.11,27.71,-1.08,-3.75,"132,572","37,122",8.34,25.30
2021-10-28,戎美股份,1301088,30.00,32.90,27.53,28.79,-4.37,-13.18,"218,960","64,647",16.19,41.79
2022-03-31,戎美股份,1301088,19.04,19.31,19.04,19.13,-0.01,-0.05,"7,084","1,360",1.41,1.35
2022-03-30,戎美股份,1301088,19.00,19.17,18.93,19.14,0.16,0.84,"6,433","1,228",1.26,1.23
2022-03-29,戎美股份,1301088,19.43,19.46,18.90,18.98,-0.28,-1.45,"7,119","1,360",2.91,1.36
2022-03-28,戎美股份,1301088,19.44,19.47,18.88,19.26,-0.25,-1.28,"12,016","2,303",3.02,2.29
2022-03-25,戎美股份,1301088,19.24,20.14,19.19,19.51,0.32,1.67,"19,955","3,943",4.95,3.81
2022-03-24,戎美股份,1301088,19.54,19.54,19.18,19.19,-0.40,-2.04,"8,588","1,655",1.84,1.64
2022-03-23,戎美股份,1301088,19.59,19.75,19.55,19.59,0.00,0.00,"7,053","1,386",1.02,1.35
2022-03-22,戎美股份,1301088,19.58,19.70,19.44,19.59,-0.06,-0.31,"8,135","1,592",1.32,1.55
2022-03-21,戎美股份,1301088,19.51,19.65,19.45,19.65,0.14,0.72,"9,088","1,779",1.03,1.73
2022-03-18,戎美股份,1301088,19.35,19.60,19.30,19.51,0.10,0.52,"7,811","1,520",1.55,1.49
2022-03-17,戎美股份,1301088,19.25,19.89,19.16,19.41,0.35,1.84,"12,813","2,501",3.83,2.45
2022-03-16,戎美股份,1301088,19.18,19.24,18.41,19.06,0.31,1.65,"11,351","2,143",4.43,2.17
2022-03-15,戎美股份,1301088,19.70,19.82,18.66,18.75,-1.06,-5.35,"13,596","2,618",5.86,2.59
2022-03-14,戎美股份,1301088,20.18,20.18,19.81,19.81,-0.49,-2.41,"8,521","1,705",1.82,1.63
2022-03-11,戎美股份,1301088,19.95,20.32,19.56,20.30,0.17,0.84,"12,521","2,495",3.78,2.39
2022-03-10,戎美股份,1301088,20.21,20.59,20.11,20.13,0.19,0.95,"11,159","2,270",2.41,2.13
2022-03-09,戎美股份,1301088,20.50,20.61,19.32,19.94,-0.48,-2.35,"15,283","3,064",6.32,2.92
2022-03-08,戎美股份,1301088,21.26,21.39,20.30,20.42,-0.89,-4.18,"16,807","3,479",5.12,3.21
2022-03-07,戎美股份,1301088,21.64,21.78,21.19,21.31,-0.48,-2.20,"11,716","2,506",2.71,2.24
2022-03-04,戎美股份,1301088,21.87,22.05,21.68,21.79,-0.17,-0.77,"10,412","2,278",1.68,1.99
2022-03-03,戎美股份,1301088,22.09,22.18,21.96,21.96,-0.11,-0.50,"11,889","2,620",1.00,2.27
2022-03-02,戎美股份,1301088,21.99,22.11,21.86,22.07,0.05,0.23,"7,070","1,556",1.14,1.35
2022-03-01,戎美股份,1301088,21.95,22.07,21.93,22.02,0.07,0.32,"7,734","1,702",0.64,1.48
2022-02-28,戎美股份,1301088,22.30,22.31,21.81,21.95,-0.37,-1.66,"12,142","2,665",2.24,2.32
2022-02-25,戎美股份,1301088,22.27,22.54,22.26,22.32,0.19,0.86,"10,811","2,420",1.27,2.06
2022-02-24,戎美股份,1301088,22.92,23.06,22.00,22.13,-0.80,-3.49,"19,464","4,387",4.62,3.71
2022-02-23,戎美股份,1301088,22.74,22.99,22.70,22.93,0.20,0.88,"10,532","2,409",1.28,2.01
2022-02-22,戎美股份,1301088,23.10,23.10,22.65,22.73,-0.32,-1.39,"11,020","2,514",1.95,2.10
2022-02-21,戎美股份,1301088,22.76,23.05,22.76,23.05,0.21,0.92,"9,684","2,218",1.27,1.85
2022-02-18,戎美股份,1301088,22.79,22.86,22.59,22.84,-0.11,-0.48,"11,142","2,528",1.18,2.13
2022-02-17,戎美股份,1301088,22.99,23.13,22.84,22.95,-0.10,-0.43,"10,787","2,476",1.26,2.06
2022-02-16,戎美股份,1301088,22.74,23.05,22.70,23.05,0.41,1.81,"10,877","2,490",1.55,2.08
2022-02-15,戎美股份,1301088,22.56,22.76,22.44,22.64,0.08,0.35,"6,172","1,396",1.42,1.18
2022-02-14,戎美股份,1301088,22.40,22.73,22.25,22.56,0.16,0.71,"7,331","1,652",2.14,1.40
2022-02-11,戎美股份,1301088,22.82,22.98,22.36,22.40,-0.53,-2.31,"9,552","2,159",2.70,1.82
2022-02-10,戎美股份,1301088,23.10,23.10,22.87,22.93,-0.16,-0.69,"7,220","1,659",1.00,1.38
2022-02-09,戎美股份,1301088,23.00,23.16,22.91,23.09,0.10,0.44,"7,650","1,763",1.09,1.46
2022-02-08,戎美股份,1301088,22.80,23.06,22.70,22.99,0.20,0.88,"8,425","1,930",1.58,1.61
2022-02-07,戎美股份,1301088,22.72,22.85,22.52,22.79,0.39,1.74,"6,562","1,492",1.47,1.25
2022-01-28,戎美股份,1301088,22.24,22.61,22.17,22.40,0.22,0.99,"8,000","1,791",1.98,1.53
2022-01-27,戎美股份,1301088,23.10,23.10,22.16,22.18,-0.90,-3.90,"12,921","2,907",4.07,2.47
2022-01-26,戎美股份,1301088,22.88,23.13,22.83,23.08,0.23,1.01,"7,782","1,787",1.31,1.49
2022-01-25,戎美股份,1301088,23.86,24.06,22.80,22.85,-1.02,-4.27,"16,542","3,846",5.28,3.16
2022-01-24,戎美股份,1301088,23.95,24.00,23.75,23.87,-0.13,-0.54,"9,226","2,201",1.04,1.76
2022-01-21,戎美股份,1301088,24.62,24.69,23.92,24.00,-0.63,-2.56,"19,327","4,676",3.13,3.69
2022-01-20,戎美股份,1301088,25.25,25.35,24.63,24.63,-0.68,-2.69,"24,525","6,104",2.84,4.68
2022-01-19,戎美股份,1301088,25.32,25.44,25.18,25.31,0.01,0.04,"14,249","3,603",1.03,2.72
2022-01-18,戎美股份,1301088,25.80,25.87,25.26,25.30,-0.50,-1.94,"27,103","6,889",2.36,5.17
2022-01-17,戎美股份,1301088,25.67,25.86,25.65,25.80,0.10,0.39,"13,950","3,596",0.82,2.66
2022-01-14,戎美股份,1301088,26.05,26.08,25.70,25.70,-0.37,-1.42,"18,842","4,870",1.46,3.60
2022-01-13,戎美股份,1301088,26.23,26.39,26.06,26.07,-0.23,-0.87,"17,097","4,481",1.25,3.26
2022-01-12,戎美股份,1301088,26.07,26.34,26.06,26.30,0.19,0.73,"22,714","5,956",1.07,4.34
2022-01-11,戎美股份,1301088,25.94,26.26,25.91,26.11,0.14,0.54,"20,148","5,263",1.35,3.85
