日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-03-31,曼卡龙,1300945,22.40,23.26,22.05,22.81,0.29,1.29,"83,428","19,029",5.37,17.25
2021-03-30,曼卡龙,1300945,23.22,23.77,22.21,22.52,-1.15,-4.86,"101,614","23,160",6.59,21.01
2021-03-29,曼卡龙,1300945,23.05,23.97,23.05,23.67,0.50,2.16,"89,412","21,078",3.97,18.49
2021-03-26,曼卡龙,1300945,23.00,23.76,22.68,23.17,-0.34,-1.45,"104,138","24,178",4.59,21.53
2021-03-25,曼卡龙,1300945,25.60,26.49,23.40,23.51,-2.15,-8.38,"144,867","35,633",12.04,29.95
2021-03-24,曼卡龙,1300945,24.00,27.50,23.42,25.66,-0.08,-0.31,"191,831","49,463",15.85,39.66
2021-03-23,曼卡龙,1300945,24.71,28.26,24.50,25.74,0.82,3.29,"227,485","59,069",15.09,47.03
2021-03-22,曼卡龙,1300945,24.39,26.26,24.10,24.92,-0.09,-0.36,"185,728","46,701",8.64,38.40
2021-03-19,曼卡龙,1300945,23.07,25.75,22.60,25.01,1.03,4.30,"210,159","51,097",13.14,43.45
2021-03-18,曼卡龙,1300945,22.37,24.76,22.36,23.98,1.33,5.87,"195,694","46,519",10.60,40.46
2021-03-17,曼卡龙,1300945,21.50,22.88,21.27,22.65,0.89,4.09,"125,657","27,949",7.40,25.98
2021-03-16,曼卡龙,1300945,22.00,22.14,21.42,21.76,-0.60,-2.68,"90,615","19,697",3.22,18.73
2021-03-15,曼卡龙,1300945,21.52,23.00,21.21,22.36,0.69,3.18,"116,531","25,691",8.26,24.09
2021-03-12,曼卡龙,1300945,22.01,22.95,21.50,21.67,-0.73,-3.26,"118,534","26,362",6.47,24.51
2021-03-11,曼卡龙,1300945,21.78,22.80,20.94,22.40,0.12,0.54,"121,346","26,577",8.35,25.09
2021-03-10,曼卡龙,1300945,22.86,24.26,21.88,22.28,-1.35,-5.71,"153,269","34,917",10.07,31.69
2021-03-09,曼卡龙,1300945,26.50,26.89,23.21,23.63,-2.05,-7.98,"233,160","57,378",14.33,48.21
2021-03-08,曼卡龙,1300945,21.68,25.68,21.50,25.68,4.28,20.00,"175,509","42,840",19.53,36.29
2021-03-05,曼卡龙,1300945,20.80,21.96,20.11,21.40,0.21,0.99,"111,980","23,853",8.73,23.15
2021-03-04,曼卡龙,1300945,22.33,23.10,20.95,21.19,-1.60,-7.02,"127,672","28,233",9.43,26.40
2021-03-03,曼卡龙,1300945,23.27,23.47,22.75,22.79,-1.25,-5.20,"124,074","28,561",3.00,25.65
2021-03-02,曼卡龙,1300945,22.84,24.13,22.22,24.04,1.21,5.30,"160,543","37,046",8.37,33.19
2021-03-01,曼卡龙,1300945,22.93,23.37,22.31,22.83,-0.35,-1.51,"137,304","31,261",4.57,28.39
2021-02-26,曼卡龙,1300945,24.00,24.81,23.16,23.18,-2.97,-11.36,"179,573","42,926",6.31,37.13
2021-02-25,曼卡龙,1300945,27.14,28.76,25.78,26.15,-0.79,-2.93,"197,863","53,652",11.06,40.91
2021-02-24,曼卡龙,1300945,26.25,29.50,25.84,26.94,-0.91,-3.27,"201,066","55,942",13.14,41.57
2021-02-23,曼卡龙,1300945,30.00,33.30,27.72,27.85,-5.91,-17.51,"249,828","75,381",16.53,51.65
2021-02-22,曼卡龙,1300945,31.00,39.98,30.11,33.76,1.76,5.50,"305,956","105,815",30.84,63.26
2021-02-19,曼卡龙,1300945,32.00,34.13,27.91,32.00,-2.35,-6.84,"284,920","88,021",18.11,58.91
2021-02-18,曼卡龙,1300945,27.00,43.00,26.99,34.35,12.43,56.71,"345,899","117,008",73.04,71.52
2021-02-10,曼卡龙,1300945,23.00,29.80,20.00,21.92,17.36,380.70,"327,659","76,668",214.91,67.74
2021-12-31,曼卡龙,1300945,21.77,22.01,21.02,21.03,-0.80,-3.66,"71,861","15,417",4.54,14.09
2021-12-30,曼卡龙,1300945,21.67,22.65,21.57,21.83,0.12,0.55,"73,498","16,268",4.97,14.41
2021-12-29,曼卡龙,1300945,22.23,22.50,21.49,21.71,-0.58,-2.60,"64,086","14,077",4.53,12.57
2021-12-28,曼卡龙,1300945,23.14,23.30,22.00,22.29,-0.97,-4.17,"98,956","22,358",5.59,19.40
2021-12-27,曼卡龙,1300945,21.98,23.37,21.21,23.26,0.98,4.40,"131,098","29,686",9.69,25.71
2021-12-24,曼卡龙,1300945,21.87,23.23,21.05,22.28,0.41,1.87,"124,621","27,809",9.97,24.44
2021-12-23,曼卡龙,1300945,22.06,22.19,21.50,21.87,-0.15,-0.68,"48,172","10,443",3.13,9.45
2021-12-22,曼卡龙,1300945,21.90,22.26,21.71,22.02,0.03,0.14,"51,801","11,390",2.50,10.16
2021-12-21,曼卡龙,1300945,21.16,22.29,21.16,21.99,0.44,2.04,"60,788","13,317",5.24,11.92
2021-12-20,曼卡龙,1300945,21.12,21.98,21.05,21.55,-0.48,-2.18,"82,862","17,758",4.22,16.25
2021-12-17,曼卡龙,1300945,24.28,24.60,21.77,22.03,-1.37,-5.85,"132,706","30,635",12.09,26.02
2021-12-16,曼卡龙,1300945,23.72,24.00,23.14,23.40,-0.72,-2.99,"82,658","19,384",3.57,16.21
2021-12-15,曼卡龙,1300945,23.26,25.00,23.03,24.12,0.66,2.81,"121,894","29,095",8.40,23.90
2021-12-14,曼卡龙,1300945,23.19,23.46,22.88,23.46,0.24,1.03,"71,542","16,537",2.50,14.03
2021-12-13,曼卡龙,1300945,23.00,24.20,22.60,23.22,-0.73,-3.05,"114,702","26,519",6.68,22.49
2021-12-10,曼卡龙,1300945,25.58,25.98,23.79,23.95,-0.59,-2.40,"105,043","25,899",8.92,20.60
2021-12-09,曼卡龙,1300945,24.97,25.25,23.67,24.54,-0.24,-0.97,"67,694","16,413",6.38,13.27
