日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,杭州解百,0600814,8.86,9.06,8.85,9.02,0.14,1.58,"38,331","3,441",2.36,1.24
2017-06-29,杭州解百,0600814,8.91,8.94,8.84,8.88,-0.03,-0.34,"20,850","1,853",1.12,0.67
2017-06-28,杭州解百,0600814,8.92,8.96,8.86,8.91,0.01,0.11,"24,456","2,178",1.12,0.79
2017-06-27,杭州解百,0600814,8.93,8.97,8.85,8.90,-0.05,-0.56,"28,093","2,500",1.34,0.91
2017-06-26,杭州解百,0600814,8.71,8.95,8.66,8.95,0.23,2.64,"42,895","3,790",3.33,1.38
2017-06-23,杭州解百,0600814,8.81,8.85,8.55,8.72,-0.08,-0.91,"49,885","4,323",3.41,1.61
2017-06-22,杭州解百,0600814,9.16,9.16,8.79,8.80,-0.36,-3.93,"58,604","5,275",4.04,1.89
2017-06-21,杭州解百,0600814,9.18,9.22,9.08,9.16,0.02,0.22,"30,352","2,771",1.53,0.98
2017-06-20,杭州解百,0600814,9.19,9.25,9.13,9.14,-0.06,-0.65,"34,714","3,185",1.30,1.12
2017-06-19,杭州解百,0600814,9.08,9.23,9.08,9.20,0.08,0.88,"34,002","3,113",1.64,1.10
2017-06-16,杭州解百,0600814,9.19,9.20,9.08,9.12,-0.12,-1.30,"40,148","3,663",1.30,1.29
2017-06-15,杭州解百,0600814,9.13,9.25,9.02,9.24,0.11,1.20,"61,334","5,609",2.52,1.98
2017-06-14,杭州解百,0600814,9.08,9.45,9.02,9.13,0.05,0.55,"80,357","7,417",4.74,2.59
2017-06-13,杭州解百,0600814,9.05,9.16,9.01,9.08,0.05,0.55,"41,261","3,749",1.66,1.33
2017-06-12,杭州解百,0600814,9.31,9.31,9.01,9.03,-0.38,-4.04,"91,359","8,325",3.19,2.94
2017-06-09,杭州解百,0600814,9.19,9.63,9.16,9.41,0.33,3.63,"141,122","13,286",5.18,4.55
2017-06-08,杭州解百,0600814,9.15,9.17,9.02,9.08,-0.07,-0.77,"45,374","4,122",1.64,1.46
2017-06-07,杭州解百,0600814,8.99,9.19,8.93,9.15,0.18,2.01,"67,063","6,083",2.90,2.16
2017-06-06,杭州解百,0600814,9.10,9.16,8.91,8.97,-0.18,-1.97,"54,866","4,945",2.73,1.77
2017-06-05,杭州解百,0600814,8.68,9.20,8.62,9.15,0.40,4.57,"92,984","8,372",6.63,3.00
2017-06-02,杭州解百,0600814,8.92,8.92,8.12,8.75,-0.27,-2.99,"87,400","7,547",8.87,2.82
2017-06-01,杭州解百,0600814,9.22,9.30,8.99,9.02,-0.32,-3.43,"130,778","11,947",3.32,4.21
2017-05-31,杭州解百,0600814,8.70,9.34,8.68,9.34,0.85,10.01,"140,323","12,793",7.77,4.52
2017-05-26,杭州解百,0600814,8.43,8.63,8.40,8.49,0.03,0.35,"24,394","2,077",2.72,0.79
2017-05-25,杭州解百,0600814,8.36,8.52,8.14,8.46,0.10,1.20,"38,235","3,185",4.55,1.23
2017-05-24,杭州解百,0600814,8.44,8.44,8.16,8.36,-0.08,-0.95,"40,310","3,334",3.32,1.30
2017-05-23,杭州解百,0600814,8.82,8.84,8.42,8.44,-0.41,-4.63,"36,497","3,139",4.75,1.18
2017-05-22,杭州解百,0600814,9.15,9.20,8.70,8.85,-0.29,-3.17,"35,615","3,188",5.47,1.15
2017-05-19,杭州解百,0600814,9.08,9.20,9.01,9.14,0.07,0.77,"23,526","2,145",2.09,0.76
2017-05-18,杭州解百,0600814,9.20,9.23,9.05,9.07,-0.25,-2.68,"38,731","3,540",1.93,1.25
2017-05-17,杭州解百,0600814,9.09,9.37,9.05,9.32,0.19,2.08,"56,535","5,214",3.50,1.82
2017-05-16,杭州解百,0600814,8.93,9.14,8.83,9.13,0.25,2.82,"29,155","2,616",3.49,0.94
2017-05-15,杭州解百,0600814,8.83,8.95,8.81,8.88,0.03,0.34,"13,577","1,207",1.58,0.44
2017-05-12,杭州解百,0600814,8.70,8.95,8.70,8.85,0.10,1.14,"42,872","3,795",2.86,1.38
