日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,步 步 高,1002251,13.66,13.82,13.62,13.73,0.10,0.73,"53,996","7,404",1.47,0.75
2017-03-30,步 步 高,1002251,14.20,14.26,13.56,13.63,-0.69,-4.82,"128,841","17,831",4.89,1.80
2017-03-29,步 步 高,1002251,14.52,14.62,14.30,14.32,-0.25,-1.72,"64,061","9,250",2.20,0.89
2017-03-28,步 步 高,1002251,14.55,14.76,14.47,14.57,0.03,0.21,"45,650","6,671",1.99,0.64
2017-03-27,步 步 高,1002251,14.65,14.75,14.46,14.54,-0.15,-1.02,"52,291","7,616",1.97,0.73
2017-03-24,步 步 高,1002251,14.68,14.83,14.55,14.69,-0.10,-0.68,"85,694","12,550",1.89,1.20
2017-03-23,步 步 高,1002251,14.81,14.97,14.64,14.79,-0.13,-0.87,"80,042","11,830",2.21,1.12
2017-03-22,步 步 高,1002251,15.00,15.15,14.81,14.92,-0.15,-1.00,"81,738","12,225",2.26,1.14
2017-03-21,步 步 高,1002251,14.93,15.36,14.83,15.07,0.14,0.94,"120,337","18,242",3.55,1.68
2017-03-20,步 步 高,1002251,14.93,14.99,14.71,14.93,0.09,0.61,"88,961","13,223",1.89,1.24
2017-03-17,步 步 高,1002251,14.44,15.35,14.41,14.84,0.41,2.84,"268,699","40,116",6.51,3.75
2017-03-16,步 步 高,1002251,14.35,14.49,14.35,14.43,0.09,0.63,"53,623","7,736",0.98,0.75
2017-03-15,步 步 高,1002251,14.43,14.48,14.30,14.34,-0.12,-0.83,"54,055","7,773",1.24,0.76
2017-03-14,步 步 高,1002251,14.59,14.64,14.45,14.46,-0.13,-0.89,"52,358","7,604",1.30,0.73
2017-03-13,步 步 高,1002251,14.57,14.63,14.31,14.59,0.02,0.14,"57,257","8,289",2.20,0.80
2017-03-10,步 步 高,1002251,14.55,14.80,14.46,14.57,0.02,0.14,"68,140","9,976",2.34,0.95
2017-03-09,步 步 高,1002251,14.57,14.60,14.30,14.55,0.00,0.00,"64,501","9,292",2.06,0.90
2017-03-08,步 步 高,1002251,14.71,14.76,14.50,14.55,-0.16,-1.09,"45,866","6,708",1.77,0.64
2017-03-07,步 步 高,1002251,14.77,14.83,14.63,14.71,-0.11,-0.74,"57,224","8,416",1.35,0.80
2017-03-06,步 步 高,1002251,14.45,14.86,14.38,14.82,0.41,2.85,"87,650","12,833",3.33,1.22
2017-03-03,步 步 高,1002251,14.60,14.62,14.29,14.41,-0.19,-1.30,"116,794","16,805",2.26,1.63
2017-03-02,步 步 高,1002251,15.09,15.17,14.50,14.60,-0.53,-3.50,"132,915","19,758",4.43,1.86
2017-03-01,步 步 高,1002251,15.24,15.24,15.03,15.13,-0.11,-0.72,"92,139","13,947",1.38,1.29
2017-02-28,步 步 高,1002251,15.23,15.35,15.13,15.24,-0.06,-0.39,"65,897","10,031",1.44,0.92
2017-02-27,步 步 高,1002251,15.47,15.53,15.22,15.30,-0.15,-0.97,"78,366","12,046",2.01,1.09
2017-02-24,步 步 高,1002251,15.62,15.65,15.32,15.45,-0.17,-1.09,"105,197","16,222",2.11,1.47
2017-02-23,步 步 高,1002251,15.55,15.79,15.43,15.62,-0.05,-0.32,"104,549","16,348",2.30,1.46
2017-02-22,步 步 高,1002251,15.75,15.79,15.47,15.67,-0.24,-1.51,"143,097","22,351",2.01,2.00
2017-02-21,步 步 高,1002251,15.37,16.20,15.28,15.91,0.64,4.19,"302,783","47,746",6.02,4.23
2017-02-20,步 步 高,1002251,15.20,15.35,14.93,15.27,0.08,0.53,"111,895","16,966",2.77,1.56
2017-02-17,步 步 高,1002251,15.49,15.49,15.08,15.19,-0.16,-1.04,"96,581","14,721",2.67,1.35
2017-02-16,步 步 高,1002251,15.31,15.46,15.15,15.35,-0.05,-0.32,"97,538","14,933",2.01,1.36
2017-02-15,步 步 高,1002251,15.52,15.80,15.33,15.40,-0.12,-0.77,"132,261","20,557",3.03,1.85
2017-02-14,步 步 高,1002251,15.50,15.80,15.45,15.52,-0.02,-0.13,"90,155","14,038",2.25,1.26
2017-02-13,步 步 高,1002251,15.31,15.55,15.11,15.54,0.21,1.37,"102,646","15,803",2.87,1.43
2017-02-10,步 步 高,1002251,15.47,15.60,15.30,15.33,-0.19,-1.22,"96,610","14,900",1.93,1.35
2017-02-09,步 步 高,1002251,15.50,16.05,15.50,15.52,0.14,0.91,"147,524","23,192",3.58,2.06
2017-02-08,步 步 高,1002251,15.31,15.44,15.16,15.38,-0.07,-0.45,"102,656","15,694",1.81,1.43
2017-02-07,步 步 高,1002251,15.03,15.60,14.93,15.45,0.34,2.25,"149,133","22,768",4.43,2.08
2017-02-06,步 步 高,1002251,15.16,15.18,14.72,15.11,0.01,0.07,"104,623","15,606",3.05,1.46
2017-02-03,步 步 高,1002251,15.22,15.23,15.04,15.10,-0.02,-0.13,"38,993","5,897",1.26,0.54
2017-01-26,步 步 高,1002251,15.17,15.25,15.05,15.12,-0.14,-0.92,"67,982","10,291",1.31,0.95
2017-01-25,步 步 高,1002251,15.22,15.39,15.06,15.26,0.01,0.07,"66,438","10,093",2.16,0.93
2017-01-24,步 步 高,1002251,15.18,15.32,14.95,15.25,0.06,0.40,"78,563","11,895",2.44,1.10
2017-01-23,步 步 高,1002251,15.06,15.38,15.06,15.19,0.08,0.53,"75,520","11,497",2.12,1.06
2017-01-20,步 步 高,1002251,14.95,15.26,14.89,15.11,0.21,1.41,"85,524","12,940",2.48,1.19
2017-01-19,步 步 高,1002251,14.88,15.15,14.70,14.90,-0.10,-0.67,"87,261","13,072",3.00,1.22
2017-01-18,步 步 高,1002251,15.09,15.10,14.86,15.00,-0.20,-1.32,"96,846","14,491",1.58,1.35
2017-01-17,步 步 高,1002251,15.09,15.39,14.29,15.20,0.00,0.00,"159,445","23,904",7.24,2.23
2017-01-16,步 步 高,1002251,16.49,16.49,14.85,15.20,-1.30,-7.88,"270,786","42,062",9.94,3.78
