日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,汇嘉时代,0603101,14.08,14.09,13.49,13.60,-0.07,-0.51,"21,278","2,925",4.39,2.96
2017-12-28,汇嘉时代,0603101,13.15,13.77,13.06,13.67,0.52,3.95,"16,875","2,261",5.40,2.34
2017-12-27,汇嘉时代,0603101,13.19,13.25,13.06,13.15,-0.05,-0.38,"8,850","1,164",1.44,1.23
2017-12-26,汇嘉时代,0603101,12.98,13.25,12.77,13.20,0.33,2.56,"9,571","1,252",3.73,1.33
2017-12-25,汇嘉时代,0603101,13.10,13.33,12.81,12.87,-0.33,-2.50,"8,637","1,121",3.94,1.20
2017-12-22,汇嘉时代,0603101,13.40,13.43,13.18,13.20,-0.24,-1.79,"6,236",828,1.86,0.87
2017-12-21,汇嘉时代,0603101,13.55,13.66,13.22,13.44,-0.23,-1.68,"10,199","1,366",3.22,1.42
2017-12-20,汇嘉时代,0603101,13.67,13.85,13.50,13.67,0.00,0.00,"11,978","1,638",2.56,1.66
2017-12-19,汇嘉时代,0603101,13.50,13.77,13.50,13.67,0.13,0.96,"8,461","1,156",1.99,1.18
2017-12-18,汇嘉时代,0603101,13.80,13.89,13.42,13.54,-0.35,-2.52,"13,746","1,868",3.38,1.91
2017-12-15,汇嘉时代,0603101,13.50,14.17,13.40,13.89,0.30,2.21,"29,646","4,117",5.67,4.12
2017-12-14,汇嘉时代,0603101,13.25,13.67,13.19,13.59,0.29,2.18,"13,316","1,796",3.61,1.85
2017-12-13,汇嘉时代,0603101,13.21,13.37,13.10,13.30,0.10,0.76,"5,084",676,2.05,0.71
2017-12-12,汇嘉时代,0603101,13.50,13.51,13.12,13.20,-0.41,-3.01,"9,984","1,328",2.87,1.39
2017-12-11,汇嘉时代,0603101,13.32,13.98,13.25,13.61,0.29,2.18,"14,513","1,982",5.48,2.02
2017-12-08,汇嘉时代,0603101,13.02,13.42,13.00,13.32,0.27,2.07,"10,252","1,365",3.22,1.42
2017-12-07,汇嘉时代,0603101,13.23,13.25,13.02,13.05,-0.15,-1.14,"5,990",786,1.74,0.83
2017-12-06,汇嘉时代,0603101,13.00,13.25,12.81,13.20,0.14,1.07,"11,386","1,483",3.37,1.58
2017-12-05,汇嘉时代,0603101,13.73,13.80,13.00,13.06,-0.65,-4.74,"14,690","1,964",5.84,2.04
2017-12-04,汇嘉时代,0603101,14.13,14.13,13.68,13.71,-0.41,-2.90,"8,068","1,121",3.19,1.12
2017-12-01,汇嘉时代,0603101,13.99,14.16,13.89,14.12,0.14,1.00,"7,198","1,013",1.93,1.00
2017-11-30,汇嘉时代,0603101,13.90,14.09,13.80,13.98,0.05,0.36,"7,451","1,042",2.08,1.03
2017-11-29,汇嘉时代,0603101,14.09,14.09,13.70,13.93,-0.13,-0.92,"9,493","1,317",2.77,1.32
2017-11-28,汇嘉时代,0603101,13.92,14.12,13.92,14.06,0.14,1.01,"6,846",960,1.44,0.95
2017-11-27,汇嘉时代,0603101,14.12,14.21,13.85,13.92,-0.41,-2.86,"10,220","1,429",2.51,1.42
2017-11-24,汇嘉时代,0603101,13.83,14.48,13.73,14.33,0.51,3.69,"17,907","2,537",5.43,2.49
2017-11-23,汇嘉时代,0603101,14.09,14.09,13.72,13.82,-0.27,-1.92,"9,449","1,318",2.63,1.31
2017-11-22,汇嘉时代,0603101,14.07,14.17,13.95,14.09,0.02,0.14,"8,333","1,171",1.56,1.16
2017-11-21,汇嘉时代,0603101,14.49,14.49,13.95,14.07,-0.17,-1.19,"10,178","1,438",3.79,1.41
2017-11-20,汇嘉时代,0603101,14.46,14.46,13.80,14.24,-0.27,-1.86,"10,924","1,535",4.55,1.52
2017-11-17,汇嘉时代,0603101,15.21,15.33,14.35,14.51,-0.75,-4.91,"15,454","2,277",6.42,2.15
2017-11-16,汇嘉时代,0603101,15.33,15.50,15.18,15.26,-0.15,-0.97,"8,937","1,370",2.08,1.24
2017-11-15,汇嘉时代,0603101,15.85,15.85,15.20,15.41,-0.43,-2.71,"15,124","2,348",4.10,2.10
2017-11-14,汇嘉时代,0603101,16.15,16.15,15.77,15.84,-0.32,-1.98,"16,329","2,594",2.35,2.27
2017-11-13,汇嘉时代,0603101,15.79,16.58,15.65,16.16,0.38,2.41,"28,169","4,526",5.89,3.91
2017-11-10,汇嘉时代,0603101,15.88,15.96,15.76,15.78,-0.11,-0.69,"11,670","1,850",1.26,1.62
2017-11-09,汇嘉时代,0603101,15.79,15.92,15.75,15.89,0.07,0.44,"9,925","1,570",1.07,1.38
2017-11-08,汇嘉时代,0603101,15.77,15.94,15.70,15.82,0.05,0.32,"11,104","1,760",1.52,1.54
2017-11-07,汇嘉时代,0603101,15.79,15.79,15.58,15.77,-0.01,-0.06,"8,628","1,353",1.33,1.20
2017-11-06,汇嘉时代,0603101,15.70,15.80,15.65,15.78,0.12,0.77,"9,322","1,466",0.96,1.29
2017-11-03,汇嘉时代,0603101,15.89,15.97,15.55,15.66,-0.27,-1.69,"9,255","1,454",2.64,1.29
2017-11-02,汇嘉时代,0603101,15.93,15.98,15.69,15.93,-0.04,-0.25,"11,076","1,751",1.82,1.54
2017-11-01,汇嘉时代,0603101,16.07,16.19,15.89,15.97,-0.10,-0.62,"12,272","1,971",1.87,1.70
2017-10-31,汇嘉时代,0603101,16.00,16.18,15.93,16.07,0.07,0.44,"12,647","2,029",1.56,1.76
2017-10-30,汇嘉时代,0603101,16.40,16.64,15.80,16.00,-0.64,-3.85,"17,353","2,792",5.05,2.41
2017-10-27,汇嘉时代,0603101,16.64,16.98,16.58,16.64,-0.05,-0.30,"18,977","3,180",2.40,2.64
2017-10-26,汇嘉时代,0603101,16.80,16.89,16.57,16.69,-0.21,-1.24,"22,869","3,826",1.89,3.18
2017-10-25,汇嘉时代,0603101,16.50,16.94,16.38,16.90,0.28,1.68,"19,262","3,230",3.37,2.68
2017-10-24,汇嘉时代,0603101,16.59,16.78,16.34,16.62,0.06,0.36,"18,079","2,993",2.66,2.51
2017-10-23,汇嘉时代,0603101,16.21,16.72,16.09,16.56,0.35,2.16,"18,611","3,074",3.89,2.58
2017-10-20,汇嘉时代,0603101,15.77,16.27,15.68,16.21,0.44,2.79,"12,820","2,054",3.74,1.78
