日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,江苏舜天,0600287,9.20,9.26,9.16,9.24,0.03,0.33,"32,592","3,001",1.09,0.75
2017-03-30,江苏舜天,0600287,9.49,9.51,9.15,9.21,-0.38,-3.96,"67,708","6,279",3.75,1.55
2017-03-29,江苏舜天,0600287,9.72,9.74,9.53,9.59,-0.20,-2.04,"44,565","4,284",2.15,1.02
2017-03-28,江苏舜天,0600287,9.63,9.87,9.57,9.79,0.18,1.87,"59,694","5,803",3.12,1.37
2017-03-27,江苏舜天,0600287,9.60,9.69,9.55,9.61,-0.07,-0.72,"37,456","3,605",1.45,0.86
2017-03-24,江苏舜天,0600287,9.65,9.78,9.60,9.68,0.08,0.83,"49,189","4,764",1.88,1.13
2017-03-23,江苏舜天,0600287,9.71,9.75,9.56,9.60,-0.09,-0.93,"40,574","3,919",1.96,0.93
2017-03-22,江苏舜天,0600287,9.72,9.77,9.57,9.69,-0.08,-0.82,"44,317","4,288",2.05,1.01
2017-03-21,江苏舜天,0600287,9.91,9.92,9.65,9.77,-0.15,-1.51,"53,964","5,288",2.72,1.24
2017-03-20,江苏舜天,0600287,9.99,10.00,9.83,9.92,-0.03,-0.30,"44,193","4,379",1.71,1.01
2017-03-17,江苏舜天,0600287,10.01,10.07,9.93,9.95,-0.04,-0.40,"40,171","4,014",1.40,0.92
2017-03-16,江苏舜天,0600287,9.87,10.00,9.87,9.99,0.13,1.32,"32,302","3,214",1.32,0.74
2017-03-15,江苏舜天,0600287,10.03,10.03,9.82,9.86,-0.18,-1.79,"43,685","4,318",2.09,1.00
2017-03-14,江苏舜天,0600287,9.98,10.06,9.96,10.04,0.06,0.60,"28,603","2,863",1.00,0.65
2017-03-13,江苏舜天,0600287,9.99,10.00,9.85,9.98,-0.02,-0.20,"37,141","3,688",1.50,0.85
2017-03-10,江苏舜天,0600287,10.00,10.04,9.97,10.00,-0.01,-0.10,"25,410","2,542",0.70,0.58
2017-03-09,江苏舜天,0600287,10.15,10.15,9.92,10.01,-0.13,-1.28,"43,406","4,342",2.27,0.99
2017-03-08,江苏舜天,0600287,10.17,10.19,10.09,10.14,-0.01,-0.10,"30,599","3,103",0.99,0.70
2017-03-07,江苏舜天,0600287,10.09,10.16,10.06,10.15,0.06,0.59,"34,439","3,483",0.99,0.79
2017-03-06,江苏舜天,0600287,10.03,10.12,10.01,10.09,0.07,0.70,"32,691","3,291",1.10,0.75
2017-03-03,江苏舜天,0600287,10.09,10.11,9.97,10.02,-0.10,-0.99,"45,335","4,545",1.38,1.04
2017-03-02,江苏舜天,0600287,10.30,10.34,10.08,10.12,-0.19,-1.84,"87,417","8,893",2.52,2.00
2017-03-01,江苏舜天,0600287,10.40,10.71,10.27,10.31,-0.16,-1.53,"127,527","13,287",4.20,2.92
2017-02-28,江苏舜天,0600287,10.18,10.55,10.18,10.47,0.29,2.85,"87,629","9,045",3.63,2.01
2017-02-27,江苏舜天,0600287,10.25,10.27,10.12,10.18,-0.07,-0.68,"40,877","4,161",1.46,0.94
2017-02-24,江苏舜天,0600287,10.17,10.29,10.15,10.25,0.04,0.39,"31,051","3,171",1.37,0.71
2017-02-23,江苏舜天,0600287,10.21,10.29,10.15,10.21,-0.03,-0.29,"44,366","4,530",1.37,1.02
2017-02-22,江苏舜天,0600287,10.19,10.24,10.14,10.24,0.05,0.49,"41,179","4,193",0.98,0.94
2017-02-21,江苏舜天,0600287,10.08,10.22,10.04,10.19,0.06,0.59,"46,149","4,678",1.78,1.06
2017-02-20,江苏舜天,0600287,10.00,10.14,9.91,10.13,0.08,0.80,"49,993","5,006",2.29,1.14
2017-02-17,江苏舜天,0600287,10.29,10.39,10.03,10.05,-0.05,-0.50,"75,532","7,723",3.56,1.73
2017-02-16,江苏舜天,0600287,9.97,10.12,9.94,10.10,0.13,1.30,"48,544","4,888",1.81,1.11
2017-02-15,江苏舜天,0600287,10.10,10.13,9.95,9.97,-0.10,-0.99,"41,619","4,189",1.79,0.95
2017-02-14,江苏舜天,0600287,10.12,10.12,10.02,10.07,-0.03,-0.30,"31,086","3,127",0.99,0.71
2017-02-13,江苏舜天,0600287,10.01,10.15,10.01,10.10,0.05,0.50,"41,189","4,156",1.39,0.94
2017-02-10,江苏舜天,0600287,10.04,10.09,10.01,10.05,0.02,0.20,"37,077","3,727",0.80,0.85
2017-02-09,江苏舜天,0600287,10.00,10.09,9.93,10.03,0.01,0.10,"41,711","4,180",1.60,0.95
2017-02-08,江苏舜天,0600287,10.00,10.06,9.77,10.02,-0.06,-0.60,"58,705","5,822",2.88,1.34
2017-02-07,江苏舜天,0600287,10.21,10.31,10.02,10.08,0.03,0.30,"74,785","7,578",2.89,1.71
2017-02-06,江苏舜天,0600287,9.78,10.07,9.71,10.05,0.29,2.97,"57,384","5,661",3.69,1.31
2017-02-03,江苏舜天,0600287,9.76,9.84,9.72,9.76,-0.04,-0.41,"22,931","2,244",1.22,0.53
2017-01-26,江苏舜天,0600287,9.76,9.83,9.69,9.80,0.09,0.93,"21,106","2,063",1.44,0.48
2017-01-25,江苏舜天,0600287,9.66,9.81,9.66,9.71,0.02,0.21,"22,683","2,208",1.55,0.52
2017-01-24,江苏舜天,0600287,9.88,9.88,9.65,9.69,-0.14,-1.42,"27,391","2,660",2.34,0.63
2017-01-23,江苏舜天,0600287,9.75,9.91,9.72,9.83,0.09,0.92,"37,376","3,675",1.95,0.86
2017-01-20,江苏舜天,0600287,9.60,9.79,9.59,9.74,0.13,1.35,"26,250","2,554",2.08,0.60
2017-01-19,江苏舜天,0600287,9.58,9.73,9.30,9.61,0.04,0.42,"32,154","3,074",4.49,0.74
2017-01-18,江苏舜天,0600287,9.71,9.71,9.56,9.57,-0.15,-1.54,"27,315","2,631",1.54,0.63
2017-01-17,江苏舜天,0600287,9.71,9.77,9.40,9.72,0.02,0.21,"45,157","4,347",3.81,1.03
2017-01-16,江苏舜天,0600287,10.06,10.18,9.15,9.70,-0.41,-4.06,"49,388","4,865",10.19,1.13
2017-01-13,江苏舜天,0600287,10.40,10.43,10.09,10.11,-0.26,-2.51,"36,341","3,742",3.28,0.83
2017-01-12,江苏舜天,0600287,10.44,10.56,10.36,10.37,-0.02,-0.19,"30,227","3,166",1.92,0.69
2017-01-11,江苏舜天,0600287,10.72,10.79,10.29,10.39,-0.33,-3.08,"53,094","5,585",4.66,1.22
2017-01-10,江苏舜天,0600287,10.87,10.99,10.69,10.72,-0.20,-1.83,"44,869","4,875",2.75,1.03
2017-01-09,江苏舜天,0600287,11.00,11.00,10.76,10.92,-0.04,-0.37,"45,727","4,979",2.19,1.05
2017-01-06,江苏舜天,0600287,11.03,11.11,10.91,10.96,-0.09,-0.81,"44,831","4,930",1.81,1.03
2017-01-05,江苏舜天,0600287,10.84,11.23,10.80,11.05,0.21,1.94,"84,246","9,354",3.97,1.93
2017-01-04,江苏舜天,0600287,10.75,10.84,10.64,10.84,0.08,0.74,"41,344","4,444",1.86,0.95
2017-01-03,江苏舜天,0600287,10.66,10.85,10.62,10.76,0.07,0.65,"39,946","4,297",2.15,0.91
2017-06-30,江苏舜天,0600287,7.85,7.85,7.74,7.82,0.00,0.00,"15,150","1,181",1.41,0.35
2017-06-29,江苏舜天,0600287,7.73,7.83,7.72,7.82,0.10,1.30,"18,522","1,441",1.42,0.42
2017-06-28,江苏舜天,0600287,7.84,7.84,7.69,7.72,-0.11,-1.40,"24,162","1,868",1.92,0.55
2017-06-27,江苏舜天,0600287,7.85,7.99,7.81,7.83,-0.03,-0.38,"38,328","3,018",2.29,0.88
2017-06-26,江苏舜天,0600287,7.59,7.88,7.58,7.86,0.23,3.01,"37,460","2,896",3.93,0.86
2017-06-23,江苏舜天,0600287,7.70,7.74,7.45,7.63,-0.05,-0.65,"39,410","2,996",3.78,0.90
2017-06-22,江苏舜天,0600287,7.85,7.95,7.67,7.68,-0.20,-2.54,"43,441","3,405",3.55,0.99
2017-06-21,江苏舜天,0600287,7.86,7.91,7.77,7.88,0.02,0.25,"21,171","1,663",1.78,0.48
2017-06-20,江苏舜天,0600287,7.93,7.93,7.84,7.86,-0.02,-0.25,"22,618","1,783",1.14,0.52
2017-06-19,江苏舜天,0600287,7.81,7.92,7.80,7.88,0.04,0.51,"26,054","2,045",1.53,0.60
2017-06-16,江苏舜天,0600287,8.04,8.10,7.81,7.84,-0.09,-1.13,"47,784","3,788",3.66,1.09
2017-06-15,江苏舜天,0600287,7.70,7.95,7.70,7.93,0.25,3.26,"56,725","4,442",3.26,1.30
2017-06-14,江苏舜天,0600287,7.67,7.72,7.62,7.68,-0.03,-0.39,"32,392","2,484",1.30,0.74
2017-06-13,江苏舜天,0600287,7.43,7.72,7.43,7.71,0.22,2.94,"45,897","3,510",3.87,1.05
2017-06-12,江苏舜天,0600287,7.53,7.63,7.48,7.49,-0.13,-1.71,"23,357","1,769",1.97,0.53
2017-06-09,江苏舜天,0600287,7.60,7.63,7.51,7.62,0.01,0.13,"21,054","1,595",1.58,0.48
2017-06-08,江苏舜天,0600287,7.68,7.69,7.57,7.61,-0.06,-0.78,"29,060","2,218",1.56,0.67
2017-06-07,江苏舜天,0600287,7.45,7.67,7.45,7.67,0.18,2.40,"39,025","2,965",2.94,0.89
2017-06-06,江苏舜天,0600287,7.44,7.51,7.38,7.49,0.05,0.67,"23,400","1,740",1.75,0.54
2017-06-05,江苏舜天,0600287,7.35,7.46,7.33,7.44,0.09,1.22,"27,330","2,025",1.77,0.63
2017-06-02,江苏舜天,0600287,7.21,7.37,7.14,7.35,0.15,2.08,"25,632","1,858",3.19,0.59
2017-06-01,江苏舜天,0600287,7.47,7.47,7.19,7.20,-0.27,-3.61,"24,768","1,811",3.75,0.57
2017-05-31,江苏舜天,0600287,7.58,7.65,7.39,7.47,0.00,0.00,"23,929","1,808",3.48,0.55
2017-05-26,江苏舜天,0600287,7.47,7.52,7.43,7.47,0.02,0.27,"16,425","1,227",1.21,0.38
2017-05-25,江苏舜天,0600287,7.37,7.56,7.24,7.52,0.15,2.04,"32,571","2,412",4.34,0.75
2017-05-24,江苏舜天,0600287,7.39,7.39,7.22,7.37,-0.02,-0.27,"27,060","1,978",2.30,0.62
2017-05-23,江苏舜天,0600287,7.74,7.77,7.38,7.39,-0.35,-4.52,"39,659","2,998",5.04,0.91
2017-05-22,江苏舜天,0600287,7.95,7.96,7.70,7.74,-0.21,-2.64,"20,835","1,628",3.27,0.48
2017-05-19,江苏舜天,0600287,7.96,7.98,7.87,7.95,-0.01,-0.13,"16,736","1,326",1.38,0.38
2017-05-18,江苏舜天,0600287,7.90,7.97,7.86,7.96,-0.02,-0.25,"24,945","1,976",1.38,0.57
