日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,瑞茂通,0600180,13.07,13.20,13.03,13.15,0.08,0.61,"10,703","1,405",1.30,0.12
2017-09-28,瑞茂通,0600180,13.11,13.31,13.03,13.07,-0.03,-0.23,"17,369","2,285",2.14,0.20
2017-09-27,瑞茂通,0600180,13.09,13.17,13.04,13.10,0.01,0.08,"13,390","1,754",0.99,0.15
2017-09-26,瑞茂通,0600180,13.01,13.11,13.00,13.09,0.08,0.61,"10,310","1,346",0.85,0.12
2017-09-25,瑞茂通,0600180,13.22,13.30,12.96,13.01,-0.19,-1.44,"24,086","3,144",2.58,0.27
2017-09-22,瑞茂通,0600180,13.41,13.46,13.18,13.20,-0.19,-1.42,"25,221","3,342",2.09,0.29
2017-09-21,瑞茂通,0600180,13.69,13.77,13.37,13.39,-0.33,-2.41,"27,944","3,787",2.92,0.32
2017-09-20,瑞茂通,0600180,13.71,13.76,13.49,13.72,0.01,0.07,"23,902","3,259",1.97,0.27
2017-09-19,瑞茂通,0600180,13.91,13.96,13.66,13.71,-0.25,-1.79,"29,357","4,045",2.15,0.33
2017-09-18,瑞茂通,0600180,13.99,14.07,13.91,13.96,-0.03,-0.21,"17,431","2,435",1.14,0.20
2017-09-15,瑞茂通,0600180,14.00,14.13,13.87,13.99,-0.01,-0.07,"19,685","2,756",1.86,0.22
2017-09-14,瑞茂通,0600180,13.79,14.05,13.75,14.00,0.19,1.38,"25,065","3,487",2.17,0.28
2017-09-13,瑞茂通,0600180,13.81,13.87,13.66,13.81,-0.08,-0.58,"26,303","3,618",1.51,0.30
2017-09-12,瑞茂通,0600180,14.14,14.27,13.85,13.89,-0.21,-1.49,"47,378","6,660",2.98,0.54
2017-09-11,瑞茂通,0600180,14.00,14.15,13.93,14.10,0.01,0.07,"31,271","4,395",1.56,0.35
2017-09-08,瑞茂通,0600180,14.17,14.30,14.03,14.09,-0.08,-0.56,"34,319","4,865",1.91,0.39
2017-09-07,瑞茂通,0600180,14.37,14.51,14.10,14.17,-0.20,-1.39,"56,434","8,054",2.85,0.64
2017-09-06,瑞茂通,0600180,13.77,14.40,13.70,14.37,0.53,3.83,"70,046","9,915",5.06,0.79
2017-09-05,瑞茂通,0600180,13.97,14.00,13.81,13.84,-0.15,-1.07,"30,757","4,271",1.36,0.35
2017-09-04,瑞茂通,0600180,13.96,14.10,13.81,13.99,0.00,0.00,"31,924","4,434",2.07,0.36
2017-09-01,瑞茂通,0600180,13.85,14.15,13.75,13.99,0.15,1.08,"42,571","5,937",2.89,0.48
2017-08-31,瑞茂通,0600180,13.89,13.93,13.77,13.84,-0.03,-0.22,"20,817","2,881",1.15,0.24
2017-08-30,瑞茂通,0600180,13.70,13.96,13.69,13.87,0.17,1.24,"28,518","3,947",1.97,0.32
2017-08-29,瑞茂通,0600180,13.75,13.95,13.68,13.70,-0.12,-0.87,"43,650","6,026",1.95,0.49
