日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,百大集团,0600865,11.11,11.80,11.11,11.74,0.64,5.77,"103,048","11,897",6.22,2.74
2017-06-29,百大集团,0600865,11.08,11.16,10.79,11.10,0.00,0.00,"70,661","7,763",3.33,1.88
2017-06-28,百大集团,0600865,10.90,11.20,10.87,11.10,0.13,1.19,"66,610","7,376",3.01,1.77
2017-06-27,百大集团,0600865,10.74,11.08,10.61,10.97,0.12,1.11,"88,588","9,609",4.33,2.35
2017-06-26,百大集团,0600865,10.14,10.91,10.06,10.85,0.71,7.00,"137,355","14,515",8.38,3.65
2017-06-23,百大集团,0600865,9.93,10.19,9.74,10.14,0.22,2.22,"27,785","2,758",4.54,0.74
2017-06-22,百大集团,0600865,10.12,10.14,9.91,9.92,-0.19,-1.88,"22,137","2,223",2.28,0.59
2017-06-21,百大集团,0600865,10.30,10.30,10.03,10.11,-0.12,-1.17,"24,444","2,476",2.64,0.65
2017-06-20,百大集团,0600865,10.25,10.32,10.21,10.23,0.00,0.00,"16,536","1,695",1.08,0.44
2017-06-19,百大集团,0600865,10.16,10.24,10.16,10.23,0.06,0.59,"18,049","1,843",0.79,0.48
2017-06-16,百大集团,0600865,10.24,10.27,10.16,10.17,-0.06,-0.59,"14,815","1,509",1.08,0.39
2017-06-15,百大集团,0600865,10.07,10.25,10.07,10.23,0.10,0.99,"26,209","2,668",1.78,0.70
2017-06-14,百大集团,0600865,10.05,10.28,10.05,10.13,0.06,0.60,"26,325","2,675",2.28,0.70
2017-06-13,百大集团,0600865,9.90,10.12,9.89,10.07,0.19,1.92,"17,272","1,737",2.33,0.46
2017-06-12,百大集团,0600865,10.14,10.14,9.86,9.88,-0.28,-2.76,"26,775","2,683",2.76,0.71
2017-06-09,百大集团,0600865,10.10,10.20,10.05,10.16,0.12,1.20,"33,241","3,370",1.49,0.88
2017-06-08,百大集团,0600865,10.09,10.13,10.01,10.04,-0.07,-0.69,"17,182","1,728",1.19,0.46
2017-06-07,百大集团,0600865,9.93,10.15,9.87,10.11,0.17,1.71,"34,117","3,424",2.82,0.91
2017-06-06,百大集团,0600865,9.89,9.96,9.79,9.94,0.07,0.71,"15,458","1,527",1.72,0.41
2017-06-05,百大集团,0600865,9.77,9.99,9.65,9.87,0.15,1.54,"20,078","1,975",3.50,0.53
2017-06-02,百大集团,0600865,9.60,9.84,9.26,9.72,0.06,0.62,"35,887","3,427",6.00,0.95
