日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-06-30,百洋医药,1301015,35.10,56.16,35.10,56.16,48.52,635.08,"316,677","123,547",275.65,71.26
2021-12-31,百洋医药,1301015,29.63,31.29,29.45,30.30,0.41,1.37,"93,751","28,416",6.16,19.80
2021-12-30,百洋医药,1301015,28.65,30.03,28.48,29.89,1.01,3.50,"73,532","21,555",5.37,15.53
2021-12-29,百洋医药,1301015,29.42,30.00,28.80,28.88,-0.54,-1.84,"41,594","12,242",4.08,9.36
2021-12-28,百洋医药,1301015,29.60,29.85,28.89,29.42,-0.18,-0.61,"49,743","14,567",3.24,11.19
2021-12-27,百洋医药,1301015,27.30,30.17,26.45,29.60,2.00,7.25,"94,892","27,419",13.48,21.35
2021-12-24,百洋医药,1301015,27.86,28.33,27.45,27.60,-0.25,-0.90,"28,088","7,849",3.16,6.32
2021-12-23,百洋医药,1301015,28.96,29.10,27.71,27.85,-1.19,-4.10,"37,073","10,437",4.79,8.34
2021-12-22,百洋医药,1301015,28.67,29.50,28.53,29.04,0.29,1.01,"32,057","9,322",3.37,7.21
2021-12-21,百洋医药,1301015,28.70,29.19,28.27,28.75,-0.25,-0.86,"34,481","9,878",3.17,7.76
2021-12-20,百洋医药,1301015,27.33,29.40,27.33,29.00,1.45,5.26,"69,990","20,081",7.51,15.75
2021-12-17,百洋医药,1301015,29.09,29.09,27.43,27.55,-1.20,-4.17,"45,770","12,787",5.77,10.30
2021-12-16,百洋医药,1301015,29.51,29.73,28.27,28.75,-0.49,-1.68,"47,754","13,677",4.99,10.75
2021-12-15,百洋医药,1301015,27.99,30.46,27.90,29.24,1.18,4.21,"78,701","23,147",9.12,17.71
2021-12-14,百洋医药,1301015,27.24,28.15,27.11,28.06,0.79,2.90,"25,825","7,174",3.81,5.81
2021-12-13,百洋医药,1301015,27.76,27.76,26.88,27.27,-0.28,-1.02,"20,416","5,546",3.19,4.59
2021-12-10,百洋医药,1301015,27.75,28.08,27.50,27.55,-0.35,-1.25,"19,453","5,398",2.08,4.38
2021-12-09,百洋医药,1301015,27.80,28.39,27.35,27.90,0.33,1.20,"28,644","7,996",3.77,6.45
2021-12-08,百洋医药,1301015,27.59,27.64,27.28,27.57,0.19,0.69,"17,203","4,725",1.31,3.87
2021-12-07,百洋医药,1301015,27.30,27.99,27.02,27.38,-0.06,-0.22,"22,666","6,224",3.54,5.10
2021-12-06,百洋医药,1301015,29.30,29.32,27.31,27.44,-1.86,-6.35,"45,122","12,617",6.86,10.15
2021-12-03,百洋医药,1301015,28.35,29.90,28.35,29.30,0.69,2.41,"39,695","11,613",5.42,8.93
2021-12-02,百洋医药,1301015,28.98,29.42,28.25,28.61,-0.48,-1.65,"34,654","9,994",4.02,7.80
2021-12-01,百洋医药,1301015,29.24,29.69,28.71,29.09,-0.56,-1.89,"38,298","11,170",3.31,8.62
2021-11-30,百洋医药,1301015,30.00,30.00,28.83,29.65,-0.56,-1.85,"65,911","19,310",3.87,14.83
2021-11-29,百洋医药,1301015,29.50,30.49,29.25,30.21,1.35,4.68,"84,414","25,257",4.30,18.99
2021-11-26,百洋医药,1301015,29.06,30.56,28.85,28.86,-0.41,-1.40,"65,317","19,288",5.84,14.70
2021-11-25,百洋医药,1301015,28.70,29.73,28.60,29.27,0.28,0.97,"66,360","19,401",3.90,14.93
2021-11-24,百洋医药,1301015,28.16,29.25,27.64,28.99,0.66,2.33,"65,829","18,849",5.68,14.81
2021-11-23,百洋医药,1301015,27.49,28.33,27.15,28.33,0.93,3.39,"39,695","11,013",4.31,8.93
2021-11-22,百洋医药,1301015,27.52,27.76,26.90,27.40,-0.10,-0.36,"25,060","6,842",3.13,5.64
2021-11-19,百洋医药,1301015,28.01,28.06,27.16,27.50,-0.42,-1.50,"32,313","8,886",3.22,7.27
2021-11-18,百洋医药,1301015,28.77,29.45,27.81,27.92,-0.99,-3.42,"40,487","11,532",5.67,9.11
2021-11-17,百洋医药,1301015,27.76,29.84,27.75,28.91,1.16,4.18,"70,752","20,454",7.53,15.92
2021-11-16,百洋医药,1301015,29.01,29.58,27.69,27.75,-1.25,-4.31,"61,839","17,596",6.52,13.91
2021-11-15,百洋医药,1301015,28.64,29.20,28.00,29.00,0.91,3.24,"61,891","17,715",4.27,13.93
2021-11-12,百洋医药,1301015,27.52,28.26,27.36,28.09,0.43,1.55,"36,533","10,184",3.25,8.22
2021-11-11,百洋医药,1301015,27.55,28.14,27.17,27.66,0.17,0.62,"47,270","13,075",3.53,10.64
2021-11-10,百洋医药,1301015,26.84,27.59,26.70,27.49,0.65,2.42,"44,645","12,157",3.32,10.05
2021-11-09,百洋医药,1301015,26.07,27.20,26.05,26.84,0.77,2.95,"29,319","7,837",4.41,6.60
2021-11-08,百洋医药,1301015,25.53,26.07,25.45,26.07,0.45,1.76,"19,818","5,119",2.42,4.46
2021-11-05,百洋医药,1301015,26.68,26.71,25.20,25.62,-1.03,-3.86,"30,947","8,110",5.67,6.96
2021-11-04,百洋医药,1301015,27.05,27.20,26.56,26.65,-0.59,-2.17,"32,571","8,712",2.35,7.33
2021-11-03,百洋医药,1301015,26.88,27.59,26.48,27.24,0.08,0.29,"34,025","9,224",4.09,7.66
2021-11-02,百洋医药,1301015,26.69,27.64,26.65,27.16,0.24,0.89,"32,523","8,836",3.68,7.32
2021-11-01,百洋医药,1301015,26.60,27.46,26.54,26.92,0.08,0.30,"26,368","7,138",3.43,5.93
2021-10-29,百洋医药,1301015,26.86,27.30,26.31,26.84,0.56,2.13,"31,579","8,454",3.77,7.11
2021-10-28,百洋医药,1301015,25.90,26.55,25.83,26.28,0.12,0.46,"26,051","6,820",2.75,5.86
2021-10-27,百洋医药,1301015,26.70,27.00,25.76,26.16,-0.54,-2.02,"32,128","8,393",4.64,7.23
2021-10-26,百洋医药,1301015,28.26,28.35,26.68,26.70,-1.93,-6.74,"58,907","16,117",5.83,13.25
2021-10-25,百洋医药,1301015,28.00,29.27,27.50,28.63,0.13,0.46,"40,287","11,458",6.21,9.07
2021-10-22,百洋医药,1301015,29.34,30.98,28.41,28.50,-1.24,-4.17,"72,894","21,670",8.64,16.40
2021-10-21,百洋医药,1301015,27.89,29.86,27.51,29.74,1.74,6.21,"73,373","21,142",8.39,16.51
2021-10-20,百洋医药,1301015,29.02,29.15,27.31,28.00,-1.29,-4.40,"59,804","16,805",6.28,13.46
2021-10-19,百洋医药,1301015,28.60,29.35,28.11,29.29,0.37,1.28,"45,026","12,945",4.29,10.13
2021-10-18,百洋医药,1301015,28.78,29.63,28.06,28.92,-0.08,-0.28,"46,051","13,235",5.41,10.36
