日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2020-12-31,立方制药,1003020,34.00,35.29,33.83,34.38,0.46,1.36,"27,567","9,526",4.30,11.90
2020-12-30,立方制药,1003020,33.99,34.78,32.90,33.92,-0.14,-0.41,"30,288","10,172",5.52,13.08
2020-12-29,立方制药,1003020,33.56,34.49,33.56,34.06,0.51,1.52,"24,746","8,425",2.77,10.68
2020-12-28,立方制药,1003020,34.45,34.79,33.38,33.55,-1.27,-3.65,"31,168","10,581",4.05,13.46
2020-12-25,立方制药,1003020,34.39,35.87,34.13,34.82,0.02,0.06,"30,624","10,798",5.00,13.22
2020-12-24,立方制药,1003020,36.70,36.70,34.68,34.80,-2.00,-5.43,"44,017","15,655",5.49,19.01
2020-12-23,立方制药,1003020,38.38,38.80,36.50,36.80,-2.30,-5.88,"61,935","23,058",5.88,26.74
2020-12-22,立方制药,1003020,38.80,40.86,38.12,39.10,-0.80,-2.01,"60,793","24,062",6.87,26.25
2020-12-21,立方制药,1003020,39.91,41.95,39.90,39.90,-4.43,-9.99,"95,109","38,437",4.62,41.07
2020-12-18,立方制药,1003020,44.33,44.33,41.20,44.33,4.03,10.00,"128,462","55,702",7.77,55.47
2020-12-17,立方制药,1003020,40.30,40.30,40.30,40.30,3.66,9.99,978,394,0.00,0.42
2020-12-16,立方制药,1003020,36.64,36.64,36.64,36.64,3.33,10.00,874,320,0.00,0.38
2020-12-15,立方制药,1003020,27.76,33.31,27.76,33.31,10.18,44.01,"1,492",496,23.99,0.64
2021-06-30,立方制药,1003020,52.48,52.48,50.05,51.20,-0.83,-1.60,"12,329","6,289",4.67,5.32
2021-06-29,立方制药,1003020,53.50,53.50,51.76,52.03,-1.47,-2.75,"10,526","5,482",3.25,4.54
2021-06-28,立方制药,1003020,53.00,53.58,51.89,53.50,0.60,1.13,"9,092","4,794",3.19,3.93
2021-06-25,立方制药,1003020,51.33,53.61,51.33,52.90,1.24,2.40,"15,082","7,919",4.41,6.51
2021-06-24,立方制药,1003020,55.00,55.00,51.30,51.66,-3.55,-6.43,"16,135","8,464",6.70,6.97
2021-06-23,立方制药,1003020,52.78,55.53,51.71,55.21,1.91,3.58,"21,540","11,651",7.17,9.30
2021-06-22,立方制药,1003020,57.01,57.20,51.51,53.30,-3.41,-6.01,"25,421","13,497",10.03,10.98
2021-06-21,立方制药,1003020,55.05,57.98,54.45,56.71,1.29,2.33,"13,081","7,347",6.37,5.65
2021-06-18,立方制药,1003020,54.76,56.34,54.33,55.42,0.72,1.32,"11,056","6,118",3.67,4.77
2021-06-17,立方制药,1003020,54.61,55.39,54.05,54.70,-0.50,-0.91,"11,193","6,112",2.43,4.83
2021-06-16,立方制药,1003020,55.47,56.88,54.30,55.20,0.12,0.22,"13,901","7,721",4.68,6.00
2021-06-15,立方制药,1003020,57.10,58.00,54.60,55.08,-2.03,-3.55,"17,304","9,696",5.95,7.47
2021-06-11,立方制药,1003020,59.79,60.74,56.30,57.11,-3.18,-5.27,"18,072","10,384",7.36,7.80
2021-06-10,立方制药,1003020,59.20,61.09,57.66,60.29,3.15,5.51,"24,075","14,310",6.00,10.39
2021-06-09,立方制药,1003020,58.56,61.00,56.00,57.14,-4.79,-7.73,"39,028","22,639",8.07,16.85
2021-06-08,立方制药,1003020,70.18,70.70,61.93,61.93,-6.88,-10.00,"24,688","16,200",12.75,10.66
2021-06-07,立方制药,1003020,66.95,71.18,64.78,68.81,3.17,4.83,"28,817","19,583",9.75,12.44
2021-06-04,立方制药,1003020,64.67,69.32,64.67,65.64,0.82,1.27,"27,689","18,549",7.17,11.96
2021-06-03,立方制药,1003020,64.09,65.80,61.74,64.82,1.81,2.87,"27,426","17,525",6.44,11.84
2021-06-02,立方制药,1003020,66.01,72.77,63.01,63.01,-4.53,-6.71,"46,772","31,787",14.45,20.20
2021-06-01,立方制药,1003020,64.00,67.54,60.68,67.54,6.14,10.00,"28,113","18,235",11.17,12.14
2021-05-31,立方制药,1003020,64.89,65.00,59.51,61.40,-0.93,-1.49,"45,979","28,306",8.81,19.85
2021-05-28,立方制药,1003020,59.04,62.33,58.99,62.33,5.67,10.01,"25,152","15,461",5.89,10.86
