日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-12-31,天源环保,1301127,20.95,21.88,19.86,20.17,-3.10,-13.32,"472,311","97,298",8.68,49.07
2021-12-30,天源环保,1301127,19.51,24.38,19.50,23.27,11.24,93.43,"690,953","148,329",40.57,71.79
2022-08-16,天源环保,1301127,10.94,10.98,10.90,10.94,0.04,0.37,"17,821","1,948",0.73,1.74
2022-08-15,天源环保,1301127,10.96,10.98,10.86,10.90,-0.12,-1.09,"25,938","2,827",1.09,2.53
2022-08-12,天源环保,1301127,11.12,11.12,11.01,11.02,-0.06,-0.54,"30,114","3,330",0.99,2.94
2022-08-11,天源环保,1301127,10.94,11.10,10.94,11.08,0.17,1.56,"32,219","3,559",1.47,3.14
2022-08-10,天源环保,1301127,10.99,11.04,10.84,10.91,-0.08,-0.73,"25,411","2,777",1.82,2.48
2022-08-09,天源环保,1301127,10.94,11.09,10.91,10.99,0.00,0.00,"26,228","2,885",1.64,2.56
2022-08-08,天源环保,1301127,10.96,11.03,10.86,10.99,0.02,0.18,"19,940","2,187",1.55,1.95
2022-08-05,天源环保,1301127,10.85,10.97,10.83,10.97,0.11,1.01,"24,290","2,646",1.29,2.37
2022-08-04,天源环保,1301127,10.79,10.91,10.66,10.86,0.18,1.69,"25,916","2,801",2.34,2.53
2022-08-03,天源环保,1301127,10.74,10.98,10.64,10.68,-0.07,-0.65,"36,148","3,920",3.16,3.53
2022-08-02,天源环保,1301127,11.41,11.41,10.60,10.75,-0.66,-5.78,"62,029","6,738",7.10,6.05
2022-08-01,天源环保,1301127,11.53,11.57,11.37,11.41,-0.16,-1.38,"34,946","3,996",1.73,3.41
2022-07-29,天源环保,1301127,11.80,11.83,11.51,11.57,-0.16,-1.36,"35,919","4,185",2.73,3.50
2022-07-28,天源环保,1301127,11.67,11.90,11.66,11.73,0.09,0.77,"43,420","5,110",2.06,4.24
2022-07-27,天源环保,1301127,11.63,11.81,11.57,11.64,0.03,0.26,"47,600","5,550",2.07,4.64
2022-07-26,天源环保,1301127,11.70,11.93,11.16,11.61,-0.02,-0.17,"79,437","9,097",6.62,7.75
2022-07-25,天源环保,1301127,11.90,12.13,11.59,11.63,-0.38,-3.16,"72,297","8,508",4.50,7.05
2022-07-22,天源环保,1301127,11.53,12.22,11.53,12.01,0.44,3.80,"136,943","16,442",5.96,13.36
2022-07-21,天源环保,1301127,11.65,11.80,11.56,11.57,-0.08,-0.69,"43,440","5,066",2.06,4.24
2022-07-20,天源环保,1301127,11.76,11.90,11.61,11.65,-0.12,-1.02,"57,346","6,691",2.46,5.59
2022-07-19,天源环保,1301127,12.07,12.09,11.63,11.77,-0.05,-0.42,"95,389","11,287",3.89,9.31
2022-07-18,天源环保,1301127,11.38,12.06,11.38,11.82,0.37,3.23,"136,093","16,086",5.94,13.28
2022-07-15,天源环保,1301127,11.05,11.77,10.95,11.45,0.32,2.88,"104,519","11,923",7.37,10.20
