日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-06-30,百川畅银,1300614,55.10,57.09,54.35,55.32,-0.36,-0.65,"43,383","24,134",4.92,11.40
2021-06-29,百川畅银,1300614,59.00,59.22,54.71,55.68,-3.01,-5.13,"56,654","32,185",7.68,14.89
2021-06-28,百川畅银,1300614,62.02,63.49,57.90,58.69,-4.29,-6.81,"66,937","39,955",8.88,17.60
2021-06-25,百川畅银,1300614,61.09,63.98,59.80,62.98,1.48,2.41,"52,098","32,424",6.80,13.70
2021-06-24,百川畅银,1300614,62.96,64.14,58.58,61.50,-2.49,-3.89,"51,239","31,731",8.69,13.47
2021-06-23,百川畅银,1300614,65.00,68.88,62.65,63.99,-1.15,-1.77,"66,013","43,001",9.56,17.35
2021-06-22,百川畅银,1300614,59.71,69.10,59.04,65.14,5.47,9.17,"96,422","61,342",16.86,25.35
2021-06-21,百川畅银,1300614,55.62,62.16,55.62,59.67,2.80,4.92,"64,503","37,984",11.50,16.96
2021-06-18,百川畅银,1300614,55.03,58.17,52.90,56.87,1.58,2.86,"60,311","33,638",9.53,15.86
2021-06-17,百川畅银,1300614,55.63,57.28,53.21,55.29,-0.31,-0.56,"59,950","32,977",7.32,15.76
2021-06-16,百川畅银,1300614,59.60,59.60,54.00,55.60,-3.97,-6.66,"62,821","35,467",9.40,16.51
2021-06-15,百川畅银,1300614,68.50,69.68,59.04,59.57,-9.35,-13.57,"87,163","55,970",15.44,22.91
2021-06-11,百川畅银,1300614,65.38,70.30,65.38,68.92,3.54,5.41,"92,506","63,169",7.53,24.32
2021-06-10,百川畅银,1300614,67.36,69.56,64.87,65.38,-2.19,-3.24,"86,780","58,074",6.94,22.81
2021-06-09,百川畅银,1300614,60.60,70.99,58.88,67.57,5.09,8.15,"116,403","75,000",19.38,30.60
2021-06-08,百川畅银,1300614,56.66,65.11,56.60,62.48,3.97,6.79,"107,165","65,456",14.54,28.17
2021-06-07,百川畅银,1300614,59.54,63.36,58.40,58.51,-0.57,-0.96,"96,051","58,389",8.40,25.25
2021-06-04,百川畅银,1300614,63.00,66.17,58.33,59.08,-3.97,-6.30,"118,322","73,242",12.43,31.11
2021-06-03,百川畅银,1300614,54.58,65.98,52.89,63.05,7.79,14.10,"149,589","86,971",23.69,39.32
2021-06-02,百川畅银,1300614,62.00,63.90,54.58,55.26,1.00,1.84,"170,877","100,864",17.18,44.92
2021-06-01,百川畅银,1300614,49.50,54.26,49.00,54.26,9.04,19.99,"54,035","28,396",11.63,14.21
2021-05-31,百川畅银,1300614,40.50,46.44,40.50,45.22,2.61,6.13,"143,076","63,158",13.94,37.61
2021-05-28,百川畅银,1300614,46.50,47.99,42.42,42.61,-3.49,-7.57,"156,279","70,461",12.08,41.08
2021-05-27,百川畅银,1300614,44.11,52.30,42.70,46.10,0.09,0.20,"225,102","104,485",20.87,59.18
2021-05-26,百川畅银,1300614,35.90,52.58,35.90,46.01,10.11,28.16,"273,763","116,300",46.46,71.97
2021-05-25,百川畅银,1300614,40.15,42.15,34.48,35.90,26.71,290.64,"266,488","100,061",83.46,70.06
2021-09-30,百川畅银,1300614,48.88,52.08,47.74,50.64,2.94,6.16,"71,763","36,104",9.10,18.87
2021-09-29,百川畅银,1300614,47.47,51.40,46.47,47.70,-1.80,-3.64,"67,418","32,892",9.96,17.72
2021-09-28,百川畅银,1300614,44.05,52.00,44.05,49.50,4.20,9.27,"96,561","46,611",17.55,25.38
2021-09-27,百川畅银,1300614,43.05,46.88,42.20,45.30,3.01,7.12,"68,084","30,147",11.07,17.90
2021-09-24,百川畅银,1300614,43.50,43.80,41.64,42.29,-3.71,-8.07,"56,593","24,161",4.70,14.88
2021-09-23,百川畅银,1300614,41.51,48.84,41.06,46.00,5.30,13.02,"82,431","37,517",19.12,21.67
2021-09-22,百川畅银,1300614,38.40,42.00,38.20,40.70,1.84,4.73,"25,113","10,132",9.78,6.60
2021-09-17,百川畅银,1300614,40.40,40.80,38.30,38.86,-1.45,-3.60,"21,010","8,275",6.20,5.52
2021-09-16,百川畅银,1300614,40.80,41.69,40.31,40.31,-0.79,-1.92,"15,163","6,207",3.36,3.99
2021-09-15,百川畅银,1300614,41.88,41.99,40.00,41.10,-0.70,-1.67,"17,718","7,244",4.76,4.66
2021-09-14,百川畅银,1300614,41.58,42.29,41.50,41.80,-1.14,-2.65,"25,173","10,515",1.84,6.62
2021-09-13,百川畅银,1300614,43.50,45.40,42.61,42.94,0.87,2.07,"34,045","14,989",6.63,8.95
2021-09-10,百川畅银,1300614,42.77,43.19,41.97,42.07,-0.85,-1.98,"19,072","8,070",2.84,5.01
2021-09-09,百川畅银,1300614,44.00,44.01,42.50,42.92,-1.31,-2.96,"24,423","10,520",3.41,6.42
2021-09-08,百川畅银,1300614,44.00,45.77,44.00,44.23,0.87,2.01,"27,200","12,160",4.08,7.15
2021-09-07,百川畅银,1300614,44.38,44.38,43.09,43.36,-0.94,-2.12,"23,932","10,393",2.91,6.29
2021-09-06,百川畅银,1300614,44.10,45.40,43.40,44.30,0.27,0.61,"22,627","10,012",4.54,5.95
2021-09-03,百川畅银,1300614,43.41,45.08,43.20,44.03,0.21,0.48,"24,807","10,956",4.29,6.52
2021-09-02,百川畅银,1300614,42.85,45.40,42.85,43.82,1.12,2.62,"33,827","15,000",5.97,8.89
2021-09-01,百川畅银,1300614,43.80,43.80,41.57,42.70,-2.09,-4.67,"35,199","14,975",4.98,9.25
2021-08-31,百川畅银,1300614,41.40,45.55,41.40,44.79,3.57,8.66,"54,964","24,312",10.07,14.45
2021-08-30,百川畅银,1300614,41.08,41.98,41.02,41.22,0.14,0.34,"19,631","8,150",2.34,5.16
2021-08-27,百川畅银,1300614,41.49,42.48,40.72,41.08,-0.53,-1.27,"16,865","6,958",4.23,4.43
2021-08-26,百川畅银,1300614,43.18,44.00,41.60,41.61,-1.67,-3.86,"22,632","9,599",5.55,5.95
2021-08-25,百川畅银,1300614,43.58,43.59,42.00,43.28,-0.35,-0.80,"16,680","7,152",3.64,4.38
2021-08-24,百川畅银,1300614,42.88,44.15,42.58,43.63,0.93,2.18,"22,444","9,774",3.68,5.90
2021-08-23,百川畅银,1300614,42.60,43.30,42.50,42.70,0.25,0.59,"24,655","10,577",1.88,6.48
2021-08-20,百川畅银,1300614,45.33,45.80,42.00,42.45,-3.36,-7.33,"44,239","19,074",8.30,11.63
2021-08-19,百川畅银,1300614,47.00,47.88,45.65,45.81,-0.10,-0.22,"21,905","10,150",4.86,5.76
2021-08-18,百川畅银,1300614,46.26,47.18,45.44,45.91,-0.68,-1.46,"22,757","10,487",3.73,5.98
2021-08-17,百川畅银,1300614,49.60,50.00,46.01,46.59,-3.82,-7.58,"31,053","14,945",7.92,8.16
2021-08-16,百川畅银,1300614,49.88,50.50,48.36,50.41,0.70,1.41,"27,947","13,880",4.31,7.35
2021-08-13,百川畅银,1300614,50.37,51.40,49.60,49.71,-1.74,-3.38,"32,988","16,539",3.50,8.67
2021-08-12,百川畅银,1300614,52.81,56.31,51.41,51.45,0.04,0.08,"54,251","29,049",9.53,14.26
2021-08-11,百川畅银,1300614,50.98,53.45,49.40,51.41,1.31,2.61,"54,602","28,337",8.08,14.35
2021-08-10,百川畅银,1300614,48.85,50.60,48.05,50.10,1.18,2.41,"28,315","13,961",5.21,7.44
2021-08-09,百川畅银,1300614,47.58,50.58,47.58,48.92,1.04,2.17,"22,416","10,982",6.27,5.89
2021-08-06,百川畅银,1300614,48.44,49.50,46.79,47.88,-1.00,-2.05,"23,331","11,177",5.54,6.13
2021-08-05,百川畅银,1300614,49.78,50.88,48.36,48.88,-1.14,-2.28,"23,780","11,740",5.04,6.25
2021-08-04,百川畅银,1300614,49.31,51.46,48.50,50.02,1.29,2.65,"31,180","15,609",6.07,8.20
2021-08-03,百川畅银,1300614,49.76,51.00,48.56,48.73,-1.47,-2.93,"35,437","17,626",4.86,9.32
2021-08-02,百川畅银,1300614,44.97,51.38,43.51,50.20,5.23,11.63,"62,177","29,879",17.50,16.35
2021-07-30,百川畅银,1300614,46.94,48.16,44.81,44.97,-1.98,-4.22,"44,737","20,503",7.14,11.76
2021-07-29,百川畅银,1300614,46.45,48.30,46.45,46.95,1.48,3.25,"41,466","19,549",4.07,10.90
2021-07-28,百川畅银,1300614,50.59,50.80,40.78,45.47,-5.13,-10.14,"47,429","21,797",19.80,12.47
2021-07-27,百川畅银,1300614,52.25,53.10,50.20,50.60,-3.30,-6.12,"47,507","24,503",5.38,12.49
2021-07-26,百川畅银,1300614,51.15,55.55,51.15,53.90,2.74,5.36,"59,701","32,129",8.60,15.69
2021-07-23,百川畅银,1300614,53.80,54.33,50.00,51.16,-3.44,-6.30,"67,592","34,861",7.93,17.77
2021-07-22,百川畅银,1300614,55.00,56.90,54.01,54.60,-0.43,-0.78,"52,639","29,129",5.25,13.84
2021-07-21,百川畅银,1300614,55.09,56.38,54.13,55.03,-0.05,-0.09,"42,814","23,576",4.09,11.26
2021-07-20,百川畅银,1300614,53.30,56.19,53.28,55.08,0.50,0.92,"44,408","24,395",5.33,11.67
2021-07-19,百川畅银,1300614,56.50,57.71,53.96,54.58,-4.53,-7.66,"66,356","36,611",6.34,17.44
2021-07-16,百川畅银,1300614,69.70,71.48,58.58,59.11,-8.00,-11.92,"99,603","64,032",19.22,26.18
2021-07-15,百川畅银,1300614,64.00,67.62,62.42,67.11,1.05,1.59,"70,198","45,641",7.87,18.45
2021-07-14,百川畅银,1300614,71.00,73.77,63.08,66.06,-1.04,-1.55,"129,204","88,995",15.93,33.97
2021-07-13,百川畅银,1300614,56.80,67.10,56.60,67.10,11.18,19.99,"111,021","69,329",18.78,29.19
2021-07-12,百川畅银,1300614,55.67,57.13,53.78,55.92,0.99,1.80,"46,174","25,448",6.10,12.14
2021-07-09,百川畅银,1300614,52.61,57.30,51.57,54.93,-0.87,-1.56,"55,555","30,209",10.27,14.60
2021-07-08,百川畅银,1300614,57.89,61.98,55.79,55.80,1.72,3.18,"74,696","43,408",11.45,19.64
2021-07-07,百川畅银,1300614,53.76,54.87,52.50,54.08,-1.06,-1.92,"32,767","17,641",4.30,8.61
2021-07-06,百川畅银,1300614,52.10,56.50,51.63,55.14,3.00,5.75,"45,850","25,101",9.34,12.05
2021-07-05,百川畅银,1300614,52.50,53.35,51.33,52.14,-0.39,-0.74,"25,683","13,352",3.85,6.75
2021-07-02,百川畅银,1300614,54.82,54.82,50.61,52.53,-1.87,-3.44,"36,796","19,380",7.74,9.67
2021-07-01,百川畅银,1300614,54.80,56.37,53.66,54.40,-0.92,-1.66,"33,906","18,572",4.90,8.91
2021-12-31,百川畅银,1300614,47.62,48.89,47.62,48.00,0.38,0.80,"15,704","7,570",2.67,3.92
2021-12-30,百川畅银,1300614,47.00,48.22,46.99,47.62,0.33,0.70,"10,040","4,777",2.60,2.50
2021-12-29,百川畅银,1300614,47.77,48.25,47.00,47.29,-0.37,-0.78,"11,498","5,472",2.62,2.87
2021-12-28,百川畅银,1300614,48.15,48.60,47.15,47.66,-0.47,-0.98,"13,252","6,348",3.01,3.30
2021-12-27,百川畅银,1300614,47.69,48.52,46.87,48.13,-0.07,-0.15,"13,248","6,315",3.42,3.30
2021-12-24,百川畅银,1300614,50.20,50.99,47.75,48.20,-2.10,-4.18,"22,938","11,271",6.44,5.72
2021-12-23,百川畅银,1300614,49.69,50.70,48.92,50.30,0.78,1.58,"21,087","10,558",3.59,5.26
2021-12-22,百川畅银,1300614,49.32,49.85,48.20,49.52,0.47,0.96,"17,185","8,442",3.36,4.28
2021-12-21,百川畅银,1300614,49.50,50.00,48.10,49.05,0.04,0.08,"22,127","10,827",3.88,5.52
2021-12-20,百川畅银,1300614,51.50,51.50,48.80,49.01,-2.49,-4.84,"29,166","14,473",5.24,7.27
2021-12-17,百川畅银,1300614,53.40,54.55,51.50,51.50,-2.61,-4.82,"32,541","17,168",5.64,8.11
2021-12-16,百川畅银,1300614,56.41,58.00,53.00,54.11,-2.96,-5.19,"45,788","25,367",8.76,11.42
2021-12-15,百川畅银,1300614,55.95,58.50,54.69,57.07,0.94,1.67,"41,849","23,633",6.79,10.43
2021-12-14,百川畅银,1300614,57.74,58.39,55.49,56.13,-0.92,-1.61,"31,820","17,990",5.08,7.93
2021-12-13,百川畅银,1300614,57.57,60.01,54.66,57.05,1.05,1.88,"63,119","36,461",9.55,15.74
2021-12-10,百川畅银,1300614,52.70,56.35,52.69,56.00,3.60,6.87,"44,238","24,245",6.98,11.03
2021-12-09,百川畅银,1300614,53.50,54.18,52.01,52.40,-1.20,-2.24,"30,517","16,102",4.05,7.61
2021-12-08,百川畅银,1300614,54.61,55.20,53.28,53.60,-0.51,-0.94,"26,570","14,374",3.55,6.62
