日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,盈峰环境,1000967,15.10,15.43,15.10,15.39,0.29,1.92,"33,074","5,068",2.19,0.74
2017-03-30,盈峰环境,1000967,15.11,15.26,14.98,15.10,-0.04,-0.26,"28,981","4,373",1.85,0.65
2017-03-29,盈峰环境,1000967,15.18,15.28,14.93,15.14,-0.03,-0.20,"30,940","4,673",2.31,0.69
2017-03-28,盈峰环境,1000967,15.65,15.72,15.15,15.17,-0.47,-3.01,"59,310","9,088",3.64,1.33
2017-03-27,盈峰环境,1000967,15.80,15.93,15.58,15.64,-0.16,-1.01,"40,751","6,415",2.22,0.92
2017-03-24,盈峰环境,1000967,15.60,15.85,15.50,15.80,0.20,1.28,"33,673","5,263",2.24,0.76
2017-03-23,盈峰环境,1000967,15.50,15.62,15.50,15.60,0.07,0.45,"47,682","7,413",0.77,1.07
2017-03-22,盈峰环境,1000967,15.62,15.64,15.51,15.53,-0.15,-0.96,"26,894","4,185",0.83,0.60
2017-03-21,盈峰环境,1000967,15.68,15.68,15.54,15.68,0.01,0.06,"31,400","4,905",0.89,0.71
2017-03-20,盈峰环境,1000967,15.79,15.92,15.53,15.67,-0.13,-0.82,"46,354","7,258",2.47,1.04
2017-03-17,盈峰环境,1000967,16.00,16.04,15.70,15.80,-0.24,-1.50,"71,178","11,314",2.12,1.60
2017-03-16,盈峰环境,1000967,15.68,16.13,15.63,16.04,0.37,2.36,"62,401","9,922",3.19,1.40
2017-03-15,盈峰环境,1000967,15.78,15.93,15.62,15.67,-0.10,-0.63,"34,569","5,447",1.97,0.78
2017-03-14,盈峰环境,1000967,15.75,15.97,15.69,15.77,0.12,0.77,"58,276","9,235",1.79,1.31
2017-03-13,盈峰环境,1000967,15.51,15.78,15.40,15.65,0.05,0.32,"48,623","7,578",2.44,1.09
2017-03-10,盈峰环境,1000967,15.50,15.78,15.50,15.60,0.02,0.13,"49,298","7,726",1.80,1.11
2017-03-09,盈峰环境,1000967,15.65,15.75,15.47,15.58,0.03,0.19,"59,568","9,287",1.80,1.34
2017-03-08,盈峰环境,1000967,15.67,15.86,15.50,15.55,-0.13,-0.83,"49,689","7,782",2.30,1.12
2017-03-07,盈峰环境,1000967,15.50,15.80,15.30,15.68,0.28,1.82,"84,761","13,215",3.25,1.90
2017-03-06,盈峰环境,1000967,15.20,15.75,15.20,15.40,0.20,1.32,"74,749","11,587",3.62,1.68
2017-03-03,盈峰环境,1000967,15.20,15.35,15.04,15.20,0.00,0.00,"41,346","6,299",2.04,0.93
2017-03-02,盈峰环境,1000967,15.35,15.38,15.12,15.20,-0.10,-0.65,"48,185","7,344",1.70,1.08
2017-03-01,盈峰环境,1000967,15.03,15.62,15.00,15.30,0.31,2.07,"90,294","13,849",4.14,2.03
2017-02-28,盈峰环境,1000967,15.02,15.17,14.89,14.99,-0.03,-0.20,"31,358","4,703",1.86,0.70
2017-02-27,盈峰环境,1000967,15.26,15.26,14.99,15.02,-0.24,-1.57,"57,737","8,725",1.77,1.30
2017-02-24,盈峰环境,1000967,15.21,15.30,14.98,15.26,0.09,0.59,"71,218","10,803",2.11,1.60
2017-02-23,盈峰环境,1000967,15.00,15.33,14.97,15.17,0.22,1.47,"94,533","14,336",2.41,2.12
2017-02-22,盈峰环境,1000967,14.82,15.12,14.76,14.95,0.10,0.67,"92,305","13,828",2.42,2.07
2017-02-21,盈峰环境,1000967,14.52,14.85,14.32,14.85,0.45,3.13,"96,092","14,016",3.68,2.16
