日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-07-17,高能环境,0603588,14.91,14.91,14.00,14.19,-0.70,-4.70,"68,079","9,696",6.11,1.39
2017-07-14,高能环境,0603588,15.37,15.46,14.80,14.89,-0.51,-3.31,"75,581","11,358",4.29,1.55
2017-07-13,高能环境,0603588,15.32,15.47,15.22,15.40,0.05,0.33,"33,477","5,135",1.63,0.68
2017-07-12,高能环境,0603588,15.68,15.77,15.00,15.35,-0.34,-2.17,"82,581","12,649",4.91,1.69
2017-07-11,高能环境,0603588,16.14,16.14,15.50,15.69,-0.42,-2.61,"67,894","10,735",3.97,1.39
2017-07-10,高能环境,0603588,16.31,16.37,16.01,16.11,-0.20,-1.23,"56,906","9,198",2.21,1.16
2017-07-07,高能环境,0603588,15.83,16.35,15.73,16.31,0.43,2.71,"87,346","14,078",3.90,1.80
2017-07-06,高能环境,0603588,16.06,16.06,15.66,15.88,-0.18,-1.12,"70,001","11,087",2.49,1.44
2017-07-05,高能环境,0603588,16.00,16.11,15.86,16.06,0.09,0.56,"54,614","8,728",1.57,1.12
2017-07-04,高能环境,0603588,15.97,16.11,15.85,15.97,0.00,0.00,"49,445","7,903",1.63,1.02
2017-07-03,高能环境,0603588,15.60,16.02,15.48,15.97,0.37,2.37,"65,727","10,370",3.46,1.35
2017-06-30,高能环境,0603588,15.72,15.78,15.51,15.60,-0.12,-0.76,"51,925","8,105",1.72,1.07
2017-06-29,高能环境,0603588,15.88,16.05,15.66,15.72,-0.21,-1.32,"61,269","9,712",2.45,1.26
2017-06-28,高能环境,0603588,15.95,16.15,15.82,15.93,-0.08,-0.50,"57,172","9,122",2.06,1.18
2017-06-27,高能环境,0603588,15.86,16.20,15.71,16.01,0.12,0.76,"95,834","15,381",3.08,1.97
2017-06-26,高能环境,0603588,15.49,15.95,15.48,15.89,0.40,2.58,"65,313","10,290",3.03,1.35
2017-06-23,高能环境,0603588,15.69,15.70,15.26,15.49,-0.23,-1.46,"60,935","9,445",2.80,1.26
