日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,黄山旅游,0600054,14.19,14.31,14.15,14.27,0.11,0.78,"20,244","2,876",1.13,0.39
2017-12-28,黄山旅游,0600054,14.30,14.38,14.10,14.16,-0.14,-0.98,"26,594","3,790",1.96,0.52
2017-12-27,黄山旅游,0600054,14.30,14.50,14.21,14.30,0.01,0.07,"33,998","4,884",2.03,0.66
2017-12-26,黄山旅游,0600054,14.18,14.33,14.15,14.29,0.10,0.70,"25,005","3,563",1.27,0.49
2017-12-25,黄山旅游,0600054,14.27,14.31,14.09,14.19,-0.08,-0.56,"27,836","3,947",1.54,0.54
2017-12-22,黄山旅游,0600054,13.94,14.42,13.94,14.27,0.28,2.00,"42,828","6,091",3.43,0.83
2017-12-21,黄山旅游,0600054,13.86,14.10,13.86,13.99,0.05,0.36,"25,695","3,602",1.72,0.50
2017-12-20,黄山旅游,0600054,13.92,14.22,13.92,13.94,0.04,0.29,"35,523","5,007",2.16,0.69
2017-12-19,黄山旅游,0600054,13.95,14.05,13.82,13.90,0.09,0.65,"28,904","4,028",1.67,0.56
2017-12-18,黄山旅游,0600054,13.91,13.99,13.79,13.81,-0.13,-0.93,"13,019","1,804",1.43,0.25
2017-12-15,黄山旅游,0600054,14.00,14.08,13.90,13.94,-0.07,-0.50,"10,166","1,418",1.28,0.20
2017-12-14,黄山旅游,0600054,14.18,14.19,13.96,14.01,-0.17,-1.20,"17,119","2,405",1.62,0.33
2017-12-13,黄山旅游,0600054,14.13,14.26,14.13,14.18,-0.01,-0.07,"12,424","1,764",0.92,0.24
2017-12-12,黄山旅游,0600054,14.16,14.30,14.04,14.19,-0.02,-0.14,"27,692","3,927",1.83,0.54
2017-12-11,黄山旅游,0600054,14.22,14.31,14.11,14.21,0.00,0.00,"25,996","3,687",1.41,0.51
2017-12-08,黄山旅游,0600054,13.86,14.25,13.86,14.21,0.36,2.60,"34,354","4,851",2.82,0.67
2017-12-07,黄山旅游,0600054,13.88,13.95,13.82,13.85,-0.11,-0.79,"13,715","1,904",0.93,0.27
2017-12-06,黄山旅游,0600054,13.73,13.99,13.61,13.96,0.24,1.75,"28,116","3,893",2.77,0.55
2017-12-05,黄山旅游,0600054,13.80,13.94,13.48,13.72,-0.08,-0.58,"43,602","5,984",3.33,0.85
2017-12-04,黄山旅游,0600054,13.96,14.10,13.77,13.80,-0.18,-1.29,"16,890","2,352",2.36,0.33
2017-12-01,黄山旅游,0600054,13.96,14.05,13.80,13.98,0.07,0.50,"22,460","3,132",1.80,0.44
2017-11-30,黄山旅游,0600054,13.62,14.10,13.60,13.91,0.31,2.28,"54,422","7,577",3.68,1.06
2017-11-29,黄山旅游,0600054,13.63,13.63,13.53,13.60,-0.02,-0.15,"14,996","2,034",0.73,0.29
2017-11-28,黄山旅游,0600054,13.50,13.63,13.49,13.62,0.08,0.59,"13,649","1,851",1.03,0.27
2017-11-27,黄山旅游,0600054,13.61,13.63,13.40,13.54,-0.16,-1.17,"28,283","3,825",1.68,0.55
2017-11-24,黄山旅游,0600054,13.72,13.78,13.50,13.70,-0.04,-0.29,"47,109","6,399",2.04,0.92
2017-11-23,黄山旅游,0600054,13.87,13.94,13.68,13.74,-0.18,-1.29,"16,254","2,246",1.87,0.32
2017-11-22,黄山旅游,0600054,14.09,14.09,13.87,13.92,-0.13,-0.93,"21,183","2,951",1.57,0.41
2017-11-21,黄山旅游,0600054,14.03,14.16,13.82,14.05,-0.02,-0.14,"36,997","5,158",2.42,0.72
2017-11-20,黄山旅游,0600054,14.17,14.22,13.50,14.07,-0.09,-0.64,"34,827","4,852",5.08,0.68
2017-11-17,黄山旅游,0600054,14.44,14.44,14.05,14.16,-0.33,-2.28,"38,318","5,430",2.69,0.75
2017-11-16,黄山旅游,0600054,14.40,14.55,14.21,14.49,0.10,0.69,"37,617","5,400",2.36,0.73
2017-11-15,黄山旅游,0600054,14.49,14.50,14.37,14.39,-0.12,-0.83,"30,169","4,347",0.90,0.59
2017-11-14,黄山旅游,0600054,14.88,14.88,14.45,14.51,-0.37,-2.49,"55,432","8,079",2.89,1.08
2017-11-13,黄山旅游,0600054,14.68,14.95,14.63,14.88,0.20,1.36,"58,691","8,690",2.18,1.14
