日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,九牧王,0601566,16.25,16.25,16.01,16.12,-0.12,-0.74,"39,833","6,412",1.48,0.69
2017-06-29,九牧王,0601566,16.18,16.29,16.16,16.24,0.09,0.56,"25,369","4,114",0.81,0.44
2017-06-28,九牧王,0601566,16.24,16.24,16.06,16.15,-0.08,-0.49,"24,892","4,014",1.11,0.43
2017-06-27,九牧王,0601566,16.30,16.30,16.18,16.23,-0.04,-0.25,"20,935","3,399",0.74,0.36
2017-06-26,九牧王,0601566,16.06,16.30,16.01,16.27,0.27,1.69,"34,351","5,549",1.81,0.60
2017-06-23,九牧王,0601566,16.14,16.28,15.89,16.00,-0.16,-0.99,"57,059","9,151",2.41,0.99
2017-06-22,九牧王,0601566,16.45,16.46,16.13,16.16,-0.28,-1.70,"54,291","8,817",2.01,0.94
2017-06-21,九牧王,0601566,16.53,16.59,16.35,16.44,-0.05,-0.30,"28,499","4,691",1.46,0.50
2017-06-20,九牧王,0601566,16.47,16.58,16.40,16.49,0.02,0.12,"36,386","5,993",1.09,0.63
2017-06-19,九牧王,0601566,16.19,16.48,16.09,16.47,0.31,1.92,"48,304","7,870",2.41,0.84
2017-06-16,九牧王,0601566,16.33,16.35,16.13,16.16,-0.14,-0.86,"30,894","5,020",1.35,0.54
2017-06-15,九牧王,0601566,16.18,16.35,16.10,16.30,0.10,0.62,"32,880","5,354",1.54,0.57
2017-06-14,九牧王,0601566,16.71,16.74,16.18,16.20,-0.51,-3.05,"61,454","10,087",3.35,1.07
2017-06-13,九牧王,0601566,16.49,16.74,16.43,16.71,0.20,1.21,"33,546","5,584",1.88,0.58
2017-06-12,九牧王,0601566,16.62,16.74,16.49,16.51,-0.27,-1.61,"45,700","7,581",1.49,0.80
2017-06-09,九牧王,0601566,17.20,17.29,16.71,16.78,-0.41,-2.39,"67,244","11,397",3.37,1.17
2017-06-08,九牧王,0601566,17.20,17.47,17.11,17.19,-0.06,-0.35,"57,549","9,919",2.09,1.00
2017-06-07,九牧王,0601566,16.93,17.31,16.85,17.25,0.35,2.07,"63,056","10,783",2.72,1.10
2017-06-06,九牧王,0601566,16.88,16.94,16.76,16.90,-0.03,-0.18,"31,922","5,377",1.06,0.56
2017-06-05,九牧王,0601566,16.60,16.98,16.32,16.93,0.35,2.11,"60,059","10,056",3.98,1.05
2017-06-02,九牧王,0601566,16.57,16.69,16.38,16.58,0.09,0.55,"40,105","6,646",1.88,0.70
2017-06-01,九牧王,0601566,16.46,16.71,16.31,16.49,0.07,0.43,"41,651","6,897",2.44,0.72
2017-05-31,九牧王,0601566,16.75,16.87,16.37,16.42,-0.19,-1.14,"46,772","7,766",3.01,0.81
2017-05-26,九牧王,0601566,16.96,16.97,16.58,16.61,-0.34,-2.01,"49,354","8,269",2.30,0.86
2017-05-25,九牧王,0601566,17.48,17.48,16.77,16.95,-0.79,-4.45,"88,827","15,102",4.00,1.55
2017-05-24,九牧王,0601566,18.50,18.77,18.20,18.74,0.33,1.79,"90,523","16,693",3.10,1.58
2017-05-23,九牧王,0601566,17.93,18.47,17.78,18.41,0.58,3.25,"59,036","10,670",3.87,1.03
2017-05-22,九牧王,0601566,18.18,18.30,17.70,17.83,-0.35,-1.93,"42,202","7,590",3.30,0.73
2017-05-19,九牧王,0601566,18.11,18.31,17.93,18.18,-0.03,-0.16,"53,764","9,738",2.09,0.94
2017-05-18,九牧王,0601566,18.05,18.50,17.81,18.21,0.20,1.11,"80,618","14,677",3.83,1.40
2017-05-17,九牧王,0601566,17.90,18.17,17.70,18.01,0.02,0.11,"57,953","10,411",2.61,1.01
2017-05-16,九牧王,0601566,17.97,18.05,17.63,17.99,0.02,0.11,"42,994","7,695",2.34,0.75
2017-05-15,九牧王,0601566,17.75,18.08,17.56,17.97,0.19,1.07,"52,181","9,291",2.92,0.91
2017-05-12,九牧王,0601566,17.54,17.85,17.45,17.78,0.21,1.20,"45,031","7,965",2.28,0.78
2017-05-11,九牧王,0601566,16.77,17.59,16.50,17.57,0.70,4.15,"36,380","6,199",6.46,0.63
2017-05-10,九牧王,0601566,17.37,17.70,16.80,16.87,-0.52,-2.99,"41,988","7,311",5.18,0.73
2017-05-09,九牧王,0601566,17.29,17.50,17.20,17.39,0.00,0.00,"28,232","4,903",1.73,0.49
2017-05-08,九牧王,0601566,16.65,17.47,16.62,17.39,0.52,3.08,"45,836","7,835",5.04,0.80
2017-05-05,九牧王,0601566,17.19,17.25,16.70,16.87,-0.45,-2.60,"39,511","6,675",3.18,0.69
2017-05-04,九牧王,0601566,17.48,17.48,17.19,17.32,-0.16,-0.92,"34,078","5,896",1.66,0.59
2017-05-03,九牧王,0601566,17.23,17.53,17.15,17.48,0.17,0.98,"42,968","7,454",2.20,0.75
2017-05-02,九牧王,0601566,17.41,17.56,17.13,17.31,-0.17,-0.97,"39,523","6,825",2.46,0.69
2017-04-28,九牧王,0601566,17.64,17.74,17.38,17.48,-0.23,-1.30,"31,950","5,601",2.03,0.56
2017-04-27,九牧王,0601566,17.55,17.77,17.31,17.71,0.23,1.32,"50,526","8,887",2.63,0.88
2017-04-26,九牧王,0601566,17.66,18.10,17.32,17.48,-0.31,-1.74,"68,835","12,130",4.38,1.20
2017-04-25,九牧王,0601566,17.05,17.85,16.75,17.79,0.79,4.65,"82,256","14,246",6.47,1.43
2017-04-24,九牧王,0601566,17.22,17.27,16.61,17.00,-0.20,-1.16,"44,970","7,637",3.84,0.78
2017-04-21,九牧王,0601566,16.93,17.51,16.83,17.20,1.06,6.57,"95,496","16,322",4.21,1.66
2017-04-20,九牧王,0601566,15.96,16.20,15.91,16.14,0.15,0.94,"14,822","2,381",1.81,0.26
2017-04-19,九牧王,0601566,16.41,16.41,15.76,15.99,-0.36,-2.20,"18,414","2,951",3.98,0.32
2017-04-18,九牧王,0601566,16.71,16.71,16.35,16.35,-0.28,-1.68,"9,730","1,610",2.16,0.17
2017-04-17,九牧王,0601566,16.67,16.83,16.55,16.63,-0.04,-0.24,"12,719","2,121",1.68,0.22
2017-04-14,九牧王,0601566,16.82,16.93,16.61,16.67,-0.15,-0.89,"11,428","1,912",1.90,0.20
2017-04-13,九牧王,0601566,16.77,16.93,16.68,16.82,0.07,0.42,"9,575","1,609",1.49,0.17
2017-04-12,九牧王,0601566,16.80,16.85,16.60,16.75,0.08,0.48,"16,627","2,781",1.50,0.29
2017-04-11,九牧王,0601566,16.82,16.92,16.40,16.67,-0.18,-1.07,"21,988","3,650",3.09,0.38
2017-04-10,九牧王,0601566,17.16,17.16,16.84,16.85,-0.28,-1.63,"13,154","2,232",1.87,0.23
2017-04-07,九牧王,0601566,17.20,17.25,17.05,17.13,-0.04,-0.23,"16,707","2,862",1.16,0.29
2017-04-06,九牧王,0601566,17.22,17.25,17.06,17.17,0.00,0.00,"21,949","3,763",1.11,0.38
2017-04-05,九牧王,0601566,17.01,17.18,16.90,17.17,0.18,1.06,"21,280","3,636",1.65,0.37
