日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,歌力思,0603808,22.47,23.05,22.38,23.00,0.53,2.36,"20,030","4,588",2.98,1.77
2017-12-28,歌力思,0603808,22.35,22.57,22.10,22.47,0.09,0.40,"11,383","2,546",2.10,1.01
2017-12-27,歌力思,0603808,22.10,22.65,22.02,22.38,0.24,1.08,"11,388","2,543",2.85,1.01
2017-12-26,歌力思,0603808,22.09,22.50,22.06,22.14,0.00,0.00,"5,751","1,279",1.99,0.51
2017-12-25,歌力思,0603808,22.60,22.80,21.96,22.14,-0.46,-2.04,"16,542","3,704",3.72,1.46
2017-12-22,歌力思,0603808,22.12,22.69,22.12,22.60,0.44,1.99,"13,481","3,024",2.57,1.19
2017-12-21,歌力思,0603808,22.01,22.26,21.78,22.16,-0.12,-0.54,"9,316","2,053",2.15,0.82
2017-12-20,歌力思,0603808,22.21,22.50,21.65,22.28,0.07,0.32,"17,008","3,768",3.83,1.50
2017-12-19,歌力思,0603808,22.15,22.40,22.01,22.21,0.24,1.09,"7,874","1,749",1.78,0.70
2017-12-18,歌力思,0603808,22.50,22.67,21.78,21.97,-0.52,-2.31,"23,261","5,138",3.96,2.06
2017-12-15,歌力思,0603808,22.25,22.62,21.82,22.49,0.48,2.18,"22,233","4,962",3.63,1.97
2017-12-14,歌力思,0603808,21.97,22.26,21.71,22.01,-0.04,-0.18,"10,923","2,406",2.49,0.97
2017-12-13,歌力思,0603808,21.22,22.07,21.22,22.05,0.82,3.86,"17,866","3,903",4.00,1.58
2017-12-12,歌力思,0603808,21.43,21.64,21.22,21.23,-0.18,-0.84,"8,965","1,924",1.96,0.79
2017-12-11,歌力思,0603808,20.98,21.54,20.82,21.41,0.42,2.00,"18,185","3,892",3.43,1.61
2017-12-08,歌力思,0603808,20.48,21.16,20.36,20.99,0.63,3.09,"19,881","4,134",3.93,1.76
2017-12-07,歌力思,0603808,20.48,20.76,20.18,20.36,-0.22,-1.07,"19,528","3,988",2.82,1.73
2017-12-06,歌力思,0603808,20.91,21.07,20.07,20.58,-0.32,-1.53,"30,930","6,318",4.78,2.73
2017-12-05,歌力思,0603808,21.78,21.78,20.50,20.90,-0.72,-3.33,"21,348","4,509",5.92,1.89
2017-12-04,歌力思,0603808,21.62,21.91,21.50,21.62,-0.09,-0.41,"12,387","2,684",1.89,1.09
2017-12-01,歌力思,0603808,21.93,22.12,21.32,21.71,-0.14,-0.64,"14,972","3,247",3.66,1.32
2017-11-30,歌力思,0603808,22.00,22.33,21.67,21.85,-0.26,-1.18,"9,108","1,998",2.99,0.81
2017-11-29,歌力思,0603808,21.95,22.37,21.83,22.11,0.18,0.82,"12,276","2,718",2.46,1.09
2017-11-28,歌力思,0603808,21.18,22.09,21.08,21.93,0.78,3.69,"17,094","3,715",4.78,1.51
2017-11-27,歌力思,0603808,21.11,21.42,20.89,21.15,0.06,0.28,"12,127","2,567",2.51,1.07
2017-11-24,歌力思,0603808,21.12,22.13,20.78,21.09,-0.09,-0.42,"30,471","6,547",6.37,2.69
2017-11-23,歌力思,0603808,21.39,21.48,21.15,21.18,-0.21,-0.98,"15,094","3,216",1.54,1.33
2017-11-22,歌力思,0603808,21.42,21.55,21.17,21.39,-0.03,-0.14,"17,757","3,780",1.77,1.57
2017-11-21,歌力思,0603808,21.58,21.75,21.19,21.42,-0.05,-0.23,"14,711","3,154",2.61,1.30
2017-11-20,歌力思,0603808,20.89,21.56,20.88,21.47,0.56,2.68,"25,532","5,421",3.25,2.26
2017-11-17,歌力思,0603808,22.53,22.61,20.79,20.91,-1.62,-7.19,"45,157","9,772",8.08,3.99
2017-11-16,歌力思,0603808,22.95,22.95,22.23,22.53,-0.37,-1.62,"26,299","5,925",3.14,2.32
2017-11-15,歌力思,0603808,23.56,23.59,22.68,22.90,-0.66,-2.80,"33,867","7,754",3.86,2.99
2017-11-14,歌力思,0603808,23.40,23.66,23.25,23.56,0.07,0.30,"13,672","3,205",1.75,1.21
2017-11-13,歌力思,0603808,23.21,23.81,23.21,23.49,0.09,0.38,"19,213","4,517",2.56,1.70
2017-11-10,歌力思,0603808,23.80,23.96,23.20,23.40,-0.43,-1.80,"25,579","6,029",3.19,2.26
2017-11-09,歌力思,0603808,23.70,24.10,23.49,23.83,0.13,0.55,"19,501","4,630",2.57,1.72
2017-11-08,歌力思,0603808,23.97,24.38,23.67,23.70,-0.22,-0.92,"25,875","6,214",2.97,2.29
2017-11-07,歌力思,0603808,24.48,24.60,23.77,23.92,-0.56,-2.29,"20,133","4,871",3.39,1.78
2017-11-06,歌力思,0603808,24.43,24.86,24.17,24.48,0.05,0.20,"16,525","4,062",2.82,1.46
2017-11-03,歌力思,0603808,24.64,24.97,24.13,24.43,-0.45,-1.81,"26,129","6,386",3.38,2.31
2017-11-02,歌力思,0603808,25.28,25.72,24.78,24.88,-0.16,-0.64,"33,726","8,491",3.75,2.98
2017-11-01,歌力思,0603808,25.30,25.68,24.83,25.04,-0.14,-0.56,"27,262","6,863",3.38,2.41
2017-10-31,歌力思,0603808,25.10,25.54,24.73,25.18,0.66,2.69,"42,836","10,773",3.30,3.79
2017-10-30,歌力思,0603808,24.50,24.58,23.63,24.52,0.00,0.00,"15,026","3,621",3.87,1.33
2017-10-27,歌力思,0603808,24.31,24.60,24.01,24.52,0.21,0.86,"17,773","4,322",2.43,1.57
2017-10-26,歌力思,0603808,23.92,24.53,23.72,24.31,0.39,1.63,"19,610","4,758",3.39,1.73
2017-10-25,歌力思,0603808,23.27,24.10,23.06,23.92,0.87,3.77,"18,970","4,472",4.51,1.68
2017-10-24,歌力思,0603808,23.25,23.55,22.85,23.05,-0.14,-0.60,"13,006","3,000",3.02,1.15
2017-10-23,歌力思,0603808,23.35,23.35,22.99,23.19,-0.06,-0.26,"6,973","1,615",1.55,0.62
2017-10-20,歌力思,0603808,22.70,23.36,22.57,23.25,0.55,2.42,"11,219","2,569",3.48,0.99
2017-10-19,歌力思,0603808,23.21,23.38,22.67,22.70,-0.54,-2.32,"18,396","4,213",3.06,1.63
2017-10-18,歌力思,0603808,23.82,24.06,23.23,23.24,-0.70,-2.92,"15,915","3,747",3.47,1.41
