日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,比音勒芬,1002832,57.59,60.68,57.59,60.19,2.60,4.51,"2,200","1,312",5.37,0.43
2017-12-28,比音勒芬,1002832,56.76,57.90,56.76,57.59,0.44,0.77,941,541,1.99,0.19
2017-12-27,比音勒芬,1002832,57.00,57.82,56.52,57.15,-0.91,-1.57,823,470,2.24,0.16
2017-12-26,比音勒芬,1002832,59.66,59.66,56.67,58.06,0.13,0.22,"1,188",691,5.16,0.23
2017-12-25,比音勒芬,1002832,56.99,58.57,56.71,57.93,1.09,1.92,893,517,3.27,0.18
2017-12-22,比音勒芬,1002832,56.11,57.28,56.01,56.84,0.18,0.32,823,468,2.24,0.31
2017-12-21,比音勒芬,1002832,56.46,56.66,56.00,56.66,0.56,1.00,805,454,1.18,0.30
2017-12-20,比音勒芬,1002832,56.97,57.70,56.10,56.10,-1.38,-2.40,754,428,2.78,0.28
2017-12-19,比音勒芬,1002832,57.00,57.49,56.59,57.48,0.43,0.75,444,254,1.58,0.17
2017-12-18,比音勒芬,1002832,56.50,57.14,55.83,57.05,0.30,0.53,"1,685",957,2.31,0.63
2017-12-15,比音勒芬,1002832,56.61,57.58,56.18,56.75,-0.84,-1.46,"1,069",606,2.43,0.40
2017-12-14,比音勒芬,1002832,57.85,57.85,56.20,57.59,-0.16,-0.28,"1,753",998,2.86,0.66
2017-12-13,比音勒芬,1002832,58.13,58.58,57.10,57.75,-0.75,-1.28,"1,449",838,2.53,0.54
2017-12-12,比音勒芬,1002832,58.68,58.90,58.01,58.50,-0.30,-0.51,"1,551",905,1.51,0.58
2017-12-11,比音勒芬,1002832,59.00,59.43,58.51,58.80,-0.19,-0.32,"1,147",675,1.56,0.43
2017-12-08,比音勒芬,1002832,58.25,59.66,58.25,58.99,-0.02,-0.03,"1,214",718,2.39,0.46
2017-12-07,比音勒芬,1002832,59.11,59.85,58.08,59.01,0.00,0.00,"2,603","1,535",3.00,0.98
2017-12-06,比音勒芬,1002832,58.32,59.50,58.01,59.01,0.69,1.18,924,542,2.55,0.35
2017-12-05,比音勒芬,1002832,58.01,59.79,57.90,58.32,-1.38,-2.31,"1,764","1,033",3.17,0.66
2017-12-04,比音勒芬,1002832,55.28,61.98,55.28,59.70,-0.30,-0.50,"3,985","2,358",11.17,1.49
2017-12-01,比音勒芬,1002832,59.90,61.00,59.02,60.00,0.30,0.50,"4,087","2,455",3.32,1.53
2017-11-30,比音勒芬,1002832,62.00,62.26,58.01,59.70,-2.73,-4.37,"4,757","2,854",6.81,1.78
2017-11-29,比音勒芬,1002832,62.48,63.35,61.32,62.43,-0.06,-0.10,"2,827","1,768",3.25,1.06
2017-11-28,比音勒芬,1002832,62.00,62.75,61.46,62.49,0.49,0.79,"2,421","1,503",2.08,0.91
2017-11-27,比音勒芬,1002832,61.00,62.50,59.00,62.00,1.47,2.43,"4,508","2,762",5.78,1.69
2017-11-24,比音勒芬,1002832,59.95,60.73,59.75,60.53,0.54,0.90,"1,872","1,128",1.63,0.70
2017-11-23,比音勒芬,1002832,61.07,61.07,59.50,59.99,-0.66,-1.09,"3,918","2,350",2.59,1.47
2017-11-22,比音勒芬,1002832,61.00,61.88,59.80,60.65,0.40,0.66,"3,296","2,009",3.45,1.24
2017-11-21,比音勒芬,1002832,60.00,61.28,59.55,60.25,-0.04,-0.07,"2,627","1,588",2.87,0.99
2017-11-20,比音勒芬,1002832,58.55,60.29,57.01,60.29,1.77,3.02,"3,301","1,956",5.60,1.24
2017-11-17,比音勒芬,1002832,61.74,61.80,57.80,58.52,-3.28,-5.31,"5,943","3,519",6.47,2.23
2017-11-16,比音勒芬,1002832,61.80,62.68,61.30,61.80,-0.50,-0.80,"2,642","1,644",2.22,0.99
2017-11-15,比音勒芬,1002832,61.87,63.30,61.59,62.30,0.00,0.00,"3,218","2,001",2.74,1.21
2017-11-14,比音勒芬,1002832,62.27,64.00,61.50,62.30,0.12,0.19,"5,505","3,455",4.02,2.06
2017-11-13,比音勒芬,1002832,62.00,63.68,62.00,62.18,-0.17,-0.27,"4,664","2,933",2.69,1.75
2017-11-10,比音勒芬,1002832,61.72,63.46,60.85,62.35,0.38,0.61,"8,492","5,286",4.21,3.18
2017-11-09,比音勒芬,1002832,58.71,62.08,58.41,61.97,3.29,5.61,"9,679","5,884",6.25,3.63
