日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,S*ST佳通,0600182,24.15,24.30,23.25,23.41,-0.93,-3.82,"84,945","20,085",4.31,5.00
2017-09-28,S*ST佳通,0600182,25.00,25.75,24.09,24.34,-1.02,-4.02,"219,631","54,522",6.55,12.92
2017-09-27,S*ST佳通,0600182,25.36,25.36,25.36,25.36,-1.33,-4.98,"5,412","1,372",0.00,0.32
2017-09-26,S*ST佳通,0600182,26.69,26.69,26.69,26.69,-1.40,-4.98,"1,353",361,0.00,0.08
2017-09-25,S*ST佳通,0600182,28.09,28.09,28.09,28.09,-1.48,-5.01,"3,960","1,112",0.00,0.23
2017-09-15,S*ST佳通,0600182,29.57,29.57,29.57,29.57,1.41,5.01,"201,249","59,509",0.00,11.84
2017-09-14,S*ST佳通,0600182,28.16,28.16,28.16,28.16,1.34,5.00,"3,315",934,0.00,0.20
2017-09-13,S*ST佳通,0600182,26.82,26.82,26.82,26.82,1.28,5.01,244,66,0.00,0.01
2017-09-12,S*ST佳通,0600182,25.54,25.54,25.54,25.54,1.22,5.02,150,38,0.00,0.01
2017-09-11,S*ST佳通,0600182,24.32,24.32,24.32,24.32,1.16,5.01,449,109,0.00,0.03
2017-07-07,S*ST佳通,0600182,23.00,23.32,22.99,23.16,-0.11,-0.47,"9,891","2,290",1.42,0.58
2017-07-06,S*ST佳通,0600182,23.20,23.45,23.12,23.27,0.10,0.43,"12,364","2,874",1.42,0.73
2017-07-05,S*ST佳通,0600182,22.98,23.36,22.92,23.17,0.18,0.78,"11,893","2,754",1.91,0.70
2017-07-04,S*ST佳通,0600182,23.09,23.12,22.91,22.99,-0.09,-0.39,"7,834","1,803",0.91,0.46
2017-07-03,S*ST佳通,0600182,23.25,23.25,22.98,23.08,0.09,0.39,"8,789","2,028",1.17,0.52
2017-12-29,S*ST佳通,0600182,23.46,23.95,23.35,23.90,0.46,1.96,"14,502","3,449",2.56,0.85
2017-12-28,S*ST佳通,0600182,23.69,23.76,23.31,23.44,-0.23,-0.97,"14,400","3,382",1.90,0.85
2017-12-27,S*ST佳通,0600182,23.89,24.25,23.51,23.67,0.50,2.16,"25,589","6,117",3.19,1.51
2017-12-26,S*ST佳通,0600182,22.63,23.26,22.59,23.17,0.48,2.12,"13,876","3,183",2.95,0.82
2017-12-25,S*ST佳通,0600182,23.15,23.43,22.54,22.69,-1.04,-4.38,"35,287","8,085",3.75,2.08
2017-12-22,S*ST佳通,0600182,23.63,23.83,23.63,23.73,0.06,0.25,"9,251","2,196",0.85,0.54
2017-12-21,S*ST佳通,0600182,23.80,23.92,23.48,23.67,-0.19,-0.80,"12,442","2,950",1.84,0.73
2017-12-20,S*ST佳通,0600182,24.40,24.49,23.70,23.86,-0.61,-2.49,"16,318","3,926",3.23,0.96
2017-12-19,S*ST佳通,0600182,24.35,24.63,24.35,24.47,0.06,0.25,"8,180","1,999",1.15,0.48
2017-12-18,S*ST佳通,0600182,24.45,24.66,24.31,24.41,-0.15,-0.61,"8,089","1,979",1.43,0.48
2017-12-15,S*ST佳通,0600182,24.38,24.68,24.33,24.56,0.15,0.61,"14,882","3,652",1.43,0.88
2017-12-14,S*ST佳通,0600182,24.35,24.45,24.23,24.41,0.06,0.25,"9,916","2,415",0.90,0.58
2017-12-13,S*ST佳通,0600182,24.17,24.40,24.02,24.35,0.27,1.12,"11,921","2,893",1.58,0.70
2017-12-12,S*ST佳通,0600182,24.31,24.38,24.06,24.08,-0.26,-1.07,"9,272","2,246",1.31,0.55
2017-12-11,S*ST佳通,0600182,24.39,24.48,24.10,24.34,0.00,0.00,"14,326","3,477",1.56,0.84
2017-12-08,S*ST佳通,0600182,24.28,24.50,24.28,24.34,0.06,0.25,"12,424","3,029",0.91,0.73
2017-12-07,S*ST佳通,0600182,24.10,24.37,24.02,24.28,0.13,0.54,"13,590","3,293",1.45,0.80
