日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,德威退,1300325,5.75,5.83,5.74,5.82,0.02,0.34,"68,869","3,986",1.55,0.86
2017-06-29,德威退,1300325,5.71,5.97,5.71,5.82,0.06,1.04,"78,848","4,596",4.51,0.99
2017-06-28,德威退,1300325,5.75,5.78,5.71,5.76,0.01,0.17,"40,279","2,316",1.22,0.50
2017-06-27,德威退,1300325,5.75,5.81,5.65,5.75,0.01,0.17,"59,234","3,393",2.79,0.74
2017-06-26,德威退,1300325,5.64,5.74,5.64,5.74,0.08,1.41,"33,133","1,893",1.77,0.41
2017-06-23,德威退,1300325,5.74,5.74,5.61,5.66,0.00,0.00,"33,881","1,915",2.30,0.42
2017-06-22,德威退,1300325,5.72,5.79,5.65,5.66,-0.08,-1.39,"50,629","2,900",2.44,0.63
2017-06-21,德威退,1300325,5.72,5.77,5.70,5.74,0.02,0.35,"49,846","2,861",1.22,0.62
2017-06-20,德威退,1300325,5.64,5.75,5.57,5.72,0.08,1.42,"71,752","4,086",3.19,0.90
2017-06-19,德威退,1300325,5.58,5.64,5.56,5.64,0.06,1.08,"34,903","1,960",1.43,0.44
2017-06-16,德威退,1300325,5.61,5.71,5.58,5.58,-0.01,-0.18,"40,388","2,278",2.33,0.50
2017-06-15,德威退,1300325,5.50,5.64,5.49,5.59,0.06,1.09,"71,626","4,007",2.71,0.90
2017-06-14,德威退,1300325,5.50,5.60,5.45,5.53,0.01,0.18,"40,535","2,235",2.72,0.51
2017-06-13,德威退,1300325,5.49,5.54,5.44,5.52,-0.02,-0.36,"45,391","2,494",1.81,0.57
2017-06-12,德威退,1300325,5.65,5.79,5.52,5.54,0.04,0.73,"90,931","5,113",4.91,1.14
2017-05-24,德威退,1300325,5.45,5.52,5.28,5.50,0.04,0.73,"46,431","2,515",4.40,0.58
2017-05-23,德威退,1300325,5.55,5.56,5.37,5.46,-0.13,-2.33,"54,037","2,953",3.40,0.68
2017-05-22,德威退,1300325,5.68,5.68,5.48,5.59,-0.08,-1.41,"60,508","3,365",3.53,0.76
2017-05-19,德威退,1300325,5.66,5.72,5.62,5.67,-0.02,-0.35,"27,978","1,584",1.76,0.35
2017-05-18,德威退,1300325,5.72,5.74,5.66,5.69,-0.07,-1.22,"27,776","1,583",1.39,0.35
2017-05-17,德威退,1300325,5.66,5.82,5.63,5.76,0.10,1.77,"90,563","5,198",3.36,1.13
2017-05-16,德威退,1300325,5.60,5.68,5.54,5.66,0.02,0.35,"36,997","2,077",2.48,0.46
2017-05-15,德威退,1300325,5.55,5.72,5.51,5.64,0.08,1.44,"55,907","3,131",3.78,0.70
2017-05-12,德威退,1300325,5.55,5.56,5.49,5.56,-0.01,-0.18,"42,115","2,326",1.26,0.53
2017-05-11,德威退,1300325,5.56,5.57,5.40,5.57,-0.03,-0.54,"60,341","3,318",3.04,0.75
2017-05-10,德威退,1300325,5.61,5.64,5.49,5.60,-0.01,-0.18,"54,034","3,010",2.67,0.68
2017-05-09,德威退,1300325,5.60,5.65,5.45,5.61,0.00,0.00,"51,099","2,838",3.57,0.64
2017-05-08,德威退,1300325,5.63,5.64,5.53,5.61,-0.03,-0.53,"52,821","2,941",1.95,0.66
2017-05-05,德威退,1300325,5.75,5.86,5.63,5.64,-0.16,-2.76,"57,897","3,327",3.97,0.72
2017-05-04,德威退,1300325,5.61,5.99,5.59,5.80,0.15,2.65,"132,188","7,688",7.08,1.65
2017-05-03,德威退,1300325,5.70,5.71,5.61,5.65,-0.07,-1.22,"38,656","2,184",1.75,0.48
2017-05-02,德威退,1300325,5.76,5.77,5.70,5.72,-0.02,-0.35,"25,032","1,434",1.22,0.31
2017-04-28,德威退,1300325,5.74,5.77,5.69,5.74,-0.02,-0.35,"40,863","2,343",1.39,0.51
2017-04-27,德威退,1300325,5.72,5.80,5.55,5.76,0.02,0.35,"73,462","4,168",4.36,0.92
2017-04-26,德威退,1300325,5.68,5.75,5.61,5.74,0.04,0.70,"61,592","3,508",2.46,0.77
2017-04-25,德威退,1300325,5.62,5.71,5.57,5.70,0.08,1.42,"47,874","2,703",2.49,0.60
2017-04-24,德威退,1300325,5.66,5.68,5.53,5.62,-0.08,-1.40,"40,800","2,286",2.63,0.51
2017-04-21,德威退,1300325,5.69,5.70,5.53,5.70,0.01,0.18,"55,006","3,088",2.99,0.69
2017-04-20,德威退,1300325,5.65,5.69,5.57,5.69,-0.01,-0.18,"57,201","3,221",2.11,0.72
