日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2019-09-30,松霖科技,0603992,23.63,24.24,23.48,23.74,0.09,0.38,"37,447","8,964",3.21,9.13
2019-09-27,松霖科技,0603992,23.50,23.80,23.40,23.65,0.06,0.25,"35,399","8,361",1.70,8.63
2019-09-26,松霖科技,0603992,24.35,24.72,23.28,23.59,-0.68,-2.80,"62,834","15,063",5.93,15.33
2019-09-25,松霖科技,0603992,25.68,25.68,24.04,24.27,-1.56,-6.04,"76,130","18,994",6.35,18.57
2019-09-24,松霖科技,0603992,25.44,25.97,25.28,25.83,0.10,0.39,"72,806","18,631",2.68,17.76
2019-09-23,松霖科技,0603992,27.63,27.70,25.26,25.73,-2.28,-8.14,"136,137","35,466",8.71,33.20
2019-09-20,松霖科技,0603992,27.50,28.92,27.42,28.01,0.15,0.54,"137,528","38,940",5.38,33.54
2019-09-19,松霖科技,0603992,27.45,28.08,27.00,27.86,-0.12,-0.43,"114,262","31,444",3.86,27.87
2019-09-18,松霖科技,0603992,27.44,28.69,26.88,27.98,0.19,0.68,"165,342","46,042",6.51,40.33
2019-09-17,松霖科技,0603992,26.81,28.88,26.63,27.79,0.77,2.85,"192,753","53,701",8.33,47.01
2019-09-16,松霖科技,0603992,26.30,27.19,26.10,27.02,1.02,3.92,"120,258","32,184",4.19,29.33
2019-09-12,松霖科技,0603992,25.91,26.46,25.81,26.00,0.16,0.62,"70,365","18,412",2.52,17.16
2019-09-11,松霖科技,0603992,26.60,26.80,25.70,25.84,-0.81,-3.04,"91,124","23,725",4.13,22.23
2019-09-10,松霖科技,0603992,26.00,27.38,25.89,26.65,0.51,1.95,"123,975","33,109",5.70,30.24
2019-09-09,松霖科技,0603992,25.39,26.15,25.08,26.14,0.83,3.28,"100,479","25,887",4.23,24.51
2019-09-06,松霖科技,0603992,26.07,26.20,25.20,25.31,-1.21,-4.56,"129,882","33,337",3.77,31.68
2019-09-05,松霖科技,0603992,27.30,27.43,26.38,26.52,-0.97,-3.53,"166,151","44,671",3.82,40.52
2019-09-04,松霖科技,0603992,26.45,27.97,26.21,27.49,0.55,2.04,"189,322","51,141",6.53,46.18
2019-09-03,松霖科技,0603992,25.90,27.16,25.60,26.94,0.14,0.52,"166,750","43,895",5.82,40.67
2019-09-02,松霖科技,0603992,26.49,28.49,26.12,26.80,-1.76,-6.16,"231,416","61,939",8.30,56.44
2019-08-30,松霖科技,0603992,28.56,28.56,28.56,28.56,2.60,10.02,"11,091","3,168",0.00,2.71
2019-08-29,松霖科技,0603992,25.96,25.96,25.96,25.96,2.36,10.00,"1,226",318,0.00,0.30
2019-08-28,松霖科技,0603992,23.60,23.60,23.60,23.60,2.15,10.02,802,189,0.00,0.20
2019-08-27,松霖科技,0603992,21.45,21.45,21.45,21.45,1.95,10.00,304,65,0.00,0.07
2019-08-26,松霖科技,0603992,19.50,19.50,19.50,19.50,5.96,44.02,"1,020",199,0.00,0.25
2019-12-31,松霖科技,0603992,20.24,20.49,20.04,20.12,-0.12,-0.59,"23,878","4,827",2.22,5.82
2019-12-30,松霖科技,0603992,20.01,20.46,19.61,20.24,0.07,0.35,"34,982","7,059",4.21,8.53
2019-12-27,松霖科技,0603992,20.18,20.38,19.99,20.17,-0.02,-0.10,"31,446","6,331",1.93,7.67
