日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,永新股份,1002014,15.20,15.28,15.00,15.10,-0.11,-0.72,"24,060","3,626",1.84,1.03
2017-03-30,永新股份,1002014,15.98,15.98,14.83,15.21,-0.90,-5.59,"49,902","7,638",7.14,2.14
2017-03-29,永新股份,1002014,16.61,16.77,16.31,16.61,-0.07,-0.42,"39,695","6,549",2.76,1.70
2017-03-28,永新股份,1002014,16.90,16.90,16.54,16.68,-0.23,-1.36,"26,243","4,383",2.13,1.13
2017-03-27,永新股份,1002014,16.68,16.95,16.65,16.91,0.24,1.44,"41,122","6,903",1.80,1.77
2017-03-24,永新股份,1002014,16.68,16.68,16.49,16.67,-0.01,-0.06,"26,087","4,328",1.14,1.12
2017-03-23,永新股份,1002014,16.48,16.73,16.37,16.68,0.20,1.21,"35,595","5,906",2.18,1.53
2017-03-22,永新股份,1002014,16.61,16.70,16.40,16.48,-0.05,-0.30,"36,226","5,989",1.81,1.56
2017-03-21,永新股份,1002014,16.35,16.57,16.26,16.53,0.27,1.66,"29,219","4,811",1.91,1.25
2017-03-20,永新股份,1002014,16.29,16.36,16.18,16.26,-0.02,-0.12,"13,928","2,263",1.11,0.60
2017-03-17,永新股份,1002014,16.50,16.50,16.26,16.28,-0.12,-0.73,"19,602","3,211",1.46,0.84
2017-03-16,永新股份,1002014,16.29,16.45,16.29,16.40,0.11,0.68,"19,950","3,269",0.98,0.86
2017-03-15,永新股份,1002014,16.28,16.36,16.22,16.29,-0.01,-0.06,"10,594","1,725",0.86,0.45
2017-03-14,永新股份,1002014,16.36,16.49,16.25,16.30,-0.06,-0.37,"14,643","2,393",1.47,0.63
2017-03-13,永新股份,1002014,16.13,16.40,16.03,16.36,0.21,1.30,"17,599","2,857",2.29,0.76
2017-03-10,永新股份,1002014,16.21,16.29,16.12,16.15,-0.05,-0.31,"9,929","1,608",1.05,0.43
2017-03-09,永新股份,1002014,16.43,16.43,16.15,16.20,-0.23,-1.40,"17,941","2,912",1.70,0.77
2017-03-08,永新股份,1002014,16.38,16.49,16.25,16.43,0.00,0.00,"25,625","4,204",1.46,1.10
2017-03-07,永新股份,1002014,16.30,16.70,16.20,16.43,0.15,0.92,"24,606","4,037",3.07,1.06
2017-03-06,永新股份,1002014,16.00,16.30,15.94,16.28,0.28,1.75,"25,745","4,168",2.25,1.11
2017-03-03,永新股份,1002014,16.03,16.15,15.84,16.00,-0.07,-0.44,"12,709","2,029",1.93,0.55
2017-03-02,永新股份,1002014,16.18,16.19,16.04,16.07,-0.11,-0.68,"16,576","2,669",0.93,0.71
2017-03-01,永新股份,1002014,16.17,16.22,16.04,16.18,0.01,0.06,"34,544","5,567",1.11,1.48
2017-02-28,永新股份,1002014,16.06,16.23,16.01,16.17,0.17,1.06,"17,918","2,888",1.38,0.77
2017-02-27,永新股份,1002014,16.11,16.15,15.97,16.00,-0.11,-0.68,"18,526","2,980",1.12,0.80
2017-02-24,永新股份,1002014,16.07,16.15,16.01,16.11,0.04,0.25,"17,780","2,857",0.87,0.76
2017-02-23,永新股份,1002014,16.28,16.28,16.03,16.07,-0.23,-1.41,"22,371","3,602",1.53,0.96
2017-02-22,永新股份,1002014,16.39,16.40,16.11,16.30,-0.10,-0.61,"28,113","4,563",1.77,1.21
2017-02-21,永新股份,1002014,16.03,17.36,16.01,16.40,0.29,1.80,"41,368","6,791",8.38,1.78
2017-02-20,永新股份,1002014,16.26,16.26,15.73,16.11,-0.07,-0.43,"29,986","4,779",3.28,1.29
2017-02-17,永新股份,1002014,16.42,17.15,16.15,16.18,-0.07,-0.43,"43,197","7,144",6.15,1.85
2017-02-16,永新股份,1002014,16.23,16.43,16.14,16.25,-0.07,-0.43,"16,562","2,690",1.78,0.71
2017-02-15,永新股份,1002014,16.52,16.77,16.26,16.32,-0.20,-1.21,"19,054","3,136",3.09,0.82
2017-02-14,永新股份,1002014,16.40,16.59,16.21,16.52,0.12,0.73,"19,974","3,285",2.32,0.86
