日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,瑞尔特,1002790,26.40,26.56,26.21,26.56,0.31,1.18,"3,303",870,1.33,0.83
2017-12-28,瑞尔特,1002790,26.20,26.50,26.03,26.25,0.02,0.08,"4,194","1,101",1.79,1.05
2017-12-27,瑞尔特,1002790,26.63,26.63,26.15,26.23,-0.23,-0.87,"2,980",783,1.81,0.75
2017-12-26,瑞尔特,1002790,26.08,26.59,25.95,26.46,0.38,1.46,"4,608","1,215",2.45,1.15
2017-12-25,瑞尔特,1002790,27.05,27.05,26.00,26.08,-0.92,-3.41,"5,203","1,369",3.89,1.30
2017-12-22,瑞尔特,1002790,27.30,27.41,26.95,27.00,-0.44,-1.60,"4,146","1,127",1.68,1.04
2017-12-21,瑞尔特,1002790,27.49,27.51,27.15,27.44,0.24,0.88,"4,070","1,112",1.32,1.02
2017-12-20,瑞尔特,1002790,27.38,27.50,27.16,27.20,-0.08,-0.29,"2,863",781,1.25,0.72
2017-12-19,瑞尔特,1002790,27.38,27.53,27.18,27.28,0.08,0.29,"2,262",619,1.29,0.57
2017-12-18,瑞尔特,1002790,27.73,27.73,27.12,27.20,-0.35,-1.27,"2,112",577,2.21,0.53
2017-12-15,瑞尔特,1002790,27.88,27.88,27.50,27.55,-0.22,-0.79,"2,245",620,1.37,0.56
2017-12-14,瑞尔特,1002790,27.59,27.91,27.58,27.77,0.09,0.33,"1,486",411,1.19,0.37
2017-12-13,瑞尔特,1002790,27.60,27.80,27.53,27.68,0.08,0.29,"2,215",614,0.98,0.55
2017-12-12,瑞尔特,1002790,28.17,28.22,27.51,27.60,-0.55,-1.95,"2,445",679,2.52,0.61
2017-12-11,瑞尔特,1002790,27.85,28.25,27.76,28.15,0.30,1.08,"2,119",595,1.76,0.53
2017-12-08,瑞尔特,1002790,27.50,28.36,27.47,27.85,0.25,0.91,"3,582","1,002",3.22,0.90
2017-12-07,瑞尔特,1002790,27.77,27.78,27.42,27.60,-0.15,-0.54,"1,728",477,1.30,0.43
2017-12-06,瑞尔特,1002790,27.30,27.77,27.20,27.75,0.55,2.02,"2,652",727,2.10,0.66
2017-12-05,瑞尔特,1002790,28.00,28.41,27.10,27.20,-1.04,-3.68,"4,960","1,375",4.64,1.24
2017-12-04,瑞尔特,1002790,29.01,29.01,28.01,28.24,-0.87,-2.99,"5,222","1,477",3.44,1.31
2017-12-01,瑞尔特,1002790,28.62,29.55,28.62,29.11,0.37,1.29,"6,828","1,998",3.24,1.71
2017-11-30,瑞尔特,1002790,28.40,28.80,28.13,28.74,0.33,1.16,"5,787","1,654",2.36,1.45
2017-11-29,瑞尔特,1002790,28.29,28.56,27.60,28.41,0.23,0.82,"7,251","2,041",3.41,1.81
2017-11-28,瑞尔特,1002790,28.00,28.40,27.90,28.18,0.66,2.40,"4,844","1,365",1.82,1.21
2017-11-27,瑞尔特,1002790,27.99,28.01,27.51,27.52,-0.40,-1.43,"3,348",929,1.79,0.84
2017-11-24,瑞尔特,1002790,28.28,28.54,27.91,27.92,-0.32,-1.13,"4,807","1,348",2.23,1.20
2017-11-23,瑞尔特,1002790,28.91,28.92,28.17,28.24,-0.61,-2.11,"3,951","1,129",2.60,0.99
2017-11-22,瑞尔特,1002790,28.96,29.14,28.64,28.85,0.12,0.42,"3,992","1,152",1.74,1.00
2017-11-21,瑞尔特,1002790,29.17,29.35,28.66,28.73,-0.44,-1.51,"4,800","1,386",2.37,1.20
2017-11-20,瑞尔特,1002790,28.72,29.21,28.56,29.17,0.44,1.53,"3,937","1,137",2.26,0.98
2017-11-17,瑞尔特,1002790,30.26,30.40,28.71,28.73,-1.54,-5.09,"11,567","3,388",5.58,2.89
2017-11-16,瑞尔特,1002790,30.30,30.58,30.11,30.27,-0.15,-0.49,"5,323","1,616",1.55,1.33
2017-11-15,瑞尔特,1002790,31.25,31.25,30.41,30.42,-0.88,-2.81,"12,260","3,751",2.68,3.07
2017-11-14,瑞尔特,1002790,32.07,32.07,31.11,31.30,-1.10,-3.40,"24,220","7,658",2.96,6.05
2017-11-13,瑞尔特,1002790,30.80,32.50,30.66,32.40,1.51,4.89,"25,220","7,882",5.96,6.31
2017-11-10,瑞尔特,1002790,30.81,31.26,30.68,30.89,-0.08,-0.26,"4,692","1,455",1.87,1.17
2017-11-09,瑞尔特,1002790,30.82,31.05,30.67,30.97,0.17,0.55,"3,859","1,192",1.23,0.96
2017-11-08,瑞尔特,1002790,30.45,31.07,30.45,30.80,0.20,0.65,"6,475","1,997",2.03,1.62
2017-11-07,瑞尔特,1002790,30.40,30.69,30.30,30.60,0.02,0.07,"3,857","1,174",1.28,0.96
2017-11-06,瑞尔特,1002790,30.04,30.61,30.04,30.58,0.48,1.59,"3,554","1,079",1.89,0.89
2017-11-03,瑞尔特,1002790,30.57,30.80,30.00,30.10,-0.47,-1.54,"10,489","3,190",2.62,2.62
2017-11-02,瑞尔特,1002790,31.13,31.25,30.38,30.57,-0.60,-1.92,"6,362","1,960",2.79,1.59
2017-11-01,瑞尔特,1002790,31.40,31.49,30.96,31.17,-0.16,-0.51,"7,713","2,406",1.69,1.93
2017-10-31,瑞尔特,1002790,31.24,31.45,30.96,31.33,0.24,0.77,"5,483","1,711",1.58,1.37
2017-10-30,瑞尔特,1002790,32.57,32.78,31.00,31.09,-1.48,-4.54,"8,094","2,547",5.47,2.02
2017-10-27,瑞尔特,1002790,32.92,32.92,32.51,32.57,-0.33,-1.00,"6,557","2,142",1.25,1.64
2017-10-26,瑞尔特,1002790,33.45,33.50,32.88,32.90,-0.54,-1.61,"9,754","3,230",1.85,2.44
2017-10-25,瑞尔特,1002790,32.95,33.50,32.78,33.44,0.45,1.36,"12,876","4,273",2.18,3.22
2017-10-24,瑞尔特,1002790,32.81,33.18,32.28,32.99,-0.04,-0.12,"6,537","2,140",2.72,1.63
2017-10-23,瑞尔特,1002790,33.03,33.10,32.71,33.03,0.00,0.00,"6,727","2,213",1.18,1.68
2017-10-20,瑞尔特,1002790,32.01,33.09,32.01,33.03,1.01,3.15,"10,126","3,311",3.37,2.53
2017-10-19,瑞尔特,1002790,31.90,32.54,31.56,32.02,0.06,0.19,"4,952","1,582",3.07,1.24
2017-10-18,瑞尔特,1002790,32.20,32.80,31.96,31.96,-0.62,-1.90,"5,959","1,930",2.58,1.49
2017-10-17,瑞尔特,1002790,32.29,32.96,31.92,32.58,0.43,1.34,"7,518","2,455",3.23,1.88
2017-10-16,瑞尔特,1002790,33.01,33.26,32.11,32.15,-0.79,-2.40,"8,375","2,727",3.49,2.09
2017-10-13,瑞尔特,1002790,32.29,33.00,32.05,32.94,0.81,2.52,"10,070","3,299",2.96,2.52
2017-10-12,瑞尔特,1002790,32.70,32.70,31.98,32.13,-0.42,-1.29,"5,747","1,853",2.21,1.44
2017-10-11,瑞尔特,1002790,32.10,32.74,32.10,32.55,0.34,1.06,"8,966","2,914",1.99,2.24
2017-10-10,瑞尔特,1002790,31.69,32.32,31.50,32.21,0.65,2.06,"7,012","2,243",2.60,1.75
2017-10-09,瑞尔特,1002790,31.60,31.75,31.25,31.56,0.36,1.15,"5,156","1,626",1.60,1.29
2017-06-30,瑞尔特,1002790,32.16,32.44,32.01,32.41,0.25,0.78,"4,546","1,466",1.34,1.14
2017-06-29,瑞尔特,1002790,31.90,32.45,31.90,32.16,0.26,0.82,"3,302","1,061",1.72,0.83
2017-06-28,瑞尔特,1002790,32.80,32.80,31.80,31.90,-0.92,-2.80,"6,300","2,032",3.05,1.58
2017-06-27,瑞尔特,1002790,32.98,33.25,32.67,32.82,-0.16,-0.49,"6,361","2,093",1.76,1.59
2017-06-26,瑞尔特,1002790,32.61,33.10,32.61,32.98,0.14,0.43,"5,629","1,854",1.49,1.41
2017-06-23,瑞尔特,1002790,33.01,33.50,32.50,32.84,-0.24,-0.73,"6,489","2,137",3.02,1.62
2017-06-22,瑞尔特,1002790,33.90,33.97,33.05,33.08,-0.92,-2.71,"4,768","1,597",2.71,1.19
2017-06-21,瑞尔特,1002790,34.00,34.09,33.30,34.00,0.00,0.00,"5,060","1,703",2.32,1.26
