日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,科创新源,1300731,40.93,41.63,38.26,38.26,-4.25,-10.00,"100,941","39,734",7.93,45.88
2017-12-28,科创新源,1300731,41.10,46.88,41.10,42.51,-0.91,-2.10,"130,843","57,671",13.31,59.47
2017-12-27,科创新源,1300731,39.10,43.42,38.90,43.42,3.95,10.01,"139,277","56,644",11.45,63.31
2017-12-26,科创新源,1300731,35.80,40.34,35.55,39.47,2.80,7.64,"133,379","51,879",13.06,60.63
2017-12-25,科创新源,1300731,34.40,37.50,34.40,36.67,0.67,1.86,"99,243","35,862",8.61,45.11
2017-12-22,科创新源,1300731,36.23,40.00,35.96,36.00,-2.19,-5.73,"131,659","49,414",10.58,59.84
2017-12-21,科创新源,1300731,34.07,38.98,33.22,38.19,2.68,7.55,"135,657","49,190",16.22,61.66
2017-12-20,科创新源,1300731,38.50,40.48,34.70,35.51,-1.66,-4.47,"141,812","53,024",15.55,64.46
2017-12-19,科创新源,1300731,33.00,37.17,32.94,37.17,3.38,10.00,"46,969","16,624",12.52,21.35
2017-12-18,科创新源,1300731,33.79,33.79,32.28,33.79,3.07,9.99,"86,993","28,968",4.92,39.54
2017-12-15,科创新源,1300731,30.72,30.72,30.72,30.72,2.79,9.99,777,239,0.00,0.35
2017-12-14,科创新源,1300731,27.93,27.93,27.93,27.93,2.54,10.00,350,98,0.00,0.16
2017-12-13,科创新源,1300731,25.39,25.39,25.39,25.39,2.31,10.01,69,18,0.00,0.03
2017-12-12,科创新源,1300731,23.08,23.08,23.08,23.08,2.10,10.01,27,6,0.00,0.01
2017-12-11,科创新源,1300731,20.98,20.98,20.98,20.98,1.91,10.02,34,7,0.00,0.02
2017-12-08,科创新源,1300731,15.89,19.07,15.89,19.07,5.83,44.03,109,21,24.02,0.05
2018-06-29,科创新源,1300731,40.79,43.42,39.62,41.68,0.22,0.53,"57,458","23,719",9.17,26.12
2018-06-28,科创新源,1300731,41.05,42.90,41.05,41.46,-0.03,-0.07,"72,032","30,335",4.46,32.74
2018-06-27,科创新源,1300731,41.25,41.88,40.72,41.49,-0.37,-0.88,"51,909","21,436",2.77,23.60
2018-06-26,科创新源,1300731,38.79,42.33,38.50,41.86,1.84,4.60,"65,260","26,583",9.57,29.66
2018-06-25,科创新源,1300731,40.40,41.60,39.70,40.02,-0.71,-1.74,"58,570","23,668",4.66,26.62
2018-06-22,科创新源,1300731,37.60,42.18,36.45,40.73,2.28,5.93,"87,000","34,412",14.90,39.55
2018-06-21,科创新源,1300731,38.01,39.80,36.17,38.45,0.43,1.13,"68,769","25,855",9.55,31.26
2018-06-20,科创新源,1300731,36.77,38.90,36.36,38.02,1.37,3.74,"57,407","21,696",6.93,26.09
2018-06-19,科创新源,1300731,37.14,39.00,35.20,36.65,-1.35,-3.55,"58,249","21,617",10.00,26.48
2018-06-15,科创新源,1300731,40.19,40.88,37.51,38.00,-1.52,-3.85,"54,993","21,425",8.53,25.00
2018-06-14,科创新源,1300731,39.34,40.65,38.90,39.52,-0.74,-1.84,"49,265","19,540",4.35,22.39
2018-06-13,科创新源,1300731,44.46,44.46,40.26,40.26,-4.47,-9.99,"66,242","27,810",9.39,30.11
2018-06-12,科创新源,1300731,43.42,45.13,42.20,44.73,1.78,4.14,"63,789","27,908",6.82,28.99
2018-06-11,科创新源,1300731,44.75,45.36,42.78,42.95,-1.55,-3.48,"57,213","25,172",5.80,26.01
2018-06-08,科创新源,1300731,44.20,45.82,43.52,44.50,-1.35,-2.94,"69,255","30,756",5.02,31.48
2018-06-07,科创新源,1300731,48.17,49.30,45.20,45.85,-1.78,-3.74,"88,914","42,673",8.61,40.42
2018-06-06,科创新源,1300731,49.80,50.95,47.37,47.63,-2.17,-4.36,"96,193","46,972",7.19,43.72
2018-06-05,科创新源,1300731,47.00,52.96,47.00,49.80,-1.41,-2.75,"138,517","68,608",11.64,62.96
2018-06-04,科创新源,1300731,51.21,51.21,51.21,51.21,-5.69,-10.00,"3,588","1,837",0.00,1.63
2018-05-25,科创新源,1300731,56.90,56.90,56.90,56.90,5.17,9.99,"33,123","18,847",0.00,15.06
2018-05-24,科创新源,1300731,45.95,51.73,45.30,51.73,4.70,9.99,"80,335","39,600",13.67,36.52
2018-05-23,科创新源,1300731,45.00,47.03,42.00,47.03,4.28,10.01,"140,775","64,283",11.77,63.99
2018-05-22,科创新源,1300731,38.12,42.75,38.12,42.75,3.89,10.01,"64,806","26,324",11.91,29.46
2018-05-21,科创新源,1300731,37.75,39.43,36.32,38.86,1.40,3.74,"79,702","30,376",8.30,36.23
2018-05-18,科创新源,1300731,37.74,39.98,37.40,37.81,-1.19,-3.05,"70,329","26,993",6.62,31.97
2018-05-17,科创新源,1300731,36.00,40.68,35.65,39.00,1.69,4.53,"96,348","36,370",13.48,43.79
2018-05-16,科创新源,1300731,40.97,40.99,37.10,37.31,-0.70,-1.84,"114,926","44,913",10.23,52.24
2018-05-15,科创新源,1300731,38.01,38.01,38.01,38.01,3.46,10.01,"12,359","4,698",0.00,5.62
2018-05-14,科创新源,1300731,33.00,34.55,33.00,34.55,3.14,10.00,"26,230","9,021",4.93,11.92
2018-05-11,科创新源,1300731,32.95,33.09,31.40,31.41,-1.32,-4.03,"21,493","6,890",5.16,9.77
2018-05-10,科创新源,1300731,32.41,32.86,31.77,32.73,0.32,0.99,"25,436","8,251",3.36,11.56
2018-05-09,科创新源,1300731,32.68,32.78,32.08,32.41,-0.14,-0.43,"17,671","5,730",2.15,8.03
2018-05-08,科创新源,1300731,31.77,32.58,31.77,32.55,0.36,1.12,"21,385","6,895",2.52,9.72
2018-05-07,科创新源,1300731,31.61,32.44,31.47,32.19,0.72,2.29,"18,698","6,003",3.08,8.50
2018-05-04,科创新源,1300731,32.00,32.31,31.35,31.47,-1.34,-4.08,"27,653","8,787",2.93,12.57
2018-05-03,科创新源,1300731,30.42,33.48,30.10,32.81,2.37,7.79,"46,814","15,261",11.10,21.28
2018-05-02,科创新源,1300731,31.36,31.77,30.10,30.44,-0.96,-3.06,"13,967","4,287",5.32,6.35
2018-04-27,科创新源,1300731,31.89,32.09,31.00,31.40,-0.26,-0.82,"18,293","5,766",3.44,8.31
2018-04-26,科创新源,1300731,31.28,32.50,30.81,31.66,0.07,0.22,"34,311","10,957",5.35,15.60
2018-04-25,科创新源,1300731,31.01,32.22,30.56,31.59,0.58,1.87,"23,990","7,623",5.35,10.90
2018-04-24,科创新源,1300731,30.54,31.25,30.19,31.01,1.08,3.61,"21,553","6,641",3.54,9.80
2018-04-23,科创新源,1300731,29.10,30.53,29.10,29.93,0.36,1.22,"17,435","5,225",4.84,7.93
2018-04-20,科创新源,1300731,32.31,32.49,29.57,29.57,-3.28,-9.98,"33,938","10,470",8.89,15.43
2018-04-19,科创新源,1300731,32.91,33.56,32.38,32.85,-0.52,-1.56,"27,459","9,081",3.54,12.48
2018-04-18,科创新源,1300731,33.00,33.62,30.41,33.37,-0.33,-0.98,"41,190","13,244",9.53,18.72
2018-04-17,科创新源,1300731,34.29,34.78,33.30,33.70,-0.20,-0.59,"24,885","8,482",4.37,11.31
2018-04-16,科创新源,1300731,34.79,34.79,33.28,33.90,-1.04,-2.98,"30,178","10,251",4.32,13.72
2018-04-13,科创新源,1300731,35.80,36.64,34.79,34.94,-1.23,-3.40,"30,537","10,862",5.11,13.88
2018-04-12,科创新源,1300731,37.90,37.90,34.50,36.17,-2.13,-5.56,"44,212","16,154",8.88,20.10
2018-04-11,科创新源,1300731,37.48,38.45,36.68,38.30,0.91,2.43,"48,704","18,270",4.73,22.14
2018-04-10,科创新源,1300731,39.80,39.95,37.34,37.39,-4.10,-9.88,"77,842","29,844",6.29,35.38
2018-04-09,科创新源,1300731,38.80,42.90,38.51,41.49,2.11,5.36,"88,322","35,760",11.15,40.15
2018-04-04,科创新源,1300731,37.84,41.00,37.39,39.38,2.11,5.66,"106,765","42,459",9.69,48.53
2018-04-03,科创新源,1300731,36.99,37.46,35.80,37.27,-0.92,-2.41,"46,373","16,968",4.35,21.08
2018-04-02,科创新源,1300731,36.40,39.40,36.21,38.19,2.25,6.26,"68,261","25,915",8.88,31.03
2018-09-28,科创新源,1300731,26.16,28.77,26.15,28.77,2.62,10.02,"21,232","5,943",10.02,9.65
2018-09-27,科创新源,1300731,28.02,28.04,25.90,26.15,-1.77,-6.34,"18,884","5,085",7.66,8.58
2018-09-26,科创新源,1300731,28.22,28.50,27.61,27.92,-0.09,-0.32,"12,738","3,564",3.18,5.79
2018-09-25,科创新源,1300731,27.85,28.08,27.51,28.01,0.13,0.47,"9,255","2,574",2.04,4.21
2018-09-21,科创新源,1300731,27.31,28.05,27.27,27.88,0.62,2.27,"12,173","3,382",2.86,5.53
2018-09-20,科创新源,1300731,27.75,28.03,27.20,27.26,-0.49,-1.77,"12,573","3,478",2.99,5.72
2018-09-19,科创新源,1300731,27.09,28.30,27.09,27.75,0.41,1.50,"14,933","4,137",4.43,6.79
2018-09-18,科创新源,1300731,26.69,27.37,26.69,27.34,0.56,2.09,"11,717","3,174",2.54,5.33
2018-09-17,科创新源,1300731,27.77,27.77,26.74,26.78,-1.48,-5.24,"12,425","3,379",3.64,5.65
2018-09-14,科创新源,1300731,29.78,30.18,28.21,28.26,-1.52,-5.10,"14,393","4,197",6.62,6.54
2018-09-13,科创新源,1300731,29.73,30.04,29.38,29.78,0.34,1.15,"15,506","4,610",2.24,7.05
2018-09-12,科创新源,1300731,28.85,30.28,28.60,29.44,0.60,2.08,"17,853","5,275",5.83,8.11
2018-09-11,科创新源,1300731,28.51,29.06,28.41,28.84,0.34,1.19,"11,591","3,329",2.28,5.27
2018-09-10,科创新源,1300731,29.52,29.78,28.46,28.50,-1.40,-4.68,"16,308","4,707",4.41,7.41
2018-09-07,科创新源,1300731,29.96,30.52,29.30,29.90,0.00,0.00,"17,095","5,123",4.08,7.77
2018-09-06,科创新源,1300731,29.74,30.30,29.06,29.90,0.18,0.61,"15,654","4,668",4.17,7.12
2018-09-05,科创新源,1300731,30.58,30.95,29.67,29.72,-0.86,-2.81,"17,557","5,342",4.19,7.98
2018-09-04,科创新源,1300731,30.36,30.89,29.91,30.58,0.08,0.26,"16,670","5,083",3.21,7.58
2018-09-03,科创新源,1300731,30.83,30.83,29.59,30.50,-0.55,-1.77,"18,262","5,497",3.99,8.30
2018-08-31,科创新源,1300731,31.90,32.28,30.80,31.05,-0.95,-2.97,"19,765","6,195",4.63,8.98
2018-08-30,科创新源,1300731,32.48,33.13,31.77,32.00,-0.69,-2.11,"18,953","6,165",4.16,8.62
2018-08-29,科创新源,1300731,34.00,34.27,32.48,32.69,-1.27,-3.74,"24,465","8,093",5.27,11.12
2018-08-28,科创新源,1300731,34.00,34.80,33.53,33.96,-0.21,-0.61,"23,467","7,992",3.72,10.67
2018-08-27,科创新源,1300731,33.60,34.55,33.40,34.17,0.61,1.82,"28,263","9,641",3.43,12.85
2018-08-24,科创新源,1300731,34.30,34.47,33.42,33.56,-1.10,-3.17,"26,486","8,977",3.03,12.04
2018-08-23,科创新源,1300731,33.50,35.56,33.03,34.66,0.69,2.03,"44,479","15,186",7.45,20.22
2018-08-22,科创新源,1300731,33.05,34.43,32.87,33.97,0.72,2.17,"42,779","14,502",4.69,19.45
2018-08-21,科创新源,1300731,33.00,33.88,32.13,33.25,0.25,0.76,"26,718","8,851",5.30,12.14
2018-08-20,科创新源,1300731,32.13,33.00,31.30,33.00,1.14,3.58,"22,896","7,400",5.34,10.41
2018-08-17,科创新源,1300731,33.15,33.67,31.57,31.86,-0.91,-2.78,"26,153","8,561",6.41,11.89
2018-08-16,科创新源,1300731,31.62,33.96,31.52,32.77,0.43,1.33,"31,902","10,567",7.54,14.50
2018-08-15,科创新源,1300731,33.36,34.15,32.21,32.34,-0.91,-2.74,"28,590","9,499",5.83,13.00
2018-08-14,科创新源,1300731,33.96,34.18,32.71,33.25,-0.40,-1.19,"32,133","10,747",4.37,14.61
2018-08-13,科创新源,1300731,31.83,34.19,31.42,33.65,-0.59,-1.72,"41,076","13,495",8.09,18.67
2018-08-10,科创新源,1300731,33.20,35.10,32.70,34.24,1.59,4.87,"45,955","15,587",7.35,20.89
2018-08-09,科创新源,1300731,31.56,33.68,31.56,32.65,1.95,6.35,"34,392","11,163",6.91,15.63
2018-08-08,科创新源,1300731,32.07,32.67,30.14,30.70,-1.92,-5.89,"28,264","8,894",7.76,12.85
2018-08-07,科创新源,1300731,31.24,32.86,29.58,32.62,1.07,3.39,"37,491","11,809",10.40,17.04
2018-08-06,科创新源,1300731,33.98,33.98,31.55,31.55,-3.50,-9.99,"36,876","11,977",6.93,16.76
2018-08-03,科创新源,1300731,37.40,37.84,35.02,35.05,-2.01,-5.42,"35,682","12,862",7.61,16.22
2018-08-02,科创新源,1300731,38.60,39.20,36.11,37.06,-2.54,-6.41,"51,106","19,065",7.80,23.23
2018-08-01,科创新源,1300731,40.01,40.04,38.11,39.60,-0.52,-1.30,"58,037","22,748",4.81,26.38
2018-07-31,科创新源,1300731,39.13,42.12,39.10,40.12,1.83,4.78,"84,908","34,424",7.89,38.59
2018-07-30,科创新源,1300731,39.60,41.00,37.00,38.29,-0.34,-0.88,"74,820","29,349",10.35,34.01
2018-07-27,科创新源,1300731,35.41,38.63,35.40,38.63,3.51,9.99,"46,640","17,467",9.20,21.20
2018-07-26,科创新源,1300731,36.71,37.48,34.98,35.12,-1.83,-4.95,"27,790","9,976",6.77,12.63
2018-07-25,科创新源,1300731,37.22,38.25,36.76,36.95,-0.21,-0.57,"24,323","9,112",4.01,11.06
2018-07-24,科创新源,1300731,36.50,37.40,36.15,37.16,0.64,1.75,"23,769","8,788",3.42,10.80
2018-07-23,科创新源,1300731,39.56,39.58,36.28,36.52,-3.02,-7.64,"44,238","16,564",8.35,20.11
2018-07-20,科创新源,1300731,39.40,40.10,39.00,39.54,0.12,0.30,"26,015","10,315",2.79,11.83
2018-07-19,科创新源,1300731,39.99,40.39,39.05,39.42,-1.54,-3.76,"38,190","15,117",3.27,17.36
2018-07-18,科创新源,1300731,39.95,42.90,39.61,40.96,0.95,2.37,"81,239","33,583",8.22,36.93
2018-07-17,科创新源,1300731,38.99,40.01,37.20,40.01,0.81,2.07,"40,932","15,821",7.17,18.61
2018-07-16,科创新源,1300731,38.89,40.74,38.52,39.20,0.82,2.14,"45,867","18,170",5.78,20.85
2018-07-13,科创新源,1300731,38.29,39.25,38.25,38.38,-1.21,-3.06,"47,059","18,194",2.53,21.39
2018-07-12,科创新源,1300731,40.20,40.95,39.01,39.59,2.36,6.34,"80,200","32,046",5.21,36.45
2018-07-11,科创新源,1300731,36.60,37.27,35.93,37.23,-0.28,-0.75,"43,769","16,030",3.57,19.90
2018-07-10,科创新源,1300731,36.82,37.69,36.36,37.51,0.25,0.67,"56,303","20,849",3.57,25.59
2018-07-09,科创新源,1300731,34.65,37.79,34.65,37.26,2.91,8.47,"61,026","22,479",9.14,27.74
