日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,紫江企业,0600210,5.98,6.19,5.97,6.14,0.13,2.16,"445,526","27,259",3.66,3.10
2017-06-29,紫江企业,0600210,6.02,6.07,5.98,6.01,0.00,0.00,"345,191","20,774",1.50,2.40
2017-06-28,紫江企业,0600210,5.86,6.13,5.85,6.01,0.12,2.04,"694,114","41,835",4.75,4.83
2017-06-27,紫江企业,0600210,5.86,5.97,5.83,5.89,0.02,0.34,"351,824","20,787",2.39,2.45
2017-06-26,紫江企业,0600210,5.72,5.87,5.71,5.87,0.12,2.09,"320,215","18,636",2.78,2.23
2017-06-23,紫江企业,0600210,5.70,5.76,5.63,5.75,0.02,0.35,"253,424","14,418",2.27,1.76
2017-06-22,紫江企业,0600210,5.86,5.86,5.69,5.73,-0.14,-2.39,"348,454","20,149",2.90,2.43
2017-06-21,紫江企业,0600210,5.85,5.88,5.80,5.87,0.01,0.17,"235,959","13,768",1.37,1.64
2017-06-20,紫江企业,0600210,5.89,5.94,5.82,5.86,-0.03,-0.51,"365,225","21,390",2.04,2.54
2017-06-19,紫江企业,0600210,5.67,5.98,5.66,5.89,0.22,3.88,"722,014","42,276",5.64,5.03
2017-06-16,紫江企业,0600210,5.66,5.72,5.63,5.67,0.00,0.00,"192,636","10,939",1.59,1.34
2017-06-15,紫江企业,0600210,5.61,5.70,5.61,5.67,0.05,0.89,"183,909","10,418",1.60,1.28
2017-06-14,紫江企业,0600210,5.66,5.67,5.61,5.62,-0.04,-0.71,"148,344","8,359",1.06,1.03
2017-06-13,紫江企业,0600210,5.65,5.73,5.63,5.66,-0.01,-0.18,"214,883","12,206",1.76,1.50
2017-06-12,紫江企业,0600210,5.70,5.73,5.63,5.67,-0.04,-0.70,"258,434","14,665",1.75,1.80
2017-06-09,紫江企业,0600210,5.62,5.74,5.57,5.71,0.10,1.78,"383,581","21,766",3.03,2.67
2017-06-08,紫江企业,0600210,5.63,5.68,5.58,5.61,-0.04,-0.71,"228,934","12,873",1.77,1.59
2017-06-07,紫江企业,0600210,5.48,5.66,5.43,5.65,0.17,3.10,"430,554","24,020",4.20,3.00
2017-06-06,紫江企业,0600210,5.48,5.48,5.43,5.48,0.01,0.18,"119,165","6,497",0.91,0.83
2017-06-05,紫江企业,0600210,5.39,5.48,5.39,5.47,0.08,1.48,"180,939","9,857",1.67,1.26
2017-06-02,紫江企业,0600210,5.31,5.43,5.27,5.39,0.05,0.94,"181,006","9,671",3.00,1.26
2017-06-01,紫江企业,0600210,5.53,5.53,5.32,5.34,-0.17,-3.09,"248,044","13,417",3.81,1.73
2017-05-31,紫江企业,0600210,5.59,5.66,5.50,5.51,-0.03,-0.54,"273,819","15,311",2.89,1.91
2017-05-26,紫江企业,0600210,5.58,5.62,5.53,5.54,-0.06,-1.07,"220,397","12,285",1.61,1.53
2017-05-25,紫江企业,0600210,5.39,5.62,5.32,5.60,0.17,3.13,"337,509","18,509",5.52,2.35
2017-05-24,紫江企业,0600210,5.48,5.49,5.24,5.43,-0.09,-1.63,"354,518","19,017",4.53,2.47
2017-05-23,紫江企业,0600210,5.50,5.57,5.44,5.52,0.02,0.36,"228,553","12,606",2.36,1.59
2017-05-22,紫江企业,0600210,5.58,5.63,5.49,5.50,-0.09,-1.61,"199,764","11,089",2.50,1.39
2017-05-19,紫江企业,0600210,5.70,5.71,5.56,5.59,-0.09,-1.58,"225,767","12,676",2.64,1.57
2017-05-18,紫江企业,0600210,5.64,5.76,5.61,5.68,-0.01,-0.18,"270,891","15,409",2.64,1.89
2017-05-17,紫江企业,0600210,5.69,5.77,5.63,5.69,-0.05,-0.87,"388,810","22,140",2.44,2.71
2017-05-16,紫江企业,0600210,5.42,5.87,5.40,5.74,0.31,5.71,"658,826","37,251",8.66,4.59
2017-05-15,紫江企业,0600210,5.41,5.51,5.38,5.43,0.05,0.93,"195,468","10,649",2.42,1.36
2017-05-12,紫江企业,0600210,5.29,5.42,5.26,5.38,0.08,1.51,"173,737","9,295",3.02,1.21
2017-05-11,紫江企业,0600210,5.32,5.37,5.14,5.30,-0.07,-1.30,"197,322","10,394",4.28,1.37
2017-05-10,紫江企业,0600210,5.35,5.52,5.34,5.37,0.02,0.37,"234,259","12,715",3.36,1.63
