日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,美联新材,1300586,27.55,28.30,27.33,27.95,0.40,1.45,"7,773","2,165",3.52,3.24
2017-06-29,美联新材,1300586,27.54,27.83,27.48,27.55,0.14,0.51,"4,493","1,243",1.28,1.87
2017-06-28,美联新材,1300586,27.82,27.91,27.31,27.41,-0.58,-2.07,"4,453","1,226",2.14,1.86
2017-06-27,美联新材,1300586,27.96,28.32,27.72,27.99,0.03,0.11,"5,605","1,575",2.15,2.34
2017-06-26,美联新材,1300586,27.60,27.97,27.35,27.96,0.32,1.16,"6,629","1,836",2.24,2.76
2017-06-23,美联新材,1300586,27.68,27.92,26.94,27.64,0.23,0.84,"9,782","2,687",3.58,4.08
2017-06-22,美联新材,1300586,28.66,28.87,25.79,27.41,-1.25,-4.36,"10,773","3,029",10.75,4.49
2017-06-21,美联新材,1300586,28.70,29.09,28.41,28.66,0.04,0.14,"7,515","2,157",2.38,3.13
2017-06-20,美联新材,1300586,29.36,29.38,28.62,28.62,-0.48,-1.65,"8,201","2,380",2.61,3.42
2017-06-19,美联新材,1300586,29.21,29.22,28.91,29.10,0.09,0.31,"4,686","1,361",1.07,1.95
2017-06-16,美联新材,1300586,29.28,29.38,28.79,29.01,-0.20,-0.68,"8,041","2,336",2.02,3.35
2017-06-15,美联新材,1300586,28.34,29.44,28.34,29.21,0.87,3.07,"12,558","3,651",3.88,5.23
2017-06-14,美联新材,1300586,28.62,28.77,28.16,28.34,-0.15,-0.53,"7,367","2,094",2.14,3.07
2017-06-13,美联新材,1300586,27.45,28.80,27.35,28.49,1.04,3.79,"10,040","2,832",5.28,4.18
2017-06-12,美联新材,1300586,28.32,28.74,27.26,27.45,-1.35,-4.69,"8,253","2,303",5.14,3.44
2017-06-09,美联新材,1300586,28.62,28.89,28.18,28.80,0.18,0.63,"7,595","2,168",2.48,3.16
2017-06-08,美联新材,1300586,29.27,29.38,28.60,28.62,-0.50,-1.72,"9,984","2,899",2.68,4.16
2017-06-07,美联新材,1300586,28.20,29.38,28.16,29.12,1.02,3.63,"11,597","3,343",4.34,4.83
2017-06-06,美联新材,1300586,27.80,28.31,27.80,28.10,-0.01,-0.04,"5,161","1,447",1.81,2.15
2017-06-05,美联新材,1300586,28.23,28.48,27.74,28.11,0.40,1.44,"7,249","2,040",2.67,3.02
2017-06-02,美联新材,1300586,26.60,27.99,26.13,27.71,0.94,3.51,"9,301","2,528",6.95,3.88
2017-06-01,美联新材,1300586,28.30,28.30,26.70,26.77,-1.60,-5.64,"10,810","2,961",5.64,4.50
2017-05-31,美联新材,1300586,29.31,30.01,28.18,28.37,-0.04,-0.14,"12,361","3,618",6.44,5.15
2017-05-26,美联新材,1300586,27.87,28.59,27.66,28.41,0.54,1.94,"9,158","2,581",3.34,3.82
2017-05-25,美联新材,1300586,28.18,28.18,26.88,27.87,-0.23,-0.82,"11,519","3,181",4.63,4.80
2017-05-24,美联新材,1300586,28.00,28.34,27.11,28.10,0.10,0.36,"12,080","3,364",4.39,5.03
2017-05-23,美联新材,1300586,30.60,30.60,27.78,28.00,-2.80,-9.09,"16,154","4,686",9.16,6.73
2017-05-22,美联新材,1300586,32.45,32.70,30.55,30.80,-1.82,-5.58,"10,101","3,175",6.59,4.21
2017-05-19,美联新材,1300586,33.11,33.67,32.63,32.82,-0.19,-0.58,"8,680","2,880",3.15,3.62
2017-05-18,美联新材,1300586,32.88,33.32,32.70,33.01,-0.19,-0.57,"7,774","2,570",1.87,3.24
2017-05-17,美联新材,1300586,33.08,33.88,33.08,33.20,0.12,0.36,"12,632","4,232",2.42,5.26
2017-05-16,美联新材,1300586,32.13,33.08,31.51,33.08,1.00,3.12,"12,391","4,015",4.89,5.16
2017-05-15,美联新材,1300586,32.10,32.36,31.92,32.08,-0.10,-0.31,"6,429","2,065",1.37,2.68
2017-05-12,美联新材,1300586,32.10,32.36,31.54,32.18,0.23,0.72,"7,749","2,480",2.57,3.23
2017-05-11,美联新材,1300586,30.88,31.98,30.60,31.95,0.63,2.01,"9,603","3,005",4.41,4.00
2017-05-10,美联新材,1300586,31.66,32.29,31.30,31.32,-0.47,-1.48,"9,320","2,970",3.11,3.88
2017-05-09,美联新材,1300586,31.20,32.16,30.90,31.79,0.78,2.52,"8,010","2,528",4.06,3.34
2017-05-08,美联新材,1300586,32.38,32.79,31.00,31.01,-1.59,-4.88,"8,377","2,680",5.49,3.49
2017-05-05,美联新材,1300586,33.55,33.66,32.15,32.60,-0.80,-2.40,"9,011","2,992",4.52,3.75
2017-05-04,美联新材,1300586,34.28,34.28,33.40,33.40,-0.88,-2.57,"9,125","3,091",2.57,3.80
2017-05-03,美联新材,1300586,34.20,34.48,33.62,34.28,0.31,0.91,"8,584","2,926",2.53,3.58
2017-05-02,美联新材,1300586,34.30,34.50,33.80,33.97,-0.24,-0.70,"8,323","2,846",2.05,3.47
2017-04-28,美联新材,1300586,34.11,34.65,34.02,34.21,-0.13,-0.38,"13,104","4,491",1.83,5.46
2017-04-27,美联新材,1300586,33.00,34.48,32.20,34.34,1.16,3.50,"19,729","6,608",6.87,8.22
2017-04-26,美联新材,1300586,32.77,33.66,32.77,33.18,0.19,0.58,"10,648","3,541",2.70,4.44
2017-04-25,美联新材,1300586,33.00,33.83,32.84,32.99,0.25,0.76,"10,576","3,522",3.02,4.41
2017-04-24,美联新材,1300586,33.10,33.10,32.00,32.74,-0.74,-2.21,"10,568","3,441",3.29,4.40
2017-04-21,美联新材,1300586,32.74,33.60,32.74,33.48,0.68,2.07,"14,397","4,778",2.62,6.00
2017-04-20,美联新材,1300586,33.27,33.46,32.20,32.80,-0.46,-1.38,"16,137","5,313",3.79,6.72
2017-04-19,美联新材,1300586,31.90,33.36,31.80,33.26,1.09,3.39,"14,833","4,840",4.85,6.18
