日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,通用股份,0601500,12.49,12.58,12.45,12.51,0.07,0.56,"19,890","2,489",1.05,1.14
2017-09-28,通用股份,0601500,12.54,12.57,12.40,12.44,-0.13,-1.03,"28,571","3,560",1.35,1.63
2017-09-27,通用股份,0601500,12.61,12.63,12.54,12.57,-0.04,-0.32,"22,774","2,867",0.71,1.30
2017-09-26,通用股份,0601500,12.50,12.62,12.40,12.61,0.11,0.88,"29,314","3,667",1.76,1.68
2017-09-25,通用股份,0601500,12.82,12.83,12.48,12.50,-0.38,-2.95,"51,656","6,524",2.72,2.95
2017-09-22,通用股份,0601500,13.15,13.15,12.80,12.88,-0.27,-2.05,"53,276","6,888",2.66,3.05
2017-09-21,通用股份,0601500,13.33,13.44,13.12,13.15,-0.18,-1.35,"53,346","7,085",2.40,3.05
2017-09-20,通用股份,0601500,13.08,13.35,13.08,13.33,0.22,1.68,"52,899","7,006",2.06,3.02
2017-09-19,通用股份,0601500,13.21,13.25,13.08,13.11,-0.10,-0.76,"29,576","3,886",1.29,1.69
2017-09-18,通用股份,0601500,13.05,13.23,13.01,13.21,0.10,0.76,"34,781","4,573",1.68,1.99
2017-09-15,通用股份,0601500,13.30,13.30,13.06,13.11,-0.18,-1.35,"41,561","5,472",1.81,2.38
2017-09-14,通用股份,0601500,13.27,13.45,13.16,13.29,0.02,0.15,"55,804","7,431",2.19,3.19
2017-09-13,通用股份,0601500,13.13,13.29,13.08,13.27,0.11,0.84,"44,231","5,831",1.60,2.53
2017-09-12,通用股份,0601500,13.50,13.52,13.12,13.16,-0.34,-2.52,"114,145","15,235",2.96,6.53
2017-09-11,通用股份,0601500,13.18,13.50,13.16,13.50,0.34,2.58,"132,896","17,777",2.58,7.60
2017-09-08,通用股份,0601500,12.91,13.20,12.86,13.16,0.22,1.70,"95,767","12,511",2.63,5.47
2017-09-07,通用股份,0601500,12.88,13.20,12.85,12.94,0.05,0.39,"86,463","11,267",2.72,4.94
2017-09-06,通用股份,0601500,12.88,12.98,12.76,12.89,-0.02,-0.15,"43,110","5,535",1.70,2.46
2017-09-05,通用股份,0601500,12.85,12.96,12.81,12.91,0.02,0.16,"37,359","4,812",1.16,2.14
2017-09-04,通用股份,0601500,13.07,13.07,12.78,12.89,-0.07,-0.54,"52,749","6,800",2.24,3.02
2017-09-01,通用股份,0601500,13.12,13.15,12.91,12.96,-0.12,-0.92,"50,571","6,560",1.83,2.89
2017-08-31,通用股份,0601500,12.80,13.10,12.80,13.08,0.22,1.71,"70,335","9,142",2.33,4.02
2017-08-30,通用股份,0601500,12.98,13.01,12.81,12.86,-0.21,-1.61,"55,366","7,137",1.53,3.17
2017-08-29,通用股份,0601500,12.99,13.30,12.80,13.07,0.08,0.62,"102,569","13,433",3.85,5.86
2017-08-28,通用股份,0601500,12.81,13.10,12.81,12.99,0.18,1.41,"71,826","9,319",2.26,4.11
2017-08-25,通用股份,0601500,12.63,12.86,12.60,12.81,0.13,1.03,"36,878","4,706",2.05,2.11
2017-08-24,通用股份,0601500,12.77,12.87,12.66,12.68,-0.11,-0.86,"35,432","4,509",1.64,2.03
2017-08-23,通用股份,0601500,13.06,13.07,12.75,12.79,-0.34,-2.59,"57,073","7,338",2.44,3.26
2017-08-22,通用股份,0601500,12.79,13.40,12.73,13.13,0.35,2.74,"113,428","14,746",5.24,6.48
2017-08-21,通用股份,0601500,12.61,12.80,12.60,12.78,0.17,1.35,"43,466","5,529",1.59,2.48
