日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2022-03-31,鹿山新材,0603051,54.37,54.37,54.37,54.37,4.94,9.99,"12,264","6,668",0.00,5.33
2022-03-30,鹿山新材,0603051,49.43,49.43,49.43,49.43,4.49,9.99,"1,756",868,0.00,0.76
2022-03-29,鹿山新材,0603051,44.94,44.94,44.94,44.94,4.09,10.01,"1,354",609,0.00,0.59
2022-03-28,鹿山新材,0603051,40.85,40.85,40.85,40.85,3.71,9.99,"2,203",900,0.00,0.96
2022-03-25,鹿山新材,0603051,30.95,37.14,30.95,37.14,11.35,44.01,"10,398","3,847",24.00,4.52
2022-08-16,鹿山新材,0603051,96.81,99.92,95.66,98.11,1.66,1.72,"42,302","41,384",4.42,18.39
2022-08-15,鹿山新材,0603051,97.00,98.00,90.90,96.45,-4.55,-4.51,"51,222","48,373",7.03,22.27
2022-08-12,鹿山新材,0603051,92.00,105.00,92.00,101.00,5.17,5.40,"57,317","55,713",13.57,24.92
2022-08-11,鹿山新材,0603051,89.46,95.83,89.46,95.83,8.71,10.00,"52,941","50,240",7.31,23.01
2022-08-10,鹿山新材,0603051,84.00,87.12,79.51,87.12,7.92,10.00,"43,795","37,334",9.61,19.04
2022-08-09,鹿山新材,0603051,71.14,79.20,70.99,79.20,7.20,10.00,"21,501","16,647",11.40,9.35
2022-08-08,鹿山新材,0603051,65.82,73.25,65.49,72.00,5.33,7.99,"34,767","24,490",11.64,15.11
2022-08-05,鹿山新材,0603051,68.20,69.01,66.00,66.67,-1.75,-2.56,"28,704","19,262",4.40,12.48
2022-08-04,鹿山新材,0603051,72.20,74.65,66.02,68.42,-4.58,-6.27,"30,561","21,476",11.82,13.29
2022-08-03,鹿山新材,0603051,73.50,77.48,72.07,73.00,-0.99,-1.34,"33,211","24,711",7.31,14.44
2022-08-02,鹿山新材,0603051,71.50,75.66,69.00,73.99,1.19,1.63,"39,319","28,725",9.15,17.09
2022-08-01,鹿山新材,0603051,70.90,75.97,70.50,72.80,0.88,1.22,"38,377","28,073",7.61,16.68
2022-07-29,鹿山新材,0603051,67.55,73.99,67.12,71.92,3.62,5.30,"51,490","36,488",10.06,22.38
2022-07-28,鹿山新材,0603051,69.93,70.22,68.00,68.30,-3.16,-4.42,"49,858","34,439",3.11,21.67
2022-07-27,鹿山新材,0603051,64.93,71.47,63.67,71.46,6.49,9.99,"68,278","47,432",12.01,29.68
2022-07-26,鹿山新材,0603051,65.98,66.38,62.78,64.97,-2.13,-3.17,"20,718","13,431",5.37,9.01
2022-07-25,鹿山新材,0603051,66.94,69.56,66.50,67.10,-1.21,-1.77,"24,931","16,852",4.48,10.84
2022-07-22,鹿山新材,0603051,65.69,72.00,63.47,68.31,0.47,0.69,"53,195","35,484",12.57,23.13
2022-07-21,鹿山新材,0603051,63.60,70.04,61.81,67.84,4.17,6.55,"60,273","39,921",12.93,26.20
2022-07-20,鹿山新材,0603051,61.18,63.67,59.63,63.67,2.73,4.48,"28,988","17,882",6.63,12.60
2022-07-19,鹿山新材,0603051,62.80,63.30,60.55,60.94,-1.06,-1.71,"26,416","16,292",4.44,11.48
2022-07-18,鹿山新材,0603051,60.88,63.49,60.36,62.00,0.63,1.03,"19,698","12,246",5.10,8.56
2022-07-15,鹿山新材,0603051,65.28,65.38,61.37,61.37,-3.91,-5.99,"35,072","22,143",6.14,15.25
2022-07-14,鹿山新材,0603051,67.00,67.12,63.50,65.28,-2.71,-3.99,"48,686","31,799",5.32,21.16
2022-07-13,鹿山新材,0603051,63.74,69.96,63.74,67.99,4.39,6.90,"64,929","43,905",9.78,28.23
2022-07-12,鹿山新材,0603051,66.13,66.80,62.90,63.60,-2.39,-3.62,"21,783","14,092",5.91,9.47
2022-07-11,鹿山新材,0603051,66.50,67.68,63.70,65.99,-1.69,-2.50,"26,954","17,568",5.88,11.72
2022-07-08,鹿山新材,0603051,70.39,71.71,67.00,67.68,-1.65,-2.38,"27,272","18,760",6.79,11.86
2022-07-07,鹿山新材,0603051,70.21,71.66,65.51,69.33,-0.37,-0.53,"26,017","17,876",8.82,11.31
2022-07-06,鹿山新材,0603051,72.80,72.80,67.50,69.70,-3.21,-4.40,"29,062","20,251",7.27,12.63
2022-07-05,鹿山新材,0603051,75.11,75.80,70.88,72.91,-1.65,-2.21,"37,799","27,426",6.60,16.43
2022-07-04,鹿山新材,0603051,72.37,76.30,70.43,74.56,-1.19,-1.57,"40,420","29,705",7.75,17.57
2022-07-01,鹿山新材,0603051,76.84,79.01,73.21,75.75,-3.25,-4.11,"59,395","45,121",7.34,25.82
2022-06-30,鹿山新材,0603051,76.50,81.33,73.51,79.00,5.06,6.84,"86,852","67,839",10.58,37.76
2022-06-29,鹿山新材,0603051,77.80,82.00,71.10,73.94,-5.06,-6.41,"95,580","71,301",13.80,41.55
2022-06-28,鹿山新材,0603051,76.00,79.00,72.00,79.00,7.18,10.00,"104,790","80,575",9.75,45.55
2022-06-27,鹿山新材,0603051,72.22,72.22,69.59,72.22,6.57,10.01,"43,683","31,318",4.01,18.99
2022-06-24,鹿山新材,0603051,59.88,65.65,59.88,65.65,5.97,10.00,"76,981","48,761",9.67,33.47
2022-06-23,鹿山新材,0603051,59.95,61.37,58.50,59.68,-1.28,-2.10,"52,373","31,330",4.71,22.77
2022-06-22,鹿山新材,0603051,60.90,63.29,59.10,60.96,-2.24,-3.54,"66,862","40,825",6.63,29.07
2022-06-21,鹿山新材,0603051,63.27,65.00,59.38,63.20,2.93,4.86,"85,711","53,247",9.32,37.26
2022-06-20,鹿山新材,0603051,65.00,65.00,56.03,60.27,-1.91,-3.07,"75,874","45,865",14.43,32.98
2022-06-17,鹿山新材,0603051,58.70,62.18,57.98,62.18,5.65,9.99,"42,383","25,611",7.43,18.43
2022-06-16,鹿山新材,0603051,53.39,58.95,53.11,56.53,1.81,3.31,"57,454","32,613",10.67,24.98
2022-06-15,鹿山新材,0603051,63.16,63.79,54.72,54.72,-6.08,-10.00,"78,382","45,893",14.92,34.07
2022-06-14,鹿山新材,0603051,62.80,62.80,59.44,60.80,-2.98,-4.67,"66,297","40,439",5.27,28.82
2022-06-13,鹿山新材,0603051,62.00,65.64,60.30,63.78,0.53,0.84,"82,126","51,523",8.44,35.70
2022-06-10,鹿山新材,0603051,59.80,63.25,59.20,63.25,5.75,10.00,"68,596","42,379",7.04,29.82
2022-06-09,鹿山新材,0603051,57.00,61.97,55.00,57.50,-2.25,-3.77,"106,022","61,885",11.67,46.09
2022-06-08,鹿山新材,0603051,53.55,59.75,52.96,59.75,5.43,10.00,"99,301","58,157",12.50,43.17
2022-06-07,鹿山新材,0603051,54.32,54.32,52.00,54.32,4.94,10.00,"119,669","64,631",4.70,52.02
2022-06-06,鹿山新材,0603051,49.36,49.38,49.36,49.38,4.49,10.00,"19,864","9,807",0.04,8.64
2022-06-02,鹿山新材,0603051,42.00,44.89,40.91,44.89,4.08,10.00,"40,875","17,881",9.75,17.77
2022-06-01,鹿山新材,0603051,39.45,41.97,39.40,40.81,1.85,4.75,"56,907","23,306",6.60,24.74
2022-05-31,鹿山新材,0603051,38.71,39.60,37.12,38.96,0.62,1.62,"33,493","12,909",6.47,14.56
2022-05-30,鹿山新材,0603051,38.38,38.70,37.30,38.34,0.23,0.60,"20,879","7,947",3.67,9.08
2022-05-27,鹿山新材,0603051,39.56,39.69,37.95,38.11,-1.10,-2.81,"31,330","12,130",4.44,13.62
2022-05-26,鹿山新材,0603051,39.50,39.70,37.81,39.21,-0.28,-0.71,"32,692","12,697",4.79,14.21
2022-05-25,鹿山新材,0603051,39.32,40.11,38.83,39.49,-0.51,-1.28,"37,004","14,556",3.20,16.09
2022-05-24,鹿山新材,0603051,43.38,43.48,39.50,40.00,-2.94,-6.85,"51,948","21,302",9.27,22.58
2022-05-23,鹿山新材,0603051,42.90,43.95,42.46,42.94,0.00,0.00,"42,638","18,392",3.47,18.54
2022-05-20,鹿山新材,0603051,43.39,44.25,42.50,42.94,-1.11,-2.52,"53,473","23,140",3.97,23.25
2022-05-19,鹿山新材,0603051,41.20,45.55,41.20,44.05,1.78,4.21,"80,557","34,983",10.29,35.02
2022-05-18,鹿山新材,0603051,42.42,42.80,41.10,42.27,1.25,3.05,"60,474","25,513",4.14,26.29
2022-05-17,鹿山新材,0603051,43.10,43.79,40.69,41.02,-3.18,-7.19,"68,698","28,697",7.01,29.86
2022-05-16,鹿山新材,0603051,43.95,45.62,42.96,44.20,-0.03,-0.07,"72,706","32,245",6.01,31.61
2022-05-13,鹿山新材,0603051,42.50,47.50,41.66,44.23,0.32,0.73,"111,172","49,022",13.30,48.33
2022-05-12,鹿山新材,0603051,39.57,44.91,38.68,43.91,3.08,7.54,"117,564","48,469",15.26,51.11
2022-05-11,鹿山新材,0603051,43.77,44.53,40.48,40.83,0.35,0.86,"97,001","41,956",10.00,42.17
2022-05-10,鹿山新材,0603051,36.40,40.48,36.08,40.48,3.68,10.00,"72,825","28,706",11.96,31.66
2022-05-09,鹿山新材,0603051,36.02,36.88,35.60,36.80,1.04,2.91,"47,383","17,244",3.58,20.60
2022-05-06,鹿山新材,0603051,34.75,36.50,34.54,35.76,-0.68,-1.87,"53,057","18,931",5.38,23.07
2022-05-05,鹿山新材,0603051,35.64,37.45,35.00,36.44,1.11,3.14,"64,134","23,285",6.93,27.88
2022-04-29,鹿山新材,0603051,34.34,36.10,34.06,35.33,0.81,2.35,"66,141","23,315",5.91,28.75
2022-04-28,鹿山新材,0603051,34.59,35.89,33.17,34.52,-0.10,-0.29,"67,253","23,139",7.86,29.24
2022-04-27,鹿山新材,0603051,32.01,35.43,31.54,34.62,-0.21,-0.60,"64,498","21,836",11.17,28.04
2022-04-26,鹿山新材,0603051,36.85,37.41,34.83,34.83,-3.87,-10.00,"61,347","21,562",6.67,26.67
2022-04-25,鹿山新材,0603051,44.00,44.00,38.70,38.70,-4.30,-10.00,"59,848","24,137",12.33,26.02
2022-04-22,鹿山新材,0603051,43.60,45.46,41.98,43.00,-1.39,-3.13,"86,463","38,053",7.84,37.59
2022-04-21,鹿山新材,0603051,42.00,45.82,41.63,44.39,1.82,4.28,"99,843","43,914",9.84,43.40
2022-04-20,鹿山新材,0603051,43.82,44.02,40.75,42.57,-2.71,-5.99,"94,248","40,027",7.22,40.97
