日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,ST浩源,1002700,10.72,10.76,10.55,10.70,0.00,0.00,"24,554","2,616",1.96,0.58
2017-12-28,ST浩源,1002700,10.91,10.95,10.60,10.70,-0.33,-2.99,"51,976","5,567",3.17,1.23
2017-12-27,ST浩源,1002700,11.35,11.50,11.02,11.03,-0.43,-3.75,"75,593","8,497",4.19,1.79
2017-12-26,ST浩源,1002700,11.17,11.72,10.88,11.46,0.20,1.78,"101,728","11,542",7.46,2.41
2017-12-25,ST浩源,1002700,11.58,11.92,11.20,11.26,-0.32,-2.76,"104,485","12,020",6.22,2.47
2017-12-22,ST浩源,1002700,10.90,11.95,10.84,11.58,0.58,5.27,"138,793","15,930",10.09,3.29
2017-12-21,ST浩源,1002700,10.53,11.20,10.42,11.00,0.34,3.19,"76,041","8,325",7.32,1.80
2017-12-20,ST浩源,1002700,10.51,10.88,10.49,10.66,0.15,1.43,"43,881","4,709",3.71,1.04
2017-12-19,ST浩源,1002700,10.43,10.52,10.37,10.51,0.06,0.57,"12,916","1,348",1.44,0.31
2017-12-18,ST浩源,1002700,10.45,10.47,10.26,10.45,0.00,0.00,"17,641","1,825",2.01,0.42
2017-12-15,ST浩源,1002700,10.55,10.56,10.40,10.45,-0.16,-1.51,"24,953","2,608",1.51,0.59
2017-12-14,ST浩源,1002700,10.30,10.73,10.26,10.61,0.32,3.11,"48,957","5,182",4.57,1.16
2017-12-13,ST浩源,1002700,10.23,10.36,10.20,10.29,0.07,0.68,"5,734",589,1.57,0.14
2017-12-12,ST浩源,1002700,10.32,10.46,10.21,10.22,-0.18,-1.73,"7,137",736,2.40,0.17
2017-12-11,ST浩源,1002700,10.30,10.48,10.30,10.40,0.06,0.58,"9,670","1,006",1.74,0.23
2017-12-08,ST浩源,1002700,10.27,10.41,10.27,10.34,0.07,0.68,"6,983",722,1.36,0.17
2017-12-07,ST浩源,1002700,10.40,10.40,10.24,10.27,-0.23,-2.19,"7,502",774,1.52,0.18
2017-12-06,ST浩源,1002700,10.07,10.50,10.00,10.50,0.41,4.06,"9,437",962,4.96,0.22
2017-12-05,ST浩源,1002700,10.31,10.37,10.05,10.09,-0.30,-2.89,"17,344","1,754",3.08,0.41
2017-12-04,ST浩源,1002700,10.42,10.63,10.36,10.39,-0.02,-0.19,"15,890","1,673",2.59,0.38
2017-12-01,ST浩源,1002700,10.51,10.51,10.39,10.41,-0.12,-1.14,"8,452",881,1.14,0.20
2017-11-30,ST浩源,1002700,10.41,10.60,10.38,10.53,0.06,0.57,"16,395","1,719",2.10,0.39
2017-11-29,ST浩源,1002700,10.29,10.57,10.29,10.47,0.16,1.55,"15,809","1,652",2.72,0.37
2017-11-28,ST浩源,1002700,10.27,10.33,10.14,10.31,0.11,1.08,"5,414",556,1.86,0.13
2017-11-27,ST浩源,1002700,10.40,10.42,10.18,10.20,-0.28,-2.67,"9,131",939,2.29,0.22
2017-11-24,ST浩源,1002700,10.18,10.48,10.01,10.48,0.37,3.66,"10,838","1,116",4.65,0.26
2017-11-23,ST浩源,1002700,10.21,10.30,10.11,10.11,-0.23,-2.22,"6,368",650,1.84,0.15
2017-11-22,ST浩源,1002700,10.43,10.43,10.28,10.34,-0.16,-1.52,"7,075",732,1.43,0.17
2017-11-21,ST浩源,1002700,10.16,10.50,10.16,10.50,0.36,3.55,"13,365","1,379",3.35,0.32
2017-11-20,ST浩源,1002700,10.25,10.37,9.98,10.14,-0.08,-0.78,"11,518","1,161",3.82,0.27
2017-11-17,ST浩源,1002700,10.55,10.59,10.18,10.22,-0.37,-3.49,"17,587","1,820",3.87,0.42
2017-11-16,ST浩源,1002700,10.67,10.74,10.50,10.59,-0.09,-0.84,"12,744","1,355",2.25,0.30
2017-11-15,ST浩源,1002700,10.60,10.68,10.58,10.68,0.08,0.75,"9,461","1,007",0.94,0.22
2017-11-14,ST浩源,1002700,10.75,10.84,10.59,10.60,-0.15,-1.40,"18,649","1,991",2.33,0.44
2017-11-13,ST浩源,1002700,10.95,11.03,10.68,10.75,-0.23,-2.09,"19,503","2,103",3.19,0.46
2017-11-10,ST浩源,1002700,11.14,11.17,10.96,10.98,-0.16,-1.44,"14,534","1,607",1.89,0.34
2017-11-09,ST浩源,1002700,11.07,11.20,11.03,11.14,0.07,0.63,"17,969","1,996",1.54,0.43
2017-11-08,ST浩源,1002700,11.09,11.13,11.03,11.07,-0.02,-0.18,"15,978","1,769",0.90,0.38
2017-11-07,ST浩源,1002700,11.15,11.17,10.96,11.09,-0.10,-0.89,"22,960","2,540",1.88,0.54
2017-11-06,ST浩源,1002700,10.91,11.23,10.85,11.19,0.24,2.19,"28,460","3,164",3.47,0.67
2017-11-03,ST浩源,1002700,10.78,11.25,10.68,10.95,0.20,1.86,"30,520","3,344",5.30,0.72
2017-11-02,ST浩源,1002700,10.81,10.84,10.65,10.75,-0.01,-0.09,"12,545","1,348",1.77,0.30
2017-11-01,ST浩源,1002700,10.79,10.88,10.72,10.76,-0.01,-0.09,"12,113","1,307",1.49,0.29
2017-10-31,ST浩源,1002700,10.74,10.80,10.61,10.77,0.03,0.28,"14,242","1,526",1.77,0.34
2017-10-30,ST浩源,1002700,11.13,11.16,10.58,10.74,-0.38,-3.42,"25,747","2,771",5.22,0.61
2017-10-27,ST浩源,1002700,11.13,11.27,11.04,11.12,0.00,0.00,"21,391","2,384",2.07,0.51
2017-10-26,ST浩源,1002700,11.16,11.20,11.08,11.12,-0.05,-0.45,"16,338","1,821",1.07,0.39
2017-10-25,ST浩源,1002700,11.13,11.27,11.07,11.17,0.03,0.27,"15,799","1,763",1.80,0.37
2017-10-24,ST浩源,1002700,11.32,11.35,11.02,11.14,-0.16,-1.42,"24,520","2,732",2.92,0.58
2017-10-23,ST浩源,1002700,11.30,11.39,11.17,11.30,-0.02,-0.18,"21,567","2,426",1.94,0.51
2017-10-20,ST浩源,1002700,11.35,11.37,11.10,11.32,-0.03,-0.26,"27,571","3,103",2.38,0.65
2017-10-19,ST浩源,1002700,11.24,11.42,11.21,11.35,0.02,0.18,"39,362","4,454",1.85,0.93
2017-10-18,ST浩源,1002700,11.20,11.45,11.15,11.33,-0.12,-1.05,"65,220","7,350",2.62,1.54
2017-10-17,ST浩源,1002700,10.97,12.07,10.97,11.45,0.48,4.38,"102,488","11,968",10.03,2.43
2017-10-16,ST浩源,1002700,11.16,11.30,10.91,10.97,-0.21,-1.88,"28,218","3,134",3.49,0.67
2017-10-13,ST浩源,1002700,11.06,11.28,11.03,11.18,0.05,0.45,"34,846","3,900",2.25,0.82
2017-10-12,ST浩源,1002700,10.95,11.17,10.92,11.13,-0.08,-0.71,"36,002","3,983",2.23,0.85
2017-10-11,ST浩源,1002700,10.84,11.50,10.75,11.21,0.34,3.13,"83,007","9,295",6.90,1.97
2017-10-10,ST浩源,1002700,10.70,10.88,10.64,10.87,0.13,1.21,"20,841","2,246",2.23,0.49
2017-10-09,ST浩源,1002700,10.78,10.81,10.69,10.74,0.00,0.00,"16,658","1,788",1.12,0.39
2017-09-29,ST浩源,1002700,10.68,10.75,10.65,10.74,0.01,0.09,"10,200","1,093",0.93,0.24
2017-09-28,ST浩源,1002700,10.66,10.76,10.61,10.73,0.02,0.19,"8,273",882,1.40,0.20
2017-09-27,ST浩源,1002700,10.74,10.74,10.65,10.71,-0.04,-0.37,"9,148",978,0.84,0.22
2017-09-26,ST浩源,1002700,10.67,10.75,10.57,10.75,0.08,0.75,"11,287","1,202",1.69,0.27
2017-09-25,ST浩源,1002700,10.70,10.82,10.66,10.67,-0.13,-1.20,"9,237",988,1.48,0.22
2017-09-22,ST浩源,1002700,10.82,10.87,10.60,10.80,-0.03,-0.28,"19,231","2,059",2.49,0.46
2017-09-21,ST浩源,1002700,10.93,10.93,10.81,10.83,-0.10,-0.91,"13,764","1,495",1.10,0.33
2017-09-20,ST浩源,1002700,10.83,10.95,10.83,10.93,0.05,0.46,"10,765","1,174",1.10,0.25
2017-09-19,ST浩源,1002700,10.94,10.97,10.86,10.88,-0.08,-0.73,"10,946","1,194",1.00,0.26
2017-09-18,ST浩源,1002700,10.96,11.03,10.87,10.96,-0.05,-0.45,"14,825","1,622",1.45,0.35
2017-09-15,ST浩源,1002700,10.98,11.07,10.97,11.01,0.02,0.18,"16,152","1,779",0.91,0.38
2017-09-14,ST浩源,1002700,11.14,11.28,10.98,10.99,-0.16,-1.44,"19,536","2,161",2.69,0.46
2017-09-13,ST浩源,1002700,11.20,11.20,11.07,11.15,-0.10,-0.89,"20,559","2,286",1.16,0.49
2017-09-12,ST浩源,1002700,11.01,11.34,11.00,11.25,0.25,2.27,"63,488","7,092",3.09,1.50
2017-09-11,ST浩源,1002700,11.02,11.08,10.96,11.00,0.02,0.18,"20,008","2,202",1.09,0.47
2017-09-08,ST浩源,1002700,10.79,10.98,10.79,10.98,0.13,1.20,"11,770","1,282",1.75,0.28
2017-09-07,ST浩源,1002700,10.88,10.97,10.81,10.85,-0.03,-0.28,"12,602","1,374",1.47,0.30
