日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-04-19,*ST科林,1002499,28.70,29.11,28.50,28.93,-0.03,-0.10,"40,187","11,565",2.11,2.13
2017-04-18,*ST科林,1002499,29.40,29.56,28.90,28.96,-0.27,-0.92,"38,545","11,292",2.26,2.04
2017-04-17,*ST科林,1002499,28.83,29.29,28.71,29.23,0.40,1.39,"44,284","12,873",2.01,2.34
2017-04-14,*ST科林,1002499,28.72,28.88,28.58,28.83,-0.07,-0.24,"28,848","8,279",1.04,1.53
2017-04-13,*ST科林,1002499,28.50,29.81,28.38,28.90,0.36,1.26,"67,986","19,849",5.01,3.60
2017-04-12,*ST科林,1002499,28.56,28.78,28.33,28.54,-0.24,-0.83,"23,019","6,580",1.56,1.22
2017-04-11,*ST科林,1002499,28.69,28.98,28.20,28.78,0.04,0.14,"34,419","9,875",2.71,1.82
2017-04-10,*ST科林,1002499,28.93,29.20,28.54,28.74,-0.16,-0.55,"32,879","9,457",2.28,1.74
2017-04-07,*ST科林,1002499,28.38,29.06,28.21,28.90,0.64,2.26,"50,954","14,671",3.01,2.70
2017-04-06,*ST科林,1002499,28.64,28.84,28.16,28.26,-0.29,-1.02,"22,103","6,270",2.38,1.17
2017-04-05,*ST科林,1002499,27.90,28.68,27.90,28.55,0.66,2.37,"18,277","5,184",2.80,0.97
2017-09-29,*ST科林,1002499,22.84,23.87,22.79,23.82,0.99,4.34,"32,900","7,767",4.73,1.74
2017-09-28,*ST科林,1002499,23.02,23.18,22.75,22.83,-0.19,-0.83,"10,655","2,444",1.87,0.56
2017-09-27,*ST科林,1002499,22.88,23.12,22.82,23.02,0.14,0.61,"8,085","1,857",1.31,0.43
2017-09-26,*ST科林,1002499,23.17,23.39,22.88,22.88,-0.29,-1.25,"7,832","1,806",2.20,0.41
2017-09-25,*ST科林,1002499,23.06,23.32,23.03,23.17,-0.01,-0.04,"8,684","2,014",1.25,0.46
2017-09-22,*ST科林,1002499,23.36,23.42,23.11,23.18,-0.17,-0.73,"9,453","2,199",1.33,0.50
2017-09-21,*ST科林,1002499,23.77,23.77,23.25,23.35,-0.44,-1.85,"13,656","3,208",2.19,0.72
2017-09-20,*ST科林,1002499,23.70,23.92,23.42,23.79,0.19,0.81,"16,135","3,824",2.12,0.85
2017-09-19,*ST科林,1002499,23.63,23.65,23.43,23.60,-0.04,-0.17,"14,606","3,435",0.93,0.77
2017-09-18,*ST科林,1002499,23.38,23.68,23.26,23.64,0.26,1.11,"17,743","4,168",1.80,0.94
2017-09-15,*ST科林,1002499,23.43,23.43,23.05,23.38,0.09,0.39,"11,869","2,758",1.63,0.63
2017-09-14,*ST科林,1002499,23.30,23.44,23.17,23.29,0.12,0.52,"12,291","2,871",1.17,0.65
2017-09-13,*ST科林,1002499,23.30,23.54,23.16,23.17,-0.14,-0.60,"16,068","3,746",1.63,0.85
2017-09-12,*ST科林,1002499,23.49,23.69,23.22,23.31,-0.19,-0.81,"18,117","4,235",2.00,0.96
2017-09-11,*ST科林,1002499,22.82,23.60,22.81,23.50,0.58,2.53,"23,758","5,545",3.45,1.26
2017-09-08,*ST科林,1002499,22.90,23.12,22.72,22.92,0.16,0.70,"22,863","5,242",1.76,1.21
2017-09-07,*ST科林,1002499,22.60,22.98,22.60,22.76,-0.07,-0.31,"17,143","3,902",1.66,0.91
2017-09-06,*ST科林,1002499,22.55,22.88,22.46,22.83,0.27,1.20,"20,479","4,646",1.86,1.08
2017-09-05,*ST科林,1002499,22.84,22.95,22.40,22.56,-0.28,-1.23,"23,736","5,362",2.41,1.26
2017-09-04,*ST科林,1002499,22.25,22.86,22.25,22.84,0.59,2.65,"30,798","6,988",2.74,1.63
2017-09-01,*ST科林,1002499,22.48,22.48,22.20,22.25,-0.01,-0.04,"15,345","3,428",1.26,0.81
2017-08-31,*ST科林,1002499,22.16,22.47,22.16,22.26,0.11,0.50,"13,735","3,064",1.40,0.73
2017-08-30,*ST科林,1002499,22.40,22.59,22.05,22.15,-0.34,-1.51,"16,052","3,577",2.40,0.85
2017-08-29,*ST科林,1002499,22.64,22.67,22.42,22.49,-0.11,-0.49,"14,998","3,378",1.11,0.79
2017-08-28,*ST科林,1002499,22.40,22.95,22.31,22.60,0.10,0.44,"26,712","6,044",2.84,1.41
2017-08-25,*ST科林,1002499,22.61,22.66,22.19,22.50,-0.33,-1.45,"33,350","7,475",2.06,1.76
2017-08-24,*ST科林,1002499,21.67,23.52,21.35,22.83,1.32,6.14,"49,738","11,069",10.09,2.63
2017-08-23,*ST科林,1002499,21.31,21.78,21.31,21.51,0.00,0.00,"19,062","4,113",2.19,1.01
2017-08-22,*ST科林,1002499,21.50,21.66,21.34,21.51,-0.10,-0.46,"15,649","3,362",1.48,0.83
2017-08-21,*ST科林,1002499,21.36,21.80,21.05,21.61,0.25,1.17,"19,773","4,252",3.51,1.05
