日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2018-12-28,东方环宇,0603706,28.00,28.25,26.79,26.96,-1.04,-3.71,"56,730","15,477",5.21,14.18
2018-12-27,东方环宇,0603706,30.30,30.40,27.88,28.00,-1.38,-4.70,"72,981","21,381",8.58,18.25
2018-12-26,东方环宇,0603706,28.60,29.83,28.28,29.38,0.68,2.37,"71,262","20,682",5.40,17.82
2018-12-25,东方环宇,0603706,28.44,28.79,27.66,28.70,-0.38,-1.31,"53,664","15,221",3.89,13.42
2018-12-24,东方环宇,0603706,28.04,29.09,28.04,29.08,0.96,3.41,"58,806","16,862",3.73,14.70
2018-12-21,东方环宇,0603706,28.20,28.41,27.65,28.12,-0.31,-1.09,"32,968","9,227",2.67,8.24
2018-12-20,东方环宇,0603706,27.72,28.44,27.72,28.43,0.55,1.97,"44,933","12,648",2.58,11.23
2018-12-19,东方环宇,0603706,28.53,28.80,27.65,27.88,-0.55,-1.93,"47,738","13,456",4.05,11.93
2018-12-18,东方环宇,0603706,29.45,29.45,28.10,28.43,-1.46,-4.88,"67,024","19,276",4.52,16.76
2018-12-17,东方环宇,0603706,29.90,30.48,29.20,29.89,-1.61,-5.11,"85,988","25,620",4.06,21.50
2018-12-14,东方环宇,0603706,30.33,33.00,30.30,31.50,0.71,2.31,"131,935","41,947",8.77,32.98
2018-12-13,东方环宇,0603706,32.50,33.65,30.61,30.79,0.20,0.65,"121,280","38,429",9.94,30.32
2018-12-12,东方环宇,0603706,30.00,30.67,29.60,30.59,0.57,1.90,"73,346","22,178",3.56,18.34
2018-12-11,东方环宇,0603706,29.95,30.35,29.50,30.02,-0.24,-0.79,"57,294","17,102",2.81,14.32
2018-12-10,东方环宇,0603706,28.97,30.68,28.66,30.26,1.18,4.06,"84,319","25,218",6.95,21.08
2018-12-07,东方环宇,0603706,29.28,29.30,28.53,29.08,-0.01,-0.03,"34,410","9,965",2.65,8.60
2018-12-06,东方环宇,0603706,28.93,29.86,28.55,29.09,0.18,0.62,"53,310","15,565",4.53,13.33
