日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,中山公用,1000685,10.18,10.26,10.12,10.25,0.07,0.69,"41,946","4,275",1.38,0.33
2017-12-28,中山公用,1000685,10.15,10.21,10.10,10.18,0.03,0.30,"31,238","3,175",1.08,0.25
2017-12-27,中山公用,1000685,10.18,10.24,10.10,10.15,-0.06,-0.59,"33,021","3,362",1.37,0.26
2017-12-26,中山公用,1000685,10.14,10.22,10.12,10.21,0.06,0.59,"25,677","2,614",0.99,0.20
2017-12-25,中山公用,1000685,10.26,10.28,10.11,10.15,-0.11,-1.07,"34,506","3,519",1.66,0.28
2017-12-22,中山公用,1000685,10.22,10.32,10.17,10.26,0.07,0.69,"39,226","4,023",1.47,0.31
2017-12-21,中山公用,1000685,10.16,10.24,10.06,10.19,0.05,0.49,"28,878","2,936",1.78,0.23
2017-12-20,中山公用,1000685,10.24,10.26,10.12,10.14,-0.12,-1.17,"26,680","2,719",1.36,0.21
2017-12-19,中山公用,1000685,10.27,10.28,10.21,10.26,0.01,0.10,"23,625","2,422",0.68,0.19
2017-12-18,中山公用,1000685,10.24,10.28,10.20,10.25,0.01,0.10,"24,143","2,473",0.78,0.19
2017-12-15,中山公用,1000685,10.30,10.30,10.17,10.24,-0.09,-0.87,"37,541","3,837",1.26,0.30
2017-12-14,中山公用,1000685,10.25,10.37,10.23,10.33,0.09,0.88,"53,639","5,529",1.37,0.43
2017-12-13,中山公用,1000685,10.21,10.26,10.19,10.24,0.03,0.29,"24,725","2,528",0.69,0.20
2017-12-12,中山公用,1000685,10.26,10.27,10.20,10.21,-0.05,-0.49,"28,727","2,941",0.68,0.23
2017-12-11,中山公用,1000685,10.19,10.27,10.19,10.26,0.05,0.49,"31,170","3,192",0.78,0.25
2017-12-08,中山公用,1000685,10.15,10.24,10.13,10.21,0.07,0.69,"26,655","2,721",1.08,0.21
2017-12-07,中山公用,1000685,10.14,10.18,10.11,10.14,-0.01,-0.10,"21,491","2,180",0.69,0.17
2017-12-06,中山公用,1000685,10.18,10.19,10.04,10.15,-0.02,-0.20,"39,711","4,019",1.47,0.32
2017-12-05,中山公用,1000685,10.22,10.29,10.12,10.17,-0.05,-0.49,"44,168","4,499",1.66,0.35
2017-12-04,中山公用,1000685,10.34,10.34,10.21,10.22,-0.09,-0.87,"29,550","3,032",1.26,0.24
2017-12-01,中山公用,1000685,10.22,10.32,10.22,10.31,0.07,0.68,"42,001","4,319",0.98,0.34
2017-11-30,中山公用,1000685,10.24,10.30,10.20,10.24,0.00,0.00,"29,159","2,990",0.98,0.23
2017-11-29,中山公用,1000685,10.23,10.27,10.16,10.24,0.01,0.10,"36,547","3,733",1.08,0.29
2017-11-28,中山公用,1000685,10.16,10.25,10.16,10.23,0.06,0.59,"29,053","2,965",0.89,0.23
2017-11-27,中山公用,1000685,10.28,10.28,10.16,10.17,-0.13,-1.26,"50,905","5,194",1.17,0.41
2017-11-24,中山公用,1000685,10.23,10.33,10.21,10.30,-0.03,-0.29,"55,131","5,662",1.16,0.51
2017-11-23,中山公用,1000685,10.49,10.51,10.32,10.33,-0.15,-1.43,"52,921","5,513",1.81,0.49
2017-11-22,中山公用,1000685,10.49,10.55,10.45,10.48,-0.01,-0.10,"39,268","4,121",0.95,0.37
2017-11-21,中山公用,1000685,10.33,10.58,10.30,10.49,0.16,1.55,"68,892","7,227",2.71,0.64
2017-11-20,中山公用,1000685,10.31,10.37,10.22,10.33,-0.01,-0.10,"50,453","5,189",1.45,0.47
2017-11-17,中山公用,1000685,10.53,10.53,10.31,10.34,-0.17,-1.62,"63,260","6,589",2.09,0.59
2017-11-16,中山公用,1000685,10.53,10.59,10.50,10.51,-0.05,-0.47,"36,243","3,820",0.85,0.34
2017-11-15,中山公用,1000685,10.53,10.65,10.52,10.56,0.02,0.19,"36,935","3,909",1.23,0.34
2017-11-14,中山公用,1000685,10.63,10.66,10.54,10.54,-0.09,-0.85,"54,742","5,805",1.13,0.51
2017-11-13,中山公用,1000685,10.66,10.69,10.62,10.63,-0.04,-0.37,"42,348","4,510",0.66,0.40
2017-11-10,中山公用,1000685,10.67,10.68,10.61,10.67,0.00,0.00,"34,434","3,665",0.66,0.32
2017-11-09,中山公用,1000685,10.65,10.71,10.62,10.67,0.00,0.00,"39,839","4,246",0.84,0.37
2017-11-08,中山公用,1000685,10.62,10.78,10.58,10.67,0.05,0.47,"72,070","7,704",1.88,0.67
2017-11-07,中山公用,1000685,10.53,10.63,10.53,10.62,0.07,0.66,"45,018","4,765",0.95,0.42
2017-11-06,中山公用,1000685,10.48,10.56,10.43,10.55,0.07,0.67,"30,219","3,172",1.24,0.28
2017-11-03,中山公用,1000685,10.61,10.65,10.42,10.48,-0.16,-1.50,"59,145","6,219",2.16,0.55
2017-11-02,中山公用,1000685,10.62,10.65,10.54,10.64,0.02,0.19,"43,019","4,565",1.04,0.40
2017-11-01,中山公用,1000685,10.61,10.66,10.59,10.62,0.01,0.09,"61,705","6,559",0.66,0.58
2017-10-31,中山公用,1000685,10.59,10.62,10.56,10.61,0.04,0.38,"44,042","4,665",0.57,0.41
2017-10-30,中山公用,1000685,10.77,10.78,10.52,10.57,-0.17,-1.58,"95,298","10,137",2.42,0.89
2017-10-27,中山公用,1000685,10.80,10.82,10.73,10.74,-0.06,-0.56,"71,063","7,654",0.83,0.66
2017-10-26,中山公用,1000685,10.80,10.88,10.74,10.80,0.00,0.00,"77,395","8,361",1.30,0.72
2017-10-25,中山公用,1000685,10.76,10.83,10.75,10.80,0.02,0.19,"64,610","6,968",0.74,0.60
2017-10-24,中山公用,1000685,10.78,10.80,10.75,10.78,0.01,0.09,"36,146","3,891",0.46,0.34
2017-10-23,中山公用,1000685,10.75,10.81,10.72,10.77,0.01,0.09,"30,788","3,316",0.84,0.29
2017-10-20,中山公用,1000685,10.69,10.77,10.67,10.76,0.06,0.56,"31,569","3,388",0.93,0.29
2017-10-19,中山公用,1000685,10.82,10.84,10.68,10.70,-0.14,-1.29,"64,302","6,905",1.48,0.60
2017-10-18,中山公用,1000685,10.92,10.94,10.80,10.84,-0.05,-0.46,"51,745","5,624",1.29,0.48
2017-10-17,中山公用,1000685,10.91,10.95,10.87,10.89,-0.02,-0.18,"41,132","4,484",0.73,0.38
2017-10-16,中山公用,1000685,11.09,11.09,10.88,10.91,-0.13,-1.18,"70,985","7,793",1.90,0.66
2017-10-13,中山公用,1000685,10.94,11.08,10.92,11.04,0.09,0.82,"94,644","10,430",1.46,0.88
2017-10-12,中山公用,1000685,10.92,10.99,10.90,10.95,0.01,0.09,"33,258","3,636",0.82,0.31
2017-10-11,中山公用,1000685,10.93,10.99,10.92,10.94,0.00,0.00,"50,655","5,551",0.64,0.47
2017-10-10,中山公用,1000685,10.87,10.94,10.85,10.94,0.07,0.64,"47,721","5,198",0.83,0.45
2017-10-09,中山公用,1000685,10.92,10.96,10.85,10.87,0.08,0.74,"55,483","6,045",1.02,0.52
2017-03-31,中山公用,1000685,10.87,10.92,10.81,10.87,-0.01,-0.09,"81,124","8,808",1.01,0.76
2017-03-30,中山公用,1000685,11.10,11.11,10.83,10.88,-0.27,-2.42,"193,975","21,184",2.51,1.81
2017-03-29,中山公用,1000685,11.33,11.54,11.10,11.15,0.11,1.00,"445,595","50,436",3.99,4.16
2017-03-28,中山公用,1000685,11.00,11.05,10.93,11.04,0.07,0.64,"58,334","6,407",1.09,0.54
2017-03-27,中山公用,1000685,11.03,11.03,10.96,10.97,-0.04,-0.36,"50,486","5,549",0.64,0.47
2017-03-24,中山公用,1000685,10.92,11.03,10.86,11.01,0.07,0.64,"61,213","6,703",1.55,0.57
2017-03-23,中山公用,1000685,10.88,10.95,10.85,10.94,0.07,0.64,"55,605","6,059",0.92,0.52
2017-03-22,中山公用,1000685,10.94,10.97,10.85,10.87,-0.09,-0.82,"50,771","5,528",1.09,0.47
2017-03-21,中山公用,1000685,10.89,10.97,10.89,10.96,0.05,0.46,"46,681","5,101",0.73,0.44
2017-03-20,中山公用,1000685,10.95,10.97,10.84,10.91,-0.04,-0.37,"62,074","6,764",1.19,0.58
