日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,国电电力,0600795,3.35,3.37,3.31,3.32,-0.03,-0.90,"1,453,582","48,469",1.79,0.74
2017-09-28,国电电力,0600795,3.39,3.40,3.35,3.35,-0.05,-1.47,"730,871","24,595",1.47,0.37
2017-09-27,国电电力,0600795,3.40,3.41,3.39,3.40,-0.01,-0.29,"466,562","15,845",0.59,0.24
2017-09-26,国电电力,0600795,3.41,3.41,3.39,3.41,0.00,0.00,"568,361","19,333",0.59,0.29
2017-09-25,国电电力,0600795,3.39,3.44,3.37,3.41,0.00,0.00,"999,985","34,077",2.05,0.51
2017-09-22,国电电力,0600795,3.38,3.42,3.35,3.41,0.01,0.29,"1,101,423","37,261",2.06,0.56
2017-09-21,国电电力,0600795,3.37,3.43,3.35,3.40,0.03,0.89,"1,294,614","44,007",2.37,0.66
2017-09-20,国电电力,0600795,3.36,3.37,3.35,3.37,0.00,0.00,"699,419","23,503",0.59,0.36
2017-09-19,国电电力,0600795,3.39,3.40,3.36,3.37,-0.02,-0.59,"979,080","33,060",1.18,0.50
2017-09-18,国电电力,0600795,3.39,3.41,3.38,3.39,0.00,0.00,"819,351","27,851",0.89,0.42
2017-09-15,国电电力,0600795,3.39,3.40,3.38,3.39,0.00,0.00,"795,270","26,959",0.59,0.40
2017-09-14,国电电力,0600795,3.43,3.43,3.39,3.39,-0.03,-0.88,"946,680","32,227",1.17,0.48
2017-09-13,国电电力,0600795,3.42,3.43,3.40,3.42,-0.01,-0.29,"729,709","24,911",0.87,0.37
2017-09-12,国电电力,0600795,3.43,3.45,3.41,3.43,0.00,0.00,"1,434,772","49,141",1.17,0.73
2017-09-11,国电电力,0600795,3.50,3.50,3.40,3.43,-0.07,-2.00,"2,503,834","86,130",2.86,1.27
2017-09-08,国电电力,0600795,3.50,3.53,3.49,3.50,-0.02,-0.57,"1,067,505","37,427",1.14,0.54
2017-09-07,国电电力,0600795,3.55,3.56,3.50,3.52,-0.05,-1.40,"1,798,174","63,260",1.68,0.92
2017-09-06,国电电力,0600795,3.55,3.62,3.53,3.57,0.01,0.28,"1,874,746","66,940",2.53,0.95
2017-09-05,国电电力,0600795,3.62,3.65,3.53,3.56,-0.13,-3.52,"3,473,092","123,925",3.25,1.77
2017-09-04,国电电力,0600795,4.09,4.09,3.67,3.69,-0.15,-3.91,"9,746,534","371,266",10.94,4.96
2017-09-01,国电电力,0600795,3.84,3.84,3.84,3.84,0.35,10.03,"409,612","15,729",0.00,0.21
2017-06-02,国电电力,0600795,3.51,3.61,3.50,3.60,0.11,3.15,"2,334,376","83,475",3.15,1.19
2017-06-01,国电电力,0600795,3.52,3.54,3.48,3.49,-0.03,-0.85,"976,727","34,311",1.70,0.50
2017-05-31,国电电力,0600795,3.50,3.55,3.47,3.52,0.01,0.28,"1,564,699","55,000",2.28,0.80
2017-05-26,国电电力,0600795,3.43,3.53,3.43,3.51,0.07,2.03,"2,461,087","85,952",2.91,1.25
2017-05-25,国电电力,0600795,3.39,3.45,3.37,3.44,0.04,1.18,"1,108,420","37,903",2.35,0.56
2017-05-24,国电电力,0600795,3.40,3.42,3.38,3.40,-0.01,-0.29,"539,331","18,301",1.17,0.27
2017-05-23,国电电力,0600795,3.38,3.44,3.36,3.41,0.01,0.29,"1,119,980","38,091",2.35,0.57
2017-05-22,国电电力,0600795,3.36,3.40,3.33,3.40,0.03,0.89,"812,303","27,299",2.08,0.41
2017-05-19,国电电力,0600795,3.33,3.37,3.33,3.37,0.02,0.60,"568,631","19,078",1.19,0.29
2017-05-18,国电电力,0600795,3.41,3.41,3.32,3.35,-0.08,-2.33,"1,242,330","41,677",2.62,0.63
2017-05-17,国电电力,0600795,3.43,3.46,3.41,3.43,-0.01,-0.29,"678,281","23,266",1.45,0.35
2017-05-16,国电电力,0600795,3.41,3.44,3.39,3.44,0.01,0.29,"737,586","25,207",1.46,0.38
2017-05-15,国电电力,0600795,3.41,3.44,3.36,3.43,0.03,0.88,"848,689","28,804",2.35,0.43
2017-05-12,国电电力,0600795,3.43,3.44,3.38,3.40,-0.03,-0.87,"743,475","25,351",1.75,0.38
2017-05-11,国电电力,0600795,3.36,3.45,3.35,3.43,0.05,1.48,"2,000,306","68,164",2.96,1.02
2017-05-10,国电电力,0600795,3.39,3.41,3.34,3.38,-0.03,-0.88,"965,486","32,499",2.05,0.49
2017-05-09,国电电力,0600795,3.33,3.44,3.32,3.41,0.06,1.79,"1,923,058","65,385",3.58,0.98
2017-05-08,国电电力,0600795,3.26,3.36,3.23,3.35,0.07,2.13,"1,707,967","56,522",3.96,0.87
2017-05-05,国电电力,0600795,3.25,3.28,3.22,3.28,0.01,0.31,"912,135","29,646",1.83,0.46
2017-05-04,国电电力,0600795,3.27,3.29,3.24,3.27,0.00,0.00,"778,250","25,383",1.53,0.40
2017-05-03,国电电力,0600795,3.32,3.33,3.26,3.27,-0.06,-1.80,"1,140,059","37,541",2.10,0.58
2017-05-02,国电电力,0600795,3.35,3.36,3.32,3.33,-0.04,-1.19,"841,039","28,070",1.19,0.43
2017-04-28,国电电力,0600795,3.35,3.38,3.34,3.37,0.00,0.00,"725,658","24,388",1.19,0.37
2017-04-27,国电电力,0600795,3.41,3.42,3.33,3.37,-0.05,-1.46,"1,089,746","36,712",2.63,0.55
2017-04-26,国电电力,0600795,3.43,3.44,3.41,3.42,-0.03,-0.87,"1,003,361","34,344",0.87,0.51
2017-04-25,国电电力,0600795,3.40,3.48,3.39,3.45,0.03,0.88,"1,735,364","59,810",2.63,0.88
2017-04-24,国电电力,0600795,3.38,3.44,3.34,3.42,0.03,0.89,"1,814,078","61,338",2.95,0.92
2017-04-21,国电电力,0600795,3.35,3.40,3.33,3.39,0.03,0.89,"1,075,119","36,177",2.08,0.55
2017-04-20,国电电力,0600795,3.35,3.37,3.31,3.36,-0.01,-0.30,"888,218","29,659",1.78,0.45
2017-04-19,国电电力,0600795,3.32,3.37,3.29,3.37,0.02,0.60,"1,330,710","44,213",2.39,0.68
2017-04-18,国电电力,0600795,3.34,3.41,3.33,3.35,-0.01,-0.30,"1,444,098","48,764",2.38,0.73
2017-04-17,国电电力,0600795,3.37,3.40,3.32,3.36,-0.08,-2.33,"2,190,584","73,482",2.33,1.11
2017-04-14,国电电力,0600795,3.65,3.77,3.41,3.44,-0.04,-1.15,"4,724,756","167,444",10.34,2.40
2017-04-13,国电电力,0600795,3.36,3.50,3.34,3.48,0.10,2.96,"3,782,389","129,908",4.73,1.92
2017-04-12,国电电力,0600795,3.32,3.40,3.30,3.38,0.06,1.81,"2,621,353","88,298",3.01,1.33
2017-04-11,国电电力,0600795,3.31,3.33,3.28,3.32,0.02,0.61,"1,238,544","40,966",1.52,0.63
2017-04-10,国电电力,0600795,3.32,3.33,3.29,3.30,-0.02,-0.60,"1,029,925","34,064",1.20,0.52
2017-04-07,国电电力,0600795,3.30,3.34,3.30,3.32,0.01,0.30,"1,551,292","51,578",1.21,0.79
2017-04-06,国电电力,0600795,3.30,3.34,3.29,3.31,0.00,0.00,"1,626,268","53,921",1.51,0.83
2017-04-05,国电电力,0600795,3.25,3.34,3.23,3.31,0.05,1.53,"2,076,778","68,260",3.37,1.06
2017-12-29,国电电力,0600795,3.10,3.13,3.10,3.12,0.01,0.32,"287,486","8,958",0.96,0.15
2017-12-28,国电电力,0600795,3.07,3.13,3.06,3.11,0.03,0.97,"440,216","13,660",2.27,0.22
2017-12-27,国电电力,0600795,3.06,3.11,3.04,3.08,0.01,0.33,"504,000","15,505",2.28,0.26
2017-12-26,国电电力,0600795,3.06,3.08,3.03,3.07,0.01,0.33,"434,335","13,262",1.63,0.22
2017-12-25,国电电力,0600795,3.11,3.12,3.05,3.06,-0.06,-1.92,"598,506","18,429",2.24,0.30
2017-12-22,国电电力,0600795,3.13,3.14,3.11,3.12,-0.02,-0.64,"233,244","7,278",0.96,0.12
2017-12-21,国电电力,0600795,3.11,3.15,3.08,3.14,0.03,0.96,"523,638","16,299",2.25,0.27
2017-12-20,国电电力,0600795,3.18,3.19,3.11,3.11,-0.07,-2.20,"622,466","19,552",2.52,0.32
2017-12-19,国电电力,0600795,3.17,3.19,3.16,3.18,0.01,0.32,"288,790","9,170",0.95,0.15
2017-12-18,国电电力,0600795,3.20,3.21,3.16,3.17,-0.04,-1.25,"484,993","15,418",1.56,0.25
2017-12-15,国电电力,0600795,3.27,3.27,3.20,3.21,-0.06,-1.83,"826,910","26,627",2.14,0.42
2017-12-14,国电电力,0600795,3.32,3.33,3.27,3.27,-0.06,-1.80,"674,424","22,210",1.80,0.34
2017-12-13,国电电力,0600795,3.32,3.33,3.31,3.33,0.00,0.00,"404,846","13,438",0.60,0.21
2017-12-12,国电电力,0600795,3.35,3.35,3.32,3.33,-0.02,-0.60,"310,610","10,343",0.90,0.16
2017-12-11,国电电力,0600795,3.34,3.35,3.33,3.35,0.01,0.30,"352,493","11,781",0.60,0.18
2017-12-08,国电电力,0600795,3.34,3.35,3.33,3.34,0.01,0.30,"345,751","11,558",0.60,0.18
2017-12-07,国电电力,0600795,3.34,3.35,3.33,3.33,-0.02,-0.60,"265,785","8,876",0.60,0.14
2017-12-06,国电电力,0600795,3.36,3.36,3.32,3.35,-0.02,-0.59,"532,853","17,786",1.19,0.27
2017-12-05,国电电力,0600795,3.36,3.38,3.35,3.37,0.01,0.30,"459,785","15,463",0.89,0.23
2017-12-04,国电电力,0600795,3.39,3.40,3.36,3.36,-0.03,-0.89,"506,675","17,101",1.18,0.26
2017-12-01,国电电力,0600795,3.39,3.41,3.38,3.39,-0.02,-0.59,"468,682","15,896",0.88,0.24
2017-11-30,国电电力,0600795,3.45,3.47,3.40,3.41,-0.06,-1.73,"687,714","23,562",2.02,0.35
2017-11-29,国电电力,0600795,3.44,3.51,3.43,3.47,0.04,1.17,"991,681","34,458",2.33,0.50
2017-11-28,国电电力,0600795,3.42,3.44,3.38,3.43,0.00,0.00,"702,647","23,976",1.75,0.36
2017-11-27,国电电力,0600795,3.50,3.51,3.43,3.43,-0.08,-2.28,"812,257","28,225",2.28,0.41
2017-11-24,国电电力,0600795,3.49,3.53,3.44,3.51,0.01,0.29,"987,098","34,432",2.57,0.50
2017-11-23,国电电力,0600795,3.53,3.57,3.47,3.50,-0.03,-0.85,"1,599,669","56,359",2.83,0.81
2017-11-22,国电电力,0600795,3.47,3.54,3.45,3.53,0.06,1.73,"1,482,801","51,861",2.59,0.75
2017-11-21,国电电力,0600795,3.48,3.49,3.45,3.47,-0.01,-0.29,"1,097,937","38,074",1.15,0.56
2017-11-20,国电电力,0600795,3.42,3.48,3.41,3.48,0.03,0.87,"1,412,195","48,747",2.03,0.72
2017-11-17,国电电力,0600795,3.35,3.45,3.31,3.45,0.09,2.68,"2,220,017","75,173",4.17,1.13
2017-11-16,国电电力,0600795,3.44,3.45,3.35,3.36,-0.09,-2.61,"1,010,044","34,259",2.90,0.51
2017-11-15,国电电力,0600795,3.44,3.46,3.41,3.45,-0.01,-0.29,"969,364","33,334",1.45,0.49
2017-11-14,国电电力,0600795,3.41,3.49,3.40,3.46,0.05,1.47,"1,477,571","51,029",2.64,0.75
2017-11-13,国电电力,0600795,3.42,3.44,3.40,3.41,0.00,0.00,"599,763","20,481",1.17,0.31
2017-11-10,国电电力,0600795,3.43,3.44,3.40,3.41,-0.04,-1.16,"853,748","29,149",1.16,0.43
2017-11-09,国电电力,0600795,3.38,3.46,3.38,3.45,0.06,1.77,"1,579,902","54,208",2.36,0.80
2017-11-08,国电电力,0600795,3.35,3.41,3.34,3.39,0.04,1.19,"1,067,636","36,104",2.09,0.54
2017-11-07,国电电力,0600795,3.34,3.37,3.34,3.35,0.00,0.00,"571,781","19,158",0.90,0.29
2017-11-06,国电电力,0600795,3.36,3.37,3.34,3.35,-0.03,-0.89,"376,934","12,636",0.89,0.19
2017-11-03,国电电力,0600795,3.35,3.39,3.32,3.38,0.01,0.30,"952,714","31,898",2.08,0.48
2017-11-02,国电电力,0600795,3.36,3.37,3.32,3.37,0.01,0.30,"914,990","30,585",1.49,0.47
2017-11-01,国电电力,0600795,3.37,3.41,3.35,3.36,-0.02,-0.59,"868,231","29,384",1.78,0.44
2017-10-31,国电电力,0600795,3.38,3.39,3.37,3.38,-0.03,-0.88,"464,633","15,705",0.59,0.24
2017-10-30,国电电力,0600795,3.40,3.41,3.34,3.41,0.00,0.00,"1,115,959","37,620",2.05,0.57
2017-10-27,国电电力,0600795,3.37,3.44,3.36,3.41,0.03,0.89,"1,198,849","40,768",2.37,0.61
2017-10-26,国电电力,0600795,3.37,3.38,3.36,3.38,0.01,0.30,"532,385","17,935",0.59,0.27
2017-10-25,国电电力,0600795,3.37,3.38,3.36,3.37,-0.01,-0.30,"476,552","16,055",0.59,0.24
2017-10-24,国电电力,0600795,3.33,3.39,3.33,3.38,0.05,1.50,"1,049,477","35,295",1.80,0.53
2017-10-23,国电电力,0600795,3.35,3.35,3.32,3.33,-0.02,-0.60,"356,494","11,880",0.90,0.18
2017-10-20,国电电力,0600795,3.35,3.36,3.34,3.35,-0.01,-0.30,"395,026","13,216",0.60,0.20
2017-10-19,国电电力,0600795,3.35,3.38,3.33,3.36,0.00,0.00,"925,129","31,022",1.49,0.47
2017-10-18,国电电力,0600795,3.31,3.36,3.31,3.36,0.04,1.20,"917,502","30,614",1.51,0.47
2017-10-17,国电电力,0600795,3.34,3.34,3.31,3.32,-0.02,-0.60,"447,967","14,883",0.90,0.23
2017-10-16,国电电力,0600795,3.35,3.36,3.33,3.34,0.00,0.00,"580,176","19,403",0.90,0.30
2017-10-13,国电电力,0600795,3.35,3.36,3.34,3.34,-0.02,-0.60,"520,023","17,420",0.60,0.26
2017-10-12,国电电力,0600795,3.35,3.36,3.34,3.36,0.00,0.00,"569,354","19,063",0.60,0.29
2017-10-11,国电电力,0600795,3.34,3.37,3.33,3.36,0.01,0.30,"756,670","25,375",1.19,0.39
2017-10-10,国电电力,0600795,3.34,3.35,3.32,3.35,0.01,0.30,"502,032","16,738",0.90,0.26
2017-10-09,国电电力,0600795,3.35,3.36,3.33,3.34,0.02,0.60,"811,557","27,130",0.90,0.41
2017-03-31,国电电力,0600795,3.24,3.30,3.24,3.26,0.00,0.00,"1,709,945","55,907",1.84,0.87
2017-03-30,国电电力,0600795,3.21,3.29,3.20,3.26,0.05,1.56,"1,953,218","63,324",2.80,0.99
2017-03-29,国电电力,0600795,3.20,3.24,3.19,3.21,0.01,0.31,"778,449","24,995",1.56,0.40
2017-03-28,国电电力,0600795,3.21,3.22,3.20,3.20,-0.01,-0.31,"386,894","12,401",0.62,0.20
2017-03-27,国电电力,0600795,3.22,3.23,3.20,3.21,-0.01,-0.31,"584,058","18,790",0.93,0.30
2017-03-24,国电电力,0600795,3.20,3.22,3.19,3.22,0.02,0.63,"710,562","22,766",0.94,0.36
2017-03-23,国电电力,0600795,3.22,3.23,3.20,3.20,-0.02,-0.62,"732,600","23,524",0.93,0.37
2017-03-22,国电电力,0600795,3.23,3.24,3.21,3.22,-0.02,-0.62,"555,046","17,888",0.93,0.28
2017-03-21,国电电力,0600795,3.23,3.25,3.23,3.24,0.00,0.00,"477,152","15,434",0.62,0.24
2017-03-20,国电电力,0600795,3.23,3.25,3.22,3.24,0.00,0.00,"594,945","19,222",0.93,0.30
2017-03-17,国电电力,0600795,3.28,3.28,3.22,3.24,-0.04,-1.22,"966,199","31,376",1.83,0.49
2017-03-16,国电电力,0600795,3.26,3.28,3.26,3.28,0.01,0.31,"851,396","27,867",0.61,0.43
2017-03-15,国电电力,0600795,3.24,3.28,3.24,3.27,0.02,0.62,"910,678","29,685",1.23,0.46
2017-03-14,国电电力,0600795,3.25,3.26,3.23,3.25,-0.01,-0.31,"595,617","19,324",0.92,0.30
2017-03-13,国电电力,0600795,3.24,3.26,3.21,3.26,0.02,0.62,"608,414","19,709",1.54,0.31
2017-03-10,国电电力,0600795,3.24,3.26,3.23,3.24,-0.02,-0.61,"379,967","12,318",0.92,0.19
2017-03-09,国电电力,0600795,3.26,3.27,3.22,3.26,-0.01,-0.31,"992,294","32,138",1.53,0.51
2017-03-08,国电电力,0600795,3.27,3.28,3.25,3.27,-0.01,-0.30,"659,720","21,529",0.91,0.34
2017-03-07,国电电力,0600795,3.29,3.30,3.26,3.28,-0.01,-0.30,"972,998","31,827",1.22,0.50
2017-03-06,国电电力,0600795,3.30,3.35,3.27,3.29,-0.01,-0.30,"1,976,180","65,328",2.42,1.01
2017-03-03,国电电力,0600795,3.29,3.32,3.27,3.30,0.01,0.30,"823,690","27,088",1.52,0.42
2017-03-02,国电电力,0600795,3.32,3.33,3.28,3.29,-0.03,-0.90,"698,458","23,081",1.51,0.36
2017-03-01,国电电力,0600795,3.32,3.33,3.31,3.32,0.00,0.00,"788,500","26,146",0.60,0.40
2017-02-28,国电电力,0600795,3.30,3.32,3.30,3.32,0.01,0.30,"610,872","20,214",0.60,0.31
2017-02-27,国电电力,0600795,3.33,3.34,3.30,3.31,-0.01,-0.30,"1,003,599","33,306",1.20,0.51
2017-02-24,国电电力,0600795,3.31,3.33,3.29,3.32,0.01,0.30,"981,660","32,473",1.21,0.50
2017-02-23,国电电力,0600795,3.34,3.36,3.30,3.31,-0.03,-0.90,"1,327,528","44,087",1.80,0.68
2017-02-22,国电电力,0600795,3.37,3.37,3.34,3.34,-0.03,-0.89,"1,159,550","38,807",0.89,0.59
2017-02-21,国电电力,0600795,3.37,3.40,3.36,3.37,0.00,0.00,"1,368,770","46,222",1.19,0.70
2017-02-20,国电电力,0600795,3.33,3.37,3.32,3.37,0.04,1.20,"1,111,423","37,177",1.50,0.57
2017-02-17,国电电力,0600795,3.36,3.37,3.31,3.33,-0.04,-1.19,"1,556,904","51,916",1.78,0.79
2017-02-16,国电电力,0600795,3.34,3.37,3.32,3.37,0.02,0.60,"1,986,388","66,542",1.49,1.01
2017-02-15,国电电力,0600795,3.28,3.40,3.27,3.35,0.06,1.82,"4,459,523","149,488",3.95,2.27
2017-02-14,国电电力,0600795,3.29,3.30,3.27,3.29,0.00,0.00,"967,767","31,736",0.91,0.49
2017-02-13,国电电力,0600795,3.28,3.31,3.28,3.29,0.00,0.00,"1,439,341","47,369",0.91,0.73
