日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,安彩高科,0600207,7.51,7.51,7.38,7.46,-0.06,-0.80,"14,853","1,107",1.73,0.22
2017-06-29,安彩高科,0600207,7.48,7.54,7.44,7.52,0.04,0.53,"17,095","1,282",1.34,0.25
2017-06-28,安彩高科,0600207,7.56,7.58,7.46,7.48,-0.14,-1.84,"21,750","1,633",1.57,0.32
2017-06-27,安彩高科,0600207,7.58,7.88,7.48,7.62,0.17,2.28,"50,016","3,834",5.37,0.72
2017-06-26,安彩高科,0600207,7.41,7.48,7.36,7.45,0.04,0.54,"21,337","1,583",1.62,0.31
2017-06-23,安彩高科,0600207,7.38,7.47,7.23,7.41,0.02,0.27,"26,545","1,951",3.25,0.38
2017-06-22,安彩高科,0600207,7.69,7.69,7.36,7.39,-0.28,-3.65,"43,711","3,284",4.30,0.63
2017-06-21,安彩高科,0600207,7.74,7.74,7.60,7.67,0.02,0.26,"22,119","1,693",1.83,0.32
2017-06-20,安彩高科,0600207,7.75,7.75,7.63,7.65,-0.04,-0.52,"19,760","1,519",1.56,0.29
2017-06-19,安彩高科,0600207,7.66,7.75,7.61,7.69,0.04,0.52,"18,916","1,453",1.83,0.27
2017-06-16,安彩高科,0600207,7.65,7.74,7.60,7.65,-0.04,-0.52,"20,125","1,538",1.82,0.29
2017-06-15,安彩高科,0600207,7.62,7.77,7.57,7.69,0.06,0.79,"31,088","2,387",2.62,0.45
2017-06-14,安彩高科,0600207,7.68,7.69,7.53,7.63,0.05,0.66,"25,535","1,943",2.11,0.37
2017-06-13,安彩高科,0600207,7.43,7.58,7.43,7.58,0.03,0.40,"25,086","1,885",1.99,0.36
2017-06-12,安彩高科,0600207,7.54,7.74,7.49,7.55,0.03,0.40,"36,965","2,818",3.32,0.54
2017-06-09,安彩高科,0600207,7.52,7.62,7.42,7.52,0.01,0.13,"24,593","1,846",2.66,0.36
2017-06-08,安彩高科,0600207,7.65,7.65,7.48,7.51,-0.08,-1.05,"36,425","2,742",2.24,0.53
2017-06-07,安彩高科,0600207,7.45,7.66,7.45,7.59,0.13,1.74,"34,349","2,593",2.82,0.50
2017-06-06,安彩高科,0600207,7.40,7.51,7.36,7.46,0.01,0.13,"17,201","1,282",2.01,0.25
2017-06-05,安彩高科,0600207,7.29,7.55,7.26,7.45,-0.12,-1.59,"33,522","2,493",3.83,0.49
2017-06-02,安彩高科,0600207,7.89,7.96,7.03,7.57,-0.24,-3.07,"71,873","5,304",11.91,1.04
2017-06-01,安彩高科,0600207,8.03,8.03,7.80,7.81,-0.21,-2.62,"24,326","1,926",2.87,0.35
2017-05-31,安彩高科,0600207,8.18,8.24,8.00,8.02,-0.08,-0.99,"18,624","1,512",2.96,0.27
2017-05-26,安彩高科,0600207,8.14,8.22,8.05,8.10,-0.05,-0.61,"18,917","1,534",2.09,0.27
2017-05-25,安彩高科,0600207,8.08,8.18,7.93,8.15,0.07,0.87,"28,086","2,263",3.09,0.41
2017-05-24,安彩高科,0600207,7.92,8.16,7.82,8.08,0.10,1.25,"25,477","2,038",4.26,0.37
2017-05-23,安彩高科,0600207,8.12,8.28,7.92,7.98,-0.22,-2.68,"31,962","2,587",4.39,0.46
2017-05-22,安彩高科,0600207,8.47,8.52,8.15,8.20,-0.27,-3.19,"37,743","3,143",4.37,0.55
2017-05-19,安彩高科,0600207,8.37,8.50,8.37,8.47,0.05,0.59,"27,783","2,344",1.54,0.40
2017-05-18,安彩高科,0600207,8.37,8.56,8.32,8.42,-0.12,-1.41,"37,850","3,187",2.81,0.55
2017-05-17,安彩高科,0600207,8.34,8.76,8.34,8.54,0.13,1.55,"64,792","5,562",4.99,0.94
2017-05-16,安彩高科,0600207,8.12,8.80,8.11,8.41,0.31,3.83,"81,277","6,888",8.52,1.18
2017-05-15,安彩高科,0600207,8.14,8.19,8.05,8.10,-0.04,-0.49,"29,101","2,362",1.72,0.42
2017-05-12,安彩高科,0600207,8.25,8.39,8.08,8.14,-0.18,-2.16,"59,864","4,900",3.73,0.87
2017-05-11,安彩高科,0600207,8.45,8.46,8.11,8.32,-0.36,-4.15,"104,304","8,585",4.03,1.51
2017-05-10,安彩高科,0600207,8.10,8.71,8.05,8.68,0.76,9.60,"141,550","12,230",8.33,2.05
2017-05-09,安彩高科,0600207,8.06,8.06,7.84,7.92,-0.02,-0.25,"34,279","2,718",2.77,0.50
2017-05-08,安彩高科,0600207,8.15,8.15,7.92,7.94,-0.21,-2.58,"19,774","1,583",2.82,0.29
2017-05-05,安彩高科,0600207,8.31,8.38,8.15,8.15,-0.20,-2.40,"19,548","1,614",2.75,0.28
2017-05-04,安彩高科,0600207,8.40,8.44,8.33,8.35,-0.06,-0.71,"17,921","1,503",1.31,0.26
2017-05-03,安彩高科,0600207,8.32,8.43,8.32,8.41,0.02,0.24,"20,677","1,733",1.31,0.30
2017-05-02,安彩高科,0600207,8.26,8.51,8.26,8.39,-0.02,-0.24,"24,014","2,015",2.97,0.35
2017-04-28,安彩高科,0600207,8.18,8.43,8.07,8.41,0.22,2.69,"32,428","2,665",4.40,0.47
2017-04-27,安彩高科,0600207,8.33,8.37,7.81,8.19,-0.14,-1.68,"64,784","5,229",6.72,0.94
2017-04-26,安彩高科,0600207,8.40,8.45,8.31,8.33,-0.05,-0.60,"19,404","1,621",1.67,0.28
2017-04-25,安彩高科,0600207,8.53,8.55,8.36,8.38,0.06,0.72,"21,445","1,808",2.28,0.31
2017-04-24,安彩高科,0600207,8.74,8.75,8.30,8.32,-0.42,-4.81,"36,980","3,135",5.15,0.54
2017-04-21,安彩高科,0600207,8.70,8.78,8.61,8.74,0.04,0.46,"26,472","2,300",1.95,0.38
2017-04-20,安彩高科,0600207,8.95,9.00,8.60,8.70,-0.24,-2.68,"53,712","4,714",4.47,0.78
2017-04-19,安彩高科,0600207,9.25,9.25,8.91,8.94,-0.33,-3.56,"52,984","4,775",3.67,0.77
2017-04-18,安彩高科,0600207,9.28,9.44,9.25,9.27,-0.01,-0.11,"25,255","2,354",2.05,0.37
2017-04-17,安彩高科,0600207,9.23,9.32,9.20,9.28,0.03,0.32,"21,685","2,007",1.30,0.31
2017-04-14,安彩高科,0600207,9.35,9.35,9.25,9.25,-0.05,-0.54,"27,558","2,560",1.08,0.40
2017-04-13,安彩高科,0600207,9.30,9.39,9.25,9.30,-0.10,-1.06,"44,773","4,171",1.49,0.65
2017-04-12,安彩高科,0600207,9.50,9.50,9.38,9.40,-0.14,-1.47,"44,003","4,142",1.26,0.64
2017-04-11,安彩高科,0600207,9.41,9.57,9.41,9.54,0.07,0.74,"37,001","3,507",1.69,0.54
2017-04-10,安彩高科,0600207,9.60,9.66,9.42,9.47,-0.17,-1.76,"47,148","4,480",2.49,0.68
2017-04-07,安彩高科,0600207,9.72,9.77,9.60,9.64,-0.06,-0.62,"41,808","4,036",1.75,0.61
2017-04-06,安彩高科,0600207,9.71,9.82,9.68,9.70,0.00,0.00,"43,599","4,239",1.44,0.63
2017-04-05,安彩高科,0600207,9.53,9.73,9.53,9.70,0.02,0.21,"59,171","5,708",2.07,0.86
2017-09-29,安彩高科,0600207,7.34,7.42,7.29,7.35,-0.05,-0.68,"34,632","2,544",1.76,0.50
2017-09-28,安彩高科,0600207,7.28,7.65,7.26,7.40,0.27,3.79,"84,880","6,338",5.47,1.23
2017-09-27,安彩高科,0600207,7.20,7.20,7.09,7.13,0.02,0.28,"13,986",996,1.55,0.20
2017-09-26,安彩高科,0600207,7.10,7.21,7.08,7.11,0.01,0.14,"15,973","1,138",1.83,0.23
2017-09-25,安彩高科,0600207,7.40,7.40,7.00,7.10,-0.29,-3.92,"40,735","2,942",5.41,0.59
2017-09-22,安彩高科,0600207,7.45,7.45,7.37,7.39,-0.10,-1.34,"33,178","2,453",1.07,0.48
2017-09-21,安彩高科,0600207,7.60,7.66,7.47,7.49,-0.10,-1.32,"38,853","2,921",2.50,0.56
2017-09-20,安彩高科,0600207,7.50,7.71,7.49,7.59,0.10,1.34,"70,555","5,360",2.94,1.02
2017-09-19,安彩高科,0600207,7.40,7.54,7.38,7.49,0.10,1.35,"58,316","4,361",2.17,0.85
2017-09-18,安彩高科,0600207,7.39,7.44,7.33,7.39,0.00,0.00,"18,964","1,397",1.49,0.27
2017-09-15,安彩高科,0600207,7.38,7.40,7.33,7.39,-0.01,-0.14,"21,810","1,607",0.95,0.32
2017-09-14,安彩高科,0600207,7.33,7.48,7.31,7.40,0.07,0.96,"40,898","3,031",2.32,0.59
2017-09-13,安彩高科,0600207,7.31,7.35,7.31,7.33,0.02,0.27,"18,804","1,378",0.55,0.27
2017-09-12,安彩高科,0600207,7.45,7.45,7.30,7.31,-0.07,-0.95,"29,783","2,189",2.03,0.43
2017-09-11,安彩高科,0600207,7.35,7.48,7.35,7.38,0.04,0.55,"25,508","1,886",1.77,0.37
2017-09-08,安彩高科,0600207,7.37,7.44,7.31,7.34,-0.05,-0.68,"30,289","2,228",1.76,0.44
2017-09-07,安彩高科,0600207,7.28,7.77,7.25,7.39,0.11,1.51,"75,495","5,674",7.14,1.09
2017-09-06,安彩高科,0600207,7.28,7.31,7.24,7.28,-0.03,-0.41,"23,837","1,736",0.96,0.35
2017-09-05,安彩高科,0600207,7.34,7.38,7.28,7.31,-0.04,-0.54,"23,127","1,693",1.36,0.34
2017-09-04,安彩高科,0600207,7.32,7.35,7.25,7.35,0.04,0.55,"26,710","1,954",1.37,0.39
2017-09-01,安彩高科,0600207,7.34,7.37,7.27,7.31,0.00,0.00,"19,329","1,409",1.37,0.28
2017-08-31,安彩高科,0600207,7.38,7.38,7.24,7.31,-0.06,-0.81,"23,960","1,747",1.90,0.35
2017-08-30,安彩高科,0600207,7.28,7.38,7.24,7.37,0.08,1.10,"28,327","2,075",1.92,0.41
2017-08-29,安彩高科,0600207,7.28,7.32,7.24,7.29,0.01,0.14,"20,259","1,475",1.10,0.29
2017-08-28,安彩高科,0600207,7.26,7.30,7.20,7.28,0.05,0.69,"26,763","1,943",1.38,0.39
2017-08-25,安彩高科,0600207,7.17,7.28,7.17,7.23,0.03,0.42,"22,288","1,611",1.53,0.32
