日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,广安爱众,0600979,5.39,5.39,5.32,5.37,-0.05,-0.92,"48,477","2,597",1.29,0.68
2017-12-28,广安爱众,0600979,5.39,5.42,5.33,5.42,0.04,0.74,"78,007","4,190",1.67,1.09
2017-12-27,广安爱众,0600979,5.43,5.57,5.37,5.38,-0.12,-2.18,"87,631","4,785",3.64,1.22
2017-12-26,广安爱众,0600979,5.42,5.54,5.31,5.50,0.04,0.73,"120,093","6,493",4.21,1.67
2017-12-25,广安爱众,0600979,5.56,5.60,5.44,5.46,-0.11,-1.97,"139,030","7,649",2.87,1.94
2017-12-22,广安爱众,0600979,5.40,5.68,5.35,5.57,0.17,3.15,"229,666","12,716",6.11,3.20
2017-12-21,广安爱众,0600979,5.32,5.46,5.28,5.40,0.03,0.56,"93,454","5,027",3.35,1.30
2017-12-20,广安爱众,0600979,5.30,5.40,5.27,5.37,0.09,1.70,"102,675","5,504",2.46,1.43
2017-12-19,广安爱众,0600979,5.25,5.30,5.25,5.28,0.02,0.38,"32,040","1,691",0.95,0.45
2017-12-18,广安爱众,0600979,5.21,5.30,5.21,5.26,0.04,0.77,"27,971","1,469",1.72,0.39
2017-12-15,广安爱众,0600979,5.28,5.28,5.19,5.22,-0.06,-1.14,"36,955","1,932",1.70,0.51
2017-12-14,广安爱众,0600979,5.20,5.35,5.19,5.28,0.07,1.34,"59,319","3,137",3.07,0.83
2017-12-13,广安爱众,0600979,5.22,5.24,5.16,5.21,-0.01,-0.19,"20,299","1,055",1.53,0.28
2017-12-12,广安爱众,0600979,5.25,5.31,5.21,5.22,-0.05,-0.95,"27,290","1,436",1.90,0.38
2017-12-11,广安爱众,0600979,5.26,5.30,5.23,5.27,0.01,0.19,"21,680","1,143",1.33,0.30
2017-12-08,广安爱众,0600979,5.20,5.27,5.18,5.26,0.05,0.96,"26,860","1,405",1.73,0.37
2017-12-07,广安爱众,0600979,5.19,5.22,5.16,5.21,0.00,0.00,"22,680","1,177",1.15,0.32
