日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-12-31,新中港,0605162,12.72,12.86,12.66,12.76,0.08,0.63,"28,215","3,606",1.58,3.52
2021-12-30,新中港,0605162,12.66,12.75,12.60,12.68,0.02,0.16,"29,461","3,738",1.18,3.68
2021-12-29,新中港,0605162,12.70,12.78,12.53,12.66,-0.05,-0.39,"33,681","4,272",1.97,4.21
2021-12-28,新中港,0605162,13.15,13.18,12.51,12.71,-0.45,-3.42,"65,701","8,370",5.09,8.20
2021-12-27,新中港,0605162,13.08,13.30,12.95,13.16,0.07,0.53,"44,982","5,919",2.67,5.62
2021-12-24,新中港,0605162,13.58,13.77,13.09,13.09,-0.51,-3.75,"82,475","10,991",5.00,10.30
2021-12-23,新中港,0605162,13.66,13.88,13.52,13.60,0.10,0.74,"60,826","8,331",2.67,7.59
2021-12-22,新中港,0605162,13.73,13.94,13.44,13.50,-0.23,-1.68,"63,213","8,622",3.64,7.89
2021-12-21,新中港,0605162,13.31,13.78,13.31,13.73,0.22,1.63,"54,676","7,421",3.48,6.83
2021-12-20,新中港,0605162,14.14,14.19,13.42,13.51,-0.78,-5.46,"109,171","14,983",5.39,13.63
2021-12-17,新中港,0605162,14.24,14.54,14.13,14.29,0.05,0.35,"128,251","18,418",2.88,16.01
2021-12-16,新中港,0605162,14.23,14.38,14.08,14.24,-0.10,-0.70,"118,088","16,777",2.09,14.74
2021-12-15,新中港,0605162,13.71,14.75,13.68,14.34,0.64,4.67,"228,038","32,721",7.81,28.47
2021-12-14,新中港,0605162,13.66,13.89,13.50,13.70,-0.09,-0.65,"56,756","7,769",2.83,7.09
2021-12-13,新中港,0605162,13.77,14.00,13.70,13.79,0.00,0.00,"53,481","7,401",2.18,6.68
2021-12-10,新中港,0605162,13.91,14.07,13.73,13.79,-0.29,-2.06,"66,743","9,265",2.41,8.33
2021-12-09,新中港,0605162,13.87,14.28,13.73,14.08,0.21,1.51,"95,626","13,387",3.97,11.94
2021-12-08,新中港,0605162,14.02,14.25,13.85,13.87,-0.13,-0.93,"80,294","11,239",2.86,10.03
2021-12-07,新中港,0605162,14.10,14.20,13.68,14.00,-0.14,-0.99,"100,642","14,016",3.68,12.57
2021-12-06,新中港,0605162,13.41,14.50,13.27,14.14,0.73,5.44,"140,186","19,442",9.17,17.50
2021-12-03,新中港,0605162,13.35,13.48,12.97,13.41,0.09,0.68,"79,171","10,480",3.83,9.89
2021-12-02,新中港,0605162,13.80,13.84,13.31,13.32,-0.50,-3.62,"80,106","10,849",3.84,10.00
2021-12-01,新中港,0605162,13.55,13.89,13.51,13.82,0.20,1.47,"64,168","8,810",2.79,8.01
2021-11-30,新中港,0605162,13.79,13.96,13.54,13.62,-0.15,-1.09,"91,784","12,582",3.05,11.46
2021-11-29,新中港,0605162,13.78,14.09,13.61,13.77,-0.41,-2.89,"104,700","14,437",3.39,13.07
2021-11-26,新中港,0605162,14.21,14.50,13.93,14.18,-0.13,-0.91,"115,241","16,406",3.98,14.39
2021-11-25,新中港,0605162,14.71,14.90,14.31,14.31,-0.39,-2.65,"163,982","23,826",4.01,20.47
2021-11-24,新中港,0605162,14.10,14.86,13.81,14.70,0.62,4.40,"213,389","30,707",7.46,26.64
2021-11-23,新中港,0605162,14.26,14.47,13.96,14.08,-0.25,-1.74,"105,288","14,867",3.56,13.15
2021-11-22,新中港,0605162,14.22,14.58,13.88,14.33,0.29,2.07,"171,980","24,677",4.99,21.47
2021-11-19,新中港,0605162,13.80,14.30,13.62,14.04,0.13,0.93,"118,654","16,604",4.89,14.82
2021-11-18,新中港,0605162,14.17,14.45,13.81,13.91,-0.39,-2.73,"149,000","21,055",4.48,18.60
2021-11-17,新中港,0605162,14.48,14.48,14.12,14.30,-0.18,-1.24,"166,997","23,834",2.49,20.85
2021-11-16,新中港,0605162,13.87,14.69,13.60,14.48,0.52,3.72,"257,851","36,479",7.81,32.20
