日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2020-12-31,晶科科技,0601778,7.31,7.42,7.23,7.26,0.00,0.00,"298,534","21,813",2.62,5.02
2020-12-30,晶科科技,0601778,7.24,7.43,7.15,7.26,0.02,0.28,"414,193","30,074",3.87,6.97
2020-12-29,晶科科技,0601778,7.78,7.80,7.22,7.24,-0.60,-7.65,"566,729","41,972",7.40,9.53
2020-12-28,晶科科技,0601778,8.08,8.08,7.67,7.84,-0.16,-2.00,"577,341","45,028",5.13,9.71
2020-12-25,晶科科技,0601778,7.49,8.08,7.42,8.00,0.45,5.96,"883,648","69,452",8.74,14.86
2020-12-24,晶科科技,0601778,7.50,7.77,7.42,7.55,-0.03,-0.40,"562,090","42,620",4.62,9.45
2020-12-23,晶科科技,0601778,7.30,7.69,7.29,7.58,0.35,4.84,"757,873","57,309",5.53,12.75
2020-12-22,晶科科技,0601778,7.40,7.45,7.21,7.23,-0.21,-2.82,"449,136","32,928",3.23,7.55
2020-12-21,晶科科技,0601778,7.27,7.55,7.20,7.44,0.29,4.06,"627,184","46,396",4.90,10.55
2020-12-18,晶科科技,0601778,7.00,7.18,6.99,7.15,0.19,2.73,"443,775","31,534",2.73,7.46
2020-12-17,晶科科技,0601778,7.05,7.06,6.79,6.96,-0.08,-1.14,"195,874","13,534",3.84,3.29
2020-12-16,晶科科技,0601778,6.97,7.11,6.94,7.04,0.10,1.44,"278,732","19,673",2.45,4.69
2020-12-15,晶科科技,0601778,7.00,7.01,6.90,6.94,-0.03,-0.43,"106,855","7,408",1.58,1.80
2020-12-14,晶科科技,0601778,6.95,7.04,6.94,6.97,0.13,1.90,"201,637","14,090",1.46,3.39
2020-12-11,晶科科技,0601778,6.82,6.93,6.76,6.84,0.00,0.00,"178,929","12,258",2.49,3.01
2020-12-10,晶科科技,0601778,6.67,6.91,6.57,6.84,0.14,2.09,"178,230","12,061",5.07,3.00
2020-12-09,晶科科技,0601778,6.91,6.91,6.70,6.70,-0.18,-2.62,"128,594","8,762",3.05,2.16
2020-12-08,晶科科技,0601778,7.00,7.00,6.88,6.88,-0.09,-1.29,"100,310","6,938",1.72,1.69
2020-12-07,晶科科技,0601778,6.95,7.05,6.88,6.97,0.07,1.01,"126,198","8,793",2.46,2.12
2020-12-04,晶科科技,0601778,6.94,6.94,6.86,6.90,-0.03,-0.43,"80,387","5,537",1.15,1.35
2020-12-03,晶科科技,0601778,7.00,7.00,6.89,6.93,-0.07,-1.00,"102,860","7,130",1.57,1.73
2020-12-02,晶科科技,0601778,7.01,7.05,6.95,7.00,-0.01,-0.14,"151,903","10,602",1.43,2.55
2020-12-01,晶科科技,0601778,6.96,7.03,6.92,7.01,0.01,0.14,"144,335","10,074",1.57,2.43
2020-11-30,晶科科技,0601778,6.92,7.13,6.92,7.00,0.17,2.49,"279,532","19,602",3.07,4.70
2020-11-27,晶科科技,0601778,6.98,7.00,6.76,6.83,-0.15,-2.15,"173,473","11,878",3.44,2.92
2020-11-26,晶科科技,0601778,6.94,7.04,6.89,6.98,0.05,0.72,"177,544","12,398",2.16,2.99
2020-11-25,晶科科技,0601778,6.91,7.05,6.88,6.93,0.07,1.02,"226,703","15,826",2.48,3.81
2020-11-24,晶科科技,0601778,6.94,6.95,6.85,6.86,-0.05,-0.72,"105,794","7,283",1.45,1.78
2020-11-23,晶科科技,0601778,6.90,6.96,6.86,6.91,0.01,0.14,"127,421","8,806",1.45,2.14
2020-11-20,晶科科技,0601778,6.95,6.96,6.87,6.90,-0.05,-0.72,"101,639","7,015",1.30,1.71
2020-11-19,晶科科技,0601778,6.95,7.01,6.87,6.95,0.05,0.72,"121,071","8,418",2.03,2.04
2020-11-18,晶科科技,0601778,6.84,6.97,6.79,6.90,0.06,0.88,"117,690","8,120",2.63,1.98
2020-11-17,晶科科技,0601778,6.92,6.96,6.79,6.84,-0.13,-1.87,"122,483","8,393",2.44,2.06
2020-11-16,晶科科技,0601778,6.88,6.97,6.82,6.97,0.13,1.90,"119,596","8,265",2.19,2.01
2020-11-13,晶科科技,0601778,6.88,6.88,6.75,6.84,-0.10,-1.44,"103,590","7,053",1.87,1.74
2020-11-12,晶科科技,0601778,6.90,7.03,6.87,6.94,0.09,1.31,"134,103","9,316",2.34,2.26
2020-11-11,晶科科技,0601778,6.96,6.97,6.85,6.85,-0.11,-1.58,"121,519","8,369",1.72,2.04
2020-11-10,晶科科技,0601778,7.08,7.09,6.93,6.96,-0.16,-2.25,"190,464","13,319",2.25,3.20
2020-11-09,晶科科技,0601778,7.02,7.14,7.00,7.12,0.02,0.28,"339,095","23,995",1.97,5.70
2020-11-06,晶科科技,0601778,6.88,7.30,6.82,7.10,0.35,5.19,"484,841","34,192",7.11,8.15
2020-11-05,晶科科技,0601778,6.72,6.82,6.60,6.75,0.06,0.90,"224,665","15,051",3.29,3.78
2020-11-04,晶科科技,0601778,6.50,6.85,6.46,6.69,0.23,3.56,"271,806","18,280",6.04,4.57
2020-11-03,晶科科技,0601778,6.39,6.48,6.39,6.46,0.10,1.57,"97,473","6,275",1.42,1.64
2020-11-02,晶科科技,0601778,6.48,6.49,6.33,6.36,-0.11,-1.70,"107,378","6,862",2.47,1.81
2020-10-30,晶科科技,0601778,6.58,6.72,6.47,6.47,-0.08,-1.22,"130,915","8,637",3.82,2.20
2020-10-29,晶科科技,0601778,6.52,6.58,6.37,6.55,-0.06,-0.91,"96,623","6,301",3.18,1.63
2020-10-28,晶科科技,0601778,6.68,6.68,6.55,6.61,-0.07,-1.05,"83,600","5,526",1.95,1.41
2020-10-27,晶科科技,0601778,6.66,6.71,6.60,6.68,-0.04,-0.60,"85,846","5,712",1.64,1.44
2020-10-26,晶科科技,0601778,6.69,6.78,6.59,6.72,0.03,0.45,"97,962","6,565",2.84,1.65
2020-10-23,晶科科技,0601778,6.79,6.84,6.68,6.69,-0.10,-1.47,"133,486","9,003",2.36,2.25
2020-10-22,晶科科技,0601778,6.94,6.94,6.79,6.79,-0.23,-3.28,"193,083","13,189",2.14,3.25
2020-10-21,晶科科技,0601778,7.14,7.18,7.01,7.02,-0.01,-0.14,"158,413","11,213",2.42,2.66
2020-10-20,晶科科技,0601778,7.00,7.03,6.92,7.03,0.06,0.86,"110,882","7,748",1.58,1.86
2020-10-19,晶科科技,0601778,7.13,7.17,6.95,6.97,-0.13,-1.83,"176,008","12,399",3.10,2.96
2020-10-16,晶科科技,0601778,7.09,7.15,7.01,7.10,0.03,0.42,"145,950","10,342",1.98,2.45
2020-10-15,晶科科技,0601778,7.30,7.32,7.07,7.07,-0.21,-2.88,"293,316","20,971",3.43,4.93
2020-10-14,晶科科技,0601778,7.16,7.38,7.15,7.28,0.11,1.53,"444,516","32,372",3.21,7.48
2020-10-13,晶科科技,0601778,7.16,7.21,7.05,7.17,-0.06,-0.83,"337,010","24,061",2.21,5.67
2020-10-12,晶科科技,0601778,7.40,7.40,7.08,7.23,0.02,0.28,"722,798","52,278",4.44,12.16
2020-10-09,晶科科技,0601778,7.21,7.21,7.21,7.21,0.66,10.08,"231,158","16,666",0.00,3.89
2020-09-30,晶科科技,0601778,6.54,6.69,6.52,6.55,0.01,0.15,"147,616","9,723",2.60,2.48
2020-09-29,晶科科技,0601778,6.67,6.73,6.54,6.54,-0.12,-1.80,"178,384","11,767",2.85,3.00
2020-09-28,晶科科技,0601778,6.69,6.93,6.51,6.66,-0.01,-0.15,"283,114","19,028",6.30,4.76
2020-09-25,晶科科技,0601778,6.91,7.01,6.61,6.67,-0.32,-4.58,"399,813","27,097",5.72,6.72
2020-09-24,晶科科技,0601778,7.25,7.35,6.92,6.99,-0.01,-0.14,"847,537","60,649",6.14,14.25
2020-09-23,晶科科技,0601778,6.41,7.00,6.41,7.00,0.64,10.06,"380,543","26,309",9.28,6.40
2020-09-22,晶科科技,0601778,6.48,6.50,6.34,6.36,-0.19,-2.90,"112,262","7,218",2.44,1.89
2020-09-21,晶科科技,0601778,6.67,6.67,6.54,6.55,-0.10,-1.50,"100,850","6,648",1.95,1.70
2020-09-18,晶科科技,0601778,6.63,6.67,6.58,6.65,0.02,0.30,"117,112","7,766",1.36,1.97
2020-09-17,晶科科技,0601778,6.59,6.70,6.51,6.63,0.04,0.61,"145,346","9,617",2.88,2.44
2020-09-16,晶科科技,0601778,6.62,6.70,6.48,6.59,-0.06,-0.90,"161,197","10,612",3.31,2.71
2020-09-15,晶科科技,0601778,6.44,6.75,6.42,6.65,0.22,3.42,"258,344","17,129",5.13,4.34
2020-09-14,晶科科技,0601778,6.47,6.54,6.41,6.43,-0.07,-1.08,"136,168","8,810",2.00,2.29
2020-09-11,晶科科技,0601778,6.26,6.58,6.07,6.50,0.23,3.67,"250,145","15,726",8.13,4.21
2020-09-10,晶科科技,0601778,6.63,6.65,6.24,6.27,-0.31,-4.71,"212,552","13,609",6.23,3.57
2020-09-09,晶科科技,0601778,6.76,6.78,6.56,6.58,-0.26,-3.80,"258,430","17,199",3.22,4.35
2020-09-08,晶科科技,0601778,6.94,6.94,6.80,6.84,-0.06,-0.87,"145,752","9,969",2.03,2.45
2020-09-07,晶科科技,0601778,6.91,7.02,6.89,6.90,-0.04,-0.58,"123,273","8,565",1.87,2.07
2020-09-04,晶科科技,0601778,6.92,6.96,6.83,6.94,-0.07,-1.00,"155,833","10,721",1.85,2.62
2020-09-03,晶科科技,0601778,7.10,7.13,6.98,7.01,-0.09,-1.27,"165,597","11,686",2.11,2.79
2020-09-02,晶科科技,0601778,7.10,7.14,7.07,7.10,0.01,0.14,"118,108","8,389",0.99,1.99
2020-09-01,晶科科技,0601778,7.14,7.14,7.07,7.09,-0.03,-0.42,"125,790","8,920",0.98,2.12
2020-08-31,晶科科技,0601778,7.15,7.19,7.11,7.12,-0.04,-0.56,"138,828","9,928",1.12,2.33
2020-08-28,晶科科技,0601778,7.23,7.23,7.08,7.16,-0.10,-1.38,"215,472","15,370",2.07,3.62
2020-08-27,晶科科技,0601778,7.27,7.32,7.21,7.29,0.02,0.28,"127,002","9,226",1.51,2.14
2020-08-26,晶科科技,0601778,7.37,7.41,7.26,7.27,-0.10,-1.36,"156,764","11,486",2.04,2.64
2020-08-25,晶科科技,0601778,7.39,7.44,7.35,7.37,-0.04,-0.54,"137,630","10,162",1.21,2.31
2020-08-24,晶科科技,0601778,7.47,7.47,7.37,7.41,-0.02,-0.27,"106,987","7,915",1.35,1.80
2020-08-21,晶科科技,0601778,7.45,7.51,7.38,7.43,0.00,0.00,"134,849","10,028",1.75,2.27
2020-08-20,晶科科技,0601778,7.54,7.54,7.41,7.43,-0.17,-2.24,"193,191","14,434",1.71,3.25
2020-08-19,晶科科技,0601778,7.51,7.76,7.41,7.60,0.09,1.20,"396,058","30,176",4.66,6.66
2020-08-18,晶科科技,0601778,7.51,7.55,7.46,7.51,-0.04,-0.53,"194,578","14,597",1.19,3.27
2020-08-17,晶科科技,0601778,7.37,7.60,7.34,7.55,0.19,2.58,"268,134","20,010",3.53,4.51
2020-08-14,晶科科技,0601778,7.38,7.38,7.28,7.36,-0.02,-0.27,"159,119","11,658",1.36,2.68
2020-08-13,晶科科技,0601778,7.37,7.51,7.34,7.38,0.02,0.27,"257,179","19,049",2.31,4.33
2020-08-12,晶科科技,0601778,7.41,7.45,7.26,7.36,-0.09,-1.21,"222,024","16,272",2.55,3.73
2020-08-11,晶科科技,0601778,7.54,7.62,7.41,7.45,-0.10,-1.32,"188,495","14,185",2.78,3.17
2020-08-10,晶科科技,0601778,7.44,7.58,7.41,7.55,0.02,0.27,"178,017","13,372",2.26,2.99
2020-08-07,晶科科技,0601778,7.71,7.72,7.46,7.53,-0.25,-3.21,"308,913","23,359",3.34,5.20
2020-08-06,晶科科技,0601778,7.64,7.86,7.62,7.78,0.11,1.43,"308,687","23,941",3.13,5.19
2020-08-05,晶科科技,0601778,7.73,7.73,7.54,7.67,-0.06,-0.78,"262,270","19,998",2.46,4.41
2020-08-04,晶科科技,0601778,7.91,7.92,7.71,7.73,-0.17,-2.15,"338,526","26,333",2.66,5.69
2020-08-03,晶科科技,0601778,7.99,7.99,7.82,7.90,0.03,0.38,"374,843","29,572",2.16,6.30
2020-07-31,晶科科技,0601778,7.88,7.93,7.73,7.87,0.01,0.13,"418,818","32,853",2.54,7.04
2020-07-30,晶科科技,0601778,7.59,7.94,7.49,7.86,0.28,3.69,"486,917","37,552",5.94,8.19
2020-07-29,晶科科技,0601778,7.48,7.59,7.38,7.58,0.10,1.34,"299,225","22,443",2.81,5.03
2020-07-28,晶科科技,0601778,7.35,7.60,7.31,7.48,0.24,3.31,"285,948","21,374",4.01,4.81
2020-07-27,晶科科技,0601778,7.49,7.53,7.21,7.24,-0.18,-2.43,"285,688","20,908",4.31,4.80
2020-07-24,晶科科技,0601778,7.78,7.78,7.39,7.42,-0.38,-4.87,"412,055","31,306",5.00,6.93
2020-07-23,晶科科技,0601778,7.92,7.92,7.66,7.80,-0.15,-1.89,"337,690","26,223",3.27,5.68
2020-07-22,晶科科技,0601778,8.01,8.05,7.92,7.95,-0.02,-0.25,"297,825","23,791",1.63,5.01
2020-07-21,晶科科技,0601778,8.03,8.07,7.91,7.97,-0.06,-0.75,"290,619","23,170",1.99,4.89
