日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,武汉控股,0600168,8.37,8.39,8.34,8.39,0.01,0.12,"11,265",942,0.60,0.16
2017-12-28,武汉控股,0600168,8.33,8.41,8.33,8.38,0.06,0.72,"19,192","1,608",0.96,0.27
2017-12-27,武汉控股,0600168,8.39,8.39,8.31,8.32,-0.10,-1.19,"17,140","1,431",0.95,0.24
2017-12-26,武汉控股,0600168,8.36,8.42,8.31,8.42,0.02,0.24,"26,718","2,234",1.31,0.38
2017-12-25,武汉控股,0600168,8.32,8.45,8.29,8.40,0.05,0.60,"33,225","2,783",1.92,0.47
2017-12-22,武汉控股,0600168,8.29,8.38,8.24,8.35,0.05,0.60,"30,277","2,521",1.69,0.43
2017-12-21,武汉控股,0600168,8.18,8.30,8.15,8.30,0.13,1.59,"23,822","1,964",1.84,0.34
2017-12-20,武汉控股,0600168,8.27,8.28,8.13,8.17,-0.11,-1.33,"11,585",950,1.81,0.16
2017-12-19,武汉控股,0600168,8.23,8.29,8.22,8.28,0.05,0.61,"16,263","1,344",0.85,0.23
2017-12-18,武汉控股,0600168,8.18,8.25,8.17,8.23,0.04,0.49,"12,822","1,052",0.98,0.18
2017-12-15,武汉控股,0600168,8.24,8.24,8.14,8.19,-0.06,-0.73,"15,714","1,284",1.21,0.22
2017-12-14,武汉控股,0600168,8.23,8.27,8.17,8.25,0.02,0.24,"12,323","1,013",1.22,0.17
2017-12-13,武汉控股,0600168,8.15,8.26,8.15,8.23,0.07,0.86,"10,319",849,1.35,0.15
2017-12-12,武汉控股,0600168,8.28,8.30,8.15,8.16,-0.12,-1.45,"16,819","1,381",1.81,0.24
2017-12-11,武汉控股,0600168,8.21,8.30,8.21,8.28,0.01,0.12,"9,866",816,1.09,0.14
2017-12-08,武汉控股,0600168,8.20,8.32,8.20,8.27,0.04,0.49,"12,497","1,034",1.46,0.18
2017-12-07,武汉控股,0600168,8.22,8.26,8.17,8.23,0.02,0.24,"14,649","1,202",1.10,0.21
2017-12-06,武汉控股,0600168,8.15,8.22,8.10,8.21,0.06,0.74,"16,578","1,352",1.47,0.23
2017-12-05,武汉控股,0600168,8.35,8.37,8.10,8.15,-0.21,-2.51,"32,730","2,694",3.23,0.46
