日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,洪城环境,0600461,7.57,7.67,7.57,7.63,0.01,0.13,"43,742","3,340",1.31,0.74
2017-03-30,洪城环境,0600461,7.75,7.75,7.53,7.62,-0.10,-1.30,"61,732","4,703",2.85,1.04
2017-03-29,洪城环境,0600461,7.76,7.78,7.71,7.72,-0.04,-0.52,"33,905","2,626",0.90,0.57
2017-03-28,洪城环境,0600461,7.71,7.78,7.69,7.76,0.05,0.65,"49,684","3,851",1.17,0.84
2017-03-27,洪城环境,0600461,7.69,7.75,7.67,7.71,-0.01,-0.13,"44,451","3,421",1.04,0.75
2017-03-24,洪城环境,0600461,7.71,7.74,7.65,7.72,-0.01,-0.13,"40,990","3,155",1.16,0.69
2017-03-23,洪城环境,0600461,7.75,7.78,7.66,7.73,-0.02,-0.26,"46,366","3,581",1.55,0.78
2017-03-22,洪城环境,0600461,7.82,7.83,7.71,7.75,-0.08,-1.02,"45,086","3,496",1.53,0.76
2017-03-21,洪城环境,0600461,7.84,7.85,7.80,7.83,-0.01,-0.13,"32,160","2,516",0.64,0.54
2017-03-20,洪城环境,0600461,7.76,7.84,7.75,7.84,0.07,0.90,"35,640","2,783",1.16,0.60
2017-03-17,洪城环境,0600461,7.85,7.87,7.75,7.77,-0.06,-0.77,"44,439","3,478",1.53,0.75
2017-03-16,洪城环境,0600461,7.78,7.85,7.78,7.83,0.07,0.90,"47,503","3,715",0.90,0.80
2017-03-15,洪城环境,0600461,7.77,7.83,7.72,7.76,-0.05,-0.64,"37,633","2,923",1.41,0.63
2017-03-14,洪城环境,0600461,7.83,7.87,7.76,7.81,-0.04,-0.51,"36,212","2,829",1.40,0.61
2017-03-13,洪城环境,0600461,7.73,7.85,7.71,7.85,0.12,1.55,"45,489","3,552",1.81,0.77
2017-03-10,洪城环境,0600461,7.73,7.75,7.71,7.73,0.02,0.26,"29,209","2,257",0.52,0.49
2017-03-09,洪城环境,0600461,7.88,7.88,7.69,7.71,-0.16,-2.03,"77,944","6,050",2.41,1.31
2017-03-08,洪城环境,0600461,7.98,7.98,7.82,7.87,-0.08,-1.01,"58,030","4,564",2.01,0.98
2017-03-07,洪城环境,0600461,7.88,8.03,7.88,7.95,0.07,0.89,"90,327","7,199",1.90,1.52
2017-03-06,洪城环境,0600461,7.82,7.91,7.81,7.88,0.06,0.77,"94,483","7,431",1.28,1.59
2017-03-03,洪城环境,0600461,7.82,7.87,7.77,7.82,0.02,0.26,"49,377","3,860",1.28,0.83
2017-03-02,洪城环境,0600461,7.94,7.98,7.79,7.80,-0.13,-1.64,"67,367","5,295",2.40,1.13
2017-03-01,洪城环境,0600461,7.96,7.99,7.90,7.93,-0.02,-0.25,"58,342","4,633",1.13,0.98
2017-02-28,洪城环境,0600461,7.85,7.95,7.82,7.95,0.14,1.79,"78,657","6,218",1.66,1.32
2017-02-27,洪城环境,0600461,7.90,7.97,7.80,7.81,-0.10,-1.26,"69,515","5,490",2.15,1.17
2017-02-24,洪城环境,0600461,7.93,7.99,7.88,7.91,-0.02,-0.25,"69,611","5,515",1.39,1.17
2017-02-23,洪城环境,0600461,7.82,7.98,7.82,7.93,0.12,1.54,"133,760","10,598",2.05,2.25
2017-02-22,洪城环境,0600461,7.79,7.82,7.75,7.81,0.04,0.51,"53,252","4,148",0.90,0.90
2017-02-21,洪城环境,0600461,7.76,7.83,7.74,7.77,0.02,0.26,"54,733","4,259",1.16,0.92
2017-02-20,洪城环境,0600461,7.66,7.76,7.63,7.75,0.07,0.91,"62,853","4,846",1.69,1.06
2017-02-17,洪城环境,0600461,7.69,7.73,7.60,7.68,0.00,0.00,"47,263","3,623",1.69,0.80
2017-02-16,洪城环境,0600461,7.62,7.69,7.61,7.68,0.06,0.79,"42,043","3,221",1.05,0.71
2017-02-15,洪城环境,0600461,7.61,7.72,7.57,7.62,0.00,0.00,"55,806","4,277",1.97,0.94
2017-02-14,洪城环境,0600461,7.66,7.68,7.61,7.62,-0.01,-0.13,"50,440","3,858",0.92,0.85
2017-02-13,洪城环境,0600461,7.60,7.67,7.57,7.63,0.02,0.26,"59,511","4,537",1.31,1.00
2017-02-10,洪城环境,0600461,7.57,7.62,7.53,7.61,0.04,0.53,"72,621","5,506",1.19,1.22
2017-02-09,洪城环境,0600461,7.42,7.58,7.41,7.57,0.13,1.75,"68,392","5,150",2.28,1.15
2017-02-08,洪城环境,0600461,7.38,7.45,7.33,7.44,0.06,0.81,"58,107","4,285",1.63,0.98
2017-02-07,洪城环境,0600461,7.39,7.43,7.35,7.38,-0.03,-0.40,"35,970","2,657",1.08,0.61
2017-02-06,洪城环境,0600461,7.31,7.42,7.31,7.41,0.07,0.95,"67,892","4,999",1.50,1.14
2017-02-03,洪城环境,0600461,7.36,7.38,7.30,7.34,-0.04,-0.54,"24,287","1,781",1.08,0.41
2017-01-26,洪城环境,0600461,7.35,7.41,7.31,7.38,0.04,0.55,"43,382","3,197",1.36,0.73
2017-01-25,洪城环境,0600461,7.33,7.36,7.31,7.34,0.01,0.14,"33,728","2,473",0.68,0.57
2017-01-24,洪城环境,0600461,7.33,7.36,7.30,7.33,-0.04,-0.54,"36,741","2,692",0.81,0.62
2017-01-23,洪城环境,0600461,7.33,7.39,7.30,7.37,0.04,0.55,"56,940","4,186",1.23,0.96
2017-01-20,洪城环境,0600461,7.27,7.35,7.26,7.33,0.05,0.69,"62,983","4,604",1.24,1.06
2017-01-19,洪城环境,0600461,7.29,7.32,7.25,7.28,0.02,0.28,"30,464","2,221",0.96,0.51
2017-01-18,洪城环境,0600461,7.28,7.32,7.22,7.26,-0.03,-0.41,"39,809","2,894",1.37,0.67
2017-01-17,洪城环境,0600461,7.26,7.31,7.20,7.29,0.03,0.41,"49,057","3,563",1.52,0.83
2017-01-16,洪城环境,0600461,7.50,7.55,7.16,7.26,-0.28,-3.71,"91,758","6,727",5.17,1.54
2017-01-13,洪城环境,0600461,7.61,7.65,7.51,7.54,-0.07,-0.92,"40,194","3,056",1.84,0.68
2017-01-12,洪城环境,0600461,7.67,7.74,7.60,7.61,-0.06,-0.78,"43,907","3,365",1.83,0.74
2017-01-11,洪城环境,0600461,7.75,7.80,7.66,7.67,-0.11,-1.41,"39,986","3,083",1.80,0.67
2017-01-10,洪城环境,0600461,7.75,7.81,7.74,7.78,0.00,0.00,"48,521","3,775",0.90,0.82
2017-01-09,洪城环境,0600461,7.77,7.83,7.70,7.78,-0.01,-0.13,"53,862","4,181",1.67,0.91
2017-01-06,洪城环境,0600461,7.90,7.90,7.75,7.79,0.08,1.04,"85,186","6,673",1.95,1.43
2017-01-05,洪城环境,0600461,7.67,7.73,7.64,7.71,0.03,0.39,"51,584","3,968",1.17,0.87
2017-01-04,洪城环境,0600461,7.62,7.68,7.59,7.68,0.06,0.79,"52,081","3,974",1.18,0.88
2017-01-03,洪城环境,0600461,7.61,7.63,7.57,7.62,0.01,0.13,"58,533","4,446",0.79,0.99
2017-09-29,洪城环境,0600461,6.72,6.74,6.66,6.69,-0.02,-0.30,"69,581","4,653",1.19,1.17
2017-09-28,洪城环境,0600461,6.73,6.74,6.69,6.71,-0.03,-0.45,"32,622","2,190",0.74,0.55
2017-09-27,洪城环境,0600461,6.73,6.75,6.70,6.74,0.01,0.15,"29,490","1,984",0.74,0.50
2017-09-26,洪城环境,0600461,6.74,6.78,6.70,6.73,-0.01,-0.15,"24,651","1,662",1.19,0.42
2017-09-25,洪城环境,0600461,6.79,6.80,6.72,6.74,-0.06,-0.88,"32,282","2,182",1.18,0.54
2017-09-22,洪城环境,0600461,6.87,6.88,6.76,6.80,-0.08,-1.16,"59,427","4,055",1.74,1.00
2017-09-21,洪城环境,0600461,6.90,6.92,6.87,6.88,-0.02,-0.29,"28,633","1,973",0.72,0.48
2017-09-20,洪城环境,0600461,6.89,6.91,6.87,6.90,0.01,0.15,"35,968","2,477",0.58,0.61
2017-09-19,洪城环境,0600461,6.87,6.94,6.86,6.89,0.00,0.00,"43,485","3,004",1.16,0.73
2017-09-18,洪城环境,0600461,6.86,6.90,6.84,6.89,0.02,0.29,"34,993","2,407",0.87,0.59
2017-09-15,洪城环境,0600461,6.90,6.90,6.85,6.87,-0.03,-0.43,"48,646","3,344",0.72,0.82
2017-09-14,洪城环境,0600461,6.93,6.94,6.86,6.90,-0.04,-0.58,"65,627","4,532",1.15,1.10
2017-09-13,洪城环境,0600461,6.93,6.98,6.91,6.94,-0.01,-0.14,"33,109","2,297",1.01,0.56
2017-09-12,洪城环境,0600461,7.00,7.03,6.94,6.95,-0.07,-1.00,"46,175","3,219",1.28,0.78
2017-09-11,洪城环境,0600461,7.01,7.04,6.97,7.02,0.01,0.14,"57,677","4,035",1.00,0.97
2017-09-08,洪城环境,0600461,7.04,7.09,6.97,7.01,0.00,0.00,"71,036","4,989",1.71,1.20
2017-09-07,洪城环境,0600461,7.00,7.06,6.98,7.01,0.01,0.14,"55,106","3,871",1.14,0.93
2017-09-06,洪城环境,0600461,6.90,7.02,6.90,7.00,0.08,1.16,"74,874","5,224",1.73,1.26
2017-09-05,洪城环境,0600461,6.92,6.94,6.90,6.92,0.01,0.14,"39,486","2,734",0.58,0.66
2017-09-04,洪城环境,0600461,6.92,6.93,6.85,6.91,-0.02,-0.29,"56,827","3,919",1.15,0.96
2017-09-01,洪城环境,0600461,6.92,6.94,6.89,6.93,0.01,0.14,"41,002","2,834",0.72,0.69
2017-08-31,洪城环境,0600461,6.93,6.94,6.90,6.92,0.01,0.14,"32,520","2,251",0.58,0.55
2017-08-30,洪城环境,0600461,6.93,6.95,6.90,6.91,-0.02,-0.29,"36,355","2,517",0.72,0.61
2017-08-29,洪城环境,0600461,6.91,6.95,6.91,6.93,0.00,0.00,"31,905","2,210",0.58,0.54
2017-08-28,洪城环境,0600461,6.89,6.94,6.89,6.93,0.03,0.43,"52,018","3,601",0.72,0.88
2017-08-25,洪城环境,0600461,6.86,6.91,6.86,6.90,0.03,0.44,"23,916","1,648",0.73,0.40
2017-08-24,洪城环境,0600461,6.89,6.93,6.85,6.87,-0.04,-0.58,"29,565","2,035",1.16,0.50
2017-08-23,洪城环境,0600461,6.93,6.97,6.88,6.91,0.01,0.14,"45,112","3,129",1.30,0.76
2017-08-22,洪城环境,0600461,6.98,6.99,6.90,6.90,-0.09,-1.29,"42,362","2,937",1.29,0.71
2017-08-21,洪城环境,0600461,6.97,7.00,6.95,6.99,0.01,0.14,"30,113","2,100",0.72,0.51
2017-08-18,洪城环境,0600461,6.93,6.98,6.90,6.98,0.04,0.58,"25,089","1,743",1.15,0.42
2017-08-17,洪城环境,0600461,6.91,6.95,6.90,6.94,0.03,0.43,"24,151","1,672",0.72,0.41
2017-08-16,洪城环境,0600461,6.93,6.95,6.87,6.91,-0.05,-0.72,"25,924","1,792",1.15,0.44
2017-08-15,洪城环境,0600461,6.91,6.99,6.84,6.96,0.07,1.02,"47,174","3,253",2.18,0.79
2017-08-14,洪城环境,0600461,6.81,6.92,6.81,6.89,0.06,0.88,"39,013","2,681",1.61,0.66
2017-08-11,洪城环境,0600461,6.86,6.87,6.81,6.83,-0.06,-0.87,"36,730","2,510",0.87,0.62
2017-08-10,洪城环境,0600461,6.96,6.99,6.85,6.89,-0.08,-1.15,"52,107","3,603",2.01,0.88
2017-08-09,洪城环境,0600461,6.96,6.99,6.94,6.97,-0.01,-0.14,"26,543","1,849",0.72,0.45
2017-08-08,洪城环境,0600461,7.00,7.02,6.94,6.98,-0.01,-0.14,"26,932","1,879",1.14,0.45
2017-08-07,洪城环境,0600461,6.93,6.99,6.93,6.99,0.06,0.87,"31,772","2,212",0.87,0.53
2017-08-04,洪城环境,0600461,7.00,7.02,6.91,6.93,-0.09,-1.28,"62,341","4,343",1.57,1.05
2017-08-03,洪城环境,0600461,6.99,7.02,6.98,7.02,0.02,0.29,"30,064","2,105",0.57,0.51
2017-08-02,洪城环境,0600461,7.09,7.10,6.98,7.00,-0.10,-1.41,"54,785","3,850",1.69,0.92
2017-08-01,洪城环境,0600461,7.10,7.12,7.07,7.10,0.01,0.14,"33,746","2,393",0.71,0.57
2017-07-31,洪城环境,0600461,7.07,7.11,7.03,7.09,0.02,0.28,"37,674","2,662",1.13,0.63
2017-07-28,洪城环境,0600461,7.10,7.13,7.06,7.07,-0.05,-0.70,"31,478","2,232",0.98,0.53
2017-07-27,洪城环境,0600461,7.07,7.13,7.03,7.12,0.04,0.57,"44,531","3,151",1.41,0.75
2017-07-26,洪城环境,0600461,7.08,7.08,7.02,7.08,0.00,0.00,"24,936","1,757",0.85,0.42
2017-07-25,洪城环境,0600461,7.13,7.14,7.05,7.08,-0.03,-0.42,"47,784","3,386",1.27,0.80
2017-07-24,洪城环境,0600461,7.07,7.14,7.02,7.11,0.06,0.85,"61,691","4,369",1.70,1.04
2017-07-21,洪城环境,0600461,7.05,7.09,7.03,7.05,0.00,0.00,"28,974","2,043",0.85,0.49
2017-07-20,洪城环境,0600461,7.05,7.06,7.00,7.05,0.00,0.00,"49,361","3,475",0.85,0.83
2017-07-19,洪城环境,0600461,6.99,7.05,6.97,7.05,0.06,0.86,"39,928","2,798",1.14,0.67
2017-07-18,洪城环境,0600461,6.97,7.05,6.97,6.99,-0.01,-0.14,"39,560","2,769",1.14,0.67
2017-07-17,洪城环境,0600461,7.19,7.19,6.95,7.00,-0.17,-2.37,"75,737","5,350",3.35,1.28
2017-07-14,洪城环境,0600461,7.04,7.18,7.04,7.17,0.11,1.56,"65,260","4,658",1.98,1.10
2017-07-13,洪城环境,0600461,7.07,7.11,7.03,7.06,-0.02,-0.28,"30,580","2,162",1.13,0.51
2017-07-12,洪城环境,0600461,7.10,7.10,6.99,7.08,-0.02,-0.28,"35,108","2,469",1.55,0.59
2017-07-11,洪城环境,0600461,7.10,7.13,7.07,7.10,0.00,0.00,"30,199","2,141",0.85,0.51
2017-07-10,洪城环境,0600461,7.12,7.12,7.04,7.10,-0.04,-0.56,"31,433","2,229",1.12,0.53
2017-07-07,洪城环境,0600461,7.13,7.14,7.08,7.14,0.02,0.28,"31,006","2,202",0.84,0.52
2017-07-06,洪城环境,0600461,7.28,7.32,7.25,7.30,0.02,0.27,"40,712","2,965",0.96,0.69
2017-07-05,洪城环境,0600461,7.26,7.29,7.23,7.28,0.02,0.28,"20,799","1,511",0.83,0.35
2017-07-04,洪城环境,0600461,7.25,7.28,7.23,7.26,-0.01,-0.14,"28,766","2,088",0.69,0.48
2017-07-03,洪城环境,0600461,7.23,7.28,7.20,7.27,0.06,0.83,"34,047","2,468",1.11,0.57
2017-12-29,洪城环境,0600461,6.34,6.44,6.29,6.43,0.05,0.78,"46,273","2,938",2.35,0.78
2017-12-28,洪城环境,0600461,6.40,6.44,6.30,6.38,0.14,2.24,"75,455","4,807",2.24,1.27
2017-12-27,洪城环境,0600461,6.32,6.32,6.23,6.24,-0.08,-1.27,"51,297","3,215",1.42,0.86
2017-12-26,洪城环境,0600461,6.27,6.34,6.19,6.32,0.02,0.32,"42,501","2,666",2.38,0.72
2017-12-25,洪城环境,0600461,6.40,6.49,6.24,6.30,-0.12,-1.87,"71,391","4,538",3.89,1.20
2017-12-22,洪城环境,0600461,6.34,6.53,6.32,6.42,0.09,1.42,"83,692","5,381",3.32,1.41
2017-12-21,洪城环境,0600461,6.31,6.36,6.26,6.33,0.01,0.16,"43,322","2,737",1.58,0.73
2017-12-20,洪城环境,0600461,6.25,6.41,6.24,6.32,0.05,0.80,"76,797","4,888",2.71,1.29
2017-12-19,洪城环境,0600461,6.27,6.27,6.22,6.27,0.00,0.00,"45,617","2,852",0.80,0.77
2017-12-18,洪城环境,0600461,6.22,6.34,6.22,6.27,0.11,1.79,"44,809","2,808",1.95,0.75
2017-12-15,洪城环境,0600461,6.22,6.22,6.14,6.16,-0.06,-0.96,"28,412","1,752",1.29,0.48
2017-12-14,洪城环境,0600461,6.15,6.26,6.14,6.22,0.07,1.14,"42,883","2,663",1.95,0.72
2017-12-13,洪城环境,0600461,6.15,6.18,6.12,6.15,0.00,0.00,"21,978","1,352",0.98,0.37
2017-12-12,洪城环境,0600461,6.23,6.25,6.13,6.15,0.01,0.16,"37,811","2,338",1.95,0.64
2017-12-11,洪城环境,0600461,6.16,6.18,6.12,6.14,0.01,0.16,"24,308","1,493",0.98,0.41
2017-12-08,洪城环境,0600461,6.09,6.15,6.07,6.13,0.04,0.66,"19,242","1,178",1.31,0.32
2017-12-07,洪城环境,0600461,6.15,6.16,6.08,6.09,-0.07,-1.14,"20,324","1,243",1.30,0.34
2017-12-06,洪城环境,0600461,6.12,6.17,6.07,6.16,0.05,0.82,"26,882","1,643",1.64,0.45
2017-12-05,洪城环境,0600461,6.22,6.25,6.10,6.11,-0.12,-1.93,"28,309","1,747",2.41,0.48
2017-12-04,洪城环境,0600461,6.23,6.25,6.18,6.23,-0.01,-0.16,"29,132","1,812",1.12,0.49
2017-12-01,洪城环境,0600461,6.27,6.27,6.20,6.24,-0.03,-0.48,"44,864","2,794",1.12,0.76
2017-11-30,洪城环境,0600461,6.32,6.32,6.23,6.27,-0.06,-0.95,"33,638","2,108",1.42,0.57
2017-11-29,洪城环境,0600461,6.38,6.39,6.25,6.33,-0.06,-0.94,"42,398","2,673",2.19,0.71
2017-11-28,洪城环境,0600461,6.41,6.43,6.29,6.39,-0.04,-0.62,"47,321","3,011",2.18,0.80
2017-11-27,洪城环境,0600461,6.49,6.50,6.38,6.43,-0.07,-1.08,"29,623","1,905",1.85,0.50
2017-11-24,洪城环境,0600461,6.45,6.54,6.42,6.50,0.02,0.31,"44,340","2,874",1.85,0.75
2017-11-23,洪城环境,0600461,6.35,6.60,6.31,6.48,0.12,1.89,"108,789","7,061",4.56,1.83
2017-11-22,洪城环境,0600461,6.20,6.40,6.19,6.36,0.16,2.58,"66,163","4,165",3.39,1.11
2017-11-21,洪城环境,0600461,6.20,6.23,6.16,6.20,0.00,0.00,"34,086","2,110",1.13,0.57
2017-11-20,洪城环境,0600461,6.20,6.22,6.14,6.20,-0.01,-0.16,"27,059","1,670",1.29,0.46
2017-11-17,洪城环境,0600461,6.38,6.39,6.20,6.21,-0.17,-2.66,"45,414","2,856",2.98,0.76
2017-11-16,洪城环境,0600461,6.39,6.41,6.35,6.38,-0.01,-0.16,"20,716","1,321",0.94,0.35
2017-11-15,洪城环境,0600461,6.40,6.42,6.36,6.39,-0.03,-0.47,"17,668","1,128",0.93,0.30
2017-11-14,洪城环境,0600461,6.42,6.42,6.37,6.42,-0.01,-0.16,"33,889","2,167",0.78,0.57
2017-11-13,洪城环境,0600461,6.39,6.43,6.38,6.43,0.01,0.16,"36,008","2,306",0.78,0.61
