日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,胜利股份,1000407,9.50,9.73,9.48,9.60,0.03,0.31,"57,786","5,565",2.61,0.86
2017-06-29,胜利股份,1000407,9.40,9.64,9.36,9.57,0.19,2.03,"57,830","5,488",2.99,0.86
2017-06-28,胜利股份,1000407,9.66,9.68,9.36,9.38,-0.29,-3.00,"75,021","7,109",3.31,1.11
2017-06-27,胜利股份,1000407,9.77,9.79,9.60,9.67,-0.07,-0.72,"69,970","6,762",1.95,1.04
2017-06-26,胜利股份,1000407,9.62,9.80,9.58,9.74,0.06,0.62,"50,809","4,929",2.27,0.75
2017-06-23,胜利股份,1000407,9.70,9.87,9.54,9.68,-0.10,-1.02,"81,405","7,849",3.37,1.21
2017-06-22,胜利股份,1000407,10.13,10.17,9.78,9.78,-0.31,-3.07,"57,157","5,715",3.87,0.85
2017-06-21,胜利股份,1000407,10.23,10.23,9.99,10.09,-0.06,-0.59,"47,902","4,839",2.36,0.71
2017-06-20,胜利股份,1000407,10.28,10.28,10.12,10.15,-0.12,-1.17,"55,746","5,675",1.56,0.83
2017-06-19,胜利股份,1000407,10.28,10.40,10.26,10.27,-0.01,-0.10,"45,958","4,739",1.36,0.68
2017-06-16,胜利股份,1000407,10.08,10.40,10.05,10.28,0.10,0.98,"64,886","6,625",3.44,0.96
2017-06-15,胜利股份,1000407,10.20,10.25,10.12,10.18,0.08,0.79,"51,252","5,223",1.29,0.76
2017-06-14,胜利股份,1000407,10.18,10.26,10.09,10.10,-0.07,-0.69,"45,933","4,664",1.67,0.68
2017-06-13,胜利股份,1000407,10.20,10.36,10.10,10.17,0.10,0.99,"80,691","8,239",2.58,1.20
2017-06-12,胜利股份,1000407,10.38,10.50,10.07,10.07,-0.16,-1.56,"99,862","10,253",4.20,1.48
2017-06-09,胜利股份,1000407,10.30,10.92,10.16,10.23,0.11,1.09,"144,310","14,995",7.51,2.14
2017-06-08,胜利股份,1000407,10.13,10.31,10.01,10.12,-0.03,-0.30,"109,191","11,095",2.96,1.62
2017-06-07,胜利股份,1000407,9.73,10.40,9.69,10.15,0.37,3.78,"183,876","18,643",7.26,2.73
2017-06-06,胜利股份,1000407,9.25,9.83,9.20,9.78,0.54,5.84,"121,391","11,605",6.82,1.80
2017-06-05,胜利股份,1000407,9.01,9.26,9.01,9.24,0.21,2.33,"79,028","7,241",2.77,1.17
2017-06-02,胜利股份,1000407,8.95,9.06,8.82,9.03,0.01,0.11,"62,329","5,603",2.66,0.92
2017-06-01,胜利股份,1000407,9.05,9.14,8.98,9.02,-0.03,-0.33,"77,275","7,002",1.77,1.15
2017-05-31,胜利股份,1000407,9.12,9.23,9.03,9.05,0.04,0.44,"56,103","5,118",2.22,0.83
2017-05-26,胜利股份,1000407,8.80,9.14,8.79,9.01,0.20,2.27,"75,337","6,807",3.97,1.12
2017-05-25,胜利股份,1000407,8.89,8.98,8.60,8.81,-0.07,-0.79,"62,202","5,454",4.28,0.92
2017-05-24,胜利股份,1000407,8.48,8.98,8.40,8.88,0.04,0.45,"80,847","6,977",6.56,1.20
2017-05-23,胜利股份,1000407,9.37,9.37,8.80,8.84,-0.45,-4.84,"84,845","7,646",6.14,1.26
2017-05-22,胜利股份,1000407,9.43,9.60,9.28,9.29,-0.05,-0.54,"75,969","7,174",3.43,1.13
2017-05-19,胜利股份,1000407,9.33,9.44,9.31,9.34,-0.02,-0.21,"39,084","3,659",1.39,0.58
2017-05-18,胜利股份,1000407,9.37,9.49,9.26,9.36,-0.02,-0.21,"60,485","5,678",2.45,0.90
2017-05-17,胜利股份,1000407,9.22,9.55,9.14,9.38,0.16,1.74,"119,447","11,229",4.45,1.77
2017-05-16,胜利股份,1000407,9.15,9.23,8.71,9.22,0.09,0.99,"66,236","5,989",5.70,0.98
2017-05-15,胜利股份,1000407,9.06,9.22,9.01,9.13,0.15,1.67,"51,276","4,664",2.34,0.76
2017-05-12,胜利股份,1000407,8.91,9.17,8.82,8.98,0.07,0.79,"90,077","8,084",3.93,1.33
2017-05-11,胜利股份,1000407,9.19,9.19,8.33,8.91,-0.34,-3.68,"188,778","16,461",9.30,2.80
2017-05-10,胜利股份,1000407,9.45,9.65,9.25,9.25,-0.15,-1.60,"77,884","7,360",4.26,1.15
2017-05-09,胜利股份,1000407,9.73,9.79,9.18,9.40,-0.26,-2.69,"103,296","9,748",6.31,1.53
2017-05-08,胜利股份,1000407,10.11,10.11,9.66,9.66,-0.49,-4.83,"112,258","11,138",4.43,1.66
2017-05-05,胜利股份,1000407,10.45,10.46,10.15,10.15,-0.31,-2.96,"74,795","7,682",2.96,1.11
2017-05-04,胜利股份,1000407,10.51,10.67,10.46,10.46,-0.11,-1.04,"63,822","6,730",1.99,0.95
2017-05-03,胜利股份,1000407,10.64,10.71,10.51,10.57,0.01,0.09,"61,245","6,498",1.89,0.91
2017-05-02,胜利股份,1000407,10.67,10.67,10.49,10.56,-0.06,-0.57,"62,969","6,671",1.69,0.93
2017-04-28,胜利股份,1000407,10.33,10.72,10.25,10.62,0.29,2.81,"96,756","10,241",4.55,1.43
2017-04-27,胜利股份,1000407,10.21,10.43,9.81,10.33,0.12,1.18,"142,557","14,366",6.07,2.11
2017-04-26,胜利股份,1000407,10.40,10.60,10.18,10.21,-0.19,-1.83,"152,972","15,820",4.04,2.27
2017-04-25,胜利股份,1000407,11.12,11.23,10.20,10.40,-0.65,-5.88,"165,012","17,838",9.32,2.45
2017-04-24,胜利股份,1000407,11.58,11.60,11.05,11.05,-0.58,-4.99,"134,749","15,193",4.73,2.00
2017-04-21,胜利股份,1000407,11.28,11.65,11.26,11.63,0.28,2.47,"125,353","14,394",3.44,1.86
2017-04-20,胜利股份,1000407,11.16,11.58,11.16,11.35,0.23,2.07,"104,282","11,877",3.78,1.55
2017-04-19,胜利股份,1000407,11.37,11.51,11.03,11.12,-0.26,-2.28,"107,613","12,082",4.22,1.59
2017-04-18,胜利股份,1000407,11.00,11.76,11.00,11.38,0.33,2.99,"159,861","18,348",6.88,2.37
2017-04-17,胜利股份,1000407,11.18,11.31,10.90,11.05,-0.11,-0.99,"92,219","10,154",3.67,1.37
2017-04-14,胜利股份,1000407,11.38,11.43,11.12,11.16,-0.28,-2.45,"127,568","14,362",2.71,1.89
2017-04-13,胜利股份,1000407,11.45,11.53,11.35,11.44,0.00,0.00,"83,086","9,499",1.57,1.23
2017-04-12,胜利股份,1000407,11.26,11.57,11.12,11.44,0.13,1.15,"109,065","12,424",3.98,1.62
2017-04-11,胜利股份,1000407,11.40,11.48,11.04,11.31,-0.10,-0.88,"163,830","18,392",3.86,2.43
2017-04-10,胜利股份,1000407,11.65,11.74,11.39,11.41,-0.24,-2.06,"139,822","16,124",3.00,2.07
2017-04-07,胜利股份,1000407,11.54,11.85,11.50,11.65,0.04,0.34,"177,817","20,776",3.01,2.64
2017-04-06,胜利股份,1000407,11.64,11.81,11.45,11.61,-0.03,-0.26,"149,586","17,340",3.09,2.22
2017-04-05,胜利股份,1000407,11.08,12.08,11.08,11.64,0.56,5.05,"293,367","34,252",9.03,4.35
2017-03-31,胜利股份,1000407,10.89,11.20,10.62,11.08,0.25,2.31,"172,816","18,931",5.36,2.56
2017-03-30,胜利股份,1000407,11.41,11.44,10.36,10.83,-0.55,-4.83,"303,735","33,167",9.49,4.50
2017-03-29,胜利股份,1000407,11.43,11.65,11.30,11.38,-0.05,-0.44,"182,609","20,898",3.06,2.71
2017-03-28,胜利股份,1000407,11.80,11.88,11.26,11.43,-0.47,-3.95,"297,614","34,509",5.21,4.41
2017-03-27,胜利股份,1000407,11.84,12.04,11.58,11.90,0.09,0.76,"422,650","50,048",3.90,6.26
2017-03-24,胜利股份,1000407,12.00,12.50,11.72,11.81,-0.39,-3.20,"645,005","77,642",6.39,9.56
2017-03-23,胜利股份,1000407,12.20,12.20,11.58,12.20,1.11,10.01,"1,059,654","127,557",5.59,15.70
2017-03-22,胜利股份,1000407,11.09,11.09,11.09,11.09,1.01,10.02,"22,864","2,536",0.00,0.34
2017-03-07,胜利股份,1000407,10.14,10.19,9.99,10.08,-0.06,-0.59,"87,479","8,803",1.97,1.30
2017-03-06,胜利股份,1000407,9.94,10.25,9.94,10.14,0.21,2.11,"143,787","14,531",3.12,2.13
2017-03-03,胜利股份,1000407,9.62,10.09,9.62,9.93,0.29,3.01,"165,020","16,331",4.88,2.45
2017-03-02,胜利股份,1000407,9.78,9.85,9.62,9.64,-0.15,-1.53,"92,256","8,996",2.35,1.37
2017-03-01,胜利股份,1000407,9.86,9.90,9.75,9.79,-0.07,-0.71,"127,606","12,519",1.52,1.89
2017-02-28,胜利股份,1000407,9.79,9.93,9.69,9.86,0.06,0.61,"105,372","10,334",2.45,1.56
2017-02-27,胜利股份,1000407,10.03,10.17,9.78,9.80,-0.26,-2.58,"163,366","16,299",3.88,2.42
2017-02-24,胜利股份,1000407,10.14,10.18,9.96,10.06,-0.11,-1.08,"145,853","14,661",2.16,2.16
2017-02-23,胜利股份,1000407,10.00,10.32,9.91,10.17,0.12,1.19,"347,082","35,193",4.08,5.14
2017-02-22,胜利股份,1000407,9.46,10.36,9.38,10.05,0.60,6.35,"350,720","34,558",10.37,5.20
2017-02-21,胜利股份,1000407,9.50,9.56,9.40,9.45,-0.07,-0.74,"77,521","7,323",1.68,1.15
2017-02-20,胜利股份,1000407,9.47,9.76,9.46,9.52,0.04,0.42,"187,366","17,987",3.16,2.78
2017-02-17,胜利股份,1000407,9.40,9.54,9.35,9.48,0.08,0.85,"140,910","13,313",2.02,2.09
2017-02-16,胜利股份,1000407,9.36,9.56,9.34,9.40,0.04,0.43,"99,434","9,392",2.35,1.47
2017-02-15,胜利股份,1000407,9.40,9.58,9.30,9.36,-0.14,-1.47,"102,066","9,598",2.95,1.51
2017-02-14,胜利股份,1000407,9.18,9.64,9.12,9.50,0.30,3.26,"221,234","20,944",5.65,3.28
2017-02-13,胜利股份,1000407,9.24,9.27,9.06,9.20,-0.07,-0.76,"117,064","10,702",2.27,1.73
2017-02-10,胜利股份,1000407,9.36,9.40,9.19,9.27,-0.11,-1.17,"139,693","12,944",2.24,2.07
2017-02-09,胜利股份,1000407,9.40,9.57,9.35,9.38,-0.02,-0.21,"144,727","13,677",2.34,2.14
2017-02-08,胜利股份,1000407,9.42,9.46,9.31,9.40,-0.02,-0.21,"85,110","7,969",1.59,1.26
2017-02-07,胜利股份,1000407,9.43,9.47,9.31,9.42,0.02,0.21,"85,422","8,026",1.70,1.27
2017-02-06,胜利股份,1000407,9.46,9.51,9.30,9.40,-0.02,-0.21,"75,832","7,129",2.23,1.12
2017-02-03,胜利股份,1000407,9.38,9.55,9.18,9.42,0.06,0.64,"104,208","9,787",3.95,1.54
2017-01-26,胜利股份,1000407,9.33,9.54,9.31,9.36,0.03,0.32,"104,098","9,799",2.47,1.54
2017-01-25,胜利股份,1000407,9.36,9.52,9.22,9.33,-0.02,-0.21,"145,718","13,614",3.21,2.16
2017-01-24,胜利股份,1000407,9.68,9.75,9.31,9.35,-0.36,-3.71,"347,242","32,788",4.53,5.15
2017-01-23,胜利股份,1000407,8.87,9.76,8.87,9.71,0.84,9.47,"526,249","50,618",10.03,7.80
2017-01-20,胜利股份,1000407,8.70,8.95,8.65,8.87,0.17,1.95,"76,816","6,800",3.45,1.14
2017-01-19,胜利股份,1000407,8.54,8.80,8.42,8.70,0.30,3.57,"136,065","11,761",4.52,2.02
2017-01-18,胜利股份,1000407,8.40,8.56,8.38,8.40,-0.01,-0.12,"58,375","4,941",2.14,0.87
2017-01-17,胜利股份,1000407,8.56,8.56,8.05,8.41,-0.08,-0.94,"166,807","13,884",6.01,2.47
2017-01-16,胜利股份,1000407,9.14,9.14,8.13,8.49,-0.54,-5.98,"187,259","16,141",11.18,2.78
2017-01-13,胜利股份,1000407,8.89,9.19,8.86,9.03,0.16,1.80,"166,417","15,015",3.72,2.47
2017-01-12,胜利股份,1000407,8.93,9.08,8.71,8.87,-0.08,-0.89,"135,894","12,087",4.13,2.01
2017-01-11,胜利股份,1000407,9.15,9.16,8.82,8.95,-0.20,-2.19,"188,889","16,959",3.72,2.80
2017-01-10,胜利股份,1000407,9.39,9.39,9.08,9.15,-0.19,-2.03,"257,629","23,681",3.32,3.82
2017-01-09,胜利股份,1000407,9.29,9.49,9.21,9.34,0.06,0.65,"167,282","15,614",3.02,2.48
2017-01-06,胜利股份,1000407,9.33,9.55,9.25,9.28,-0.14,-1.49,"227,644","21,293",3.18,3.37
2017-01-05,胜利股份,1000407,9.49,9.67,9.36,9.42,-0.12,-1.26,"373,530","35,428",3.25,5.54
2017-01-04,胜利股份,1000407,9.18,9.68,9.15,9.54,0.31,3.36,"496,540","46,855",5.74,7.36
2017-01-03,胜利股份,1000407,9.29,9.40,9.12,9.23,0.02,0.22,"284,391","26,281",3.04,4.21
2017-12-29,胜利股份,1000407,7.63,7.73,7.63,7.69,0.06,0.79,"40,317","3,096",1.31,0.52
2017-12-28,胜利股份,1000407,7.79,7.80,7.61,7.63,-0.18,-2.30,"83,375","6,408",2.43,1.08
2017-12-27,胜利股份,1000407,7.96,8.15,7.80,7.81,-0.19,-2.38,"96,162","7,678",4.38,1.25
2017-12-26,胜利股份,1000407,7.98,8.10,7.75,8.00,0.04,0.50,"123,627","9,829",4.40,1.61
2017-12-25,胜利股份,1000407,8.05,8.31,7.96,7.96,-0.14,-1.73,"178,595","14,448",4.32,2.32
2017-12-22,胜利股份,1000407,7.79,8.29,7.74,8.10,0.31,3.98,"228,690","18,391",7.06,2.97
2017-12-21,胜利股份,1000407,7.55,7.84,7.51,7.79,0.17,2.23,"100,134","7,731",4.33,1.30
2017-12-20,胜利股份,1000407,7.49,7.73,7.48,7.62,0.15,2.01,"84,435","6,448",3.35,1.10
2017-12-19,胜利股份,1000407,7.45,7.51,7.44,7.47,0.02,0.27,"26,620","1,989",0.94,0.35
2017-12-18,胜利股份,1000407,7.62,7.62,7.44,7.45,-0.12,-1.59,"26,247","1,969",2.38,0.34
2017-12-15,胜利股份,1000407,7.51,7.62,7.48,7.57,0.08,1.07,"47,825","3,622",1.87,0.62
2017-12-14,胜利股份,1000407,7.47,7.72,7.37,7.49,0.01,0.13,"49,832","3,765",4.68,0.65
2017-12-13,胜利股份,1000407,7.42,7.57,7.42,7.48,0.00,0.00,"27,351","2,051",2.01,0.36
2017-12-12,胜利股份,1000407,7.52,7.52,7.42,7.48,-0.02,-0.27,"21,718","1,622",1.33,0.28
2017-12-11,胜利股份,1000407,7.35,7.52,7.35,7.50,0.17,2.32,"41,852","3,125",2.32,0.54
2017-12-08,胜利股份,1000407,7.40,7.46,7.30,7.33,-0.07,-0.95,"44,172","3,248",2.16,0.57
2017-12-07,胜利股份,1000407,7.55,7.58,7.36,7.40,-0.19,-2.50,"30,286","2,250",2.90,0.41
2017-12-06,胜利股份,1000407,7.30,7.59,7.28,7.59,0.22,2.99,"55,071","4,080",4.21,0.75
2017-12-05,胜利股份,1000407,7.50,7.53,7.34,7.37,-0.14,-1.86,"43,404","3,223",2.53,0.59
2017-12-04,胜利股份,1000407,7.60,7.67,7.49,7.51,-0.06,-0.79,"28,151","2,129",2.38,0.38
2017-12-01,胜利股份,1000407,7.65,7.67,7.48,7.57,-0.06,-0.79,"48,180","3,628",2.49,0.65
2017-11-30,胜利股份,1000407,7.80,7.86,7.63,7.63,-0.23,-2.93,"41,154","3,178",2.93,0.56
2017-11-29,胜利股份,1000407,7.89,7.97,7.80,7.86,-0.03,-0.38,"28,619","2,257",2.15,0.39
2017-11-28,胜利股份,1000407,7.80,7.93,7.77,7.89,0.07,0.90,"35,021","2,755",2.05,0.47
2017-11-27,胜利股份,1000407,7.68,8.05,7.62,7.82,0.13,1.69,"67,637","5,342",5.59,0.92
2017-11-24,胜利股份,1000407,7.45,7.74,7.38,7.69,0.24,3.22,"51,893","3,950",4.83,0.70
2017-11-23,胜利股份,1000407,7.69,7.69,7.33,7.45,-0.17,-2.23,"51,406","3,861",4.72,0.70
2017-11-22,胜利股份,1000407,7.55,7.74,7.49,7.62,0.07,0.93,"37,465","2,859",3.31,0.51
2017-11-21,胜利股份,1000407,7.66,7.70,7.50,7.55,-0.09,-1.18,"43,151","3,259",2.62,0.58
2017-11-20,胜利股份,1000407,7.69,7.75,7.48,7.64,-0.11,-1.42,"36,053","2,752",3.48,0.49
2017-11-17,胜利股份,1000407,7.93,8.00,7.75,7.75,-0.21,-2.64,"69,998","5,494",3.14,0.95
2017-11-16,胜利股份,1000407,7.81,8.04,7.72,7.96,0.16,2.05,"45,451","3,589",4.10,0.62
2017-11-15,胜利股份,1000407,7.85,7.91,7.70,7.80,-0.08,-1.02,"29,856","2,328",2.67,0.40
2017-11-14,胜利股份,1000407,7.92,8.01,7.86,7.88,-0.06,-0.76,"68,868","5,475",1.89,0.93
2017-11-13,胜利股份,1000407,7.58,7.97,7.58,7.94,0.35,4.61,"122,984","9,626",5.14,1.67
2017-11-10,胜利股份,1000407,7.68,7.68,7.55,7.59,-0.16,-2.06,"76,961","5,850",1.68,1.14
2017-11-09,胜利股份,1000407,7.67,7.83,7.62,7.75,0.06,0.78,"73,475","5,673",2.73,1.09
2017-11-08,胜利股份,1000407,7.73,7.73,7.63,7.69,0.00,0.00,"35,342","2,718",1.30,0.52
2017-11-07,胜利股份,1000407,7.72,7.78,7.65,7.69,-0.01,-0.13,"33,382","2,568",1.69,0.49
2017-11-06,胜利股份,1000407,7.65,7.74,7.52,7.70,0.07,0.92,"41,413","3,155",2.88,0.61
2017-11-03,胜利股份,1000407,7.62,7.67,7.47,7.63,0.02,0.26,"38,821","2,945",2.63,0.58
2017-11-02,胜利股份,1000407,7.78,7.78,7.58,7.61,-0.16,-2.06,"54,286","4,138",2.57,0.80
2017-11-01,胜利股份,1000407,7.81,7.85,7.69,7.77,-0.04,-0.51,"39,205","3,045",2.05,0.58
2017-10-31,胜利股份,1000407,7.75,7.82,7.63,7.81,0.10,1.30,"53,170","4,094",2.46,0.79
