日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-27,贵州燃气,0600903,16.40,16.86,16.40,16.86,1.53,9.98,"402,281","67,457",3.00,32.99
2017-12-26,贵州燃气,0600903,14.38,15.33,14.21,15.33,1.39,9.97,"477,956","71,114",8.03,39.19
2017-12-25,贵州燃气,0600903,13.35,13.94,13.10,13.94,1.27,10.02,"713,719","97,447",6.63,58.53
2017-12-22,贵州燃气,0600903,12.20,12.67,11.65,12.67,1.15,9.98,"515,449","63,543",8.85,42.27
2017-12-21,贵州燃气,0600903,10.32,11.52,10.30,11.52,1.05,10.03,"592,132","64,748",11.65,48.56
2017-12-20,贵州燃气,0600903,9.56,10.47,9.56,10.47,0.95,9.98,"548,319","56,646",9.56,44.96
2017-12-19,贵州燃气,0600903,9.50,9.68,9.40,9.52,-0.20,-2.06,"276,811","26,399",2.88,22.70
2017-12-18,贵州燃气,0600903,9.35,9.86,9.08,9.72,0.00,0.00,"417,451","39,255",8.02,34.23
2017-12-15,贵州燃气,0600903,9.04,9.90,8.88,9.72,0.68,7.52,"626,210","58,782",11.28,51.35
2017-12-14,贵州燃气,0600903,8.26,9.04,8.23,9.04,0.82,9.98,"454,040","40,136",9.85,37.23
2017-12-13,贵州燃气,0600903,8.12,8.29,8.05,8.22,0.02,0.24,"179,412","14,678",2.93,14.71
2017-12-12,贵州燃气,0600903,8.80,8.84,8.16,8.20,-0.71,-7.97,"303,632","25,536",7.63,24.90
2017-12-11,贵州燃气,0600903,8.76,9.12,8.75,8.91,-0.01,-0.11,"218,878","19,529",4.15,17.95
2017-12-08,贵州燃气,0600903,8.92,9.14,8.80,8.92,-0.02,-0.22,"270,413","24,324",3.80,22.17
2017-12-07,贵州燃气,0600903,9.19,9.19,8.73,8.94,-0.49,-5.20,"309,618","27,640",4.88,25.39
2017-12-06,贵州燃气,0600903,9.84,9.84,9.24,9.43,-0.84,-8.18,"361,096","34,263",5.84,29.61
2017-12-05,贵州燃气,0600903,10.47,10.58,9.91,10.27,0.08,0.79,"329,152","33,731",6.58,26.99
2017-12-04,贵州燃气,0600903,10.27,10.90,9.99,10.19,-0.48,-4.50,"401,428","41,709",8.53,32.92
2017-12-01,贵州燃气,0600903,11.20,11.30,10.50,10.67,-0.95,-8.18,"549,135","59,579",6.88,45.03
2017-11-30,贵州燃气,0600903,10.70,11.98,10.21,11.62,0.68,6.22,"675,302","74,369",16.18,55.38
2017-11-29,贵州燃气,0600903,10.20,11.32,10.08,10.94,0.52,4.99,"675,232","73,213",11.90,55.37
2017-11-28,贵州燃气,0600903,10.62,11.31,10.22,10.42,-0.94,-8.27,"629,289","66,936",9.60,51.60
2017-11-27,贵州燃气,0600903,11.00,12.09,10.78,11.36,0.37,3.37,"837,134","96,148",11.92,68.65
2017-11-24,贵州燃气,0600903,10.99,10.99,10.71,10.99,1.00,10.01,"229,625","25,209",2.80,18.83
2017-11-23,贵州燃气,0600903,9.99,9.99,9.99,9.99,0.91,10.02,"12,122","1,211",0.00,0.99
2017-11-22,贵州燃气,0600903,9.08,9.08,9.08,9.08,0.83,10.06,"4,639",421,0.00,0.38
2017-11-21,贵州燃气,0600903,8.25,8.25,8.25,8.25,0.75,10.00,"2,285",189,0.00,0.19
2017-11-20,贵州燃气,0600903,7.50,7.50,7.50,7.50,0.68,9.97,"2,406",180,0.00,0.20
2017-11-17,贵州燃气,0600903,6.82,6.82,6.82,6.82,0.62,10.00,"1,829",125,0.00,0.15
2017-11-16,贵州燃气,0600903,6.20,6.20,6.20,6.20,0.56,9.93,806,50,0.00,0.07
2017-11-15,贵州燃气,0600903,5.64,5.64,5.64,5.64,0.51,9.94,341,19,0.00,0.03
2017-11-14,贵州燃气,0600903,5.13,5.13,5.13,5.13,0.47,10.09,413,21,0.00,0.03
2017-11-13,贵州燃气,0600903,4.66,4.66,4.66,4.66,0.42,9.91,703,33,0.00,0.06
2017-11-10,贵州燃气,0600903,4.24,4.24,4.24,4.24,0.39,10.13,157,7,0.00,0.01
2017-11-09,贵州燃气,0600903,3.85,3.85,3.85,3.85,0.35,10.00,154,6,0.00,0.01
2017-11-08,贵州燃气,0600903,3.50,3.50,3.50,3.50,0.32,10.06,160,6,0.00,0.01
2017-11-07,贵州燃气,0600903,2.65,3.18,2.65,3.18,0.97,43.89,443,14,23.98,0.04
2018-03-30,贵州燃气,0600903,30.90,31.33,30.31,30.52,-0.36,-1.17,"203,986","62,594",3.30,16.73
2018-03-29,贵州燃气,0600903,30.80,31.80,30.30,30.88,0.17,0.55,"220,742","68,031",4.88,18.10
2018-03-28,贵州燃气,0600903,30.66,32.21,30.00,30.71,-0.92,-2.91,"265,553","82,826",6.99,21.78
2018-03-27,贵州燃气,0600903,30.43,33.36,30.43,31.63,-0.27,-0.85,"462,774","147,815",9.19,37.95
2018-03-26,贵州燃气,0600903,27.25,31.90,26.20,31.90,2.90,10.00,"411,038","123,219",19.66,33.71
2018-03-23,贵州燃气,0600903,30.72,30.88,29.00,29.00,-3.22,-9.99,"324,330","96,427",5.83,26.60
2018-03-22,贵州燃气,0600903,32.00,32.99,31.32,32.22,-0.90,-2.72,"360,190","115,489",5.04,29.54
2018-03-21,贵州燃气,0600903,33.88,35.20,32.80,33.12,1.01,3.15,"603,254","205,851",7.47,49.47
2018-03-20,贵州燃气,0600903,28.93,32.11,28.19,32.11,2.92,10.00,"469,022","145,570",13.43,38.46
2018-03-19,贵州燃气,0600903,29.15,29.79,28.66,29.19,0.29,1.00,"243,010","71,037",3.91,19.93
2018-03-16,贵州燃气,0600903,30.00,30.01,28.70,28.90,-1.25,-4.15,"328,355","95,932",4.34,26.93
2018-03-15,贵州燃气,0600903,32.00,33.28,30.13,30.15,-3.33,-9.95,"422,573","130,908",9.41,34.65
2018-03-14,贵州燃气,0600903,32.52,34.00,32.52,33.48,0.55,1.67,"352,904","117,549",4.49,28.94
2018-03-13,贵州燃气,0600903,33.00,34.48,32.48,32.93,-0.83,-2.46,"344,155","115,598",5.92,28.22
2018-03-12,贵州燃气,0600903,32.93,34.36,31.87,33.76,0.42,1.26,"463,055","153,416",7.47,37.97
2018-03-09,贵州燃气,0600903,34.50,37.49,32.75,33.34,-1.41,-4.06,"710,473","248,272",13.64,58.26
2018-03-08,贵州燃气,0600903,32.00,34.75,31.05,34.75,3.16,10.00,"529,408","178,879",11.71,43.41
2018-03-07,贵州燃气,0600903,28.36,31.59,28.36,31.59,2.87,9.99,"599,757","183,107",11.25,49.18
2018-03-06,贵州燃气,0600903,28.34,29.86,28.28,28.72,-0.82,-2.78,"390,855","112,857",5.35,32.05
2018-03-05,贵州燃气,0600903,27.36,30.52,26.68,29.54,0.97,3.40,"595,124","169,764",13.44,48.80
