日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,金开新能,0600821,8.95,9.03,8.78,9.01,0.11,1.24,"64,997","5,801",2.81,1.56
2017-06-29,金开新能,0600821,9.05,9.10,8.88,8.90,-0.01,-0.11,"59,033","5,288",2.47,1.42
2017-06-28,金开新能,0600821,8.85,9.38,8.74,8.91,0.11,1.25,"109,848","9,908",7.27,2.64
2017-06-27,金开新能,0600821,8.84,8.95,8.70,8.80,0.00,0.00,"63,083","5,567",2.84,1.52
2017-06-26,金开新能,0600821,8.43,8.85,8.41,8.80,0.33,3.90,"97,169","8,463",5.19,2.33
2017-06-23,金开新能,0600821,8.55,8.63,8.26,8.47,-0.08,-0.94,"62,767","5,258",4.33,1.51
2017-06-22,金开新能,0600821,8.91,8.92,8.53,8.55,-0.33,-3.72,"61,021","5,353",4.39,1.47
2017-06-21,金开新能,0600821,8.91,8.97,8.68,8.88,-0.02,-0.22,"74,999","6,610",3.26,1.80
2017-06-20,金开新能,0600821,8.91,9.02,8.80,8.90,-0.02,-0.22,"80,075","7,116",2.47,1.92
2017-06-19,金开新能,0600821,9.13,9.35,8.79,8.92,-0.26,-2.83,"117,062","10,529",6.10,2.81
2017-06-16,金开新能,0600821,9.20,9.87,9.10,9.18,-0.35,-3.67,"189,605","17,923",8.08,4.55
2017-06-15,金开新能,0600821,9.00,9.92,8.25,9.53,0.50,5.54,"229,132","20,730",18.49,5.50
2017-06-12,金开新能,0600821,8.75,9.36,8.68,9.03,0.38,4.39,"284,412","25,605",7.86,6.83
2017-06-09,金开新能,0600821,8.48,8.65,8.35,8.65,0.79,10.05,"153,857","13,266",3.82,3.70
2017-06-08,金开新能,0600821,8.03,8.08,7.83,7.86,-0.13,-1.63,"47,525","3,785",3.13,1.14
2017-06-07,金开新能,0600821,7.58,8.02,7.57,7.99,0.37,4.86,"75,210","5,912",5.91,1.81
2017-06-06,金开新能,0600821,7.56,7.65,7.51,7.62,0.02,0.26,"27,188","2,063",1.84,0.65
2017-06-05,金开新能,0600821,7.45,7.65,7.42,7.60,0.16,2.15,"44,232","3,331",3.09,1.06
2017-06-02,金开新能,0600821,7.25,7.46,7.18,7.44,0.09,1.22,"47,608","3,495",3.81,1.14
2017-06-01,金开新能,0600821,7.75,7.75,7.31,7.35,-0.41,-5.28,"44,986","3,365",5.67,1.08
2017-05-31,金开新能,0600821,7.57,8.13,7.54,7.76,0.32,4.30,"69,503","5,417",7.93,1.67
2017-05-26,金开新能,0600821,7.45,7.52,7.39,7.44,-0.03,-0.40,"35,224","2,624",1.74,0.85
2017-05-25,金开新能,0600821,7.37,7.50,7.26,7.47,0.10,1.36,"50,513","3,738",3.26,1.21
2017-05-24,金开新能,0600821,7.33,7.49,7.19,7.37,0.08,1.10,"35,034","2,576",4.12,0.84
2017-05-23,金开新能,0600821,7.89,7.90,7.19,7.29,-0.54,-6.90,"72,231","5,380",9.07,1.74
2017-05-22,金开新能,0600821,8.10,8.18,7.74,7.83,-0.35,-4.28,"54,143","4,302",5.38,1.30
2017-05-19,金开新能,0600821,8.54,8.54,8.11,8.18,-0.15,-1.80,"73,731","6,086",5.16,1.77
2017-05-18,金开新能,0600821,8.57,8.69,8.24,8.33,-0.27,-3.14,"106,446","8,980",5.23,2.56
2017-05-17,金开新能,0600821,7.80,8.60,7.73,8.60,0.78,9.97,"177,107","15,101",11.13,4.25
2017-05-16,金开新能,0600821,7.68,7.84,7.42,7.82,0.14,1.82,"34,883","2,657",5.47,0.84
2017-05-15,金开新能,0600821,7.77,7.94,7.66,7.68,-0.10,-1.29,"31,506","2,457",3.60,0.76
2017-05-12,金开新能,0600821,7.77,7.83,7.64,7.78,0.00,0.00,"26,955","2,090",2.44,0.65
2017-05-11,金开新能,0600821,7.84,7.84,7.23,7.78,-0.06,-0.77,"63,825","4,839",7.78,1.53
2017-05-10,金开新能,0600821,8.02,8.06,7.82,7.84,-0.17,-2.12,"31,042","2,459",3.00,0.75
2017-05-09,金开新能,0600821,8.29,8.30,7.79,8.01,-0.27,-3.26,"70,583","5,616",6.16,1.70
2017-05-08,金开新能,0600821,8.76,8.87,8.11,8.28,-0.57,-6.44,"59,621","5,043",8.59,1.43
2017-05-05,金开新能,0600821,8.99,9.03,8.84,8.85,-0.15,-1.67,"27,764","2,481",2.11,0.67
2017-05-04,金开新能,0600821,8.99,9.10,8.81,9.00,0.00,0.00,"42,935","3,861",3.22,1.03
2017-05-03,金开新能,0600821,8.98,9.11,8.89,9.00,0.01,0.11,"31,572","2,837",2.45,0.76
2017-05-02,金开新能,0600821,9.18,9.21,8.95,8.99,-0.22,-2.39,"38,344","3,462",2.82,0.92
2017-04-28,金开新能,0600821,9.23,9.33,9.18,9.21,-0.04,-0.43,"21,118","1,949",1.62,0.51
2017-04-27,金开新能,0600821,9.35,9.35,8.88,9.25,-0.09,-0.96,"40,276","3,674",5.03,0.97
2017-04-26,金开新能,0600821,9.25,9.48,9.21,9.34,0.07,0.76,"27,241","2,549",2.91,0.65
2017-04-25,金开新能,0600821,9.26,9.49,9.23,9.27,-0.06,-0.64,"30,024","2,816",2.79,0.72
2017-04-24,金开新能,0600821,9.68,9.74,9.22,9.33,-0.35,-3.62,"35,037","3,290",5.37,0.84
2017-04-21,金开新能,0600821,9.55,9.73,9.55,9.68,0.06,0.62,"24,963","2,405",1.87,0.60
2017-04-20,金开新能,0600821,9.74,9.78,9.50,9.62,-0.04,-0.41,"27,959","2,692",2.90,0.67
2017-04-19,金开新能,0600821,10.00,10.00,9.48,9.66,-0.29,-2.91,"58,556","5,660",5.23,1.41
2017-04-18,金开新能,0600821,10.19,10.19,9.94,9.95,-0.09,-0.90,"29,199","2,931",2.49,0.70
2017-04-17,金开新能,0600821,10.07,10.21,10.00,10.04,-0.03,-0.30,"38,597","3,885",2.09,0.93
2017-04-14,金开新能,0600821,10.53,10.68,10.04,10.07,-0.60,-5.62,"82,204","8,437",6.00,1.97
2017-04-13,金开新能,0600821,10.41,10.87,10.41,10.67,0.20,1.91,"46,524","4,956",4.39,1.12
2017-04-12,金开新能,0600821,10.96,11.01,10.41,10.47,-0.63,-5.68,"87,906","9,446",5.41,2.11
2017-04-11,金开新能,0600821,11.07,11.45,10.69,11.10,0.19,1.74,"125,924","13,951",6.97,3.03
2017-04-10,金开新能,0600821,10.73,11.49,10.50,10.91,0.16,1.49,"131,005","14,446",9.21,3.15
2017-04-07,金开新能,0600821,10.90,11.09,10.51,10.75,-0.39,-3.50,"142,327","15,380",5.21,3.42
2017-04-06,金开新能,0600821,10.25,11.14,10.09,11.14,1.01,9.97,"143,827","15,231",10.37,3.46
2017-04-05,金开新能,0600821,10.41,10.76,10.05,10.13,0.14,1.40,"112,529","11,636",7.11,2.70
2017-03-31,金开新能,0600821,10.06,10.36,9.83,9.99,-0.12,-1.19,"79,945","8,055",5.24,1.92
2017-03-30,金开新能,0600821,11.02,11.08,10.00,10.11,-0.91,-8.26,"130,325","13,499",9.80,3.13
2017-03-29,金开新能,0600821,11.39,11.39,10.96,11.02,-0.39,-3.42,"58,173","6,472",3.77,1.40
2017-03-28,金开新能,0600821,11.50,11.50,10.80,11.41,-0.10,-0.87,"41,341","4,688",6.08,0.99
2017-03-27,金开新能,0600821,11.45,11.53,11.40,11.51,-0.03,-0.26,"67,328","7,718",1.13,1.62
2017-03-24,金开新能,0600821,11.60,11.69,11.36,11.54,-0.11,-0.94,"69,839","8,014",2.83,1.68
2017-03-23,金开新能,0600821,11.81,11.81,11.49,11.65,-0.13,-1.10,"96,430","11,213",2.72,2.32
2017-03-22,金开新能,0600821,11.37,11.95,11.37,11.78,0.40,3.51,"152,385","17,935",5.10,3.66
2017-03-21,金开新能,0600821,11.52,11.52,11.33,11.38,-0.15,-1.30,"59,298","6,768",1.65,1.42
2017-03-20,金开新能,0600821,11.25,11.55,11.24,11.53,0.25,2.22,"72,009","8,251",2.75,1.73
2017-03-17,金开新能,0600821,11.46,11.53,11.27,11.28,-0.16,-1.40,"44,827","5,094",2.27,1.08
2017-03-16,金开新能,0600821,11.32,11.64,11.32,11.44,0.12,1.06,"39,369","4,515",2.83,0.95
2017-03-15,金开新能,0600821,11.47,11.47,11.30,11.32,-0.10,-0.88,"36,222","4,125",1.49,0.87
2017-03-14,金开新能,0600821,11.49,11.61,11.33,11.42,0.12,1.06,"75,093","8,639",2.48,1.80
2017-03-13,金开新能,0600821,11.07,11.34,11.01,11.30,0.21,1.89,"60,312","6,765",2.98,1.45
2017-03-10,金开新能,0600821,11.20,11.24,11.05,11.09,-0.11,-0.98,"34,171","3,814",1.70,0.82
2017-03-09,金开新能,0600821,11.35,11.35,11.09,11.20,-0.08,-0.71,"61,324","6,867",2.31,1.47
2017-03-08,金开新能,0600821,11.34,11.39,11.26,11.28,-0.05,-0.44,"31,743","3,598",1.15,0.76
2017-03-07,金开新能,0600821,11.35,11.46,11.23,11.33,-0.01,-0.09,"72,823","8,243",2.03,1.75
2017-03-06,金开新能,0600821,11.44,11.46,11.25,11.34,-0.06,-0.53,"64,075","7,269",1.84,1.54
2017-03-03,金开新能,0600821,11.63,11.68,11.39,11.40,-0.23,-1.98,"49,814","5,731",2.49,1.20
2017-03-02,金开新能,0600821,11.83,11.83,11.61,11.63,-0.18,-1.52,"64,691","7,557",1.86,1.55
2017-03-01,金开新能,0600821,11.73,11.94,11.53,11.81,0.07,0.60,"81,817","9,645",3.49,1.97
2017-02-28,金开新能,0600821,11.69,11.94,11.53,11.74,0.07,0.60,"57,882","6,795",3.51,1.39
2017-02-27,金开新能,0600821,11.96,11.96,11.60,11.67,-0.21,-1.77,"56,746","6,660",3.03,1.36
2017-02-24,金开新能,0600821,11.65,11.95,11.53,11.88,0.23,1.97,"73,408","8,633",3.61,1.76
2017-02-23,金开新能,0600821,11.81,11.86,11.50,11.65,-0.15,-1.27,"68,197","7,956",3.05,1.64
2017-02-22,金开新能,0600821,11.99,11.99,11.71,11.80,0.02,0.17,"51,154","6,042",2.38,1.23
2017-02-21,金开新能,0600821,11.81,11.87,11.70,11.78,0.00,0.00,"54,645","6,434",1.44,1.31
2017-02-20,金开新能,0600821,11.97,11.97,11.60,11.78,-0.24,-2.00,"91,366","10,781",3.08,2.19
2017-02-17,金开新能,0600821,12.09,12.30,11.90,12.02,-0.06,-0.50,"61,154","7,386",3.31,1.47
2017-02-16,金开新能,0600821,12.08,12.36,12.02,12.08,-0.04,-0.33,"46,483","5,658",2.81,1.12
2017-02-15,金开新能,0600821,12.27,12.48,12.11,12.12,-0.22,-1.78,"70,020","8,596",3.00,1.68
2017-02-14,金开新能,0600821,12.28,12.52,12.19,12.34,-0.01,-0.08,"62,859","7,766",2.67,1.51
