日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-12-31,金房节能,1001210,35.60,35.85,35.41,35.49,-0.11,-0.31,"9,442","3,359",1.24,4.16
2021-12-30,金房节能,1001210,35.60,35.96,35.58,35.60,-0.20,-0.56,"9,229","3,296",1.06,4.07
2021-12-29,金房节能,1001210,36.26,36.40,35.51,35.80,-0.56,-1.54,"13,747","4,913",2.45,6.06
2021-12-28,金房节能,1001210,36.38,37.13,36.23,36.36,-0.84,-2.26,"17,657","6,429",2.42,7.78
2021-12-27,金房节能,1001210,35.98,37.71,35.38,37.20,1.18,3.28,"25,434","9,403",6.47,11.21
2021-12-24,金房节能,1001210,37.30,38.05,36.00,36.02,-1.05,-2.83,"27,307","10,132",5.53,12.03
2021-12-23,金房节能,1001210,36.61,37.20,36.07,37.07,0.66,1.81,"27,958","10,274",3.10,12.32
2021-12-22,金房节能,1001210,36.10,36.66,35.86,36.41,0.53,1.48,"20,478","7,436",2.23,9.03
2021-12-21,金房节能,1001210,35.00,36.35,34.91,35.88,0.83,2.37,"13,874","4,927",4.11,6.11
2021-12-20,金房节能,1001210,36.16,36.18,35.03,35.05,-1.14,-3.15,"19,142","6,768",3.18,8.44
2021-12-17,金房节能,1001210,36.38,37.17,36.18,36.19,-0.22,-0.60,"22,687","8,331",2.72,10.00
2021-12-16,金房节能,1001210,36.41,36.57,36.03,36.41,0.00,0.00,"14,411","5,225",1.48,6.35
2021-12-15,金房节能,1001210,35.72,36.73,35.50,36.41,0.70,1.96,"25,918","9,394",3.44,11.42
2021-12-14,金房节能,1001210,35.97,35.99,35.55,35.71,-0.26,-0.72,"10,057","3,590",1.22,4.43
2021-12-13,金房节能,1001210,35.44,36.15,35.39,35.97,0.40,1.12,"12,498","4,475",2.14,5.51
2021-12-10,金房节能,1001210,35.30,35.70,35.20,35.57,0.19,0.54,"10,448","3,714",1.41,4.60
2021-12-09,金房节能,1001210,35.10,35.48,35.01,35.38,0.28,0.80,"9,244","3,258",1.34,4.07
2021-12-08,金房节能,1001210,35.14,35.28,34.84,35.10,-0.09,-0.26,"6,732","2,365",1.25,2.97
2021-12-07,金房节能,1001210,35.05,35.50,34.55,35.19,0.13,0.37,"11,743","4,106",2.71,5.18
2021-12-06,金房节能,1001210,35.30,35.58,35.02,35.06,-0.29,-0.82,"8,321","2,930",1.58,3.67
2021-12-03,金房节能,1001210,35.10,35.39,34.80,35.35,0.25,0.71,"9,018","3,166",1.68,3.97
2021-12-02,金房节能,1001210,35.68,35.68,35.00,35.10,-0.56,-1.57,"10,441","3,682",1.91,4.60
2021-12-01,金房节能,1001210,35.35,35.78,35.15,35.66,0.31,0.88,"9,272","3,287",1.78,4.09
2021-11-30,金房节能,1001210,35.43,35.81,35.17,35.35,0.05,0.14,"9,447","3,351",1.81,4.16
2021-11-29,金房节能,1001210,35.08,35.63,34.50,35.30,-0.30,-0.84,"9,927","3,491",3.17,4.37
2021-11-26,金房节能,1001210,35.80,36.00,35.50,35.60,-0.39,-1.08,"10,749","3,834",1.39,4.74
2021-11-25,金房节能,1001210,36.02,36.47,35.92,35.99,0.05,0.14,"13,614","4,921",1.53,6.00
2021-11-24,金房节能,1001210,35.62,36.32,35.36,35.94,0.19,0.53,"14,285","5,123",2.69,6.30
2021-11-23,金房节能,1001210,36.31,36.36,35.71,35.75,-0.39,-1.08,"14,006","5,032",1.80,6.17
2021-11-22,金房节能,1001210,36.17,36.41,35.52,36.14,-0.04,-0.11,"13,682","4,924",2.46,6.03
2021-11-19,金房节能,1001210,35.96,36.30,35.32,36.18,0.03,0.08,"16,622","5,949",2.71,7.33
2021-11-18,金房节能,1001210,36.54,36.99,36.06,36.15,-0.37,-1.01,"17,380","6,344",2.55,7.66
2021-11-17,金房节能,1001210,37.00,37.47,36.41,36.52,-0.03,-0.08,"24,119","8,884",2.90,10.63
2021-11-16,金房节能,1001210,36.41,36.60,35.90,36.55,0.25,0.69,"21,408","7,759",1.93,9.43
2021-11-15,金房节能,1001210,35.83,36.43,35.60,36.30,0.72,2.02,"18,976","6,854",2.33,8.36
2021-11-12,金房节能,1001210,35.63,35.81,35.12,35.58,-0.02,-0.06,"15,695","5,561",1.94,6.92
2021-11-11,金房节能,1001210,35.33,35.78,35.15,35.60,0.11,0.31,"14,637","5,205",1.78,6.45
2021-11-10,金房节能,1001210,35.96,36.00,35.01,35.49,-0.66,-1.83,"17,037","6,033",2.74,7.51
2021-11-09,金房节能,1001210,36.32,37.19,36.02,36.15,-0.51,-1.39,"19,459","7,089",3.19,8.58
