日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,闽东电力,1000993,9.08,9.15,9.04,9.11,-0.01,-0.11,"40,192","3,658",1.21,1.08
2017-06-29,闽东电力,1000993,9.15,9.27,9.07,9.12,0.01,0.11,"55,913","5,103",2.20,1.50
2017-06-28,闽东电力,1000993,9.20,9.29,8.97,9.11,-0.07,-0.76,"85,974","7,856",3.49,2.30
2017-06-27,闽东电力,1000993,8.84,9.65,8.82,9.18,0.33,3.73,"148,132","13,711",9.38,3.97
2017-06-26,闽东电力,1000993,8.70,8.87,8.60,8.85,0.17,1.96,"56,907","4,996",3.11,1.53
2017-06-23,闽东电力,1000993,8.83,8.95,8.55,8.68,-0.19,-2.14,"82,676","7,198",4.51,2.22
2017-06-22,闽东电力,1000993,9.15,9.19,8.86,8.87,-0.30,-3.27,"58,217","5,267",3.60,1.56
2017-06-21,闽东电力,1000993,9.22,9.24,9.08,9.17,-0.02,-0.22,"53,291","4,880",1.74,1.43
2017-06-20,闽东电力,1000993,9.22,9.38,9.18,9.19,-0.07,-0.76,"73,909","6,854",2.16,1.98
2017-06-19,闽东电力,1000993,9.12,9.29,9.00,9.26,0.16,1.76,"91,376","8,368",3.19,2.45
2017-06-16,闽东电力,1000993,9.02,9.16,9.00,9.10,0.01,0.11,"63,728","5,782",1.76,1.71
2017-06-15,闽东电力,1000993,9.05,9.16,8.97,9.09,-0.01,-0.11,"91,837","8,323",2.09,2.46
2017-06-14,闽东电力,1000993,8.88,9.26,8.85,9.10,0.20,2.25,"81,331","7,363",4.61,2.18
2017-06-13,闽东电力,1000993,8.75,8.90,8.74,8.90,0.16,1.83,"43,486","3,850",1.83,1.17
2017-06-12,闽东电力,1000993,8.92,8.95,8.71,8.74,-0.27,-3.00,"53,853","4,761",2.66,1.44
2017-06-09,闽东电力,1000993,8.75,9.05,8.71,9.01,0.21,2.39,"85,856","7,668",3.86,2.30
2017-06-08,闽东电力,1000993,8.79,8.85,8.72,8.80,0.00,0.00,"58,553","5,159",1.48,1.57
2017-06-07,闽东电力,1000993,8.72,8.80,8.62,8.80,0.23,2.68,"62,994","5,499",2.10,1.69
2017-06-06,闽东电力,1000993,8.50,8.58,8.46,8.57,0.06,0.71,"32,289","2,752",1.41,0.87
2017-06-05,闽东电力,1000993,8.40,8.65,8.40,8.51,0.17,2.04,"47,011","4,013",3.00,1.26
2017-06-02,闽东电力,1000993,8.29,8.40,8.12,8.34,0.02,0.24,"43,340","3,574",3.37,1.16
2017-06-01,闽东电力,1000993,8.77,8.78,8.25,8.32,-0.46,-5.24,"57,839","4,910",6.04,1.55
2017-05-31,闽东电力,1000993,8.90,9.00,8.78,8.78,-0.05,-0.57,"37,050","3,289",2.49,0.99
2017-05-26,闽东电力,1000993,8.86,8.95,8.76,8.83,0.00,0.00,"41,352","3,653",2.15,1.11
