日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,ST八菱,1002592,28.72,30.15,28.70,29.69,0.82,2.84,"30,572","9,074",5.02,1.73
2017-06-29,ST八菱,1002592,28.80,29.30,28.70,28.87,-0.03,-0.10,"11,649","3,387",2.08,0.66
2017-06-28,ST八菱,1002592,28.99,29.38,28.66,28.90,-0.36,-1.23,"18,782","5,445",2.46,1.06
2017-06-27,ST八菱,1002592,28.10,29.44,27.91,29.26,1.14,4.05,"37,967","10,987",5.44,2.15
2017-06-26,ST八菱,1002592,28.00,28.33,27.73,28.12,0.12,0.43,"6,015","1,684",2.14,0.34
2017-06-23,ST八菱,1002592,28.42,28.42,27.56,28.00,0.04,0.14,"12,988","3,635",3.08,0.74
2017-06-22,ST八菱,1002592,28.50,28.60,27.88,27.96,-0.30,-1.06,"9,671","2,739",2.55,0.55
2017-06-21,ST八菱,1002592,28.77,28.77,28.21,28.26,-0.25,-0.88,"5,263","1,491",1.96,0.30
2017-06-20,ST八菱,1002592,28.61,28.81,28.30,28.51,-0.17,-0.59,"12,712","3,629",1.78,0.72
2017-06-19,ST八菱,1002592,28.96,29.05,28.54,28.68,-0.80,-2.71,"20,358","5,857",1.73,1.15
2017-06-16,ST八菱,1002592,29.20,29.63,28.40,29.48,0.18,0.61,"24,167","6,967",4.20,1.37
2017-06-15,ST八菱,1002592,27.86,29.30,27.86,29.30,1.44,5.17,"28,268","8,100",5.17,1.60
2017-06-14,ST八菱,1002592,27.99,28.19,27.86,27.86,-0.24,-0.85,"5,746","1,606",1.17,0.33
2017-06-13,ST八菱,1002592,27.99,28.29,27.97,28.10,0.11,0.39,"5,445","1,533",1.14,0.31
2017-06-12,ST八菱,1002592,28.00,28.13,27.84,27.99,-0.17,-0.60,"6,225","1,740",1.03,0.35
2017-06-09,ST八菱,1002592,27.81,28.25,27.69,28.16,0.17,0.61,"10,423","2,922",2.00,0.59
2017-06-08,ST八菱,1002592,28.80,28.80,27.99,27.99,-0.77,-2.68,"14,158","4,014",2.82,0.80
2017-06-07,ST八菱,1002592,28.81,29.08,28.67,28.76,-0.31,-1.07,"30,095","8,668",1.41,1.70
2017-06-06,ST八菱,1002592,28.45,29.20,28.13,29.07,0.52,1.82,"22,919","6,612",3.75,1.30
2017-06-05,ST八菱,1002592,28.85,29.10,28.12,28.55,-0.37,-1.28,"9,678","2,785",3.39,0.55
2017-06-02,ST八菱,1002592,28.70,29.06,27.57,28.92,0.02,0.07,"16,634","4,794",5.16,0.94
2017-06-01,ST八菱,1002592,29.80,29.90,28.63,28.90,-1.10,-3.67,"17,083","4,948",4.23,0.97
2017-05-31,ST八菱,1002592,31.28,31.28,29.23,30.00,-1.47,-4.67,"25,321","7,638",6.51,1.43
2017-05-26,ST八菱,1002592,28.88,31.47,28.80,31.47,2.27,7.77,"33,004","9,794",9.14,1.87
2017-05-25,ST八菱,1002592,28.46,29.30,28.09,29.20,0.74,2.60,"25,983","7,521",4.25,1.47
2017-05-24,ST八菱,1002592,27.00,28.52,26.70,28.46,1.11,4.06,"17,247","4,828",6.65,0.98
2017-05-23,ST八菱,1002592,27.80,27.98,27.30,27.35,-0.45,-1.62,"3,492",961,2.45,0.20
2017-05-22,ST八菱,1002592,27.77,28.04,27.52,27.80,0.03,0.11,"5,409","1,506",1.87,0.31
2017-05-19,ST八菱,1002592,28.32,28.32,27.58,27.77,-0.55,-1.94,"3,265",914,2.61,0.18
2017-05-18,ST八菱,1002592,28.49,28.49,28.10,28.32,-0.18,-0.63,"7,916","2,241",1.37,0.45
2017-05-17,ST八菱,1002592,28.34,28.65,28.04,28.50,0.31,1.10,"5,402","1,535",2.16,0.31
2017-05-16,ST八菱,1002592,28.10,28.21,27.70,28.19,0.18,0.64,"4,003","1,123",1.82,0.23
2017-05-15,ST八菱,1002592,28.10,28.27,27.81,28.01,-0.39,-1.37,"2,120",594,1.62,0.12
2017-05-12,ST八菱,1002592,28.12,28.40,27.50,28.40,-0.10,-0.35,"8,400","2,352",3.16,0.48
2017-05-11,ST八菱,1002592,28.10,28.80,25.90,28.50,0.32,1.14,"17,585","4,800",10.29,1.00
2017-05-10,ST八菱,1002592,29.03,29.10,27.78,28.18,-0.82,-2.83,"5,487","1,575",4.55,0.31
2017-05-09,ST八菱,1002592,28.70,29.32,28.66,29.00,0.12,0.42,"4,745","1,377",2.29,0.27
2017-05-08,ST八菱,1002592,29.28,29.28,28.55,28.88,-0.40,-1.37,"3,056",885,2.49,0.17
2017-05-05,ST八菱,1002592,29.11,29.47,29.11,29.28,-0.09,-0.31,"3,695","1,084",1.23,0.21
2017-05-04,ST八菱,1002592,29.26,29.88,28.85,29.37,0.11,0.38,"9,066","2,671",3.52,0.51
