日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,一汽富维,0600742,17.29,17.66,17.03,17.57,0.28,1.62,"86,563","14,991",3.64,2.05
2017-03-30,一汽富维,0600742,16.99,17.39,16.96,17.29,0.31,1.83,"130,701","22,454",2.53,3.09
2017-03-29,一汽富维,0600742,17.05,17.14,16.93,16.98,-0.02,-0.12,"94,145","16,024",1.24,2.23
2017-03-28,一汽富维,0600742,17.55,17.63,16.95,17.00,-0.62,-3.52,"175,653","30,101",3.86,4.15
2017-03-27,一汽富维,0600742,17.56,17.84,17.46,17.62,0.10,0.57,"119,199","21,017",2.17,2.82
2017-03-24,一汽富维,0600742,18.40,18.49,17.40,17.52,-1.47,-7.74,"358,063","63,708",5.74,8.46
2017-03-23,一汽富维,0600742,19.64,19.75,18.83,18.99,-0.64,-3.26,"122,241","23,484",4.69,2.89
2017-03-22,一汽富维,0600742,19.57,19.96,19.50,19.63,-0.02,-0.10,"50,895","10,038",2.34,1.20
2017-03-21,一汽富维,0600742,19.68,19.80,19.51,19.65,-0.08,-0.41,"46,469","9,120",1.47,1.10
2017-03-20,一汽富维,0600742,19.55,19.85,19.37,19.73,0.03,0.15,"63,469","12,428",2.44,1.50
2017-03-17,一汽富维,0600742,19.92,20.14,19.60,19.70,-0.25,-1.25,"50,290","9,979",2.71,1.19
2017-03-16,一汽富维,0600742,19.90,20.17,19.78,19.95,0.01,0.05,"52,498","10,466",1.96,1.24
2017-03-15,一汽富维,0600742,19.74,20.13,19.74,19.94,0.10,0.50,"47,105","9,390",1.97,1.11
2017-03-14,一汽富维,0600742,19.85,20.20,19.70,19.84,-0.06,-0.30,"69,039","13,762",2.51,1.63
2017-03-13,一汽富维,0600742,19.81,19.90,19.50,19.90,0.21,1.07,"86,742","17,099",2.03,2.05
2017-03-10,一汽富维,0600742,18.58,19.77,18.55,19.69,1.15,6.20,"130,029","25,042",6.58,3.07
2017-03-09,一汽富维,0600742,19.07,19.14,18.52,18.54,-0.49,-2.57,"67,305","12,579",3.26,1.59
2017-03-08,一汽富维,0600742,19.27,19.27,18.88,19.03,-0.24,-1.25,"60,323","11,502",2.02,1.43
2017-03-07,一汽富维,0600742,19.40,19.58,19.20,19.27,-0.12,-0.62,"52,057","10,059",1.96,1.23
2017-03-06,一汽富维,0600742,19.16,19.46,18.94,19.39,0.22,1.15,"77,366","14,853",2.71,1.83
2017-03-03,一汽富维,0600742,19.30,19.67,19.12,19.17,-0.20,-1.03,"66,615","12,893",2.84,1.57
2017-03-02,一汽富维,0600742,19.30,19.57,18.97,19.37,0.16,0.83,"76,353","14,738",3.12,1.80
2017-03-01,一汽富维,0600742,19.10,19.56,18.96,19.21,0.11,0.58,"118,101","22,804",3.14,2.79
2017-02-28,一汽富维,0600742,18.44,19.16,18.37,19.10,0.65,3.52,"116,892","22,058",4.28,2.76
2017-02-27,一汽富维,0600742,18.29,18.68,18.10,18.45,0.25,1.37,"73,085","13,484",3.19,1.73
2017-02-24,一汽富维,0600742,18.41,18.76,18.15,18.20,-0.29,-1.57,"71,682","13,207",3.30,1.69
2017-02-23,一汽富维,0600742,18.39,18.54,18.13,18.49,0.06,0.33,"73,541","13,491",2.22,1.74
2017-02-22,一汽富维,0600742,18.02,18.53,17.96,18.43,0.41,2.28,"96,006","17,615",3.16,2.27
2017-02-21,一汽富维,0600742,18.06,18.20,17.91,18.02,-0.04,-0.22,"46,263","8,333",1.61,1.09
2017-02-20,一汽富维,0600742,17.47,18.13,17.47,18.06,0.52,2.96,"86,323","15,458",3.76,2.04
2017-02-17,一汽富维,0600742,17.70,17.74,17.24,17.54,-0.07,-0.40,"64,654","11,305",2.84,1.53
2017-02-16,一汽富维,0600742,17.38,17.63,17.21,17.61,0.23,1.32,"68,692","11,979",2.42,1.62
2017-02-15,一汽富维,0600742,17.78,17.80,17.35,17.38,-0.38,-2.14,"90,417","15,848",2.53,2.14
2017-02-14,一汽富维,0600742,17.84,17.94,17.63,17.76,-0.15,-0.84,"46,670","8,285",1.73,1.10
2017-02-13,一汽富维,0600742,17.60,17.94,17.54,17.91,0.31,1.76,"66,246","11,742",2.27,1.57
2017-02-10,一汽富维,0600742,17.81,17.86,17.51,17.60,-0.21,-1.18,"85,087","15,046",1.97,2.01
2017-02-09,一汽富维,0600742,17.80,18.09,17.70,17.81,-0.02,-0.11,"94,707","16,931",2.19,2.24
2017-02-08,一汽富维,0600742,17.33,17.95,17.21,17.83,0.43,2.47,"135,359","23,896",4.25,3.20
2017-02-07,一汽富维,0600742,16.92,17.45,16.92,17.40,0.46,2.72,"102,966","17,761",3.13,2.43
2017-02-06,一汽富维,0600742,16.84,17.16,16.81,16.94,0.09,0.53,"88,469","15,026",2.08,2.09
2017-02-03,一汽富维,0600742,16.77,16.98,16.75,16.85,0.02,0.12,"40,580","6,844",1.37,0.96
2017-01-26,一汽富维,0600742,16.39,16.88,16.37,16.83,0.48,2.94,"61,979","10,337",3.12,1.47
2017-01-25,一汽富维,0600742,16.35,16.49,16.25,16.35,-0.07,-0.43,"44,540","7,298",1.46,1.05
2017-01-24,一汽富维,0600742,16.56,16.64,16.36,16.42,-0.17,-1.02,"38,016","6,275",1.69,0.90
2017-01-23,一汽富维,0600742,16.70,16.95,16.51,16.59,-0.10,-0.60,"74,985","12,545",2.64,1.77
2017-01-20,一汽富维,0600742,16.59,16.74,16.48,16.69,0.10,0.60,"55,951","9,315",1.57,1.32
2017-01-19,一汽富维,0600742,16.70,16.79,16.56,16.59,-0.07,-0.42,"29,536","4,928",1.38,0.70
2017-01-18,一汽富维,0600742,16.50,16.79,16.46,16.66,0.07,0.42,"37,693","6,282",1.99,0.89
2017-01-17,一汽富维,0600742,16.25,16.60,16.09,16.59,0.33,2.03,"58,563","9,630",3.14,1.38
2017-01-16,一汽富维,0600742,16.58,16.58,15.53,16.26,-0.32,-1.93,"87,859","14,280",6.33,2.08
2017-01-13,一汽富维,0600742,17.04,17.14,16.56,16.58,-0.46,-2.70,"64,794","10,883",3.40,1.53
2017-01-12,一汽富维,0600742,16.96,17.31,16.91,17.04,0.15,0.89,"64,309","11,032",2.37,1.52
2017-01-11,一汽富维,0600742,17.36,17.54,16.83,16.89,-0.52,-2.99,"70,011","11,984",4.08,1.65
2017-01-10,一汽富维,0600742,17.65,17.72,17.30,17.41,-0.24,-1.36,"77,099","13,477",2.38,1.82
2017-01-09,一汽富维,0600742,16.90,17.79,16.86,17.65,0.65,3.82,"128,689","22,337",5.47,3.04
2017-01-06,一汽富维,0600742,16.60,17.16,16.60,17.00,0.41,2.47,"98,463","16,687",3.38,2.33
2017-01-05,一汽富维,0600742,16.68,16.79,16.56,16.59,-0.19,-1.13,"58,636","9,753",1.37,1.39
2017-01-04,一汽富维,0600742,16.52,16.83,16.33,16.78,0.26,1.57,"107,261","17,770",3.03,2.54
2017-01-03,一汽富维,0600742,16.15,16.56,16.13,16.52,0.39,2.42,"54,835","9,006",2.67,1.30
2017-06-30,一汽富维,0600742,19.00,19.18,18.91,19.11,0.22,1.16,"48,812","9,301",1.43,1.15
2017-06-29,一汽富维,0600742,18.68,19.03,18.67,18.89,0.21,1.12,"36,518","6,911",1.93,0.86
2017-06-28,一汽富维,0600742,18.76,19.00,18.61,18.68,-0.19,-1.01,"36,331","6,824",2.07,0.86
2017-06-27,一汽富维,0600742,18.64,19.13,18.52,18.87,0.23,1.23,"78,543","14,814",3.27,1.86
2017-06-26,一汽富维,0600742,18.17,18.78,17.95,18.64,0.60,3.33,"107,804","19,892",4.60,2.55
2017-06-23,一汽富维,0600742,17.60,18.06,17.34,18.04,0.45,2.56,"53,942","9,557",4.09,1.28
2017-06-22,一汽富维,0600742,17.99,18.12,17.57,17.59,-0.40,-2.22,"65,053","11,614",3.06,1.54
2017-06-21,一汽富维,0600742,18.10,18.15,17.72,17.99,0.02,0.11,"41,793","7,478",2.39,0.99
2017-06-20,一汽富维,0600742,18.28,18.28,17.89,17.97,-0.30,-1.64,"67,881","12,254",2.13,1.60
2017-06-19,一汽富维,0600742,18.90,19.03,18.71,18.77,-0.03,-0.16,"47,058","8,855",1.70,1.11
2017-06-16,一汽富维,0600742,18.74,19.04,18.63,18.80,0.10,0.53,"37,655","7,096",2.19,0.89
2017-06-15,一汽富维,0600742,18.72,18.82,18.57,18.70,-0.05,-0.27,"34,289","6,413",1.33,0.81
2017-06-14,一汽富维,0600742,18.58,18.87,18.55,18.75,0.11,0.59,"48,258","9,041",1.72,1.14
2017-06-13,一汽富维,0600742,18.44,18.86,18.44,18.64,0.17,0.92,"67,635","12,671",2.27,1.60
2017-06-12,一汽富维,0600742,18.65,18.79,18.42,18.47,-0.18,-0.97,"65,957","12,253",1.98,1.56
2017-06-09,一汽富维,0600742,18.50,18.84,18.40,18.65,0.19,1.03,"78,713","14,674",2.38,1.86
2017-06-08,一汽富维,0600742,17.87,18.79,17.71,18.46,0.60,3.36,"111,629","20,488",6.05,2.64
2017-06-07,一汽富维,0600742,17.48,18.00,17.46,17.86,0.32,1.82,"50,617","9,022",3.08,1.20
2017-06-06,一汽富维,0600742,17.49,17.54,17.33,17.54,0.11,0.63,"26,660","4,660",1.20,0.63
2017-06-05,一汽富维,0600742,17.40,17.63,17.33,17.43,0.08,0.46,"30,501","5,328",1.73,0.72
2017-06-02,一汽富维,0600742,17.16,17.37,16.72,17.35,0.20,1.17,"44,651","7,639",3.79,1.06
2017-06-01,一汽富维,0600742,17.50,17.55,17.10,17.15,-0.31,-1.78,"40,664","7,031",2.58,0.96
2017-05-31,一汽富维,0600742,17.42,17.66,17.33,17.46,0.19,1.10,"47,773","8,378",1.91,1.13
