日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2018-06-29,亚普股份,0603013,31.40,32.80,31.04,32.38,0.33,1.03,"152,381","49,099",5.49,25.40
2018-06-28,亚普股份,0603013,31.19,32.86,30.50,32.05,0.87,2.79,"154,847","49,087",7.57,25.81
2018-06-27,亚普股份,0603013,30.40,31.38,30.40,31.18,0.24,0.78,"119,115","36,889",3.17,19.85
2018-06-26,亚普股份,0603013,28.50,31.78,28.28,30.94,1.40,4.74,"132,421","40,101",11.85,22.07
2018-06-25,亚普股份,0603013,29.82,30.29,29.36,29.54,0.07,0.24,"91,685","27,336",3.16,15.28
2018-06-22,亚普股份,0603013,28.73,30.22,28.41,29.47,0.02,0.07,"107,647","31,771",6.15,17.94
2018-06-21,亚普股份,0603013,31.40,31.80,28.21,29.45,-1.86,-5.94,"148,156","44,264",11.47,24.69
2018-06-20,亚普股份,0603013,30.00,32.30,29.77,31.31,-0.17,-0.54,"125,092","38,817",8.04,20.85
2018-06-19,亚普股份,0603013,33.01,33.45,31.48,31.48,-3.50,-10.01,"90,794","29,331",5.63,15.13
2018-06-15,亚普股份,0603013,34.35,35.12,33.95,34.98,0.40,1.16,"112,954","39,094",3.38,18.83
2018-06-14,亚普股份,0603013,35.10,36.63,34.08,34.58,-2.01,-5.49,"155,489","54,729",6.97,25.91
2018-06-13,亚普股份,0603013,39.01,39.09,36.59,36.59,-4.07,-10.01,"188,496","70,823",6.15,31.42
2018-06-12,亚普股份,0603013,44.59,44.60,40.12,40.66,-3.92,-8.79,"240,160","98,918",10.05,40.03
2018-06-11,亚普股份,0603013,42.10,46.48,41.88,44.58,1.87,4.38,"263,016","116,841",10.77,43.84
2018-06-08,亚普股份,0603013,40.00,44.50,40.00,42.71,1.80,4.40,"251,515","106,248",11.00,41.92
2018-06-07,亚普股份,0603013,40.40,41.33,39.25,40.91,0.79,1.97,"173,464","70,026",5.18,28.91
2018-06-06,亚普股份,0603013,39.25,40.59,38.81,40.12,0.14,0.35,"149,569","59,330",4.45,24.93
2018-06-05,亚普股份,0603013,37.77,41.05,37.51,39.98,2.21,5.85,"187,577","73,610",9.37,31.26
2018-06-04,亚普股份,0603013,39.24,39.86,37.17,37.77,-1.39,-3.55,"128,674","49,173",6.87,21.45
2018-06-01,亚普股份,0603013,40.05,40.35,38.00,39.16,-1.69,-4.14,"168,800","66,332",5.75,28.13
2018-05-31,亚普股份,0603013,39.31,41.33,38.57,40.85,1.83,4.69,"195,506","78,156",7.07,32.58
2018-05-30,亚普股份,0603013,41.18,42.49,39.02,39.02,-4.33,-9.99,"198,412","80,595",8.00,33.07
2018-05-29,亚普股份,0603013,41.99,44.79,40.51,43.35,-0.64,-1.45,"236,356","100,938",9.73,39.39
