日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-09-30,博俊科技,1300926,19.52,19.77,19.50,19.52,0.15,0.77,"7,229","1,417",1.39,2.03
2021-09-29,博俊科技,1300926,20.28,20.38,19.35,19.37,-1.21,-5.88,"16,572","3,279",5.00,4.66
2021-09-28,博俊科技,1300926,20.29,20.62,20.23,20.58,0.20,0.98,"7,585","1,555",1.91,2.13
2021-09-27,博俊科技,1300926,20.54,20.83,19.77,20.38,-0.11,-0.54,"14,886","3,022",5.17,4.19
2021-09-24,博俊科技,1300926,21.09,21.26,20.36,20.49,-0.59,-2.80,"19,799","4,119",4.27,5.57
2021-09-23,博俊科技,1300926,21.55,21.79,20.85,21.08,-0.44,-2.04,"29,873","6,330",4.37,8.41
2021-09-22,博俊科技,1300926,21.57,21.82,21.39,21.52,-0.34,-1.56,"14,910","3,216",1.97,4.20
2021-09-17,博俊科技,1300926,22.61,22.66,21.82,21.86,-1.02,-4.46,"35,895","7,920",3.67,10.10
2021-09-16,博俊科技,1300926,22.92,23.77,22.71,22.88,-0.14,-0.61,"40,091","9,298",4.60,11.28
2021-09-15,博俊科技,1300926,23.18,23.43,22.58,23.02,-0.16,-0.69,"42,386","9,711",3.67,11.93
2021-09-14,博俊科技,1300926,22.40,23.70,22.12,23.18,0.70,3.11,"81,059","18,706",7.03,22.81
2021-09-13,博俊科技,1300926,21.88,22.49,21.65,22.48,0.42,1.90,"45,066","9,984",3.81,12.68
2021-09-10,博俊科技,1300926,21.44,22.28,21.25,22.06,0.70,3.28,"37,056","8,083",4.82,10.43
2021-09-09,博俊科技,1300926,21.41,21.73,21.06,21.36,-0.24,-1.11,"18,204","3,894",3.10,5.12
2021-09-08,博俊科技,1300926,21.66,21.93,21.48,21.60,-0.13,-0.60,"19,383","4,196",2.07,5.46
2021-09-07,博俊科技,1300926,22.47,22.47,21.63,21.73,-0.25,-1.14,"27,687","6,042",3.82,7.79
2021-09-06,博俊科技,1300926,21.45,22.18,21.33,21.98,0.49,2.28,"31,006","6,753",3.96,8.73
2021-09-03,博俊科技,1300926,21.25,21.88,21.25,21.49,-0.08,-0.37,"26,106","5,639",2.92,7.35
2021-09-02,博俊科技,1300926,20.78,21.98,20.56,21.57,0.30,1.41,"32,334","6,879",6.68,9.10
2021-09-01,博俊科技,1300926,22.50,22.50,20.90,21.27,0.36,1.72,"39,722","8,548",7.65,11.18
2021-08-31,博俊科技,1300926,20.86,21.06,20.42,20.91,0.05,0.24,"15,569","3,220",3.07,4.38
2021-08-30,博俊科技,1300926,21.46,21.60,20.61,20.86,-0.20,-0.95,"17,031","3,580",4.70,4.79
2021-08-27,博俊科技,1300926,22.01,22.09,20.95,21.06,-0.50,-2.32,"21,223","4,522",5.29,5.97
2021-08-26,博俊科技,1300926,22.09,22.19,21.51,21.56,-0.36,-1.64,"18,500","4,028",3.10,5.21
2021-08-25,博俊科技,1300926,21.98,22.22,21.48,21.92,0.29,1.34,"29,153","6,394",3.42,8.20
2021-08-24,博俊科技,1300926,21.39,22.25,21.33,21.63,0.50,2.37,"33,477","7,311",4.35,9.42
