日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,威孚高科,1000581,26.16,26.16,25.56,25.90,-0.29,-1.11,"177,774","45,876",2.29,2.13
2017-06-29,威孚高科,1000581,26.02,26.38,25.94,26.19,0.15,0.58,"181,114","47,313",1.69,2.17
2017-06-28,威孚高科,1000581,25.99,26.49,25.88,26.04,-0.06,-0.23,"297,811","78,082",2.34,3.56
2017-06-27,威孚高科,1000581,26.41,26.79,25.81,26.10,-0.76,-2.83,"488,255","128,330",3.65,5.84
2017-06-26,威孚高科,1000581,24.55,26.86,24.39,26.86,2.44,9.99,"818,789","215,463",10.11,9.79
2017-06-23,威孚高科,1000581,23.84,24.42,23.64,24.42,0.55,2.30,"192,202","46,300",3.27,2.30
2017-06-22,威孚高科,1000581,23.63,24.60,23.58,23.87,0.16,0.67,"241,603","58,310",4.30,2.89
2017-06-21,威孚高科,1000581,23.02,23.75,22.96,23.71,0.89,3.90,"167,589","39,276",3.46,2.00
2017-06-20,威孚高科,1000581,23.13,23.34,22.79,22.82,-0.31,-1.34,"76,644","17,661",2.38,0.92
2017-06-19,威孚高科,1000581,22.85,23.17,22.85,23.13,0.21,0.92,"59,348","13,659",1.40,0.71
2017-06-16,威孚高科,1000581,23.06,23.09,22.81,22.92,-0.12,-0.52,"41,344","9,468",1.22,0.49
2017-06-15,威孚高科,1000581,22.90,23.13,22.73,23.04,0.06,0.26,"69,636","15,996",1.74,0.83
2017-06-14,威孚高科,1000581,23.45,23.49,22.86,22.98,-0.50,-2.13,"94,963","21,920",2.68,1.14
2017-06-13,威孚高科,1000581,23.16,23.63,23.05,23.48,0.28,1.21,"103,738","24,353",2.50,1.24
2017-06-12,威孚高科,1000581,22.90,23.40,22.81,23.20,0.29,1.27,"123,669","28,687",2.58,1.48
2017-06-09,威孚高科,1000581,22.83,23.02,22.74,22.91,0.03,0.13,"71,189","16,285",1.22,0.85
2017-06-08,威孚高科,1000581,22.53,23.04,22.47,22.88,0.35,1.55,"115,034","26,251",2.53,1.38
2017-06-07,威孚高科,1000581,22.22,22.58,22.15,22.53,0.33,1.49,"76,936","17,264",1.94,0.92
2017-06-06,威孚高科,1000581,22.14,22.38,22.04,22.20,0.05,0.23,"43,054","9,552",1.54,0.51
2017-06-05,威孚高科,1000581,22.16,22.42,22.02,22.15,0.15,0.68,"60,017","13,346",1.82,0.72
2017-06-02,威孚高科,1000581,21.49,22.10,21.47,22.00,0.47,2.18,"66,342","14,477",2.93,0.79
2017-06-01,威孚高科,1000581,21.56,21.74,21.42,21.53,-0.01,-0.05,"55,111","11,909",1.49,0.66
2017-05-31,威孚高科,1000581,22.02,22.18,21.48,21.54,-0.21,-0.97,"70,141","15,306",3.22,0.84
2017-05-26,威孚高科,1000581,21.77,22.05,21.58,21.75,-0.05,-0.23,"66,744","14,561",2.16,0.80
2017-05-25,威孚高科,1000581,21.50,21.96,21.20,21.80,0.31,1.44,"96,416","20,761",3.54,1.15
2017-05-24,威孚高科,1000581,21.21,21.52,21.05,21.49,0.33,1.56,"62,647","13,375",2.22,0.75
2017-05-23,威孚高科,1000581,21.53,21.78,21.15,21.16,-0.44,-2.04,"70,779","15,164",2.92,0.85
2017-05-22,威孚高科,1000581,22.34,22.35,21.46,21.60,-0.67,-3.01,"123,090","26,829",4.00,1.47
2017-05-19,威孚高科,1000581,22.60,22.73,22.17,22.27,-0.30,-1.33,"43,153","9,662",2.48,0.52
2017-05-18,威孚高科,1000581,22.38,22.72,22.26,22.57,0.02,0.09,"46,969","10,596",2.04,0.56
2017-05-17,威孚高科,1000581,22.47,22.85,22.38,22.55,0.01,0.04,"68,433","15,467",2.09,0.82
2017-05-16,威孚高科,1000581,22.00,22.56,21.62,22.54,0.53,2.41,"100,683","22,228",4.27,1.20
2017-05-15,威孚高科,1000581,22.12,22.48,21.95,22.01,-0.05,-0.23,"73,880","16,406",2.40,0.88
2017-05-12,威孚高科,1000581,22.11,22.23,21.80,22.06,0.00,0.00,"57,341","12,640",1.95,0.69
2017-05-11,威孚高科,1000581,21.61,22.15,21.58,22.06,0.30,1.38,"71,321","15,607",2.62,0.85
2017-05-10,威孚高科,1000581,22.51,22.57,21.68,21.76,-0.71,-3.16,"120,481","26,675",3.96,1.44
2017-05-09,威孚高科,1000581,22.30,22.66,22.26,22.47,-0.02,-0.09,"121,412","27,282",1.78,1.45
2017-05-08,威孚高科,1000581,22.93,23.07,22.48,22.49,-0.61,-2.64,"112,692","25,663",2.55,1.35
2017-05-05,威孚高科,1000581,23.91,24.08,23.03,23.10,-1.00,-4.15,"194,570","45,627",4.36,2.33
2017-05-04,威孚高科,1000581,24.86,24.86,24.08,24.10,-0.80,-3.21,"136,843","33,482",3.13,1.64
